date,open,high,low,close,volume,unadjusted,putthrough
2009-08-18,10.3503,10.3503,10.3503,10.3504,19600,43.2000,0
2009-08-19,10.8535,10.8535,10.8535,10.8535,31300,45.3000,0
2009-08-20,11.3806,11.3806,11.2608,11.3806,699200,47.5000,288000
2009-08-21,11.9317,11.9317,11.9317,11.9317,231000,49.8000,0
2009-08-24,12.3390,12.3390,11.9317,11.9796,469480,50.0000,0
2009-08-25,12.0994,12.0994,11.7400,11.7400,186820,49.0000,0
2009-08-26,11.2608,11.7400,11.2608,11.3806,126590,47.5000,0
2009-08-27,11.5004,11.5004,11.2608,11.3806,124780,47.5000,0
2009-08-28,11.5004,11.5004,11.3806,11.5004,140420,48.0000,0
2009-08-31,11.8358,11.8358,11.5723,11.5723,125910,48.3000,0
2009-09-01,11.5004,11.7400,11.3806,11.5004,124440,48.0000,0
2009-09-03,11.4046,11.5004,10.9254,10.9254,649880,45.6000,0
2009-09-04,10.9494,11.3327,10.9014,10.9014,105070,45.5000,0
2009-09-07,10.3743,10.4222,10.3743,10.4222,236120,43.5000,0
2009-09-08,10.7816,10.8055,10.4222,10.8056,112520,45.1000,0
2009-09-09,10.8056,10.8535,10.7816,10.7816,107280,45.0000,0
2009-09-10,10.7816,10.7816,10.6858,10.7816,69030,45.0000,0
2009-09-11,10.7816,10.8056,10.6618,10.7816,133070,45.0000,0
2009-09-14,11.3087,11.3087,11.2608,11.3087,515860,47.2000,0
2009-09-15,11.6920,11.6920,11.1410,11.1650,117530,46.6000,0
2009-09-16,11.1410,11.1410,10.9014,11.0691,109320,46.2000,0
2009-09-17,11.0931,11.0931,10.7816,10.8535,229040,45.3000,0
2009-09-18,11.0212,11.3806,10.9493,11.3806,503280,47.5000,0
2009-09-21,11.4764,11.4764,11.3087,11.3087,378600,47.2000,0
2009-09-22,11.0691,11.1889,11.0691,11.0931,166160,46.3000,0
2009-09-23,11.0452,11.1410,10.9014,10.9254,196330,45.6000,0
2009-09-24,10.7816,10.9254,10.7098,10.7098,99270,44.7000,0
2009-09-25,11.0931,11.0931,10.6619,10.8535,150140,45.3000,0
2009-09-28,10.8535,10.8535,10.5420,10.8296,201630,45.2000,0
2009-09-29,10.9015,10.9015,10.5421,10.6858,160010,44.6000,0
2009-09-30,10.7816,10.7816,10.4222,10.5660,157730,44.1000,0
2009-10-01,10.4462,10.5181,10.2066,10.2545,174420,42.8000,0
2009-10-02,9.8951,10.0628,9.7514,9.7993,187480,40.9000,0
2009-10-05,10.0629,10.2785,9.5837,9.8233,102110,41.0000,0
2009-10-06,10.1827,10.1827,9.8233,9.8472,98880,41.1000,0
2009-10-07,9.8472,10.3024,9.8472,10.3024,258170,43.0000,0
2009-10-08,10.3024,10.3024,10.0628,10.3024,168070,43.0000,0
2009-10-09,10.4977,10.8151,10.4245,10.8156,266370,44.3000,0
2009-10-12,10.9865,11.1086,10.6203,10.9865,135870,45.0000,0
2009-10-13,10.9865,10.9865,10.4982,10.5470,138200,43.2000,0
2009-10-14,10.4982,10.9132,10.4982,10.9132,289070,44.7000,100000
2009-10-15,11.4503,11.4503,10.9864,11.4504,995010,46.9000,150000
2009-10-16,12.0119,12.0119,11.8410,12.0119,1431660,49.2000,0
2009-10-19,11.7678,12.0851,11.7678,11.8410,367690,48.5000,100000
2009-10-20,11.8410,11.9387,11.7433,11.8410,414490,48.5000,150000
2009-10-21,12.0607,12.0607,11.8410,11.8654,572310,48.6000,58000
2009-10-22,11.8410,11.8410,11.6213,11.7922,540420,48.3000,20000
2009-10-23,12.2072,12.2072,11.4260,11.4259,798180,46.8000,205000
2009-10-26,11.4747,11.5236,11.2062,11.2306,202180,46.0000,58000
2009-10-27,10.7911,11.0353,10.7423,10.7912,369910,44.2000,20000
2009-10-28,10.7912,10.9865,10.7424,10.7423,275760,44.0000,20000
2009-10-29,10.3761,10.3761,10.2052,10.2541,340140,42.0000,340360
2009-10-30,10.6936,10.6936,10.3029,10.6203,192330,43.5000,0
2009-11-02,10.1076,10.1320,10.1076,10.1076,567570,41.4000,120000
2009-11-03,9.8879,10.0099,9.6193,9.6193,239060,39.4000,144000
2009-11-04,9.2775,9.7658,9.2043,9.2775,238010,38.0000,140000
2009-11-05,9.6681,9.7414,9.4240,9.7413,160000,39.9000,140000
2009-11-06,10.2052,10.2052,10.1319,10.2052,181280,41.8000,178450
2009-11-09,10.2052,10.2052,9.7169,9.7169,194650,39.8000,40000
2009-11-10,9.6437,9.7169,9.3995,9.7169,289580,39.8000,240000
2009-11-11,9.7169,10.1564,9.7169,9.9367,123810,40.7000,144000
2009-11-12,10.2541,10.3762,10.1320,10.1320,146830,41.5000,0
2009-11-13,9.8879,10.1564,9.8879,10.1564,131000,41.6000,199000
2009-11-16,10.2296,10.2296,9.7902,9.7902,127240,40.1000,228450
2009-11-17,10.2785,10.2785,10.2785,10.2785,315960,42.1000,0
2009-11-18,10.6203,10.6203,10.0099,10.6203,349140,43.5000,190000
