date,open,high,low,close,volume,unadjusted,putthrough
2006-12-27,5.5185,5.6808,4.9504,5.2750,24900,65.0000,9400
2006-12-28,6.0865,6.0865,5.6808,5.7944,12200,71.4000,0
2006-12-29,6.0703,6.0703,5.5185,5.7944,26800,71.4000,5600
2007-01-02,5.8431,5.9242,5.6808,5.8431,22500,72.0000,0
2007-01-03,6.1271,6.1271,5.7619,5.8187,26300,71.7000,0
2007-01-04,5.8025,6.0054,5.8025,6.0054,17100,74.0000,0
2007-01-05,6.0947,6.1677,6.0054,6.0865,9600,75.0000,0
2007-01-08,6.0865,6.0865,5.8430,5.8999,4600,72.7000,0
2007-01-09,5.8431,5.9648,5.8431,5.9648,17500,73.5000,0
2007-01-10,5.9242,6.0460,5.9242,6.0054,6300,74.0000,0
2007-01-11,6.0460,6.1271,5.9892,6.0865,17700,75.0000,0
2007-01-12,6.1677,6.6465,6.1271,6.4842,21000,79.9000,0
2007-01-15,6.8981,7.1253,6.8169,6.8169,21000,84.0000,0
2007-01-16,7.7907,7.7907,6.8981,6.8981,12400,85.0000,0
2007-01-17,7.0685,7.0685,6.8169,6.8169,2600,84.0000,0
2007-01-18,6.6546,6.8007,6.3300,6.4923,3700,80.0000,0
2007-01-19,6.6465,6.6465,6.3300,6.3300,4900,78.0000,0
2007-01-22,6.9792,7.1010,6.0865,6.0865,3900,75.0000,0
2007-01-23,6.3300,6.3705,5.9242,6.1271,8200,75.5000,0
2007-01-24,6.4322,6.4322,6.0611,6.1851,10500,75.0000,0
2007-01-25,6.2676,6.2676,6.1851,6.2676,11000,76.0000,0
2007-01-26,6.3501,6.5975,6.3171,6.3171,7100,76.6000,0
2007-01-29,6.5975,6.6800,6.5975,6.6057,11300,80.1000,0
2007-01-30,7.0923,7.0923,6.8449,6.8449,18700,83.0000,0
2007-01-31,6.5975,7.4222,6.5975,7.0923,11100,86.0000,0
2007-02-01,7.4222,7.7520,7.1335,7.2572,9500,88.0000,0
2007-02-02,7.4221,7.5871,7.3809,7.5046,11500,91.0000,0
2007-02-05,8.2056,8.2056,7.2572,7.2984,4900,88.5000,0
2007-02-06,7.2572,7.2572,7.0345,7.2160,8400,87.5000,0
2007-02-07,6.5150,7.1335,6.5150,7.1335,38100,86.5000,23980
2007-02-08,7.0840,7.0840,6.7624,7.0098,3800,85.0000,0
2007-02-09,6.8449,6.9851,6.8449,6.8449,2400,83.0000,19200
2007-02-12,6.9274,7.0923,6.9274,7.0098,3800,85.0000,0
2007-02-13,7.1665,7.1665,7.0098,7.1170,18900,86.3000,0
2007-02-14,7.1747,7.2160,7.0923,7.1665,7300,86.9000,0
2007-02-15,7.2572,7.2572,7.2077,7.2490,1700,87.9000,0
2007-02-26,7.4222,7.9665,7.4222,7.6695,9400,93.0000,0
2007-02-27,8.1643,8.1643,7.6777,7.7520,11700,94.0000,0
2007-02-28,7.7850,7.8345,7.5871,7.5871,19200,92.0000,0
2007-03-01,7.7520,7.8345,7.5459,7.6283,10000,92.5000,0
2007-03-02,7.7273,7.7520,7.7108,7.7108,3400,93.5000,0
2007-03-05,7.7520,7.7520,7.5046,7.7108,16000,93.5000,0
2007-03-06,7.7520,7.8345,6.9686,6.9686,17000,84.5000,0
2007-03-07,7.8345,7.8345,7.4222,7.7520,18500,94.0000,0
2007-03-08,7.7520,8.1643,7.7108,7.7933,41300,94.5000,0
2007-03-09,7.9995,8.6345,7.8345,8.6344,28900,104.7000,0
2007-03-12,9.1292,9.1292,7.6695,8.8406,22900,107.2000,0
2007-03-13,8.6592,9.2117,8.5767,9.0798,12500,110.1000,0
2007-03-14,8.6592,9.2365,8.6510,8.7416,16600,106.0000,0
2007-03-15,8.0984,8.0984,8.0984,8.0984,2300,98.2000,0
2007-03-16,8.1644,8.1644,7.2902,8.1644,14900,99.0000,0
2007-03-19,8.8077,8.8654,8.3293,8.3293,26400,101.0000,0
2007-03-20,8.6592,9.4839,8.2468,8.6592,6500,105.0000,0
2007-03-21,8.6592,8.7417,8.4943,8.7416,13600,106.0000,0
2007-03-22,8.4777,8.6591,8.2468,8.2468,4200,100.0000,0
2007-03-23,8.2468,8.2468,7.5376,7.6695,15800,93.0000,0
2007-03-26,7.5870,7.5870,7.1747,7.4221,5200,90.0000,0
2007-03-27,7.2572,7.2572,6.7129,7.0098,3500,85.0000,0
2007-03-28,6.3088,7.0098,6.2841,7.0098,7800,85.0000,0
2007-03-29,7.0016,7.2572,6.8036,7.2572,8000,88.0000,0
2007-03-30,7.7932,7.7932,7.2572,7.2572,8000,88.0000,0
2007-04-02,7.4634,7.4634,7.2572,7.2572,1400,88.0000,0
2007-04-03,7.1335,7.1747,6.6387,6.6799,1800,81.0000,0
2007-04-04,7.0098,7.0840,6.5150,7.0840,11200,85.9000,0
2007-04-05,6.5974,6.7624,6.5974,6.7459,10300,81.8000,0
2007-04-06,6.7624,6.8449,6.5975,6.8449,4000,83.0000,0
2007-04-09,6.8449,6.9274,6.8449,6.9273,2700,84.0000,0
2007-04-10,6.6387,7.0098,6.5974,7.0098,10900,85.0000,0
2007-04-11,6.9273,6.9273,6.7624,6.8036,4200,82.5000,5600
2007-04-12,6.5974,6.7541,6.5974,6.6057,2800,80.1000,0
2007-04-13,6.5975,6.5975,6.1851,6.4738,3900,78.5000,0
2007-04-16,6.3501,6.3501,6.0202,6.0202,4600,73.0000,0
2007-04-17,5.7728,6.1851,5.7728,5.9377,13600,72.0000,0
2007-04-18,6.4902,6.5480,6.0202,6.4655,5600,78.4000,0
