date,open,high,low,close,volume,unadjusted,putthrough
2009-10-09,21.0130,31.5195,21.0130,29.7684,9700,85.0000,0
2009-10-12,28.7528,28.7528,26.2662,27.3169,15300,78.0000,0
2009-10-13,26.6165,26.9667,25.4958,25.4958,7100,72.8000,0
2009-10-14,23.9899,23.9899,23.9899,23.9899,3700,68.5000,0
2009-10-15,22.3439,22.3439,22.3439,22.3438,25700,63.8000,0
2009-10-16,20.8028,20.8028,20.8028,20.8029,15000,59.4000,0
2009-10-19,19.3670,19.3670,19.3670,19.3670,6600,55.3000,0
2009-10-20,18.0362,20.6978,18.0362,20.6978,200400,59.1000,0
2009-10-21,19.9974,19.9974,19.9974,19.9974,27500,57.1000,0
2009-10-22,21.3632,21.3632,21.0831,21.3632,63500,61.0000,0
2009-10-23,22.7641,22.8341,19.9623,20.4877,26300,58.5000,0
2009-10-26,20.5577,20.5577,20.5577,20.5577,8700,58.7000,0
2009-10-27,19.1218,19.1218,19.1218,19.1218,1900,54.6000,0
2009-10-28,17.7910,18.7366,17.7910,18.1763,52000,51.9000,0
2009-10-29,17.5109,18.1763,17.1607,18.1412,18700,51.8000,0
2009-10-30,18.2112,18.5264,17.8610,17.8611,31800,51.0000,0
2009-11-02,18.2113,18.2113,17.0556,17.0556,10500,48.7000,0
2009-11-03,16.9856,16.9856,16.1450,16.1450,16000,46.1000,0
2009-11-04,15.5847,16.1800,15.2695,15.6197,10800,44.6000,0
2009-11-05,16.4602,16.4602,15.7598,16.4602,7400,47.0000,0
2009-11-06,17.0581,17.0581,16.1788,16.2625,4900,46.2000,0
2009-11-09,15.6261,15.6261,15.2726,15.4979,6600,43.8000,0
2009-11-10,15.2856,15.3210,14.3302,14.3303,13800,40.5000,0
2009-11-11,14.1534,14.1534,13.5872,14.1533,9900,40.0000,0
2009-11-12,13.9056,14.5071,13.9056,13.9057,12000,39.3000,0
2009-11-13,14.5072,14.7195,13.7995,13.7995,15000,39.0000,0
2009-11-16,14.8610,14.8610,14.1533,14.1533,1600,40.0000,0
2009-11-17,13.7995,13.7995,13.6226,13.6226,1200,38.5000,0
2009-11-18,13.7995,13.7995,13.0918,13.4103,11000,37.9000,0
2009-11-19,13.2688,13.2688,13.0918,13.1272,11900,37.1000,0
2009-11-20,13.0918,13.1626,13.0918,13.1272,4800,37.1000,0
2009-11-23,12.9149,12.9149,12.5257,12.5611,2600,35.5000,0
2009-11-24,12.3842,12.5965,12.3842,12.3842,8400,35.0000,0
