date,open,high,low,close,volume,unadjusted,putthrough
2006-05-19,13.5304,13.7113,12.6295,13.0977,221300,36.9300,0
2006-05-22,13.1686,13.7113,12.8104,13.0622,273300,36.8300,0
2006-05-24,12.9168,12.9168,11.8351,12.0869,179700,34.0800,5100
2006-05-26,12.1578,12.1578,11.5478,11.7251,117500,33.0600,104300
2006-05-29,11.7251,11.7251,10.5725,10.7144,191300,30.2100,32100
2006-05-31,10.5371,10.5725,9.6681,9.9235,350300,27.9800,58000
2006-06-01,9.2709,10.8953,9.2000,10.6789,226600,30.1100,30000
2006-06-02,11.5478,11.7252,11.5478,11.7251,276300,33.0600,35000
2006-06-05,12.8813,12.8813,11.7641,12.1224,246900,34.1800,61900
2006-06-06,11.6542,12.4487,11.1506,11.4024,165300,32.1500,10000
2006-06-07,11.2570,11.2570,10.7144,10.8598,84700,30.6200,25000
2006-06-08,10.8243,11.2570,10.8243,11.1506,79300,31.4400,20000
2006-06-09,11.1861,11.3279,10.8243,11.0761,152200,31.2300,10000
2006-06-12,10.8598,10.8598,10.2817,10.4271,247400,29.4000,5000
2006-06-13,10.3910,10.3910,10.1745,10.2827,202500,28.5000,15000
2006-06-14,10.5353,10.6796,10.4631,10.6435,155200,29.5000,0
2006-06-15,10.6796,10.7157,10.4631,10.6075,101600,29.4000,0
2006-06-16,10.6436,10.6436,10.1745,10.3188,84400,28.6000,0
2006-06-19,10.2827,10.2827,10.1023,10.1745,82500,28.2000,0
2006-06-20,10.2106,10.2106,9.9580,10.0663,66100,27.9000,0
2006-06-21,9.9220,9.9220,9.2004,9.4529,135900,26.2000,0
2006-06-22,9.5611,10.3188,8.5148,10.0302,126700,27.8000,25000
2006-06-23,10.6436,10.6436,9.9220,10.2467,131100,28.4000,0
2006-06-26,9.9220,10.2828,9.6694,9.7776,88700,27.1000,0
2006-06-27,9.7054,9.7054,9.5972,9.6333,92100,26.7000,10000
2006-06-28,10.1023,10.1023,9.6694,9.7055,82300,26.9000,129000
2006-06-29,9.7416,9.7777,9.6694,9.7055,78700,26.9000,0
2006-06-30,9.8498,9.9220,9.7416,9.8137,45200,27.2000,0
2006-07-03,9.8859,9.8859,9.7415,9.8137,85600,27.2000,0
2006-07-04,9.8137,9.8137,9.5611,9.6333,58000,26.7000,0
2006-07-05,9.5611,9.5611,9.4529,9.4890,70100,26.3000,0
2006-07-06,9.4890,9.7416,9.3808,9.5251,58600,26.4000,0
2006-07-07,9.5973,9.7055,9.5612,9.5972,53500,26.6000,0
2006-07-10,9.7054,9.7054,9.5250,9.5612,19300,26.5000,0
2006-07-11,9.5612,9.5612,9.4890,9.5251,41300,26.4000,15000
2006-07-12,9.4890,9.5612,9.3808,9.4529,54500,26.2000,0
2006-07-13,9.5251,9.6333,9.4529,9.5612,44000,26.5000,0
2006-07-14,9.5973,9.7416,9.4530,9.5972,124800,26.6000,0
2006-07-17,9.8137,10.0302,8.6591,9.8498,167800,27.3000,60000
2006-07-18,9.6694,9.7416,9.6333,9.7055,69300,26.9000,0
2006-07-19,9.6694,9.6694,9.4529,9.4890,64500,26.3000,0
2006-07-20,9.3808,9.5972,9.3808,9.5251,102100,26.4000,0
2006-07-21,10.1024,10.1024,9.5612,9.6333,120300,26.7000,0
2006-07-24,9.6333,9.6333,9.4890,9.5612,154400,26.5000,0
2006-07-25,9.3808,9.3808,8.8396,9.1282,145900,25.3000,0
2006-07-26,8.2623,9.0200,8.2623,8.7313,201800,24.2000,0
2006-07-27,8.8395,9.4168,8.7674,9.1282,288400,25.3000,39000
2006-07-28,9.3808,9.5251,9.2364,9.3808,142200,26.0000,0
2006-07-31,9.2004,9.3086,8.9478,9.1282,171800,25.3000,5000
2006-08-01,8.9478,9.2364,8.8396,9.0560,196700,25.1000,5000
2006-08-02,9.0199,9.2725,8.8395,9.1282,297700,25.3000,0
2006-08-03,9.3808,9.4168,9.2725,9.3808,266600,26.0000,0
2006-08-04,9.3808,9.7055,9.3808,9.5972,214600,26.6000,0
2006-08-07,9.5972,9.7415,9.4168,9.5612,206900,26.5000,44000
2006-08-08,9.5612,9.5973,9.4530,9.5251,135600,26.4000,14000
2006-08-09,9.5612,9.6333,9.5251,9.5612,117000,26.5000,0
2006-08-10,9.5612,9.5973,9.4530,9.5612,109100,26.5000,0
2006-08-11,9.5251,9.6694,9.4890,9.6333,218900,26.7000,0
2006-08-14,9.7415,10.1023,9.6694,9.8859,254900,27.4000,0
2006-08-15,10.1024,10.1024,9.8498,9.9219,305700,27.5000,0
2006-08-16,10.1023,10.1745,10.0301,10.1023,198400,28.0000,0
2006-08-17,10.2827,10.6796,10.2827,10.4631,499400,29.0000,0
2006-08-18,10.4631,10.6796,10.2827,10.6075,517400,29.4000,0
2006-08-21,10.6436,10.7518,10.5353,10.6075,138300,29.4000,0
2006-08-22,10.2828,10.3189,10.1024,10.2106,225000,28.3000,2000000
2006-08-23,10.1745,10.4632,10.1024,10.2827,292500,28.5000,10000
2006-08-24,10.4270,10.4631,10.2827,10.3910,96100,28.8000,0
2006-08-25,10.3910,10.4632,10.3188,10.4271,108600,28.9000,0
2006-08-28,10.4271,10.4632,10.3910,10.4271,118600,28.9000,5000
2006-08-29,10.4632,10.4993,10.3910,10.4631,169700,29.0000,0
2006-08-30,10.4631,10.4992,10.4270,10.4631,203000,29.0000,0
2006-08-31,10.4631,10.4631,10.4270,10.4631,200900,29.0000,0
2006-09-01,10.4631,10.6435,10.4270,10.4631,152300,29.0000,0
2006-09-05,10.5713,10.6435,10.5353,10.6435,174500,29.5000,0
2006-09-06,10.6435,10.7157,10.5353,10.6435,85300,29.5000,6000
2006-09-07,10.6435,10.6435,10.4631,10.4992,77200,29.1000,6000
2006-09-08,10.5353,10.6435,10.3910,10.5714,190100,29.3000,0
2006-09-11,10.4632,10.6796,10.4632,10.6435,234000,29.5000,5000
2006-09-12,10.5353,10.6074,10.4631,10.5714,161800,29.3000,0
2006-09-13,10.4632,10.6436,10.4632,10.6075,178400,29.4000,0
2006-09-14,10.1024,10.6075,10.1024,10.5714,104900,29.3000,0
2006-09-15,10.5714,10.6075,10.4632,10.5353,102100,29.2000,0
2006-09-18,10.5353,10.6075,10.4631,10.5353,89200,29.2000,0
2006-09-19,10.4631,10.5714,10.4631,10.5353,133600,29.2000,10000
2006-09-20,10.5353,10.6075,10.4631,10.5353,124100,29.2000,0
2006-09-21,10.6435,10.6435,10.4631,10.5353,75900,29.2000,0
2006-09-22,10.4992,10.4992,10.4271,10.4631,38200,29.0000,20000
2006-09-25,10.4270,10.4631,10.4270,10.4271,163400,28.9000,11100
2006-09-26,10.4632,10.4993,10.4271,10.4631,209300,29.0000,0
2006-09-27,10.4631,10.5353,10.4631,10.4992,147900,29.1000,600000
2006-09-28,10.5353,10.5353,10.4631,10.4992,119500,29.1000,30000
2006-09-29,10.5353,10.5353,10.4631,10.4992,113600,29.1000,10000
2006-10-02,10.5353,10.5714,10.4992,10.5353,88200,29.2000,80000
2006-10-03,10.5353,10.5353,10.4631,10.4992,81200,29.1000,40000
2006-10-04,10.4992,10.5714,10.4631,10.4992,125900,29.1000,117000
2006-10-05,10.5353,10.5353,10.4992,10.5353,261100,29.2000,37000
2006-10-06,10.5714,10.5714,10.4992,10.5353,115600,29.2000,10000
2006-10-09,10.5714,10.5714,10.4631,10.5353,135300,29.2000,0
2006-10-10,10.5353,10.5353,10.4631,10.4992,92400,29.1000,0
2006-10-11,10.4631,10.4992,10.4631,10.4992,107100,29.1000,0
2006-10-12,10.4992,10.5353,10.4631,10.4992,91100,29.1000,722000
2006-10-13,10.4992,10.5353,9.4529,10.3549,113600,28.7000,5000
2006-10-16,10.5714,10.5714,10.4631,10.4992,148700,29.1000,57000
2006-10-17,10.4631,10.4992,10.4631,10.4631,46300,29.0000,0
2006-10-18,10.4631,10.4992,10.3188,10.4631,68000,29.0000,50000
2006-10-19,10.4992,10.4992,10.4270,10.4992,106700,29.1000,5000
2006-10-20,10.4631,10.4992,10.4631,10.4992,39300,29.1000,5000
2006-10-23,10.4631,10.4992,10.4631,10.4992,90600,29.1000,0
2006-10-24,10.4631,10.4992,10.4631,10.4992,34100,29.1000,0
2006-10-25,10.4992,10.4992,10.4631,10.4631,32100,29.0000,0
2006-10-26,10.4631,10.4992,10.4270,10.4631,45300,29.0000,0
2006-10-27,10.4631,10.4992,10.4631,10.4992,72500,29.1000,0
2006-10-30,10.4631,10.5353,10.4631,10.4992,169200,29.1000,0
2006-10-31,10.4992,10.4992,10.4631,10.4631,63600,29.0000,0
