disclosuredDate,group,type,typeDesc,effectiveDate,expiredDate,actualDate,content,dividend,ratio,divPeriod,divYear
2008-11-03,stockAlert,listedHose,Ngày giao dịch đầu tiên trên HOSE,2008-11-03,,,,,,,
2008-11-20,investorRight,POLL,Lấy ý kiến cổ đông,2008-11-28,2008-12-08,2008-12-08,Gửi thư xin ý kiến cổ đông bằng văn bản về việc thành lập Công ty TNHH Một thành viên Quản lý nợ & Khai thác tài sản Tài chính Dầu khí (PVFC – AMC) trực thuộc PVFC.,,,,
2008-12-17,investorRight,POLL,Lấy ý kiến cổ đông,2008-12-22,2009-01-05,2009-01-05,"Xin ý kiến cổ đông bằng văn bản về việc miễn nhiệm, bầu chức danh thành viên Hội đồng quản trị PVFC nhiệm kỳ 2008-2013.",,,,
2009-02-17,investorRight,MEETING,Họp cổ đông,2009-02-25,2009-03-29,2009-03-29,ĐHCĐ thường niên 2009,,,,
2009-04-14,investorRight,POLL,Lấy ý kiến cổ đông,2009-04-23,2009-05-15,2009-05-15,"Xin ý kiến cổ đông bằng văn bản về việc miễn nhiệm, bầu chức danh thành viên Hội đồng quản trị, Ban Kiểm soát .",,,,
2009-09-16,investorRight,POLL,Lấy ý kiến cổ đông,2009-09-18,2009-10-05,2009-10-05,Lấy ý kiến cổ đông bằng văn bản,,,,
2009-10-09,investorRight,POLL,Lấy ý kiến cổ đông,2009-09-16,,,Lấy ý kiến cổ đông bằng văn bản về việc thay đổi địa điểm trụ sở chính của Tổng Công ty Tài chính cổ phần Dầu khí Việt Nam,,,,
2010-03-02,investorRight,MEETING,Họp cổ đông,2010-03-08,2010-04-03,2010-04-03,ĐHCĐ thường niên 2010,,,,
2010-04-26,investorRight,DIVIDEND,Cổ tức bằng tiền,2010-05-05,2010-05-21,2010-05-21,"Cổ tức năm 2009, 600 đ/cp",600,6,,2009
2010-08-02,investorRight,POLL,Lấy ý kiến cổ đông,2010-08-09,2010-08-21,2010-08-21,Lấy ý kiến cổ đông v/v phát hành cp thưởng tăng VĐL,,,,
2010-10-29,investorRight,MEETING,Họp cổ đông,2010-11-04,2010-11-27,2010-11-27,ĐHCĐ bất thường 2010,,,,
2011-01-26,investorRight,KINDDIV,Cổ phiếu thưởng,2011-02-10,2011-02-14,,Tỷ lệ 100:20,,20,,
2011-01-26,investorRight,MEETING,Họp cổ đông,2011-02-10,2011-03-20,2011-03-20,ĐHCĐ thường niên năm 2011,,,,
2011-09-13,investorRight,POLL,Lấy ý kiến cổ đông,2011-09-21,2011-10-04,2011-10-04,"v/v bổ sung nội dung giấy phép hoạt động, quy chế quản trị công ty",,,,
2011-09-13,investorRight,DIVIDEND,Cổ tức bằng tiền,2011-09-21,2011-10-07,2011-10-07,Cổ tức năm 2010 (583 đ/cp),583,5.83,,2010
2011-12-19,investorRight,POLL,Lấy ý kiến cổ đông,2011-12-28,2012-01-09,2012-01-09,v/v điều chỉnh kế hoạch SXKD,,,,
2012-02-23,investorRight,MEETING,Họp cổ đông,2012-03-06,2012-04-28,2012-04-28,ĐHĐCĐ thường niên 2012,,,,
2012-09-12,investorRight,POLL,Lấy ý kiến cổ đông,2012-09-20,2012-09-28,2012-09-28,v/v sửa đổi bổ sung giấy phép thành lập và hoạt động,,,,
2012-11-15,investorRight,POLL,Lấy ý kiến cổ đông,2012-11-23,2012-12-03,2012-12-03,v/v điều chỉnh kế hoạch kinh doanh 2012 và trả cổ tức 2011,,,,
2012-12-21,investorRight,DIVIDEND,Cổ tức bằng tiền,2013-01-02,2013-01-16,2013-01-16,Cổ tức năm 2011 (350 đ/cp),350,3.5,,2011
2013-03-25,investorRight,MEETING,Họp cổ đông,2013-04-02,2013-04-28,2013-04-28,Đại hội cổ đông thường niên năm 2013,,,,
2013-07-05,investorRight,MEETING,Họp cổ đông,2013-07-03,2013-07-26,2013-07-26,Đại hội đồng cổ đông Hợp nhất giữa PVFC và Ngân hàng TMCP Phương Tây,,,,
2013-09-12,stockAlert,delistedHose,Hủy niêm yết trên HOSE,2013-09-24,,,Hủy niêm yết,,,,
