date,open,high,low,close,volume,unadjusted,putthrough
2008-11-03,18.0401,18.0401,18.0401,18.0401,153460,24.0000,0
2008-11-04,17.1381,18.6414,17.1381,17.1381,2334610,22.8000,200000
2008-11-05,17.9649,17.9649,17.8146,17.9649,1099080,23.9000,0
2008-11-06,17.9649,18.7917,17.2884,18.4911,1227160,24.6000,0
2008-11-07,17.5891,18.4911,17.5891,17.5891,483660,23.4000,0
2008-11-10,17.1381,17.8898,16.9126,17.0629,575330,22.7000,0
2008-11-11,16.2361,16.3864,16.2361,16.2361,323970,21.6000,0
2008-11-12,15.4844,15.4844,15.4844,15.4844,215980,20.6000,0
2008-11-13,14.7327,15.4844,14.7327,14.9583,756410,19.9000,0
2008-11-14,15.6348,15.6348,15.1838,15.6348,623070,20.8000,20000
2008-11-17,15.1838,15.5596,14.9583,15.1838,323440,20.2000,0
2008-11-18,14.6576,15.0335,14.6576,14.8079,215310,19.7000,0
2008-11-19,15.0334,15.0334,14.5072,14.5073,252630,19.3000,0
2008-11-20,13.8308,13.9811,13.8308,13.8307,401190,18.4000,20000
2008-11-21,13.1542,13.5300,13.1542,13.1542,486360,17.5000,0
2008-11-24,12.7784,12.9287,12.5529,12.5529,396980,16.7000,0
2008-11-25,12.5529,12.5529,12.1771,12.5529,296360,16.7000,40000
2008-11-26,12.1771,12.1771,11.9516,11.9516,305420,15.9000,0
2008-11-27,11.6509,11.9516,11.4254,11.4254,225510,15.2000,0
2008-11-28,11.8012,11.9516,11.8012,11.9516,222410,15.9000,0
2008-12-01,12.1019,12.4778,11.5758,12.4026,555620,16.5000,0
2008-12-02,12.0268,12.1771,11.9516,11.9516,268370,15.9000,50000
2008-12-03,12.1019,12.1019,11.8764,12.1019,252390,16.1000,0
2008-12-04,12.1019,12.7032,12.1019,12.6281,553760,16.8000,0
2008-12-05,12.3274,12.3274,12.0268,12.1019,198710,16.1000,0
2008-12-08,11.7261,11.7261,11.5006,11.5006,322750,15.3000,0
2008-12-09,11.2751,11.8764,11.2751,11.8012,286560,15.7000,0
2008-12-10,11.7260,11.7260,11.5005,11.6509,262410,15.5000,0
2008-12-11,11.6509,11.8012,11.6509,11.7261,291650,15.6000,0
2008-12-12,12.0268,12.2523,11.8764,12.2522,444000,16.3000,0
2008-12-15,12.7032,12.7032,12.2522,12.6281,398540,16.8000,0
2008-12-16,12.3274,12.3274,12.0268,12.0267,311640,16.0000,0
2008-12-17,11.8012,12.6280,11.8012,12.6281,772230,16.8000,0
2008-12-18,13.0039,13.2294,12.6281,13.2294,1033220,17.6000,0
2008-12-19,13.8307,13.8307,13.8307,13.8307,252760,18.4000,0
2008-12-22,14.5072,14.5072,14.0562,14.5073,1106940,19.3000,0
2008-12-23,14.2066,14.4321,13.8308,14.0562,1028080,18.7000,0
2008-12-24,13.8307,14.3569,13.8307,14.3569,778730,19.1000,0
2008-12-25,14.3569,14.3569,13.8307,13.8307,162680,18.4000,0
2008-12-26,13.5300,14.2065,13.5300,14.2066,302490,18.9000,0
2008-12-29,14.2066,14.5073,14.1314,14.3569,523520,19.1000,0
2008-12-30,14.5824,14.8831,14.3569,14.8831,779900,19.8000,0
2008-12-31,15.0334,15.0334,14.2066,14.6576,410230,19.5000,25000
2009-01-02,14.3569,14.7328,14.3569,14.5824,203650,19.4000,0
2009-01-05,14.3569,14.6576,14.2066,14.5824,379350,19.4000,0
2009-01-06,14.5824,14.6576,14.2817,14.2818,306980,19.0000,0
2009-01-07,14.5825,14.5825,14.2066,14.2066,392220,18.9000,0
2009-01-08,14.1314,14.5073,14.0563,14.1314,319370,18.8000,0
2009-01-09,14.2817,14.2817,14.1314,14.2066,201470,18.9000,0
2009-01-12,14.2066,14.2066,14.0563,14.1314,110780,18.8000,0
2009-01-13,13.9059,13.9059,13.4549,13.5301,231010,18.0000,0
2009-01-14,13.5301,13.8308,13.3046,13.4549,153980,17.9000,0
2009-01-15,13.3797,13.6052,13.3797,13.5301,233130,18.0000,0
2009-01-16,13.7556,13.7556,13.5301,13.6804,136820,18.2000,0
2009-01-19,13.6804,13.7556,13.6804,13.6804,137320,18.2000,0
2009-01-20,13.6804,13.7556,13.6804,13.6804,340400,18.2000,0
2009-01-21,13.6804,13.7556,13.6804,13.7556,87180,18.3000,0
2009-01-22,13.7556,13.8308,13.6804,13.8307,106180,18.4000,0
2009-01-23,13.7555,13.9059,13.7555,13.9059,74130,18.5000,0
2009-02-02,13.4549,13.5301,13.2294,13.3046,488410,17.7000,0
2009-02-03,13.1543,13.3046,13.1543,13.3046,314290,17.7000,0
2009-02-04,13.0039,13.3046,13.0039,13.1542,164820,17.5000,0
2009-02-05,12.9287,12.9287,12.5529,12.5529,272180,16.7000,0
2009-02-06,12.5529,12.7784,12.1771,12.6281,122250,16.8000,0
2009-02-09,12.9288,13.0039,12.7784,13.0039,104720,17.3000,0
2009-02-10,12.6281,12.7032,12.5529,12.5529,99320,16.7000,0
2009-02-11,12.1771,12.3274,12.1771,12.1771,224290,16.2000,0
2009-02-12,12.1019,12.3274,12.1019,12.1019,124810,16.1000,0
2009-02-13,11.9516,12.1771,11.8764,12.1019,59170,16.1000,0
2009-02-16,12.0267,12.1019,12.0267,12.0267,90180,16.0000,0
2009-02-17,11.8764,11.9515,11.5005,11.5006,138710,15.3000,1519710
2009-02-18,11.2751,11.7261,11.1999,11.2751,144520,15.0000,20000
2009-02-19,11.4254,11.4254,11.0496,11.1999,105160,14.9000,0
2009-02-20,11.1999,11.2751,11.0496,11.1999,62470,14.9000,0
2009-02-23,10.7489,10.8992,10.6737,10.6737,109180,14.2000,0
2009-02-24,10.1475,10.3730,10.1475,10.1476,165630,13.5000,0
2009-02-25,10.5986,10.5986,10.3731,10.5986,117240,14.1000,0
2009-02-26,10.7489,10.9744,10.5234,10.9744,260510,14.6000,0
2009-02-27,11.0496,11.5006,11.0496,11.5006,268210,15.3000,0
2009-03-02,11.9516,11.9516,11.5758,11.8764,211170,15.8000,0
2009-03-03,11.5757,11.7261,11.5006,11.5757,201170,15.4000,0
2009-03-04,11.5757,11.8012,11.5757,11.5757,120530,15.4000,0
2009-03-05,11.7260,11.8764,11.6509,11.8012,84630,15.7000,0
2009-03-06,11.5757,11.7260,11.5757,11.6509,101320,15.5000,0
2009-03-09,11.6509,11.7261,11.5757,11.6509,73240,15.5000,0
2009-03-10,11.6509,12.0267,11.5757,11.9516,73480,15.9000,0
2009-03-11,12.4026,12.4026,12.1771,12.3274,204480,16.4000,0
2009-03-12,12.0267,12.3274,11.8764,11.8764,202450,15.8000,0
