date,open,high,low,close,volume,unadjusted,putthrough
2016-12-20,8.2524,8.2524,5.1086,5.5016,1500,7.0000,0
2016-12-21,4.7943,4.7943,4.7943,4.7942,500,6.1000,0
2016-12-22,4.0869,4.0869,4.0869,4.0869,24500,5.2000,0
2016-12-23,4.6371,4.6371,3.8511,3.8511,1500,4.9000,0
2016-12-26,3.9297,4.6370,3.8511,4.6371,10500,5.9000,0
2016-12-27,4.0083,4.5585,4.0083,4.5585,11800,5.8000,0
2016-12-28,4.8729,4.8729,4.0869,4.3227,1800,5.5000,0
2016-12-29,4.6371,4.7157,4.0083,4.0083,47200,5.1000,0
2016-12-30,3.7725,4.8728,3.7725,4.8728,18800,6.2000,1400000
2017-01-03,3.6153,4.6370,3.6153,3.7725,300,4.8000,0
2017-01-04,4.1655,4.5584,4.1655,4.5585,2600,5.8000,0
2017-01-05,4.0083,4.3227,4.0083,4.0869,5100,5.2000,5000
2017-01-06,4.1655,4.2441,4.1655,4.2441,5000,5.4000,0
2017-01-10,4.5585,4.5585,4.5585,4.5585,100,5.8000,0
2017-01-11,4.2441,4.2441,4.1655,4.1655,31700,5.3000,17000
2017-01-12,4.5585,4.5585,4.2441,4.5585,16900,5.8000,0
2017-01-13,4.3227,4.3227,4.3227,4.3227,8000,5.5000,0
2017-01-16,4.2441,4.3227,4.2441,4.3227,23900,5.5000,0
2017-01-17,4.3227,4.3227,4.3227,4.3227,15500,5.5000,0
2017-01-18,4.3227,4.4799,4.3227,4.3227,40700,5.5000,0
2017-01-19,4.3227,4.3227,4.2441,4.3227,10300,5.5000,0
2017-01-20,4.3227,4.4013,4.2441,4.3227,39900,5.5000,0
2017-01-23,4.3227,4.3227,4.3227,4.3227,25000,5.5000,0
2017-01-24,4.3227,4.3227,4.3227,4.3227,32000,5.5000,0
2017-01-25,4.3227,4.3227,4.3227,4.3227,1000,5.5000,0
2017-02-02,4.3227,4.3227,4.3227,4.3227,15000,5.5000,0
2017-02-03,4.3227,4.3227,4.3227,4.3227,1200,5.5000,0
2017-02-06,4.3227,4.4799,4.3227,4.4799,16700,5.7000,0
2017-02-07,4.4799,4.4799,4.4013,4.4013,8000,5.6000,0
2017-02-08,4.4013,4.4013,4.4013,4.4013,10000,5.6000,0
2017-02-09,3.8511,4.4013,3.8511,4.4013,2700,5.6000,0
