date,open,high,low,close,volume,unadjusted,putthrough
2016-12-20,11.7451,11.7451,11.7451,11.7451,1000,15.4000,0
2016-12-21,13.4992,13.4992,13.4992,13.4992,3000,17.7000,0
2016-12-22,15.4821,15.4821,15.4821,15.4822,6900,20.3000,0
2016-12-23,17.7702,17.7702,15.7110,15.8635,7200,20.8000,0
2016-12-26,17.9227,17.9227,14.8720,14.8720,1500,19.5000,0
2016-12-27,14.3381,14.3381,14.3381,14.3382,500,18.8000,0
2016-12-30,12.2027,12.2027,12.2027,12.2027,100,16.0000,0
2017-01-05,10.3723,10.3723,10.3723,10.3723,3700,13.6000,0
2017-01-24,8.8470,8.8470,8.8470,8.8470,200,11.6000,0
2017-01-25,7.5505,7.5505,7.5505,7.5504,200,9.9000,0
2017-02-06,6.4827,6.4827,6.4827,6.4827,100,8.5000,0
2017-02-07,5.5675,5.5675,5.5675,5.5675,100,7.3000,0
2017-02-08,4.8048,4.8048,4.8048,4.8048,4800,6.3000,0
2017-02-09,5.4912,5.4912,4.8048,4.8048,4700,6.3000,0
2017-02-10,5.4912,5.4912,4.8048,4.8048,200,6.3000,0
2017-02-13,4.9573,4.9573,4.9573,4.9573,2000,6.5000,0
2017-02-14,4.9573,4.9573,4.9573,4.9573,100,6.5000,0
2017-02-15,4.5760,5.6437,4.5760,5.6438,2800,7.4000,0
2017-02-16,5.3387,5.3387,5.3387,5.3387,600,7.0000,0
2017-02-17,6.1014,6.1014,6.1014,6.1014,100,8.0000,0
2017-02-20,6.8641,7.0166,6.8641,7.0166,500,9.2000,0
2017-02-21,6.9403,6.9403,6.8641,6.9403,3400,9.1000,0
2017-02-23,5.9488,5.9488,5.9488,5.9488,300,7.8000,0
2017-02-24,5.1099,5.1099,5.1099,5.1099,3000,6.7000,0
2017-02-27,5.8726,5.8726,5.8726,5.8726,500,7.7000,0
2017-02-28,6.7115,6.7115,6.7115,6.7115,200,8.8000,0
2017-03-02,6.6352,6.6352,6.4827,6.4827,6200,8.5000,0
2017-03-06,6.1014,6.1014,5.6438,5.6438,3000,7.4000,0
2017-03-07,6.5590,6.5590,6.5590,6.5590,200,8.6000,0
2017-03-09,5.7201,5.7201,5.7201,5.7200,100,7.5000,0
2017-03-10,6.4827,6.4827,6.4827,6.4827,100,8.5000,0
2017-03-14,6.9403,6.9403,6.9403,6.9403,100,9.1000,0
2017-03-22,5.9488,6.8640,5.9488,6.8640,2000,9.0000,0
2017-03-24,5.3387,6.0251,5.3387,6.0251,800,7.9000,0
2017-03-27,4.9574,6.0251,4.9574,5.9488,1300,7.8000,0
2017-03-28,6.2539,6.2539,6.2539,6.2539,300,8.2000,0
2017-03-29,6.8640,6.8640,6.4064,6.4064,200,8.4000,0
2017-03-30,6.7877,6.7877,6.7877,6.7878,140,8.9000,0
2017-04-05,6.7878,6.7878,6.7878,6.7878,40,8.9000,0
2017-04-27,6.1014,6.7878,5.7963,5.7963,1300,7.6000,0
2017-04-28,6.7115,6.7115,5.2624,5.2624,5700,6.9000,0
2017-05-04,5.3387,5.3387,5.3387,5.3387,500,7.0000,0
2017-05-08,6.0251,6.0251,6.0251,6.0251,500,7.9000,0
2017-05-09,5.1862,5.1862,5.1862,5.1861,8300,6.8000,0
2017-05-10,5.8725,5.8725,5.8725,5.8726,500,7.7000,0
2017-05-16,5.3387,5.3387,5.3387,5.3387,500,7.0000,0
2017-05-17,6.0251,6.0251,4.5760,4.5760,300,6.0000,0
2017-05-18,5.3387,5.3387,4.9573,4.9573,1400,6.5000,0
2017-05-19,4.3472,5.1098,4.3472,5.1099,1800,6.7000,0
2017-05-22,5.1099,5.1099,5.1099,5.1099,300,6.7000,0
2017-05-23,5.7963,5.7963,5.7963,5.7963,200,7.6000,0
2017-05-30,5.7963,6.4827,5.7963,6.4827,1600,8.5000,0
2017-05-31,5.1862,6.4827,5.1862,6.4064,2000,8.4000,0
2017-06-29,5.7963,6.8640,5.7963,6.7878,2000,8.9000,0
2017-06-30,6.8641,6.8641,6.8641,6.8640,500,9.0000,0
2017-07-28,5.8725,5.8725,5.8725,5.8726,100,7.7000,0
2017-07-31,5.0337,6.1014,5.0337,6.1014,1400,8.0000,0
2017-08-01,4.8811,4.8811,4.8811,4.8811,800,6.4000,0
2017-08-02,5.5675,5.5675,5.5675,5.5675,100,7.3000,0
2017-08-03,6.2539,6.2539,6.2539,6.2539,300,8.2000,0
2017-08-16,5.3387,5.3387,5.3387,5.3387,100,7.0000,0
2017-08-17,4.5760,5.8726,4.5760,5.8726,2900,7.7000,0
2017-08-18,3.9659,5.2625,3.9659,3.9659,700,5.2000,0
2017-08-21,3.8896,4.8811,3.8896,4.8811,1300,6.4000,0
2017-08-22,3.9659,3.9659,3.9659,3.9659,3200,5.2000,0
2017-08-24,3.4320,4.4235,3.4320,3.4320,700,4.5000,0
2017-08-25,4.3472,4.3472,3.4320,3.4320,200,4.5000,0
2017-08-28,4.3472,4.4235,4.3472,4.4235,1500,5.8000,0
2017-08-29,3.8134,4.8811,3.8134,4.8811,300,6.4000,0
2017-08-30,4.8811,4.8811,4.8811,4.8811,200,6.4000,0
2017-09-25,4.1947,4.1947,4.1947,4.1947,2600,5.5000,0
2017-09-26,3.5846,3.5846,3.5846,3.5845,1000,4.7000,0
2017-09-29,3.9658,3.9658,3.9658,3.9659,100,5.2000,0
2017-10-02,4.1184,4.1184,4.1184,4.1184,200,5.4000,0
2017-10-05,3.5083,3.5845,3.5083,3.5845,300,4.7000,0
2017-10-06,3.7370,3.7370,3.7370,3.7371,500,4.9000,0
2017-10-09,3.2032,3.2032,3.2032,3.2032,2000,4.2000,0
2017-10-10,3.6608,3.6608,3.6608,3.6608,100,4.8000,0
2017-10-12,3.4320,3.4320,3.4320,3.4320,100,4.5000,0
2017-10-23,3.8133,3.8133,3.8133,3.8133,100,5.0000,0
2017-10-24,3.8133,3.8133,3.8133,3.8133,60,5.0000,0
2017-10-25,3.2794,3.2794,3.2794,3.2795,1900,4.3000,0
2017-11-06,3.1270,3.1270,3.1270,3.1269,1000,4.1000,0
2017-11-08,3.2794,3.2794,3.2794,3.2795,900,4.3000,0
2017-11-10,3.7371,3.7371,3.7371,3.7371,1100,4.9000,0
2017-11-15,4.2710,4.2710,4.2710,4.2709,100,5.6000,0
2017-11-16,4.7285,4.7285,4.7285,4.7285,100,6.2000,0
2017-11-17,4.5760,4.5760,4.5760,4.5760,1000,6.0000,0
2017-11-22,4.1947,4.1947,4.1947,4.1947,100,5.5000,0
2017-11-27,3.5846,4.7286,3.5846,4.7285,600,6.2000,0
2017-12-20,3.8133,3.8133,3.8133,3.8133,400,5.0000,0
2017-12-21,3.8133,3.8133,3.8133,3.8133,1000,5.0000,0
2017-12-22,3.8133,3.8133,3.8133,3.8133,1360,5.0000,0
2017-12-27,3.8133,3.8133,3.4320,3.4320,1900,4.5000,0
2017-12-29,3.7371,3.7371,3.4320,3.7371,1500,4.9000,0
2018-01-03,3.5083,3.5083,3.5083,3.5083,920,4.6000,0
2018-01-04,3.4320,3.4320,3.4320,3.4320,800,4.5000,0
2018-01-09,3.4320,3.4320,3.4320,3.4320,5200,4.5000,0
2018-01-15,3.8133,3.8133,3.8133,3.8133,200,5.0000,0
2018-01-17,3.8133,3.8133,3.8133,3.8133,60,5.0000,0
2018-01-19,3.8133,3.8133,3.8133,3.8133,100,5.0000,0
2018-01-25,4.3472,4.3472,4.3472,4.3472,2900,5.7000,0
2018-01-26,4.9573,4.9573,4.9573,4.9573,2660,6.5000,0
2018-01-29,5.3386,5.6437,5.3386,5.6438,22900,7.4000,0
2018-01-30,6.2539,6.3302,6.2539,6.3302,3100,8.3000,0
2018-01-31,7.1691,7.1691,7.1691,7.1691,4200,9.4000,0
2018-02-01,8.2368,8.2368,8.2368,8.2368,26610,10.8000,0
2018-02-02,9.4571,9.4571,8.2368,8.2368,7400,10.8000,60
2018-02-07,7.6267,7.6267,7.6267,7.6267,3400,10.0000,0
2018-02-08,6.4827,6.4827,6.4827,6.4827,12100,8.5000,0
2018-02-09,5.5675,5.5675,5.5675,5.5675,9010,7.3000,0
2018-02-13,6.3302,6.3302,6.3302,6.3302,1000,8.3000,0
2018-02-23,5.4150,5.4150,5.4150,5.4149,400,7.1000,0
2018-02-27,6.0250,6.1013,5.3386,5.3387,400,7.0000,0
2018-02-28,5.0336,5.1099,5.0336,5.0336,2800,6.6000,0
2018-03-01,5.5675,5.6437,5.5675,5.6438,400,7.4000,0
2018-03-05,5.2624,5.3387,5.2624,5.3387,9000,7.0000,0
2018-03-06,6.0251,6.0251,5.7200,5.7200,1600,7.5000,0
2018-03-07,5.7200,5.7200,5.7200,5.7200,610,7.5000,0
2018-03-12,5.3387,5.3387,5.3387,5.3387,5000,7.0000,0
2018-03-15,4.9574,5.7963,4.9574,5.7963,1400,7.6000,0
2018-03-16,5.1862,5.1862,5.1862,5.1861,500,6.8000,0
2018-03-20,4.4234,4.4234,4.4234,4.4235,1000,5.8000,0
2018-03-21,5.0336,5.0336,5.0336,5.0336,300,6.6000,0
2018-03-22,5.7200,5.7200,5.7200,5.7200,160,7.5000,0
2018-03-23,6.1013,6.1776,5.7200,5.7200,4000,7.5000,0
2018-03-26,6.4827,6.4827,6.4827,6.4827,200,8.5000,0
2018-03-29,5.5675,5.5675,5.5675,5.5675,4300,7.3000,0
2018-03-30,4.8048,4.8048,4.8048,4.8048,2700,6.3000,60
2018-04-03,4.8048,4.8048,4.8048,4.8048,458,6.3000,0
2018-04-05,4.8048,4.8048,4.8048,4.8048,802,6.3000,0
2018-04-06,4.8048,4.8048,4.5760,4.5760,2647,6.0000,0
2018-04-09,4.5760,4.5760,4.5760,4.5760,3600,6.0000,0
2018-04-10,4.5760,4.5760,4.5760,4.5760,1140,6.0000,0
2018-04-13,4.5760,4.5760,4.5760,4.5760,2200,6.0000,0
2018-04-16,4.1947,5.2624,4.1947,5.2624,13260,6.9000,0
2018-04-17,4.5760,4.5760,4.4997,4.4997,4800,5.9000,0
2018-04-19,4.4997,4.4997,4.4234,4.4235,3400,5.8000,0
2018-04-20,4.4998,4.9574,4.4998,4.4997,1400,5.9000,0
2018-04-23,4.4997,4.5760,4.4997,4.5760,2100,6.0000,0
2018-04-26,4.5760,4.5760,4.5760,4.5760,60,6.0000,0
2018-05-08,4.5760,4.5760,4.5760,4.5760,12,6.0000,0
2018-05-09,4.5760,4.5760,4.5760,4.5760,68,6.0000,0
2018-05-11,4.5760,4.5760,4.5760,4.5760,12000,6.0000,0
2018-05-14,4.5760,4.5760,4.5760,4.5760,2300,6.0000,0
2018-05-25,4.7285,4.7285,4.5760,4.5760,1200,6.0000,0
2018-05-29,4.5760,4.5760,4.5760,4.5760,2000,6.0000,0
2018-06-01,4.5760,4.5760,4.5760,4.5760,300,6.0000,0
2018-06-04,4.9573,4.9573,4.9573,4.9573,2500,6.5000,0
2018-06-07,5.6437,5.6437,5.6437,5.6438,100,7.4000,0
2018-06-13,4.8049,4.8049,4.8049,4.8048,300,6.3000,0
2018-06-14,5.3387,5.3387,5.3387,5.3387,100,7.0000,0
2018-07-10,4.5760,4.5760,4.5760,4.5760,2000,6.0000,0
2018-07-11,3.8896,4.5760,3.8896,4.5760,9600,6.0000,0
2018-07-16,3.8896,3.8896,3.8896,3.8896,100,5.1000,6780
2018-07-17,4.4235,4.4235,3.8896,3.8896,200,5.1000,0
2018-07-18,4.7285,4.7285,4.1947,4.1947,200,5.5000,0
2018-07-19,4.9574,4.9574,3.9659,3.9659,260,5.2000,0
2018-07-23,4.3472,4.3472,4.3472,4.3472,16260,5.7000,0
2018-07-25,4.7285,4.7285,4.7285,4.7285,100,6.2000,0
2018-07-26,4.5760,4.5760,4.5760,4.5760,200,6.0000,0
2018-08-01,4.9573,4.9573,4.9573,4.9573,100,6.5000,0
2018-08-09,4.2709,4.8810,4.2709,4.8811,200,6.4000,0
2018-08-10,3.8896,4.4235,3.8896,4.4235,17400,5.8000,0
2018-08-13,3.8896,3.8896,3.8896,3.8896,10,5.1000,0
2018-08-14,3.9659,3.9659,3.9659,3.9659,200,5.2000,0
2018-08-15,3.9659,3.9659,3.9659,3.9659,80,5.2000,0
2018-08-16,3.6608,3.6608,3.6608,3.6608,500,4.8000,0
2018-08-17,3.8896,3.8896,3.8133,3.8133,2200,5.0000,0
2018-08-20,4.4234,4.4234,4.4234,4.4235,1000,5.8000,0
2018-08-27,4.4235,4.4235,4.4235,4.4235,5713,5.8000,0
2018-08-30,4.1947,4.1947,4.1947,4.1947,120,5.5000,0
2018-09-05,4.1947,4.1947,4.1947,4.1947,90,5.5000,0
2018-09-06,3.6608,3.6608,3.6608,3.6608,1057,4.8000,0
2018-09-11,4.1184,4.1947,4.1184,4.1947,2000,5.5000,0
2018-09-14,4.4235,4.4235,4.4235,4.4235,3000,5.8000,0
2018-09-17,4.3472,4.3472,4.3472,4.3472,1300,5.7000,0
2018-09-18,4.3472,4.3472,4.3472,4.3472,1200,5.7000,0
2018-09-19,4.1947,4.4235,4.1947,4.4235,5033,5.8000,0
2018-09-20,4.4235,4.4235,4.3472,4.3472,18000,5.7000,0
2018-09-24,4.4235,4.4235,4.4235,4.4235,27,5.8000,0
2018-09-25,4.8811,4.8811,4.8811,4.8811,100,6.4000,0
2018-09-26,4.4998,4.6523,4.1947,4.1947,6400,5.5000,0
2018-09-27,4.1947,4.1947,4.1947,4.1947,2800,5.5000,0
2018-09-28,4.8048,4.8048,4.8048,4.8048,100,6.3000,0
2018-10-02,4.1947,4.4235,4.1947,4.4235,3800,5.8000,0
2018-10-04,4.8048,4.8048,4.8048,4.8048,5327,6.3000,0
2018-10-08,4.1947,4.1947,4.1947,4.1947,500,5.5000,0
2018-10-09,4.1947,4.1947,4.1947,4.1947,500,5.5000,0
2018-10-12,4.1947,4.1947,4.1947,4.1947,400,5.5000,0
2018-10-16,4.1947,4.1947,4.1947,4.1947,27,5.5000,0
2018-10-18,4.1947,4.1947,4.1947,4.1947,700,5.5000,0
2018-10-22,4.8048,4.8048,4.8048,4.8048,500,6.3000,0
2018-10-23,4.8048,4.8048,4.8048,4.8048,10,6.3000,0
2018-10-24,4.1184,4.1184,4.1184,4.1184,3010,5.4000,0
2018-10-25,4.1947,4.1947,4.1947,4.1947,2307,5.5000,0
2018-10-26,4.1947,4.1947,4.1947,4.1947,40,5.5000,0
2018-10-30,3.6608,3.6608,3.6608,3.6608,1300,4.8000,0
2018-10-31,4.0421,4.0421,4.0421,4.0421,1920,5.3000,0
2018-11-01,4.4234,4.4234,4.4234,4.4235,100,5.8000,0
2018-11-06,4.4235,4.4235,4.4235,4.4235,100,5.8000,0
2018-11-07,4.4235,4.4235,4.4235,4.4235,8,5.8000,0
2018-11-13,3.8896,4.4235,3.8896,4.4235,1900,5.8000,0
2018-11-16,4.2709,4.4234,4.2709,4.4235,2500,5.8000,0
2018-11-20,4.4235,4.4235,4.4235,4.4235,1200,5.8000,0
2018-11-21,4.4235,4.4235,4.4235,4.4235,1000,5.8000,0
2018-11-22,4.4998,4.4998,4.4998,4.4997,6500,5.9000,0
2018-11-23,4.4997,4.4997,4.4997,4.4997,500,5.9000,0
2018-11-26,4.4997,4.4997,4.4997,4.4997,100,5.9000,0
2018-11-27,4.4234,4.4234,4.4234,4.4235,5300,5.8000,0
2018-11-29,4.4235,4.4235,4.4235,4.4235,20,5.8000,0
2018-11-30,4.4235,4.4235,4.4235,4.4235,2000,5.8000,0
2018-12-06,4.4235,4.4235,4.4235,4.4235,200,5.8000,0
2018-12-07,5.0336,5.0336,5.0336,5.0336,100,6.6000,0
2018-12-10,5.6437,5.7200,5.6437,5.7200,1000,7.5000,0
2018-12-11,5.7200,5.7200,5.7200,5.7200,800,7.5000,0
2018-12-12,5.3387,5.3387,5.3387,5.3387,2010,7.0000,0
2018-12-13,5.3387,5.4150,5.3387,5.3387,27000,7.0000,0
2018-12-14,5.3387,5.3387,5.3387,5.3387,27,7.0000,0
2018-12-17,5.3387,5.3387,5.3387,5.3387,18000,7.0000,0
2018-12-18,6.1014,6.1014,6.0251,6.1014,18160,8.0000,0
2018-12-19,6.1014,6.1014,6.1014,6.1014,4200,8.0000,0
2018-12-20,5.3387,5.3387,5.1862,5.1861,900,6.8000,0
2018-12-21,5.2624,5.2624,5.2624,5.2624,200,6.9000,0
2018-12-24,5.3387,5.3387,5.3387,5.3387,12600,7.0000,0
2018-12-25,4.9574,4.9574,4.8048,4.8048,6000,6.3000,0
2018-12-26,5.3387,5.3387,4.4997,4.5760,800,6.0000,0
2018-12-27,5.3387,5.3387,4.6523,4.6523,12000,6.1000,0
2018-12-28,4.6523,5.3387,4.6523,5.3387,3600,7.0000,0
2019-01-03,4.0422,5.3387,4.0422,5.3387,200,7.0000,0
2019-01-07,4.5760,4.5760,4.5760,4.5760,500,6.0000,0
2019-01-08,4.5760,4.5760,4.5760,4.5760,100,6.0000,0
2019-01-11,4.9573,4.9573,4.9573,4.9573,1500,6.5000,0
2019-01-14,4.4234,4.4234,4.4234,4.4235,100,5.8000,0
2019-01-15,5.0336,5.0336,4.0422,4.0421,1400,5.3000,0
2019-01-17,4.6522,4.6522,4.6522,4.6523,1000,6.1000,0
2019-01-18,4.5760,4.5760,4.5760,4.5760,2200,6.0000,0
2019-01-21,4.5760,4.5760,4.5760,4.5760,2200,6.0000,0
2019-01-24,4.5760,4.5760,4.5760,4.5760,164,6.0000,0
2019-01-25,4.5760,4.5760,4.5760,4.5760,2236,6.0000,0
2019-01-29,4.2709,4.2709,4.2709,4.2709,1300,5.6000,0
2019-01-30,4.8810,4.8810,4.8810,4.8811,3210,6.4000,0
2019-01-31,5.2624,5.2624,5.2624,5.2624,1000,6.9000,0
2019-02-01,5.2624,5.2624,5.2624,5.2624,10,6.9000,0
2019-02-11,4.5760,4.5760,4.5760,4.5760,210,6.0000,0
2019-02-14,4.6523,4.6523,4.5760,4.6523,2460,6.1000,2260
2019-02-15,4.9574,4.9574,4.6523,4.6523,2200,6.1000,0
2019-02-18,4.9574,4.9574,4.9574,4.9573,1200,6.5000,0
2019-02-19,4.9573,4.9573,4.9573,4.9573,1300,6.5000,0
2019-02-22,4.9573,4.9573,4.9573,4.9573,20,6.5000,0
2019-02-25,4.9573,4.9573,4.9573,4.9573,1000,6.5000,0
2019-03-01,4.9573,4.9573,4.9573,4.9573,200,6.5000,0
2019-03-05,4.9573,4.9573,4.7285,4.8811,3260,6.4000,0
2019-03-06,4.8811,4.8811,4.8811,4.8811,1040,6.4000,0
2019-03-13,4.9574,4.9574,4.9574,4.9573,1000,6.5000,0
2019-03-14,4.8810,4.8810,4.8810,4.8811,1100,6.4000,0
2019-03-15,4.8811,5.3387,4.8811,5.3387,8530,7.0000,0
2019-03-18,5.0336,5.0336,4.8048,4.8048,3000,6.3000,0
2019-03-20,4.8048,5.6437,4.8048,5.6438,4500,7.4000,0
2019-03-21,5.0337,5.0337,5.0337,5.0336,280,6.6000,0
2019-03-22,4.6523,4.6523,4.6523,4.6523,2200,6.1000,0
2019-03-25,4.9574,4.9574,4.9574,4.9573,1020,6.5000,0
2019-03-26,4.9573,5.0336,4.9573,5.0336,1260,6.6000,0
2019-03-27,4.9573,4.9573,4.9573,4.9573,500,6.5000,0
2019-03-29,5.1861,5.1861,5.1861,5.1861,100,6.8000,0
2019-04-02,5.8725,5.8725,5.8725,5.8726,100,7.7000,0
2019-04-04,6.5590,6.5590,6.5590,6.5590,140,8.6000,0
2019-04-08,5.6438,5.6438,5.6438,5.6438,200,7.4000,0
2019-04-09,6.4065,6.4065,6.4065,6.4064,100,8.4000,0
2019-04-12,5.4912,5.9488,5.4912,5.9488,600,7.8000,0
