date,open,high,low,close,volume,unadjusted,putthrough
2007-09-20,22.1141,26.3423,21.0526,22.2910,314000,126.0000,26000
2007-09-21,22.7333,22.9987,22.1141,22.4502,163700,126.9000,0
2007-09-24,22.9986,22.9986,22.2910,22.4325,147400,126.8000,0
2007-09-25,22.4325,22.6448,22.2025,22.6094,227300,127.8000,50000
2007-09-26,22.6448,22.8217,22.3971,22.4679,252500,127.0000,0
2007-09-27,22.6448,22.7333,22.5387,22.7332,278900,128.5000,0
2007-09-28,22.9101,24.8561,22.6447,24.8562,128200,140.5000,0
2007-10-01,26.9968,26.9968,26.9968,26.9968,52900,152.6000,0
2007-10-02,29.6859,29.6859,27.7752,29.5444,695200,167.0000,0
2007-10-03,32.3750,32.3750,29.1906,30.0751,459800,170.0000,55000
2007-10-04,30.0751,30.9597,30.0751,30.7474,363000,173.8000,0
2007-10-05,33.6841,33.6841,28.6598,29.7213,191800,168.0000,0
2007-10-08,29.3675,31.1366,28.6598,29.0136,212500,164.0000,0
2007-10-09,28.6598,28.8544,28.1290,28.6598,296400,162.0000,30000
2007-10-10,28.4829,29.9336,28.4829,29.7390,302800,168.1000,0
2007-10-11,30.0751,30.3405,29.7213,29.8097,167200,168.5000,10000
2007-10-12,30.0751,30.0751,29.0667,29.5090,134000,166.8000,0
2007-10-15,30.0751,30.0751,29.1729,29.7213,285100,168.0000,6500
2007-10-16,29.7213,29.8982,29.2790,29.4559,520600,166.5000,0
2007-10-17,30.2343,30.9597,29.1905,29.5444,326800,167.0000,0
2007-10-18,29.5444,29.5444,28.5006,28.8190,196100,162.9000,0
2007-10-19,28.4829,29.5443,28.4829,29.3675,275500,166.0000,6000
2007-10-22,29.4560,29.4560,28.7660,28.7660,194800,162.6000,5000
2007-10-23,29.0137,29.1552,28.3060,28.3060,263000,160.0000,200000
2007-10-24,28.9783,28.9783,27.9522,28.3060,341300,160.0000,250000
2007-10-25,28.4829,28.6598,28.3060,28.3944,418200,160.5000,170000
2007-10-26,28.8190,31.2781,28.2175,28.4829,294600,161.0000,0
2007-10-29,28.8721,28.8721,26.7138,26.7138,151000,151.0000,0
2007-10-30,26.5369,27.5099,26.5369,27.0676,227300,153.0000,0
2007-10-31,27.1030,27.2268,25.9177,26.2715,193400,148.5000,13000
2007-11-01,26.4484,28.3060,26.0238,28.1291,213600,159.0000,5000
2007-11-02,29.3675,29.5090,27.1561,27.5099,196500,155.5000,0
2007-11-05,27.2445,27.4214,26.2715,26.6253,213100,150.5000,9900
2007-11-06,26.5368,26.7138,26.0946,26.5369,179600,150.0000,14900
2007-11-07,26.5369,27.0676,26.2715,26.5369,150500,150.0000,0
2007-11-08,26.5369,26.5369,25.4400,25.8646,163700,146.2000,5000
2007-11-09,25.6523,26.0061,24.5908,25.1039,215400,141.9000,0
2007-11-12,24.7678,25.6523,24.4139,24.5024,123100,138.5000,19800
2007-11-13,24.5732,24.5732,22.2910,22.9986,191900,130.0000,0
2007-11-14,23.0340,25.1392,23.0340,25.1393,121800,142.1000,5000
2007-11-15,27.3153,27.3153,25.3870,25.9177,368000,146.5000,0
2007-11-16,26.5192,26.5192,25.1216,25.7231,199100,145.4000,0
2007-11-19,25.4400,25.4400,24.6086,24.9093,143000,140.8000,0
2007-11-20,24.9447,24.9447,24.4139,24.4493,111800,138.2000,0
2007-11-21,24.0247,24.5908,23.7063,24.1132,155200,136.3000,0
2007-11-22,24.2370,24.7678,24.0424,24.3255,186600,137.5000,5000
2007-11-23,24.7678,24.7678,24.2547,24.3785,108600,137.8000,16000
2007-11-26,24.4139,24.5908,24.3254,24.5908,117300,139.0000,0
2007-11-27,24.7677,24.9446,24.3254,24.3962,133800,137.9000,5000
2007-11-28,24.5554,24.6793,24.2370,24.3432,103100,137.6000,5000
2007-11-29,24.4140,24.5024,24.3255,24.3785,70800,137.8000,11000
2007-11-30,24.4139,24.4139,24.0601,24.3255,71700,137.5000,0
2007-12-03,24.0601,24.5555,24.0601,24.4139,60300,138.0000,0
2007-12-04,24.5908,24.5908,24.3254,24.4139,141400,138.0000,5000
2007-12-05,24.4139,24.5024,23.9716,24.0601,100300,136.0000,5000
2007-12-06,24.2370,24.2370,23.7063,23.7240,95200,134.1000,0
2007-12-07,23.7948,24.1309,23.3525,23.8478,97500,134.8000,0
2007-12-10,23.5294,23.5294,22.8217,23.0163,133800,130.1000,0
2007-12-11,22.7332,22.9102,21.9371,22.5917,96500,127.7000,0
2007-12-12,22.8217,23.1755,21.9548,22.6448,92000,128.0000,5000
2007-12-13,22.7156,22.7509,22.1318,22.3794,68800,126.5000,0
2007-12-14,22.2909,22.3794,21.9548,22.1317,85100,125.1000,10000
2007-12-17,22.2909,22.2909,21.2294,21.2826,74300,120.3000,10000
2007-12-18,21.2295,21.4064,20.6988,21.4064,172300,121.0000,5000
2007-12-19,21.2295,22.8394,21.2295,22.4679,145200,127.0000,0
2007-12-20,22.6448,22.6448,20.8757,21.6718,39600,122.5000,0
2007-12-21,21.2295,22.4679,21.2295,21.7956,74900,123.2000,0
2007-12-24,21.9371,22.0256,21.2295,21.2295,140700,120.0000,29500
2007-12-25,21.4064,21.5833,20.8757,21.0526,146200,119.0000,0
2007-12-26,21.0526,21.7603,21.0172,21.2472,94200,120.1000,0
2007-12-27,21.5833,21.5833,21.3003,21.4064,55700,121.0000,0
2007-12-28,21.4418,21.5833,21.3710,21.4595,60700,121.3000,0
2008-01-02,21.4595,21.5833,21.0526,21.0526,63400,119.0000,0
2008-01-03,21.0526,21.0526,20.7872,20.8934,70900,118.1000,0
2008-01-04,20.6280,20.8403,20.2565,20.3449,104400,115.0000,0
2008-01-07,20.4510,20.4510,18.5404,19.0181,175000,107.5000,10000
2008-01-08,19.3719,19.9911,18.9296,19.1065,163200,108.0000,0
2008-01-09,19.3719,19.4603,18.3989,18.5758,86900,105.0000,0
2008-01-10,18.3989,18.5758,17.5143,18.2220,180800,103.0000,0
2008-01-11,18.0451,18.5758,17.7974,17.8682,109200,101.0000,0
2008-01-14,17.9567,18.0451,16.4529,16.5059,131000,93.3000,0
2008-01-15,16.6297,16.6297,15.2852,15.7452,242700,89.0000,0
2008-01-16,15.8513,16.9659,15.8513,16.9659,181300,95.9000,0
2008-01-17,18.0451,18.5227,15.9221,16.8951,289300,95.5000,0
2008-01-18,16.8066,18.0450,16.4528,17.2667,172300,97.6000,0
2008-01-21,16.9836,17.0721,16.4529,16.7005,144900,94.4000,0
2008-01-22,16.4528,17.3374,15.7629,16.3998,195500,92.7000,0
2008-01-23,16.4529,16.6298,15.2145,15.6568,211500,88.5000,0
2008-01-24,15.9222,16.4175,15.4268,15.5683,162300,88.0000,29500
2008-01-25,15.5683,15.9044,15.3914,15.7098,177300,88.8000,0
2008-01-28,15.7452,15.7452,15.3914,15.4975,137800,87.6000,0
2008-01-29,15.3914,16.2582,15.3029,15.7452,202500,89.0000,0
2008-01-30,16.2759,17.3374,16.0106,17.3374,391500,98.0000,5000
2008-01-31,17.8681,18.1158,16.1875,17.1251,300600,96.8000,0
2008-02-01,17.5143,17.5143,17.0543,17.3197,288100,97.9000,24500
2008-02-12,17.6912,17.6912,16.6297,16.8244,149200,95.1000,0
2008-02-13,16.8244,16.8244,16.4883,16.8067,159800,95.0000,0
2008-02-14,16.6298,17.3374,16.6298,16.8244,245400,95.1000,0
2008-02-15,16.9836,16.9836,16.5413,16.6298,116000,94.0000,0
2008-02-18,16.2760,16.2760,14.9845,15.7452,422400,89.0000,5000
2008-02-19,15.2145,15.7275,15.0376,15.3914,324900,87.0000,0
2008-02-20,15.5683,15.6568,14.3299,14.5422,304000,82.2000,0
2008-02-21,14.1176,14.1176,13.4453,13.4453,206700,76.0000,35000
2008-02-22,13.2861,13.6222,12.1362,13.1800,439700,74.5000,29500
2008-02-25,13.0915,13.7815,13.0915,13.7815,359900,77.9000,0
2008-02-26,13.6046,14.1530,12.5962,12.6139,284200,71.3000,48000
2008-02-27,12.5785,13.4454,12.2070,12.7377,273600,72.0000,0
2008-02-28,13.0915,13.2684,12.7023,12.8438,340400,72.6000,0
2008-02-29,12.9146,12.9146,12.4015,12.4900,253600,70.6000,0
2008-03-03,12.5608,12.7377,11.3047,11.3224,430200,64.0000,29500
2008-03-04,11.4285,11.4285,10.5617,10.5617,323800,59.7000,0
2008-03-05,9.9071,10.0840,9.5356,9.8363,579500,55.6000,0
2008-03-06,10.0840,10.5616,10.0840,10.5617,29400,59.7000,0
2008-03-07,11.5878,11.5878,11.5878,11.5878,43500,65.5000,5000
2008-03-10,12.7377,12.7377,11.5170,12.3839,1131700,70.0000,100000
2008-03-11,12.0301,12.3308,11.3047,11.3047,698200,63.9000,0
2008-03-12,11.3951,12.5708,11.3951,12.2995,372800,68.0000,0
2008-03-13,12.6613,12.7336,12.0282,12.3357,296300,68.2000,0
2008-03-14,12.1186,12.2995,11.9739,12.1548,314700,67.2000,0
2008-03-17,11.5760,11.9377,11.0334,11.0334,584900,61.0000,0
2008-03-18,10.8525,10.8525,10.2014,10.2014,787200,56.4000,20000
2008-03-19,10.8526,11.1239,9.7673,10.3099,563500,57.0000,0
