date,open,high,low,close,volume,unadjusted,putthrough
2007-12-10,32.9852,32.9852,32.9852,32.9852,17830,96.0000,0
2007-12-11,31.4390,31.4390,31.4390,31.4390,2260,91.5000,0
2007-12-12,29.8928,29.8928,29.8928,29.8928,123290,87.0000,0
2007-12-13,28.5184,28.5184,28.5184,28.5184,371320,83.0000,0
2007-12-14,27.4876,28.8620,27.4876,27.6594,543530,80.5000,0
2007-12-17,27.1440,27.8312,27.1440,27.4876,245360,80.0000,0
2007-12-18,27.4876,28.1748,27.4876,28.1748,391500,82.0000,0
2007-12-19,28.8620,29.2056,28.8620,29.0338,345280,84.5000,0
2007-12-20,28.1748,28.3466,27.6594,27.6594,164070,80.5000,0
2007-12-21,27.6594,28.0030,27.6594,28.0030,157240,81.5000,0
2007-12-24,27.8312,27.8312,27.3158,27.3158,79700,79.5000,0
2007-12-25,26.8004,26.9722,26.6286,26.6286,74590,77.5000,0
2007-12-26,26.6286,26.6286,25.9414,26.2850,117360,76.5000,0
2007-12-27,25.9414,26.1132,25.5978,25.5979,109270,74.5000,0
2007-12-28,25.2543,25.9415,25.0825,25.9415,118800,75.5000,0
2008-01-02,25.7697,25.7697,25.4261,25.4261,81760,74.0000,0
2008-01-03,24.9107,25.2543,24.9107,24.9107,80530,72.5000,0
2008-01-04,24.3953,24.7389,24.2235,24.2235,80130,70.5000,0
2008-01-07,23.7081,23.7081,23.0209,23.0209,94440,67.0000,0
2008-01-08,22.6773,23.7081,22.5055,22.5055,155200,65.5000,0
2008-01-09,22.3337,22.3337,21.4747,21.4747,82810,62.5000,0
2008-01-10,20.6157,20.6157,20.4439,20.4439,76430,59.5000,0
2008-01-11,20.7875,21.3029,20.6157,20.6157,153160,60.0000,0
2008-01-14,19.9285,20.1003,19.5849,19.5849,67310,57.0000,0
2008-01-15,18.7259,18.7259,18.7259,18.7259,68640,54.5000,0
2008-01-16,19.2413,19.5849,18.8977,19.5849,128640,57.0000,0
2008-01-17,19.5849,19.7567,18.7259,18.8977,112400,55.0000,0
2008-01-18,18.5541,19.0695,18.3823,18.8977,94710,55.0000,0
2008-01-21,18.5541,18.8977,18.3823,18.5542,27420,54.0000,0
2008-01-22,17.6952,18.2106,17.6952,17.6952,118220,51.5000,0
2008-01-23,16.8362,16.8362,16.8362,16.8362,63320,49.0000,0
2008-01-24,16.6644,17.0080,16.0459,16.0459,113600,46.7000,0
2008-01-25,15.2900,16.0115,15.2900,15.6336,126250,45.5000,0
2008-01-28,15.4618,15.5649,14.9120,15.2900,85100,44.5000,0
2008-01-29,15.2900,16.0459,15.1182,16.0459,95470,46.7000,0
2008-01-30,16.8362,16.8362,16.8362,16.8362,24150,49.0000,0
2008-01-31,17.5234,17.5234,16.8362,17.5234,382060,51.0000,0
2008-02-01,18.3824,18.3824,18.3824,18.3824,23400,53.5000,0
2008-02-12,19.2414,19.2414,19.2414,19.2413,13850,56.0000,0
2008-02-13,20.1003,20.1003,18.7259,18.7259,340960,54.5000,0
2008-02-14,19.2413,19.4131,18.7259,19.0695,253370,55.5000,0
2008-02-15,18.8977,18.8977,18.5541,18.7259,90600,54.5000,0
2008-02-18,17.8669,17.8669,17.8669,17.8670,113450,52.0000,0
2008-02-19,17.0080,17.8670,17.0080,17.1798,148930,50.0000,0
2008-02-20,17.1798,17.3516,16.4926,16.4926,299510,48.0000,0
2008-02-21,15.6680,15.6680,15.6680,15.6679,124490,45.6000,0
2008-02-22,14.9120,14.9120,14.9120,14.9120,228210,43.4000,0
2008-02-25,15.6335,15.6335,15.6335,15.6336,38970,45.5000,0
2008-02-26,16.2177,16.2177,14.9464,14.9464,324080,43.5000,0
2008-02-27,14.9464,15.6680,14.6372,14.6372,203930,42.6000,0
2008-02-28,15.1182,15.1182,14.4654,15.1182,124830,44.0000,0
2008-02-29,15.1182,15.8054,15.1182,15.8054,416460,46.0000,0
2008-03-03,15.1182,15.1869,15.0151,15.0151,118710,43.7000,0
2008-03-04,14.2936,14.2936,14.2936,14.2936,31840,41.6000,0
2008-03-05,13.6064,13.6064,13.6064,13.6064,36340,39.6000,0
2008-03-06,14.2592,14.2592,14.2592,14.2592,64820,41.5000,100000
2008-03-07,14.9464,14.9464,14.9464,14.9464,25600,43.5000,0
2008-03-10,15.6680,15.6680,14.9808,15.6336,504630,45.5000,0
2008-03-11,14.8777,15.1182,14.8777,14.8777,102340,43.3000,0
2008-03-12,15.4618,15.4618,14.6372,14.7059,79690,42.8000,0
2008-03-13,14.7059,15.1182,14.4654,15.1182,78710,44.0000,0
2008-03-14,14.5341,14.7746,14.4310,14.5341,158650,42.3000,0
2008-03-17,13.8125,13.8469,13.8125,13.8125,111060,40.2000,0
2008-03-18,13.1253,13.1253,13.1253,13.1253,73400,38.2000,0
2008-03-19,13.7781,13.7781,12.4725,12.4725,148740,36.3000,0
2008-03-20,12.4725,12.7130,11.8884,11.9228,80000,34.7000,0
2008-03-21,11.4418,11.5105,11.3387,11.3386,94040,33.0000,0
2008-03-24,10.7888,10.7888,10.7888,10.7889,30600,31.4000,0
2008-03-25,10.2735,10.2735,10.2735,10.2735,13190,29.9000,0
2008-03-26,9.7925,9.9643,9.7925,9.7925,217860,28.5000,0
2008-03-27,9.7925,9.8612,9.7925,9.8612,356760,28.7000,0
2008-03-28,9.9299,9.9299,9.9299,9.9299,38180,28.9000,0
2008-03-31,9.9986,9.9986,9.9986,9.9986,23410,29.1000,0
2008-04-01,10.0673,10.0673,10.0673,10.0673,23460,29.3000,21000
2008-04-02,10.1360,10.1360,10.1360,10.1361,5660,29.5000,0
2008-04-03,10.2048,10.2048,10.2048,10.2048,3010,29.7000,0
2008-04-04,10.2735,10.2735,10.2735,10.2735,10100,29.9000,0
2008-04-07,10.4453,10.4453,10.4453,10.4453,187960,30.4000,0
