date,open,high,low,close,volume,unadjusted,putthrough
2017-03-16,15.5974,15.5974,15.5974,15.5974,14900,15.9000,0
2017-03-17,17.8536,17.8536,14.8126,15.4993,3000,15.8000,0
2017-03-21,14.2240,14.2240,13.3412,13.3412,9451,13.6000,0
2017-03-22,12.1640,12.1640,12.1640,12.1640,2300,12.4000,0
2017-03-23,10.3983,10.3983,10.3983,10.3983,3300,10.6000,0
2017-03-24,8.9268,8.9268,8.9268,8.9268,2100,9.1000,0
2017-03-27,8.3382,8.3382,8.3382,8.3382,14250,8.5000,0
2017-03-28,9.4173,9.4173,9.3192,9.4173,311,9.6000,0
2017-03-29,10.3983,10.3983,10.3983,10.3983,120,10.6000,0
2017-03-30,10.3983,10.3983,10.3983,10.3983,10,10.6000,0
2017-03-31,11.3793,11.3793,10.3002,10.3002,220,10.5000,0
2017-04-04,9.3192,9.3192,9.3192,9.3192,210,9.5000,0
2017-04-05,7.9458,8.0439,7.9458,7.9459,4700,8.1000,0
2017-04-07,9.1231,9.1231,9.1231,9.1230,200,9.3000,0
2017-04-10,9.8097,9.8097,9.8097,9.8097,100,10.0000,0
2017-04-11,8.3382,8.3382,8.3382,8.3382,100,8.5000,0
2017-04-12,8.3382,8.3382,7.6515,7.7497,500,7.9000,0
2017-04-13,7.4554,7.4554,7.4554,7.4554,100,7.6000,0
2017-04-14,7.4554,7.4554,6.8668,6.8668,15000,7.0000,0
2017-04-17,7.0630,7.0630,6.8668,6.8668,3200,7.0000,0
2017-04-18,6.6706,6.6706,6.0820,6.0820,10200,6.2000,0
2017-04-19,5.8858,6.4744,5.8858,5.8858,7400,6.0000,0
2017-04-20,6.0820,6.1801,6.0820,6.0820,2500,6.2000,0
2017-04-25,6.4744,6.4744,6.4744,6.4744,100,6.6000,0
2017-04-26,7.3573,7.3573,7.3573,7.3573,100,7.5000,0
2017-04-27,7.1611,7.2592,7.1611,7.1611,3400,7.3000,0
2017-04-28,7.1611,7.1611,7.1611,7.1611,103,7.3000,0
2017-05-03,7.1611,7.1611,7.1611,7.1611,101,7.3000,0
2017-05-04,7.8478,8.1421,7.1611,7.1611,3407,7.3000,0
2017-05-05,7.1611,7.6516,7.1611,7.6516,16830,7.8000,0
2017-05-08,7.4554,7.4554,7.4554,7.4554,2000,7.6000,0
2017-05-09,7.4554,7.5535,7.4554,7.5535,17000,7.7000,0
2017-05-10,7.5535,7.8478,7.5535,7.8478,8100,8.0000,0
2017-05-11,8.6326,8.6326,8.6326,8.6325,100,8.8000,0
2017-05-12,8.6325,8.6325,8.6325,8.6325,100,8.8000,0
2017-05-15,8.6325,8.6325,8.6325,8.6325,61,8.8000,0
2017-05-16,7.7496,7.8477,7.6515,7.6516,14000,7.8000,0
2017-05-17,7.7497,7.7497,7.1611,7.7497,4900,7.9000,0
2017-05-18,7.9459,8.3383,7.8478,7.9459,2350,8.1000,0
2017-05-19,8.2402,8.2402,7.3573,7.8478,6000,8.0000,0
2017-05-22,7.8478,7.8478,7.8478,7.8478,1611,8.0000,0
2017-05-23,7.8478,7.9459,7.8478,7.9459,3700,8.1000,0
2017-05-24,7.8478,7.8478,7.8478,7.8478,5300,8.0000,0
2017-05-25,7.8478,8.0440,7.8478,8.0439,4500,8.2000,59
2017-05-26,8.0439,8.0439,8.0439,8.0439,2000,8.2000,0
2017-05-29,8.0439,8.0439,8.0439,8.0439,100,8.2000,0
2017-05-30,8.0439,8.0439,8.0439,8.0439,500,8.2000,0
2017-05-31,8.1420,8.1420,8.1420,8.1420,400,8.3000,0
2017-06-01,9.3192,9.3192,8.1420,8.1420,1420,8.3000,0
2017-06-02,8.8287,8.8287,8.1420,8.1420,400,8.3000,0
2017-06-05,8.3382,8.3382,7.1610,7.1611,2400,7.3000,0
2017-06-06,8.0440,8.0440,8.0440,8.0439,3500,8.2000,0
2017-06-07,8.1420,8.1420,8.1420,8.1420,2000,8.3000,0
2017-06-08,8.1420,8.1420,8.1420,8.1420,1100,8.3000,0
2017-06-09,8.1420,8.1420,8.1420,8.1420,2500,8.3000,0
2017-06-12,8.1420,8.1420,8.1420,8.1420,10500,8.3000,0
2017-06-13,8.1420,8.3382,8.1420,8.1420,37100,8.3000,0
2017-06-14,8.1420,8.2401,8.1420,8.1420,11200,8.3000,0
2017-06-15,8.1420,8.8287,8.1420,8.8287,3000,9.0000,0
2017-06-16,8.1420,8.1420,8.1420,8.1420,2800,8.3000,0
2017-06-19,8.5344,8.5344,8.0439,8.0439,500,8.2000,0
2017-06-20,8.2401,8.3382,8.2401,8.2401,11010,8.4000,0
2017-06-21,8.6325,8.6325,8.2401,8.2401,4000,8.4000,99000
2017-06-22,8.3382,8.3382,8.3382,8.3382,403,8.5000,0
2017-06-23,8.3382,8.3382,8.1420,8.1420,5200,8.3000,0
2017-06-26,8.2401,8.2401,8.2401,8.2401,1559,8.4000,0
2017-06-27,8.2401,8.3382,8.2401,8.3382,1300,8.5000,0
2017-06-28,9.4173,9.4173,8.1420,9.3192,23000,9.5000,0
2017-06-29,9.0249,9.8097,8.3382,9.8097,25700,10.0000,0
2017-06-30,7.9459,9.8097,7.9459,9.8097,50230,10.0000,54
2017-07-03,9.7116,9.7116,8.5344,8.5344,3200,8.7000,0
2017-07-04,9.1230,9.1230,9.1230,9.1230,400,9.3000,0
2017-07-07,8.1420,8.1420,8.1420,8.1420,100,8.3000,0
2017-07-10,9.1230,9.1230,7.9458,7.9459,8500,8.1000,0
2017-07-11,8.2402,8.2402,8.2402,8.2401,2000,8.4000,0
2017-07-12,8.1420,8.1420,8.1420,8.1420,3000,8.3000,0
2017-07-13,9.0249,9.0249,8.2401,8.2401,3100,8.4000,0
2017-07-17,8.8287,8.8287,8.8287,8.8287,2300,9.0000,0
2017-07-18,9.0249,9.0249,9.0249,9.0249,3000,9.2000,0
2017-07-19,8.0439,8.0439,8.0439,8.0439,1500,8.2000,0
2017-07-20,8.0439,8.0439,8.0439,8.0439,954,8.2000,23400
2017-07-21,8.0439,8.3382,8.0439,8.3382,3000,8.5000,0
2017-07-24,8.0439,8.0439,8.0439,8.0439,1000,8.2000,0
2017-07-25,7.8477,7.8477,7.8477,7.8478,2867,8.0000,0
2017-07-26,8.0440,8.0440,8.0440,8.0439,6000,8.2000,0
2017-07-27,8.0439,8.0439,8.0439,8.0439,1000,8.2000,0
2017-07-31,8.0439,8.1420,8.0439,8.1420,400,8.3000,0
2017-08-01,8.0439,8.0439,8.0439,8.0439,1800,8.2000,0
2017-08-02,7.8477,7.8477,7.8477,7.8478,2000,8.0000,54
2017-08-04,8.0440,8.7307,8.0440,8.7306,3200,8.9000,0
2017-08-07,8.0439,8.0439,7.2592,7.2592,7120,7.4000,0
2017-08-08,8.0440,8.0440,8.0440,8.0439,4000,8.2000,0
2017-08-09,8.0439,8.0439,8.0439,8.0439,18000,8.2000,0
2017-08-10,8.7306,8.7306,6.8667,6.8668,13100,7.0000,0
2017-08-14,8.6326,8.6326,8.6326,8.6325,100,8.8000,0
2017-08-15,8.6325,8.6325,8.6325,8.6325,5080,8.8000,0
2017-08-16,8.1420,8.1420,8.1420,8.1420,200,8.3000,0
2017-08-24,8.2401,8.2401,8.2401,8.2401,2300,8.4000,0
2017-08-31,8.2401,8.2401,8.1420,8.1420,14700,8.3000,0
2017-09-01,8.3382,8.8287,8.3382,8.8287,31700,9.0000,0
2017-09-07,8.7306,8.7306,8.6325,8.6325,4317,8.8000,0
2017-09-08,7.8477,7.8477,7.8477,7.8478,5000,8.0000,0
2017-09-13,8.0440,8.1421,7.8478,7.8478,4900,8.0000,0
2017-09-14,8.6326,8.6326,7.8478,7.8478,200,8.0000,0
2017-09-15,7.8478,7.8478,7.8478,7.8478,4000,8.0000,0
2017-09-18,8.0440,8.0440,8.0440,8.0439,1100,8.2000,0
2017-09-19,8.7306,8.7306,7.8477,7.8478,4118,8.0000,0
2017-09-20,7.8478,7.8478,7.8478,7.8478,2000,8.0000,0
2017-09-21,7.8478,8.3383,7.8478,8.2401,11300,8.4000,0
2017-09-22,8.2401,8.2401,8.2401,8.2401,4800,8.4000,0
2017-09-25,8.2401,8.2401,8.2401,8.2401,1500,8.4000,0
2017-09-26,8.2401,8.3382,8.2401,8.2401,5000,8.4000,51
2017-09-27,8.8287,8.8287,8.8287,8.8287,180,9.0000,0
2017-09-28,8.8287,8.8287,7.8477,8.7306,24200,8.9000,0
2017-09-29,8.8287,9.3192,7.9458,7.9459,32317,8.1000,0
2017-10-03,8.2401,8.2401,8.2401,8.2401,3000,8.4000,0
2017-10-04,8.2401,8.2401,8.2401,8.2401,42200,8.4000,0
2017-10-05,7.9458,8.0439,7.9458,7.9459,15000,8.1000,0
2017-10-10,7.9459,7.9459,7.9459,7.9459,2400,8.1000,0
2017-10-11,7.9459,7.9459,7.9459,7.9459,6100,8.1000,0
2017-10-12,7.9459,8.0440,7.9459,8.0439,10700,8.2000,0
