date,open,high,low,close,volume,unadjusted,putthrough
2016-05-27,10.3124,10.3124,9.7323,10.0546,94010,15.6000,0
2016-05-30,10.6347,10.6347,10.0546,10.1835,16090,15.8000,0
2016-05-31,10.3124,10.3124,9.7968,10.3124,1330,16.0000,0
2016-06-01,9.9257,10.1835,9.9257,10.1835,6500,15.8000,0
2016-06-02,9.9901,10.1190,9.9257,10.1191,9280,15.7000,0
2016-06-03,9.7968,9.9902,9.7968,9.7968,10030,15.2000,0
2016-06-06,9.7968,9.7968,9.7323,9.7968,14060,15.2000,0
2016-06-07,9.6679,9.7968,9.6679,9.7323,2210,15.1000,0
2016-06-08,9.6678,9.6678,9.5389,9.6679,12900,15.0000,0
2016-06-09,9.5390,9.5390,9.4745,9.4745,10430,14.7000,0
2016-06-10,9.4100,9.4100,9.4100,9.4101,26600,14.6000,0
2016-06-13,9.4746,9.4746,9.1523,9.4101,8130,14.6000,0
2016-06-14,9.2167,9.2167,9.2167,9.2167,2100,14.3000,0
2016-06-16,9.6679,9.6679,9.1522,9.6034,2220,14.9000,0
2016-06-17,9.2811,9.5389,9.1522,9.5390,1760,14.8000,0
2016-06-20,9.6679,9.6679,9.6679,9.6679,10,15.0000,0
2016-06-22,9.2167,9.6679,9.1523,9.6679,6730,15.0000,0
2016-06-23,9.3456,9.6679,9.3456,9.6679,1510,15.0000,0
2016-06-24,9.4101,9.4101,9.3456,9.3456,2050,14.5000,0
2016-06-27,8.7655,9.6679,8.7655,9.6679,6010,15.0000,0
2016-06-28,9.1523,9.3456,9.0878,9.0878,1710,14.1000,0
2016-06-29,9.2812,9.2812,9.0878,9.0878,110,14.1000,0
2016-06-30,9.0233,9.2812,9.0233,9.2812,2550,14.4000,0
2016-07-01,9.1523,9.1523,9.0234,9.0234,3310,14.0000,0
2016-07-04,8.8300,9.0879,8.8300,9.0878,130,14.1000,0
2016-07-05,9.0878,9.0878,8.8944,9.0234,7510,14.0000,0
2016-07-06,9.0234,9.1523,8.8945,9.1523,2280,14.2000,0
2016-07-07,9.1523,9.1523,8.8945,8.8945,350,13.8000,0
2016-07-08,9.1523,9.1523,9.0234,9.0234,6500,14.0000,0
2016-07-11,9.0234,9.3457,8.5078,8.5077,105670,13.2000,0
2016-07-12,9.0233,9.0878,8.8300,8.8300,7670,13.7000,0
2016-07-13,8.8300,9.4101,8.8300,9.4101,71100,14.6000,0
2016-07-14,9.4746,9.4746,9.0234,9.0234,120,14.0000,200000
2016-07-15,9.0234,9.0234,9.0234,9.0234,20,14.0000,0
2016-07-18,9.0879,9.3457,8.9589,9.3456,26050,14.5000,0
2016-07-19,9.5390,9.5390,9.0233,9.0234,390,14.0000,0
2016-07-20,9.0879,9.3457,9.0879,9.0878,24930,14.1000,0
2016-07-21,9.3456,9.3456,9.0233,9.0878,44860,14.1000,0
2016-07-22,9.0233,9.2812,9.0233,9.2812,8030,14.4000,0
2016-07-25,9.3457,9.4101,9.1523,9.1523,34500,14.2000,0
2016-07-26,9.3457,9.4746,9.1523,9.3456,80480,14.5000,0
2016-07-27,9.2167,9.6034,9.1522,9.6034,520,14.9000,0
2016-07-28,9.2167,9.2811,9.2167,9.2812,20,14.4000,0
2016-07-29,9.4746,9.4746,9.1523,9.4101,7470,14.6000,0
2016-08-01,9.7968,9.7968,9.1523,9.3456,20410,14.5000,0
2016-08-02,9.1522,9.1522,9.1522,9.1523,10,14.2000,0
2016-08-03,9.0234,9.2812,9.0234,9.2812,2010,14.4000,0
2016-08-04,9.2812,9.2812,9.2812,9.2812,9010,14.4000,0
2016-08-05,9.1523,9.2812,9.1523,9.2812,1010,14.4000,0
2016-08-08,9.0234,9.3457,9.0234,9.3456,9140,14.5000,110000
2016-08-09,9.0878,9.4101,9.0878,9.4101,10730,14.6000,0
2016-08-10,9.3456,9.3456,9.3456,9.3456,10000,14.5000,0
2016-08-11,9.4101,9.4101,9.3456,9.4101,13020,14.6000,0
2016-08-12,9.4101,9.4101,9.4101,9.4101,3010,14.6000,0
2016-08-15,9.1523,9.1523,9.1523,9.1523,1000,14.2000,0
2016-08-16,9.3457,9.4746,9.1523,9.1523,48300,14.2000,0
2016-08-17,9.3457,9.3457,9.3457,9.3456,12010,14.5000,0
2016-08-18,9.3456,9.4101,9.3456,9.3456,13300,14.5000,0
2016-08-19,9.9901,9.9901,9.3456,9.3456,23340,14.5000,0
2016-08-23,9.7968,9.7968,9.3456,9.3456,20,14.5000,0
2016-08-24,9.3456,9.3456,9.3456,9.3456,8000,14.5000,0
2016-08-25,9.3456,9.3456,9.3456,9.3456,12540,14.5000,0
2016-08-26,9.3456,9.3456,9.3456,9.3456,6150,14.5000,120000
2016-08-29,9.3456,9.3456,9.3456,9.3456,2000,14.5000,0
2016-08-30,9.4745,9.7323,9.4745,9.7323,27460,15.1000,80850
2016-08-31,9.7323,9.8612,9.7323,9.8612,450,15.3000,0
2016-09-01,9.8612,9.8612,9.7323,9.7323,15010,15.1000,0
2016-09-05,9.9901,9.9901,9.7323,9.7323,1110,15.1000,0
2016-09-06,9.9257,10.3124,9.9257,10.3124,47060,16.0000,0
2016-09-07,10.3124,10.6347,9.9901,9.9902,19460,15.5000,0
2016-09-08,9.7968,10.2480,9.7968,9.9257,2880,15.4000,0
2016-09-09,9.9257,9.9257,9.9257,9.9257,1000,15.4000,0
2016-09-12,9.9257,9.9257,9.9257,9.9257,5550,15.4000,0
2016-09-13,9.9902,10.3124,9.9257,10.3124,5930,16.0000,0
2016-09-14,10.1190,10.3124,10.0546,10.0546,2800,15.6000,0
2016-09-15,10.3124,10.3124,9.9257,9.9902,18040,15.5000,0
2016-09-16,9.9902,10.3125,9.9902,10.2480,15350,15.9000,0
2016-09-19,10.2480,10.3125,9.6679,9.6679,9350,15.0000,0
2016-09-20,10.1191,10.3124,9.7324,9.7323,16890,15.1000,0
2016-09-22,9.8612,9.9257,9.8612,9.9257,480,15.4000,0
2016-09-23,9.9902,10.6025,9.9902,10.6025,47400,16.4500,0
2016-09-26,10.6347,10.6347,10.1191,10.1191,330,15.7000,0
2016-09-27,10.3125,10.3125,10.1191,10.1191,700,15.7000,0
2016-09-28,10.5058,10.6347,10.1836,10.6347,10520,16.5000,70000
2016-09-29,10.1835,10.1835,10.1835,10.1835,3660,15.8000,0
2016-09-30,10.1835,10.1835,10.1835,10.1835,1020,15.8000,0
2016-10-03,10.1835,10.1835,10.1835,10.1835,1420,15.8000,0
2016-10-05,10.3124,10.3124,10.2480,10.2480,2010,15.9000,0
2016-10-06,10.3125,10.4414,10.1835,10.4413,4540,16.2000,0
2016-10-07,10.3124,10.3124,10.3124,10.3124,6000,16.0000,0
2016-10-10,10.3124,10.3124,10.3124,10.3124,14000,16.0000,0
2016-10-11,10.3124,10.3124,10.2479,10.2480,700,15.9000,0
2016-10-13,10.2480,10.2480,10.2480,10.2480,10,15.9000,0
2016-10-17,10.3125,10.4414,10.2480,10.4413,1540,16.2000,0
2016-10-18,10.3124,10.6347,10.1190,10.1191,36150,15.7000,117330
2016-10-19,10.3125,10.7636,10.3125,10.7636,3480,16.7000,0
2016-10-21,10.7636,10.9570,10.7636,10.7636,8130,16.7000,270000
2016-10-24,10.3769,10.9570,10.3769,10.3769,170,16.1000,0
2016-10-25,10.3769,10.3769,10.3769,10.3769,3420,16.1000,0
