date,open,high,low,close,volume,unadjusted,putthrough
2016-12-06,122.0595,122.0595,122.0595,122.0595,3010,132.0000,0
2016-12-07,130.5667,130.5667,130.5667,130.5667,30,141.2000,285300
2016-12-08,139.6287,139.6287,139.6287,139.6287,1000,151.0000,0
2016-12-09,139.6287,149.3380,139.6287,149.3379,3010,161.5000,2886400
2016-12-12,159.7869,159.7869,159.7869,159.7870,35690,172.8000,0
2016-12-13,170.8833,170.8833,170.8833,170.8833,96830,184.8000,0
2016-12-14,182.8118,182.8118,182.8118,182.8118,154380,197.7000,210000
2016-12-15,195.5726,195.5726,194.1855,195.5726,380050,211.5000,0
2016-12-16,209.2581,209.2581,184.9386,208.0560,387520,225.0000,0
2016-12-19,196.0350,208.0560,196.0350,196.0350,168190,212.0000,0
2016-12-20,195.1103,195.5727,182.3495,182.3495,399710,197.2000,150000
2016-12-21,182.3495,188.1751,171.0682,185.6784,241750,200.8000,50000
2016-12-22,194.0931,194.0931,187.7127,187.7127,52460,203.0000,0
2016-12-23,187.7127,187.7127,182.2570,184.9386,54810,200.0000,0
2016-12-26,185.8774,185.8774,178.3672,184.9335,169870,197.0000,50000
2016-12-27,184.9335,187.5620,181.2724,185.8722,69880,198.0000,0
2016-12-28,187.5619,187.5619,185.0273,186.7171,28530,198.9000,0
2016-12-29,185.8722,185.8722,181.1785,184.9335,98560,197.0000,0
2016-12-30,185.8722,185.8722,183.5254,185.5906,96740,197.7000,27000
2017-01-03,185.5906,185.5906,183.9009,184.9335,63170,197.0000,500000
2017-01-04,184.9335,186.4355,183.0560,184.9335,87490,197.0000,0
2017-01-05,184.9335,185.8722,183.9948,185.0273,27170,197.1000,0
2017-01-06,185.7783,197.0433,185.1212,193.3822,212390,206.0000,500000
2017-01-09,193.3822,195.2597,192.4435,192.4434,31390,205.0000,0
2017-01-10,194.2270,194.2270,189.1578,191.9741,44540,204.5000,0
2017-01-11,191.5047,197.1372,189.6272,197.1372,228480,210.0000,0
2017-01-12,199.9534,199.9534,197.1372,197.7004,55290,210.6000,0
2017-01-13,197.7943,199.2024,197.7004,198.8269,37670,211.8000,0
2017-01-16,198.0759,198.0759,195.2597,196.1984,33890,209.0000,0
2017-01-17,195.7290,204.0839,195.3535,203.2391,113760,216.5000,30000
2017-01-18,202.1126,211.2185,202.1126,210.0919,103480,223.8000,0
2017-01-19,211.2184,211.2184,206.5247,210.0919,40040,223.8000,0
2017-01-20,209.3409,211.3123,209.3409,210.0919,77940,223.8000,0
2017-01-23,210.0919,210.0919,206.9940,208.4022,44360,222.0000,0
2017-01-24,206.5247,210.2797,206.5247,208.4022,137100,222.0000,0
2017-01-25,208.4022,210.0919,206.5247,210.0919,18800,223.8000,0
2017-02-02,210.1858,210.1858,205.5859,205.5859,18560,219.0000,0
2017-02-03,204.0839,209.2470,203.1452,203.7084,51700,217.0000,0
2017-02-06,206.0553,206.0553,198.5453,201.8309,50070,215.0000,0
2017-02-07,201.8309,206.5246,199.9534,202.7697,76580,216.0000,1000000
2017-02-08,202.7697,203.7084,201.8310,202.1126,36350,215.3000,0
2017-02-09,202.1126,202.1126,195.2597,198.0759,150070,211.0000,0
2017-02-10,198.0759,200.8921,198.0759,200.1412,35880,213.2000,250000
2017-02-13,200.1412,201.5493,197.1372,200.3289,25240,213.4000,0
2017-02-14,200.3289,203.6145,200.0473,202.7697,72220,216.0000,0
2017-02-15,202.7697,202.7697,199.7657,200.7983,84300,213.9000,0
2017-02-16,200.8922,202.7697,200.8922,202.2064,44230,215.4000,0
2017-02-17,201.8309,201.8309,200.8922,201.5493,34430,214.7000,0
2017-02-20,200.2351,204.6472,200.1412,204.6472,103930,218.0000,60000
