date,open,high,low,close,volume,unadjusted,putthrough
2008-02-25,7.0392,7.2738,7.0392,7.0392,392000,24.0000,0
2008-02-26,6.6872,6.6872,6.6872,6.6872,245000,22.8000,0
2008-02-27,6.3646,6.3646,6.3646,6.3646,104350,21.7000,0
2008-02-28,6.0713,6.4526,6.0713,6.1593,325810,21.0000,0
2008-02-29,6.3060,6.3060,6.0126,6.0713,101860,20.7000,0
2008-03-03,5.7780,5.8660,5.7780,5.7780,85780,19.7000,0
2008-03-04,5.5140,5.5140,5.5140,5.5140,13390,18.8000,0
2008-03-05,5.2500,5.2500,5.2500,5.2501,27480,17.9000,50000
2008-03-06,5.4847,5.4847,5.4847,5.4847,62160,18.7000,0
2008-03-07,5.7487,5.7487,5.7193,5.7487,206280,19.6000,40000
2008-03-10,6.0127,6.0127,5.5727,5.5727,395780,19.0000,0
2008-03-11,5.3087,5.4260,5.3087,5.3087,170610,18.1000,0
2008-03-12,5.1034,5.4260,5.1034,5.3380,91200,18.2000,0
2008-03-13,5.4260,5.4260,5.1620,5.2794,98900,18.0000,0
2008-03-14,5.1327,5.2207,5.1327,5.1621,47520,17.6000,0
2008-03-17,4.9861,4.9861,4.9275,4.9274,124610,16.8000,0
2008-03-18,4.6928,4.6928,4.6928,4.6928,24280,16.0000,0
2008-03-19,4.5461,4.8981,4.4582,4.4581,191760,15.2000,0
2008-03-20,4.3408,4.4288,4.2528,4.2528,181630,14.5000,0
2008-03-21,4.0475,4.0768,4.0475,4.0475,147620,13.8000,0
2008-03-24,3.8715,3.8715,3.8715,3.8716,26050,13.2000,0
2008-03-25,3.6956,3.6956,3.6956,3.6956,33900,12.6000,0
2008-03-26,3.5489,3.7836,3.5489,3.5783,327290,12.2000,0
2008-03-27,3.6076,3.6076,3.6076,3.6076,11600,12.3000,0
2008-03-28,3.6369,3.6369,3.6369,3.6369,38060,12.4000,0
2008-03-31,3.6662,3.6662,3.6662,3.6662,3200,12.5000,21000
2008-04-01,3.6955,3.6955,3.6955,3.6956,1920,12.6000,0
2008-04-02,3.7249,3.7249,3.7249,3.7249,600,12.7000,0
2008-04-03,3.7542,3.7542,3.7542,3.7542,200,12.8000,0
2008-04-04,3.7835,3.7835,3.7835,3.7836,26370,12.9000,0
2008-04-07,3.8423,3.8423,3.8423,3.8422,11030,13.1000,0
2008-04-08,3.9009,3.9009,3.7835,3.9009,269240,13.3000,0
2008-04-09,3.9596,3.9596,3.9596,3.9595,67550,13.5000,29000
2008-04-10,4.0182,4.0182,3.9008,3.9009,275490,13.3000,0
2008-04-11,3.8422,3.9009,3.8422,3.9009,130430,13.3000,0
2008-04-16,3.8716,3.8716,3.8422,3.8422,114650,13.1000,0
2008-04-17,3.7835,3.9009,3.7835,3.9009,63310,13.3000,0
2008-04-18,3.9596,3.9596,3.9009,3.9595,224600,13.5000,0
2008-04-21,4.0182,4.0182,4.0182,4.0182,39620,13.7000,0
2008-04-22,4.0769,4.0769,4.0769,4.0769,59950,13.9000,0
2008-04-23,4.1356,4.1356,4.0769,4.1355,626230,14.1000,0
2008-04-24,4.1062,4.1355,4.0768,4.0769,232310,13.9000,0
2008-04-25,4.0448,4.1411,4.0448,4.1411,97270,12.9000,0
2008-04-28,4.2053,4.2053,4.2053,4.2053,4410,13.1000,0
2008-04-29,4.2695,4.2695,4.2695,4.2695,19850,13.3000,0
2008-05-05,4.3337,4.3337,4.3337,4.3337,35720,13.5000,0
2008-05-06,4.3979,4.3979,4.3979,4.3979,31610,13.7000,0
2008-05-07,4.4621,4.4621,4.3337,4.3337,283530,13.5000,0
2008-05-08,4.2695,4.2695,4.2695,4.2695,35170,13.3000,0
2008-05-09,4.2053,4.2053,4.2053,4.2053,22790,13.1000,0
2008-05-12,4.1411,4.1411,4.1411,4.1411,30330,12.9000,0
2008-05-13,4.0769,4.0769,4.0769,4.0769,27820,12.7000,0
2008-05-14,4.0127,4.0127,4.0127,4.0127,26440,12.5000,36000
2008-05-15,3.9485,3.9485,3.9485,3.9485,21010,12.3000,0
2008-05-16,3.9164,4.0127,3.8843,3.9164,416610,12.2000,0
2008-05-19,3.9164,3.9806,3.9164,3.9806,124660,12.4000,30000
2008-05-20,4.0448,4.0448,3.9164,3.9164,109760,12.2000,20000
2008-05-21,3.8522,3.8522,3.8522,3.8522,61910,12.0000,0
2008-05-22,3.7880,3.7880,3.7880,3.7880,152980,11.8000,0
2008-05-23,3.7238,3.7238,3.7238,3.7238,34350,11.6000,0
2008-05-26,3.6596,3.6596,3.6596,3.6596,13750,11.4000,54000
2008-05-30,3.5954,3.5954,3.5954,3.5954,9050,11.2000,0
2008-06-02,3.5312,3.5312,3.5312,3.5312,1370,11.0000,0
2008-06-03,3.4670,3.4670,3.4670,3.4670,370,10.8000,0
2008-06-04,3.4028,3.4028,3.4028,3.4028,1990,10.6000,0
2008-06-05,3.3386,3.3386,3.3386,3.3386,4810,10.4000,0
2008-06-06,3.2744,3.2744,3.2744,3.2744,9860,10.2000,0
2008-06-09,3.2102,3.2102,3.2102,3.2102,1950,10.0000,0
2008-06-10,3.1460,3.1460,3.1460,3.1460,17520,9.8000,0
2008-06-11,3.1781,3.1781,3.1781,3.1781,96030,9.9000,0
2008-06-12,3.2102,3.2102,3.2102,3.2102,13430,10.0000,0
2008-06-13,3.2744,3.2744,3.2744,3.2744,71440,10.2000,0
2008-06-16,3.3386,3.3386,3.3386,3.3386,16210,10.4000,0
2008-06-17,3.4028,3.4028,3.4028,3.4028,2550,10.6000,36000
2008-06-18,3.4670,3.4670,3.3386,3.3386,386460,10.4000,0
2008-06-19,3.2423,3.3065,3.2423,3.2423,96250,10.1000,0
2008-06-20,3.1460,3.1781,3.1460,3.1781,154880,9.9000,0
2008-06-23,3.2423,3.2423,3.2423,3.2423,88640,10.1000,0
2008-06-24,3.3386,3.3386,3.3065,3.3386,300040,10.4000,0
2008-06-25,3.4349,3.4349,3.4349,3.4349,89320,10.7000,0
2008-06-26,3.5312,3.5312,3.3386,3.4028,199730,10.6000,0
2008-06-27,3.4028,3.4991,3.3386,3.4991,171960,10.9000,0
2008-06-30,3.4991,3.5633,3.4349,3.5633,100170,11.1000,0
2008-07-01,3.6275,3.6596,3.6275,3.6596,95630,11.4000,0
2008-07-02,3.7559,3.7559,3.6596,3.7559,219000,11.7000,0
2008-07-03,3.7559,3.8522,3.7559,3.8522,202050,12.0000,0
2008-07-04,3.9485,3.9485,3.9485,3.9485,135640,12.3000,0
2008-07-07,3.9485,3.9806,3.8522,3.8522,238150,12.0000,0
2008-07-08,3.7559,3.7559,3.7559,3.7559,211400,11.7000,0
2008-07-09,3.7559,3.7880,3.6917,3.7238,162750,11.6000,0
2008-07-10,3.6917,3.7238,3.6596,3.6596,249120,11.4000,0
2008-07-11,3.6917,3.7559,3.6596,3.7559,256940,11.7000,0
2008-07-14,3.8522,3.8522,3.8522,3.8522,81940,12.0000,0
2008-07-15,3.9485,3.9485,3.9485,3.9485,125090,12.3000,0
2008-07-16,3.8522,4.0448,3.8522,3.8522,458900,12.0000,0
2008-07-17,3.8522,3.8843,3.7559,3.7559,395390,11.7000,0
2008-07-18,3.6596,3.7238,3.6596,3.6596,162360,11.4000,0
2008-07-21,3.5633,3.5633,3.5633,3.5633,13970,11.1000,0
2008-07-22,3.4670,3.4670,3.4670,3.4670,3380,10.8000,0
2008-07-23,3.3707,3.3707,3.3707,3.3707,990,10.5000,0
2008-07-24,3.2744,3.2744,3.2744,3.2744,20040,10.2000,0
2008-07-25,3.1781,3.1781,3.1781,3.1781,123110,9.9000,0
2008-07-28,3.2102,3.2102,3.1781,3.2102,277230,10.0000,0
2008-07-29,3.2102,3.2102,3.1460,3.1460,199040,9.8000,0
2008-07-30,3.1139,3.1460,3.0818,3.0818,97780,9.6000,0
2008-07-31,3.0176,3.0818,3.0176,3.0818,98490,9.6000,0
2008-08-01,3.1460,3.1460,3.1139,3.1460,181210,9.8000,0
2008-08-04,3.1460,3.1781,3.0818,3.0818,119570,9.6000,0
2008-08-05,3.1139,3.1139,3.0176,3.0176,86170,9.4000,40000
2008-08-06,3.0818,3.0818,3.0818,3.0818,37560,9.6000,0
2008-08-07,3.1460,3.1460,3.1139,3.1139,66810,9.7000,0
2008-08-08,3.0818,3.1139,3.0818,3.1139,54190,9.7000,0
2008-08-11,3.1781,3.1781,3.1139,3.1781,334840,9.9000,0
2008-08-12,3.2423,3.2423,3.1139,3.1139,279470,9.7000,0
2008-08-13,3.0818,3.1460,3.0818,3.0818,76140,9.6000,0
2008-08-14,3.0818,3.1460,3.0497,3.1460,204630,9.8000,0
2008-08-15,3.2102,3.2102,3.2102,3.2102,247640,10.0000,0
2008-08-18,3.0497,3.2102,3.0497,3.2102,461270,10.0000,0
2008-08-19,3.0818,3.1781,3.0818,3.0818,128240,9.6000,0
2008-08-20,2.9855,3.0818,2.9534,3.0176,203170,9.4000,0
2008-08-21,2.9855,3.1460,2.9855,3.1460,237380,9.8000,0
2008-08-22,3.2423,3.2423,3.0497,3.0818,275630,9.6000,0
2008-08-25,3.2102,3.2102,3.0818,3.2102,748570,10.0000,0
2008-08-26,3.3707,3.3707,3.3707,3.3707,151050,10.5000,0
2008-08-27,3.5312,3.5312,3.4349,3.5312,942430,11.0000,0
2008-08-28,3.3707,3.4349,3.3707,3.3707,506800,10.5000,0
2008-08-29,3.2102,3.3386,3.2102,3.2423,217970,10.1000,0
2008-09-03,3.4028,3.4028,3.4028,3.4028,95130,10.6000,0
2008-09-04,3.5633,3.5633,3.3707,3.5633,1042390,11.1000,0
2008-09-05,3.7238,3.7238,3.7238,3.7238,145710,11.6000,0
2008-09-08,3.8843,3.8843,3.8843,3.8843,112530,12.1000,0
2008-09-09,4.0769,4.0769,4.0769,4.0769,50320,12.7000,0
2008-09-10,4.2695,4.2695,3.8843,4.2695,2944850,13.3000,0
2008-09-11,4.0769,4.2695,4.0769,4.0769,1331790,12.7000,0
2008-09-12,3.8843,3.9485,3.8843,3.8843,456660,12.1000,0
2008-09-15,4.0769,4.0769,3.9806,4.0769,478790,12.7000,0
2008-09-16,4.0127,4.0448,3.8843,3.8843,485390,12.1000,0
2008-09-17,3.6917,3.8522,3.6917,3.6917,920400,11.5000,0
2008-09-18,3.5312,3.5312,3.5312,3.5312,112120,11.0000,0
2008-09-19,3.6917,3.6917,3.6917,3.6917,176920,11.5000,0
2008-09-22,3.8522,3.8522,3.8522,3.8522,37520,12.0000,0
2008-09-23,3.8201,4.0448,3.7238,3.9164,807040,12.2000,0
2008-09-24,3.8843,3.9485,3.7880,3.7880,238950,11.8000,0
2008-09-25,3.7559,3.9485,3.7559,3.9485,197340,12.3000,0
2008-09-26,4.1411,4.1411,3.8201,3.9164,264680,12.2000,0
2008-09-29,3.8201,3.8843,3.7238,3.7238,235350,11.6000,0
2008-09-30,3.5633,3.5633,3.5633,3.5633,80300,11.1000,0
2008-10-01,3.6917,3.6917,3.4670,3.5954,317940,11.2000,0
2008-10-02,3.6596,3.7559,3.5954,3.7238,235110,11.6000,0
