date,open,high,low,close,volume,unadjusted,putthrough
2017-05-16,23.2837,23.2837,23.2837,23.2837,421800,48.0000,0
2017-05-17,24.8845,24.8845,23.2837,24.7389,45330,51.0000,1207801
2017-05-18,24.7389,24.7389,23.2837,24.4964,9120,50.5000,0
2017-05-19,22.7986,23.0412,22.7986,22.7986,129870,47.0000,0
2017-05-22,21.3434,21.8284,21.2221,21.2221,99560,43.7500,50000
2017-05-23,19.9366,19.9366,19.7426,19.7426,230970,40.7000,0
2017-05-24,19.1605,21.1008,19.1605,21.1009,23270,43.5000,0
2017-05-25,22.5076,22.5076,21.1979,21.1979,28490,43.7000,0
2017-05-26,20.8583,21.1979,20.1307,20.1792,47220,41.6000,0
2017-05-29,20.1792,20.3732,19.4031,20.1792,50040,41.6000,0
2017-05-30,19.5001,20.1792,19.4516,20.0822,15360,41.4000,0
2017-05-31,20.1307,20.3247,20.1307,20.2762,17350,41.8000,0
2017-06-01,20.1307,20.2277,19.9366,19.9852,16340,41.2000,0
2017-06-02,20.8098,20.8098,19.9367,19.9852,13830,41.2000,0
2017-06-05,19.9367,20.0337,19.4031,19.8882,7770,41.0000,0
2017-06-06,19.5001,19.7427,19.4031,19.7426,35700,40.7000,0
2017-06-07,19.7911,19.7911,19.4516,19.7911,24920,40.8000,0
2017-06-08,19.4515,19.6456,19.4515,19.4516,7550,40.1000,0
2017-06-09,19.8882,19.8882,19.4031,19.5971,6330,40.4000,0
2017-06-12,19.5971,19.5971,19.4031,19.4031,14610,40.0000,57800
2017-06-13,19.8397,19.8397,19.4031,19.6456,27010,40.5000,0
2017-06-14,19.4031,20.8583,19.4031,20.4217,33130,42.1000,0
2017-06-15,20.8098,20.8098,20.2762,20.7128,30530,42.7000,0
2017-06-16,20.6158,21.3434,20.5188,21.0038,31930,43.3000,0
2017-06-19,21.0038,21.5859,21.0038,21.5859,49890,44.5000,71524
2017-06-20,21.8284,22.5561,21.8284,22.2650,15370,45.9000,0
2017-06-21,22.3135,22.3135,21.7314,21.7315,14860,44.8000,0
2017-06-22,22.0711,22.0711,21.7315,21.8285,34930,45.0000,0
2017-06-23,21.8285,22.3136,21.4647,21.5374,36590,44.4000,0
2017-06-26,21.4889,21.9740,21.4889,21.8285,33950,45.0000,0
2017-06-27,21.6345,21.9740,21.5860,21.7800,30210,44.9000,0
2017-06-28,21.5375,21.8285,21.3434,21.7800,43400,44.9000,0
2017-06-29,20.9069,21.8770,20.9069,21.2949,23440,43.9000,0
2017-06-30,21.3919,21.3919,21.1494,21.3434,30990,44.0000,0
2017-07-03,22.2165,22.2165,21.4404,21.8285,54760,45.0000,100000
2017-07-04,22.5900,22.7930,22.0823,22.5897,30310,44.5000,0
2017-07-05,22.8435,22.8435,21.8790,22.2851,30120,43.9000,0
2017-07-06,22.2851,22.5897,22.2851,22.5897,31140,44.5000,0
2017-07-07,22.3359,22.6405,22.3359,22.6404,1110,44.6000,0
2017-07-10,22.5389,22.5896,22.0820,22.1328,28590,43.6000,0
2017-07-11,22.2343,22.2343,21.8790,22.0313,20470,43.4000,0
2017-07-12,22.0313,22.1328,21.8282,21.9297,26490,43.2000,0
2017-07-13,21.9297,21.9805,21.0667,21.8028,20620,42.9500,0
2017-07-14,22.0820,22.0820,21.2190,21.8028,19180,42.9500,0
2017-07-17,21.7774,21.8028,21.5744,21.8028,24010,42.9500,250000
2017-07-18,21.8028,21.8028,21.2698,21.6759,22010,42.7000,0
2017-07-19,21.6759,21.8282,20.3053,21.5490,20050,42.4500,0
2017-07-20,21.5490,21.5490,20.2038,21.0668,21140,41.5000,0
2017-07-21,21.0668,21.8283,20.6099,21.8282,26940,43.0000,0
2017-07-24,21.7267,21.7267,20.8129,20.9906,19990,41.3500,0
2017-07-25,21.5744,21.5744,21.1683,21.3206,25250,42.0000,0
2017-07-26,21.3206,21.6759,20.9653,21.3206,31030,42.0000,0
2017-07-27,21.0668,21.3206,21.0668,21.0668,29650,41.5000,0
2017-07-28,21.0668,21.4221,21.0668,21.4221,33950,42.2000,0
2017-07-31,21.3713,21.5236,21.0921,21.4221,19950,42.2000,0
2017-08-01,21.5236,21.5744,21.3206,21.3206,48950,42.0000,0
2017-08-02,21.3206,21.4221,21.2191,21.3206,55060,42.0000,0
2017-08-03,21.3206,21.3206,21.2698,21.2698,21600,41.9000,0
2017-08-04,21.4221,21.4221,21.1175,21.2191,98450,41.8000,0
2017-08-07,21.1937,21.2191,19.8485,19.8485,41840,39.1000,0
2017-08-08,20.5592,21.0668,20.5592,20.7622,19250,40.9000,0
2017-08-09,20.7368,20.7368,20.3053,20.7368,19920,40.8500,0
2017-08-10,20.7368,20.7368,20.3053,20.7114,21340,40.8000,0
2017-08-11,20.7114,20.7114,20.3053,20.4576,25560,40.3000,0
2017-08-14,20.8129,21.2698,20.4576,20.8130,25620,41.0000,0
2017-08-15,21.2699,21.2699,20.7115,21.1429,29540,41.6500,0
2017-08-16,21.2698,21.2698,21.1429,21.1429,29550,41.6500,0
2017-08-17,21.1429,21.1683,20.9145,20.9906,22580,41.3500,0
2017-08-18,20.9906,21.0160,20.9398,20.9399,21690,41.2500,0
2017-08-21,21.2699,21.2699,20.8638,21.0668,30570,41.5000,0
2017-08-22,21.2699,21.3206,21.0414,21.1175,37020,41.6000,0
2017-08-23,21.2698,21.2698,21.0667,21.1683,38880,41.7000,0
2017-08-24,21.2444,21.2444,21.1683,21.2444,35190,41.8500,0
2017-08-25,21.2952,21.3205,20.8129,21.2191,26190,41.8000,0
2017-08-28,21.3206,21.3206,21.1176,21.2698,38810,41.9000,50000
