date,open,high,low,close,volume,unadjusted,putthrough
2014-06-30,4.5343,4.5343,3.9429,3.9429,5000,10.0000,0
2014-07-01,4.1400,4.1400,3.8640,3.8640,17000,9.8000,346500
2014-07-02,3.5486,3.5486,3.5091,3.5092,16900,8.9000,0
2014-07-03,3.5881,3.8246,3.5486,3.8246,15100,9.7000,0
2014-07-04,3.5092,3.5092,3.4697,3.4697,4900,8.8000,0
2014-07-07,3.8246,3.8246,3.8246,3.8246,2000,9.7000,0
2014-07-09,3.8246,3.8246,3.8246,3.8246,2000,9.7000,0
2014-07-10,3.8246,3.9429,3.8246,3.8246,500,9.7000,38000
2014-07-11,3.9429,3.9429,3.9429,3.9429,600,10.0000,0
2014-07-14,3.9035,3.9035,3.8246,3.8640,9500,9.8000,0
2014-07-15,4.0611,4.0611,3.9429,4.0612,1500,10.3000,0
2014-07-16,3.9429,3.9429,3.9429,3.9429,3000,10.0000,0
2014-07-18,3.7458,3.7458,3.7458,3.7457,500,9.5000,0
2014-07-21,3.7851,3.7851,3.7457,3.7457,3000,9.5000,0
2014-07-23,3.7457,3.7457,3.7457,3.7457,1000,9.5000,0
2014-07-25,3.5880,3.5880,3.5880,3.5880,200,9.1000,0
2014-07-29,3.9034,3.9034,3.9034,3.9035,400,9.9000,0
2014-08-11,3.6275,3.6275,3.6275,3.6275,4000,9.2000,0
2014-08-13,3.6275,3.7064,3.6275,3.7063,5000,9.4000,0
2014-08-15,3.6669,3.6669,3.6669,3.6669,500,9.3000,0
2014-08-19,3.6669,3.6669,3.6669,3.6669,10100,9.3000,0
2014-08-20,3.6669,3.6669,3.6275,3.6669,27900,9.3000,0
2014-08-21,3.5486,3.5486,3.5486,3.5486,7000,9.0000,0
2014-08-22,3.7457,3.7457,3.7457,3.7457,1000,9.5000,0
2014-08-29,3.9823,3.9823,3.9823,3.9823,100,10.1000,0
2014-09-03,3.6669,3.6669,3.6274,3.6275,5000,9.2000,0
2014-09-04,3.7458,3.7458,3.6275,3.6669,6700,9.3000,0
2014-09-09,3.7063,3.7063,3.7063,3.7063,4000,9.4000,0
2014-09-11,3.6274,3.6274,3.6274,3.6275,100,9.2000,0
2014-09-15,3.6275,3.6275,3.6275,3.6275,1100,9.2000,0
2014-09-19,3.9429,3.9429,3.9429,3.9429,6000,10.0000,0
2014-09-23,3.6669,3.6669,3.6669,3.6669,300,9.3000,0
2014-09-25,3.6669,3.6669,3.6669,3.6669,2100,9.3000,0
2014-09-26,3.8640,3.8640,3.8640,3.8640,2000,9.8000,0
2014-09-29,3.8246,3.9034,3.8246,3.9035,8000,9.9000,0
2014-09-30,3.8641,3.8641,3.7064,3.7063,1000,9.4000,0
2014-10-01,3.8640,3.9034,3.7457,3.7457,2200,9.5000,0
2014-10-02,3.7063,3.7063,3.7063,3.7063,200,9.4000,0
2014-10-03,3.8640,3.8640,3.8640,3.8640,1000,9.8000,0
2014-10-07,3.7457,3.7457,3.7457,3.7457,4000,9.5000,0
2014-10-09,3.5486,3.9428,3.4697,3.9429,3200,10.0000,0
2014-10-10,3.9035,3.9035,3.9035,3.9035,3800,9.9000,0
2014-10-13,3.9035,3.9035,3.9035,3.9035,1000,9.9000,0
2014-10-15,3.9429,3.9429,3.9429,3.9429,2600,10.0000,0
2014-10-16,3.9035,3.9035,3.9035,3.9035,400,9.9000,0
2014-10-20,4.1401,4.1401,4.1401,4.1400,6000,10.5000,0
2014-10-21,4.1006,4.1006,3.8640,3.8640,7000,9.8000,0
2014-10-23,4.1006,4.1006,4.1006,4.1006,2000,10.4000,0
2014-10-24,3.7063,4.0612,3.7063,3.7457,4400,9.5000,0
2014-10-27,3.7457,3.7457,3.7063,3.7063,1000,9.4000,0
2014-10-29,4.0612,4.0612,4.0612,4.0612,100,10.3000,0
2014-10-30,3.9429,3.9429,3.7852,3.9429,5500,10.0000,0
2014-11-03,3.5486,4.0218,3.5486,4.0217,600,10.2000,0
2014-11-04,3.5486,4.0217,3.5486,4.0217,1300,10.2000,0
2014-11-05,4.0217,4.0217,4.0217,4.0217,3000,10.2000,0
2014-11-06,4.0217,4.0217,4.0217,4.0217,1100,10.2000,0
2014-11-07,3.8246,3.8246,3.7851,3.7852,1000,9.6000,0
2014-11-10,4.0612,4.0612,4.0612,4.0612,800,10.3000,0
2014-11-11,3.9429,4.0612,3.9429,4.0612,5200,10.3000,530000
2014-11-13,4.0612,4.0612,4.0612,4.0612,4000,10.3000,0
2014-11-14,3.9429,3.9429,3.9429,3.9429,600,10.0000,0
2014-11-18,3.9823,3.9823,3.9823,3.9823,12000,10.1000,0
2014-11-19,3.9823,3.9823,3.9823,3.9823,3000,10.1000,0
2014-11-20,3.9823,3.9823,3.9823,3.9823,100,10.1000,0
2014-11-24,4.0217,4.0217,4.0217,4.0217,2000,10.2000,0
2014-11-26,4.0217,4.0217,4.0217,4.0217,6100,10.2000,0
2014-11-27,4.0217,4.0217,4.0217,4.0217,1000,10.2000,0
2014-12-05,4.0217,4.0217,4.0217,4.0217,4100,10.2000,0
2014-12-11,4.0217,4.0217,4.0217,4.0217,5000,10.2000,0
2014-12-12,4.1400,4.1400,4.0611,4.0612,9600,10.3000,0
2014-12-15,4.0612,4.1401,3.9823,4.1006,13000,10.4000,1133000
2014-12-16,4.1006,4.4555,3.9823,4.4555,11000,11.3000,30000
2014-12-17,4.4555,4.4555,4.1401,4.1400,11800,10.5000,0
2014-12-18,4.2189,4.6526,4.1794,4.6526,49000,11.8000,0
2014-12-19,4.3372,4.3372,4.3372,4.3372,1100,11.0000,0
2014-12-22,4.3372,4.3372,4.3372,4.3372,200,11.0000,0
2014-12-23,4.7709,4.7709,4.7709,4.7709,199200,12.1000,0
2014-12-24,5.2440,5.2440,5.2046,5.2440,515600,13.3000,0
2014-12-26,4.7314,4.7314,4.7314,4.7315,20000,12.0000,0
2014-12-29,4.2584,4.3372,4.2584,4.2977,4500,10.9000,0
2014-12-30,4.3371,4.3371,4.3371,4.3372,12100,11.0000,0
2014-12-31,4.2583,4.7315,4.2189,4.7315,12500,12.0000,0
2015-01-06,4.3372,4.4555,4.3372,4.4555,6000,11.3000,0
2015-01-07,4.3372,4.3372,4.2584,4.2583,2000,10.8000,0
2015-01-08,4.2977,4.3766,4.2977,4.3766,13700,11.1000,0
2015-01-09,4.2583,4.4160,4.2583,4.3766,11000,11.1000,0
2015-01-12,4.0217,4.3372,4.0217,4.3372,6000,11.0000,66400
2015-01-13,4.3372,4.3372,4.3372,4.3372,10800,11.0000,0
2015-01-14,4.3372,4.3372,4.3372,4.3372,10000,11.0000,0
2015-01-15,4.4555,4.5343,4.4555,4.5343,10000,11.5000,0
2015-01-19,4.3372,4.5343,4.3372,4.5343,18300,11.5000,0
2015-01-20,4.4949,4.4949,4.4554,4.4949,16000,11.4000,0
2015-01-21,4.4555,4.4555,4.4555,4.4555,5000,11.3000,0
2015-02-02,4.4555,4.4555,4.4555,4.4555,800,11.3000,0
2015-02-03,4.5344,4.5344,4.5344,4.5343,200,11.5000,0
2015-02-26,4.5343,4.5343,4.5343,4.5343,100,11.5000,0
2015-03-02,4.5343,4.5343,4.5343,4.5343,100,11.5000,0
2015-03-05,4.4554,4.4554,4.3372,4.3372,600,11.0000,0
2015-03-06,4.3372,4.3766,4.3372,4.3766,6000,11.1000,0
2015-03-09,4.2189,4.2189,4.2189,4.2189,1000,10.7000,0
2015-03-10,4.2583,4.2583,4.2583,4.2583,70000,10.8000,0
2015-03-12,4.2583,4.2583,4.2583,4.2583,2400,10.8000,0
2015-03-13,4.2977,4.2977,4.2583,4.2583,73100,10.8000,0
2015-03-16,4.3372,4.3372,4.3372,4.3372,10000,11.0000,0
2015-03-17,4.3372,4.7315,4.3372,4.7315,25000,12.0000,0
2015-03-19,4.5344,4.7315,4.4949,4.7315,9000,12.0000,0
2015-03-20,4.4949,4.9681,4.4555,4.9680,48400,12.6000,0
2015-03-23,5.0074,5.0074,4.8891,5.0075,39100,12.7000,0
2015-03-24,5.0075,5.0469,4.9681,5.0075,33500,12.7000,0
2015-03-25,5.0469,5.0469,5.0075,5.0075,19500,12.7000,0
2015-03-26,5.0075,5.0075,5.0075,5.0075,29000,12.7000,0
2015-03-27,5.0075,5.0469,5.0075,5.0469,20000,12.8000,0
