date,open,high,low,close,volume,unadjusted,putthrough
2009-01-14,1.9725,2.1275,1.9725,2.1134,15400,15.0000,0
2009-01-16,2.1275,2.1275,2.0993,2.0993,7000,14.9000,0
2009-01-19,1.9725,1.9725,1.9725,1.9725,10900,14.0000,0
2009-01-21,1.9725,1.9725,1.9725,1.9725,600,14.0000,0
2009-01-22,1.9725,1.9866,1.9725,1.9866,10800,14.1000,0
2009-01-23,1.9725,2.0148,1.9725,2.0006,3300,14.2000,0
2009-02-02,1.9724,1.9724,1.9724,1.9725,500,14.0000,0
2009-02-03,1.9725,1.9725,1.9725,1.9725,4300,14.0000,0
2009-02-06,2.0570,2.0570,1.8598,1.8738,16500,13.3000,0
2009-02-09,1.9020,1.9865,1.8738,1.9866,2800,14.1000,0
2009-02-10,1.7612,1.7893,1.7612,1.7611,15200,12.5000,0
2009-02-11,1.8738,1.8738,1.8738,1.8738,100,13.3000,6500
2009-02-12,1.7470,1.8315,1.7470,1.7470,8100,12.4000,0
2009-02-13,1.7611,1.7611,1.7329,1.7611,7500,12.5000,0
2009-02-16,1.8597,1.8597,1.8597,1.8598,100,13.2000,0
2009-02-17,1.7612,1.8034,1.7612,1.7752,7000,12.6000,0
2009-02-18,1.7893,1.7893,1.7893,1.7893,100,12.7000,0
2009-02-19,1.7752,1.7752,1.7611,1.7611,6000,12.5000,0
2009-02-20,1.7329,1.7752,1.7329,1.7611,6900,12.5000,0
2009-02-23,1.7611,1.7611,1.7329,1.7470,6500,12.4000,0
2009-02-24,1.7470,1.7470,1.7188,1.7330,9000,12.3000,0
2009-02-25,1.7330,1.7330,1.7330,1.7330,3000,12.3000,0
2009-02-26,1.7330,1.7612,1.7330,1.7611,4800,12.5000,0
2009-02-27,1.7752,1.7752,1.7752,1.7752,4100,12.6000,0
2009-03-02,1.7752,1.7893,1.7752,1.7752,7000,12.6000,0
2009-03-03,1.7752,1.7752,1.7752,1.7752,1800,12.6000,0
2009-03-04,1.7893,1.7893,1.7611,1.7611,6500,12.5000,0
2009-03-05,1.7752,1.7752,1.7752,1.7752,3000,12.6000,0
2009-03-06,1.8597,1.8597,1.7893,1.7893,3500,12.7000,0
2009-03-09,1.8597,1.8597,1.8175,1.8175,1800,12.9000,0
2009-03-11,1.9725,1.9725,1.8316,1.9725,700,14.0000,0
2009-03-12,1.9021,1.9021,1.9021,1.9020,500,13.5000,0
2009-03-13,1.9020,1.9724,1.8316,1.8316,19400,13.0000,0
2009-03-17,1.9443,1.9443,1.9443,1.9443,100,13.8000,0
2009-03-18,1.9020,1.9020,1.8316,1.8316,19700,13.0000,0
2009-03-19,1.8175,1.8316,1.8175,1.8316,3500,13.0000,0
2009-03-20,1.8316,1.8316,1.8316,1.8316,1000,13.0000,0
2009-03-23,1.9443,1.9443,1.7612,1.7611,300,12.5000,0
2009-03-24,1.8175,1.8879,1.8175,1.8879,3600,13.4000,0
