date,open,high,low,close,volume,unadjusted,putthrough
2015-12-10,31.4709,31.4709,31.4709,31.4709,11300,70.0000,0
2015-12-11,31.5159,31.5159,31.4709,31.4709,2900,70.0000,0
2015-12-14,31.4709,31.4709,31.4709,31.4709,400,70.0000,0
2015-12-15,31.4709,31.4709,31.4709,31.4709,2800,70.0000,0
2015-12-16,31.4709,31.4709,31.4709,31.4709,3000,70.0000,0
2015-12-18,33.7188,33.7188,33.7188,33.7188,3900,75.0000,0
2015-12-21,31.9205,31.9205,31.8305,31.8305,600,70.8000,1700
2015-12-22,32.3700,32.8196,32.3700,32.8196,2700,73.0000,0
2015-12-23,32.3700,32.3700,31.6956,31.6957,600,70.5000,0
2015-12-24,32.3701,32.8197,32.3701,32.8196,4200,73.0000,0
2015-12-25,32.8196,33.7188,32.8196,32.8196,2200,73.0000,0
2015-12-28,32.3700,35.0675,32.3700,35.0675,3800,78.0000,0
2015-12-29,35.0675,35.0675,35.0675,35.0675,700,78.0000,0
2015-12-30,35.5171,35.7419,35.5171,35.7419,2100,79.5000,0
2015-12-31,36.1915,36.1915,35.0675,35.0675,1400,78.0000,0
2016-01-04,35.0675,36.4162,35.0675,36.4163,1900,81.0000,0
2016-01-06,35.5172,35.5172,35.5172,35.5171,800,79.0000,0
2016-01-07,35.2923,35.2923,33.7188,35.2474,3500,78.4000,0
2016-01-08,33.9436,33.9436,33.7188,33.7188,1600,75.0000,0
2016-01-11,35.5171,35.5171,34.1684,34.1684,600,76.0000,0
2016-01-12,33.7188,35.2924,33.7188,35.0675,2000,78.0000,0
2016-01-13,33.7188,33.7188,33.7188,33.7188,300,75.0000,0
2016-01-15,33.7188,33.7188,33.7188,33.7188,300,75.0000,0
2016-01-18,33.7188,33.7188,33.7188,33.7188,100,75.0000,0
2016-01-20,33.7188,33.7188,33.7188,33.7188,400,75.0000,0
2016-01-21,33.7188,33.7188,33.7188,33.7188,200,75.0000,0
2016-01-25,33.7188,33.7188,33.7188,33.7188,100,75.0000,0
2016-01-29,32.3700,32.3700,31.9205,31.9205,300,71.0000,0
2016-02-01,32.3701,32.3701,32.3701,32.3700,1100,72.0000,0
2016-02-02,31.4708,31.4708,31.4708,31.4709,200,70.0000,0
2016-02-04,31.4709,31.4709,31.4709,31.4709,100,70.0000,0
2016-02-16,31.9205,31.9205,31.9205,31.9205,2000,71.0000,0
2016-02-18,31.9205,31.9205,30.5717,30.5717,1000,68.0000,0
2016-02-19,31.4709,31.4709,31.4709,31.4709,100,70.0000,0
2016-02-22,31.4709,31.4709,31.4709,31.4709,2600,70.0000,0
2016-02-23,31.4709,31.4709,31.4709,31.4709,2000,70.0000,0
2016-02-24,26.7503,27.6494,26.7503,27.4246,1100,61.0000,0
2016-02-29,29.2230,29.2230,29.2230,29.2230,400,65.0000,0
2016-03-01,30.5718,31.4709,30.5718,31.4709,200,70.0000,0
2016-03-02,32.8197,32.8197,32.8197,32.8196,100,73.0000,0
2016-03-04,30.5717,31.2461,30.5717,31.2461,1400,69.5000,0
2016-03-07,28.0990,31.4709,28.0990,31.4709,200,70.0000,0
2016-03-08,31.2461,31.2461,31.2461,31.2461,200,69.5000,0
2016-03-09,31.4709,31.4709,31.4709,31.4709,187,70.0000,0
2016-03-11,30.9314,31.4709,27.8742,27.8742,400,62.0000,0
2016-03-14,31.0213,31.4709,31.0213,31.0213,2007,69.0000,0
2016-03-15,31.0213,31.0213,31.0213,31.0213,200,69.0000,0
2016-03-16,31.0213,31.0213,30.5717,30.5717,800,68.0000,0
2016-03-18,31.0213,31.0213,30.5717,30.5717,300,68.0000,0
2016-03-22,30.5717,32.3251,30.5717,32.3251,3600,71.9000,0
2016-03-23,31.4709,31.4709,31.4709,31.4709,800,70.0000,0
2016-03-25,32.5949,33.2692,32.5949,33.2692,3800,74.0000,0
2016-03-28,32.5948,34.1684,32.5948,33.7188,700,75.0000,0
2016-03-29,33.7188,38.6193,33.7188,34.6180,3650,77.0000,0
2016-03-30,36.9558,37.0907,31.0213,31.0213,5500,69.0000,0
2016-03-31,33.8087,35.0676,31.9205,31.9205,5200,71.0000,0
2016-04-01,35.0676,39.0689,35.0676,35.9667,3709,80.0000,0
2016-04-04,37.6302,38.0797,37.6302,38.0798,700,84.7000,0
2016-04-05,37.7651,43.1601,37.7651,41.8113,3700,93.0000,0
2016-04-06,41.3617,41.3617,41.3617,41.3617,200,92.0000,0
2016-04-07,40.4625,40.7323,40.4625,40.4626,800,90.0000,0
2016-04-08,40.4626,40.9122,40.2378,40.4626,2700,90.0000,0
2016-04-11,43.1601,43.1601,42.2609,42.2609,1700,94.0000,0
2016-04-12,42.7105,42.7105,41.8113,41.8113,1200,93.0000,2400
2016-04-13,41.9462,41.9462,41.8113,41.8113,200,93.0000,0
2016-04-14,39.1138,39.1138,37.7650,37.7651,1600,84.0000,0
2016-04-15,38.6643,38.6643,38.3945,38.4394,2400,85.5000,0
2016-04-19,37.4054,37.4054,37.4054,37.4054,1000,83.2000,0
2016-04-20,36.2365,36.2365,36.1915,36.1915,800,80.5000,0
2016-04-21,36.1915,38.2146,36.1915,38.2146,1000,85.0000,0
2016-04-22,36.8658,37.3154,36.6411,36.6411,800,81.5000,0
2016-04-26,37.9898,41.3617,37.7650,38.2146,3800,85.0000,0
2016-04-27,37.7650,37.7650,37.7650,37.7651,300,84.0000,0
2016-04-28,37.5403,37.5403,37.4504,37.4953,1000,83.4000,0
2016-04-29,37.7651,41.1369,37.7651,41.1369,700,91.5000,0
2016-05-04,38.3045,38.7541,38.3045,38.7541,400,86.2000,0
2016-05-06,38.2146,38.2146,38.1247,38.1247,500,84.8000,0
2016-05-10,38.1697,38.9340,38.1697,38.2146,900,85.0000,0
2016-05-13,38.6642,38.6642,38.6642,38.6642,100,86.0000,0
2016-05-16,40.0130,40.0130,40.0130,40.0130,100,89.0000,0
2016-05-17,36.8659,40.0130,36.8659,40.0130,200,89.0000,0
2016-05-19,39.1138,39.1138,38.6642,38.6642,200,86.0000,0
2016-05-20,40.9121,41.8113,40.9121,41.4067,1500,92.1000,0
2016-05-23,43.1601,44.0592,42.7105,44.0592,2700,98.0000,0
2016-05-25,42.7105,42.7105,42.7105,42.7105,1600,95.0000,0
2016-05-26,40.0130,41.3617,40.0130,41.3617,1500,92.0000,0
2016-05-27,40.5075,42.7105,40.5075,42.7105,1600,95.0000,0
2016-05-30,41.9012,41.9012,40.4626,40.4626,600,90.0000,0
2016-06-01,41.3617,41.3617,41.3617,41.3617,600,92.0000,0
2016-06-02,41.1369,41.1369,41.1369,41.1369,103,91.5000,0
2016-06-03,41.1369,45.8575,41.1369,45.8576,5500,102.0000,0
2016-06-06,49.4543,49.4543,43.4748,49.4542,450,110.0000,0
2016-06-07,45.4079,46.7567,45.4079,46.7567,2100,104.0000,0
2016-06-08,46.3071,46.7567,46.3071,46.7567,1200,104.0000,0
2016-06-09,49.4542,49.4542,49.4542,49.4542,100,110.0000,0
2016-06-13,48.1054,48.1054,46.3071,48.1055,500,107.0000,600
2016-06-14,56.2756,56.2756,56.2102,56.2986,4630,86.1000,0
2016-06-15,58.8487,58.8487,58.8487,58.8487,100,90.0000,0
2016-06-16,58.8487,59.5026,58.8487,59.5026,1900,91.0000,0
2016-06-17,59.5026,59.5026,58.8487,58.8487,300,90.0000,0
2016-06-20,58.8487,59.5026,58.8487,59.5026,2400,91.0000,0
2016-06-21,59.1103,59.1103,59.1103,59.1103,30,90.4000,0
2016-06-22,59.5026,59.5026,59.5026,59.5026,300,91.0000,0
2016-06-23,58.1949,58.1949,57.5410,57.5410,300,88.0000,0
2016-06-24,56.8871,56.8871,49.1714,49.1714,2400,75.2000,0
2016-06-28,58.8487,58.9795,58.8487,58.9795,600,90.2000,0
2016-06-29,58.9795,58.9795,58.9795,58.9795,100,90.2000,0
2016-07-01,58.8487,58.9795,58.8487,58.8487,2000,90.0000,0
2016-07-04,58.1948,58.1948,58.1948,58.1949,100,89.0000,0
2016-07-05,59.2411,59.2411,59.1757,59.1757,1200,90.5000,0
2016-07-06,59.1757,60.1565,59.1757,60.1565,1500,92.0000,0
2016-07-11,59.8296,60.1565,59.8296,60.1565,1300,92.0000,0
2016-07-12,60.8104,62.1181,60.8104,62.1181,2700,95.0000,0
2016-07-14,60.1565,62.1181,60.1565,62.1181,900,95.0000,0
2016-07-15,60.1565,62.7720,60.1565,62.7720,800,96.0000,0
2016-07-18,61.4642,61.4642,61.4642,61.4642,1600,94.0000,0
2016-07-19,61.4642,61.4642,61.4642,61.4642,200,94.0000,0
2016-07-21,66.0413,66.0413,66.0413,66.0414,100,101.0000,0
2016-07-25,61.7912,62.1181,61.7912,62.1181,700,95.0000,0
2016-07-26,65.3875,65.3875,62.1181,62.1181,300,95.0000,0
2016-07-28,62.1181,62.1181,60.8104,61.7912,800,94.5000,0
2016-07-29,60.1565,60.4834,58.8488,60.2873,2100,92.2000,0
2016-08-01,60.2219,60.2219,60.1565,60.1565,1300,92.0000,0
2016-08-02,59.5680,59.5680,59.5026,59.5680,1100,91.1000,0
2016-08-03,58.9141,62.1181,58.9141,62.1181,8000,95.0000,0
2016-08-04,58.8487,59.7642,58.8487,59.6334,2500,91.2000,0
2016-08-05,59.5026,59.5026,59.0449,59.5026,3460,91.0000,60
2016-08-09,59.1757,59.8296,58.9142,59.8296,2640,91.5000,0
2016-08-10,59.3065,59.3719,59.2411,59.2411,2300,90.6000,0
2016-08-11,59.5027,60.1565,59.3719,60.1565,530,92.0000,0
2016-08-12,59.3719,59.5026,59.3719,59.5026,1300,91.0000,0
2016-08-15,58.8487,59.8295,58.8487,59.8296,1500,91.5000,0
2016-08-16,59.1757,59.5027,59.1757,59.5026,1900,91.0000,0
2016-08-17,59.8295,60.1565,59.5680,59.5680,400,91.1000,60
2016-08-18,59.8295,60.8104,59.8295,60.8104,3800,93.0000,0
2016-08-19,60.1565,60.1565,60.1565,60.1565,800,92.0000,0
2016-08-22,59.3719,60.1565,59.3719,60.1565,520,92.0000,0
2016-08-23,59.5026,59.8296,59.5026,59.8296,960,91.5000,0
2016-08-24,62.1182,68.5915,62.1182,68.5915,36300,104.9000,0
2016-08-26,75.8494,75.8494,60.8757,62.8374,1200,96.1000,0
2016-08-29,61.1373,64.0798,61.1373,64.0797,6400,98.0000,0
2016-08-30,65.3874,67.3491,65.3874,66.3683,7000,101.5000,0
2016-08-31,65.4529,68.0030,65.4529,68.0030,700,104.0000,0
2016-09-05,68.5915,68.5915,66.0414,66.6952,900,102.0000,80
2016-09-06,66.6952,66.6952,66.4337,66.6952,4200,102.0000,0
2016-09-07,66.6952,66.6952,66.3029,66.6952,4000,102.0000,0
2016-09-08,65.3875,67.3491,65.3875,67.3491,3980,103.0000,0
2016-09-09,66.0414,67.3491,66.0414,66.6952,3400,102.0000,0
2016-09-12,65.3875,66.6952,65.3875,66.6952,900,102.0000,0
2016-09-13,65.4528,67.3491,65.4528,67.3491,2200,103.0000,0
2016-09-14,67.3491,68.1991,67.3491,68.1992,4200,104.3000,0
2016-09-15,67.3492,67.3492,66.6953,67.3491,6300,103.0000,0
2016-09-16,67.4145,68.0030,67.3491,67.4145,3200,103.1000,0
2016-09-19,67.3491,67.3491,67.3491,67.3491,1000,103.0000,0
2016-09-20,67.4145,67.4145,67.3491,67.3491,9500,103.0000,0
2016-09-21,68.6568,68.6568,67.3491,67.4145,2500,103.1000,0
2016-09-22,67.3491,67.6760,67.3491,67.6761,2810,103.5000,0
2016-09-23,67.3492,67.4145,67.3492,67.4145,18000,103.1000,0
2016-09-26,67.3491,67.4145,64.1451,64.1451,4100,98.1000,0
2016-09-27,62.1181,67.4145,62.1181,67.3491,12700,103.0000,0
