date,open,high,low,close,volume,unadjusted,putthrough
2009-12-30,8.1548,8.1548,8.1548,8.1548,29960,27.6000,0
2009-12-31,8.5389,8.5389,8.5389,8.5389,95100,28.9000,0
2010-01-04,8.9525,8.9525,8.9525,8.9526,103200,30.3000,0
2010-01-05,9.3958,9.3958,8.8935,8.9821,121900,30.4000,30000
2010-01-06,8.7162,9.3367,8.5685,8.9821,129990,30.4000,0
2010-01-07,8.7162,8.8639,8.6571,8.6571,79450,29.3000,0
2010-01-08,8.6571,8.8344,8.6276,8.7457,79340,29.6000,0
2010-01-11,9.1593,9.1593,9.1298,9.1594,102090,31.0000,150000
2010-01-12,9.5140,9.6026,9.1594,9.1594,77560,31.0000,0
2010-01-13,9.1594,9.1889,8.7162,8.7162,46630,29.5000,0
2010-01-14,8.7162,9.0117,8.3321,8.7162,57240,29.5000,0
2010-01-15,8.3025,8.7162,8.3025,8.3025,50400,28.1000,0
2010-01-18,8.2730,8.3320,7.9184,7.9775,30320,27.0000,0
2010-01-19,7.6820,8.3616,7.6820,8.2139,39010,27.8000,0
2010-01-20,8.5389,8.5389,7.8593,7.8594,15530,26.6000,0
2010-01-21,7.8594,8.1253,7.4753,7.8298,36250,26.5000,0
2010-01-22,8.0366,8.0366,7.4752,7.5934,25580,25.7000,0
2010-01-25,7.6820,7.6820,7.2388,7.6230,35510,25.8000,0
2010-01-26,7.9776,7.9776,7.8298,7.9775,27590,27.0000,0
2010-01-27,8.1252,8.1252,7.5934,7.5934,33170,25.7000,0
2010-01-28,7.8298,7.8298,7.2979,7.6230,35200,25.8000,0
2010-01-29,7.9480,7.9480,7.6821,7.8003,30260,26.4000,0
2010-02-01,7.8003,7.9480,7.8003,7.9184,30870,26.8000,0
2010-02-02,8.2434,8.2434,7.7116,7.9480,33460,26.9000,0
2010-02-03,7.9775,8.0662,7.9480,7.9775,30700,27.0000,0
2010-02-04,7.9775,7.9775,7.6820,7.9775,38050,27.0000,0
2010-02-05,7.5934,7.7707,7.5934,7.6525,20800,25.9000,0
2010-02-08,7.9184,7.9184,7.5048,7.5343,19670,25.5000,0
2010-02-09,7.8298,7.8298,7.5048,7.5639,20840,25.6000,0
2010-02-10,7.8298,7.8298,7.6230,7.6525,14690,25.9000,0
2010-02-11,7.3866,7.8002,7.3866,7.5048,15320,25.4000,0
2010-02-12,7.6230,7.8298,7.5343,7.6230,17620,25.8000,0
2010-02-22,7.6821,7.8298,7.6230,7.6821,19180,26.0000,0
2010-02-23,7.6821,7.6821,7.6230,7.6525,21150,25.9000,100000
2010-02-24,7.6525,7.6525,7.5639,7.6525,25380,25.9000,0
2010-02-25,7.6525,7.8889,7.6230,7.6525,32730,25.9000,0
2010-02-26,7.6525,7.8889,7.6525,7.6821,41380,26.0000,0
2010-03-01,7.6821,7.8298,7.6821,7.8298,41560,26.5000,0
2010-03-02,7.9775,8.2139,7.8298,7.8889,46790,26.7000,0
2010-03-03,7.9184,7.9775,7.8889,7.9775,52680,27.0000,0
2010-03-04,8.3616,8.3616,8.2139,8.3321,53180,28.2000,0
2010-03-05,8.7458,8.7458,8.7458,8.7457,27640,29.6000,0
2010-03-08,9.1298,9.1298,8.7457,8.8344,60130,29.9000,0
2010-03-09,8.8344,8.8639,8.8344,8.8639,93830,30.0000,0
2010-03-10,8.8639,9.3071,8.5093,9.3071,87300,31.5000,0
2010-03-11,9.6026,9.7503,9.3957,9.7503,79760,33.0000,0
2010-03-12,9.7503,10.2230,9.7503,10.2231,90740,34.6000,0
2010-03-15,10.7254,10.7254,10.1049,10.2231,65600,34.6000,0
2010-03-16,10.0458,10.1936,9.7208,9.7799,78220,33.1000,0
2010-03-17,9.7504,10.0458,9.7208,9.7208,72210,32.9000,500000
2010-03-18,9.8094,9.8094,9.7503,9.7799,93520,33.1000,0
2010-03-19,9.8390,10.2526,9.7799,10.2526,97030,34.7000,0
2010-03-22,10.7549,10.7549,10.6662,10.7549,93860,36.4000,200000
2010-03-23,11.1685,11.2867,11.1685,11.2867,143680,38.2000,0
2010-03-24,11.8481,11.8481,11.2867,11.4936,115160,38.9000,0
2010-03-25,11.0799,11.0799,10.9322,10.9617,88040,37.1000,0
2010-03-26,10.5481,11.4935,10.4890,10.4890,82230,35.5000,0
2010-03-29,10.4890,10.6072,9.9867,10.0458,111050,34.0000,0
2010-03-30,9.9867,10.0753,9.8685,9.9867,105500,33.8000,0
2010-03-31,9.8981,9.9572,9.8094,9.9571,107480,33.7000,0
2010-04-01,9.9866,10.4298,9.9571,10.4299,141270,35.3000,0
2010-04-02,10.3413,10.9322,10.2526,10.5481,154260,35.7000,0
2010-04-05,10.5776,10.6072,10.2231,10.2231,123510,34.6000,0
2010-04-06,10.4004,10.4299,10.1049,10.1344,85750,34.3000,0
2010-04-07,10.0753,10.2230,9.9867,10.2231,110450,34.6000,0
2010-04-08,10.0754,10.1936,10.0754,10.1935,77070,34.5000,0
2010-04-09,10.4003,10.4890,10.1935,10.2526,88570,34.7000,0
2010-04-12,10.2231,10.3412,10.1935,10.1935,87530,34.5000,0
