date,open,high,low,close,volume,unadjusted,putthrough
2010-09-10,5.4341,8.1512,5.4341,8.1512,200,15.0000,0
2010-09-13,6.7927,6.7927,6.7927,6.7926,5000,12.5000,0
2010-09-16,6.7926,6.7926,6.7926,6.7926,15000,12.5000,0
2010-09-30,6.1405,6.1405,6.1405,6.1405,9000,11.3000,0
2010-10-07,6.1405,6.1405,6.1405,6.1405,20000,11.3000,0
2010-10-08,5.5428,5.5428,5.5428,5.5428,100,10.2000,0
2010-10-11,4.9994,4.9994,4.9994,4.9994,100,9.2000,0
2010-10-12,4.5103,4.5103,4.5103,4.5103,100,8.3000,0
2010-10-13,4.0756,4.0756,4.0756,4.0756,100,7.5000,0
2010-10-14,3.6952,3.6952,3.6952,3.6952,2700,6.8000,0
2010-10-15,3.3692,3.4235,3.3692,3.3691,47400,6.2000,0
2010-10-18,3.0974,3.0974,3.0431,3.0431,28300,5.6000,0
2010-10-19,2.7714,2.9888,2.7714,2.9888,76300,5.5000,0
2010-10-20,3.0431,3.0431,3.0431,3.0431,2900,5.6000,0
2010-10-21,3.3148,3.3148,3.2061,3.2061,9600,5.9000,0
2010-10-22,3.5321,3.6408,3.1518,3.2605,8800,6.0000,0
2010-10-25,3.0975,3.0975,3.0975,3.0974,9900,5.7000,0
2010-10-26,3.3691,3.3691,2.8257,3.1518,13200,5.8000,0
2010-10-27,3.1518,3.1518,2.9344,3.0431,9000,5.6000,0
2010-10-28,3.3691,3.3691,3.0974,3.1518,23100,5.8000,0
2010-10-29,3.1518,3.2061,3.1518,3.2061,15000,5.9000,0
2010-11-01,3.2061,3.2061,3.1518,3.2061,4900,5.9000,0
2010-11-02,3.0974,3.0974,3.0974,3.0974,6000,5.7000,0
2010-11-03,3.2061,3.2061,3.1517,3.1518,4800,5.8000,0
2010-11-05,3.1518,3.2061,3.1518,3.2061,7000,5.9000,0
2010-11-09,3.0974,3.1518,3.0974,3.1518,400,5.8000,0
2010-11-10,3.2061,3.2061,3.1518,3.1518,3800,5.8000,0
2010-11-11,3.0975,3.0975,3.0431,3.0974,2400,5.7000,0
2010-11-12,3.0974,3.0974,2.9887,3.0431,3300,5.6000,0
2010-11-15,2.9888,2.9888,2.8801,2.9888,6500,5.5000,0
2010-11-16,2.9345,2.9345,2.8801,2.8801,1600,5.3000,0
2010-11-17,2.7171,2.7714,2.7171,2.7171,51000,5.0000,0
2010-11-18,2.7171,2.9888,2.7171,2.9888,11500,5.5000,0
