date,open,high,low,close,volume,unadjusted,putthrough
2019-06-13,20.2760,20.2760,20.2760,20.2759,100,24.0000,0
2019-06-14,23.3173,23.3173,23.3173,23.3173,100,27.6000,0
2019-06-17,26.7811,26.7811,26.7811,26.7811,100,31.7000,0
2019-06-18,30.7518,30.7518,30.7518,30.7518,100,36.4000,0
2019-06-19,35.3139,35.3139,35.3139,35.3139,200,41.8000,0
2019-06-20,40.5518,40.5518,40.5518,40.5519,110,48.0000,0
2019-06-21,46.6347,46.6347,46.6347,46.6346,25377,55.2000,0
2019-06-24,53.5622,53.5622,53.5622,53.5622,5200,63.4000,0
2019-06-25,61.5881,61.5881,60.8277,61.5881,78444,72.9000,0
2019-06-26,70.1209,70.1209,59.1381,60.8278,26330,72.0000,0
2019-06-27,60.8278,61.2502,60.4054,60.6588,247500,71.8000,0
2019-06-28,57.8709,57.8709,56.2657,56.2657,330300,66.6000,0
2019-07-01,55.7588,55.7588,52.3795,54.0691,23436,64.0000,0
2019-07-02,57.4484,60.8277,56.6036,58.2933,61599,69.0000,0
2019-07-03,58.8847,60.8278,58.8002,59.9830,98859,71.0000,0
2019-07-04,59.9830,65.8968,59.9830,65.3899,110219,77.4000,0
2019-07-05,65.8123,72.1485,65.8123,70.4588,44964,83.4000,0
2019-07-08,70.1209,71.3881,67.5864,69.5295,65908,82.3000,7500
2019-07-09,68.6002,73.8381,68.6002,73.7537,95410,87.3000,3000
2019-07-10,72.2330,80.9348,71.8106,80.0899,303850,94.8000,40000
2019-07-11,77.7244,83.5537,66.4881,76.0347,218461,90.0000,0
2019-07-12,75.1899,78.4847,74.7675,75.8658,77760,89.8000,0
2019-07-15,76.0348,76.8796,74.3451,76.0347,33795,90.0000,78000
2019-07-16,73.6692,75.1899,73.6692,74.3451,66600,88.0000,0
2019-07-17,74.7675,74.7675,69.5296,70.9657,104502,84.0000,12000
2019-07-18,72.2329,76.8795,69.2760,75.9502,62700,89.9000,0
2019-07-19,76.4571,81.1037,76.4571,77.7244,104370,92.0000,0
