date,open,high,low,close,volume,unadjusted,putthrough
2006-12-25,5.1944,5.1944,5.1944,5.1944,10,35.0000,0
2006-12-26,5.4170,5.4170,5.1944,5.4170,24990,36.5000,0
2006-12-27,0.0000,5.6841,5.6396,5.6841,4500,38.3000,0
2006-12-28,5.9661,5.9661,5.9661,5.9661,25570,40.2000,0
2006-12-29,6.2629,6.2629,6.2629,6.2629,63700,42.2000,0
2007-01-02,6.5746,6.5746,6.5746,6.5746,70600,44.3000,0
2007-01-03,6.9011,6.9011,6.9011,6.9011,113900,46.5000,0
2007-01-04,7.2424,7.2424,7.2424,7.2424,93240,48.8000,0
2007-01-05,7.5689,7.5689,7.2721,7.2721,65890,49.0000,0
2007-01-08,7.2721,7.2721,7.1979,7.1979,20550,48.5000,0
2007-01-09,6.9753,7.1237,6.9753,7.1237,52470,48.0000,0
2007-01-10,7.3463,7.3463,7.1237,7.1237,121490,48.0000,0
2007-01-11,7.1237,7.1237,7.1237,7.1237,63220,48.0000,0
2007-01-12,6.9753,7.1237,6.7675,6.8269,54420,46.0000,0
2007-01-15,7.1237,7.1237,6.9011,6.9753,43150,47.0000,0
2007-01-16,6.9753,7.1237,6.9753,7.1088,59540,47.9000,0
2007-01-17,6.8268,6.8268,6.7823,6.7823,51230,45.7000,0
2007-01-18,6.7823,6.7823,6.6784,6.6785,21150,45.0000,0
2007-01-19,6.7824,6.8269,6.3668,6.3816,42730,43.0000,0
2007-01-22,6.1590,6.6636,6.1590,6.6636,49110,44.9000,0
2007-01-23,6.8269,6.9901,6.8269,6.9901,50370,47.1000,0
2007-01-24,7.3314,7.3314,7.3314,7.3315,144920,49.4000,0
2007-01-25,7.6432,7.6432,7.3463,7.3463,249000,49.5000,0
2007-01-26,0.0000,7.0050,6.9901,6.9901,26020,47.1000,0
2007-01-29,7.3314,7.3314,7.2721,7.3315,102020,49.4000,0
2007-01-30,7.6432,7.6432,7.6432,7.6431,85090,51.5000,0
2007-01-31,8.0141,8.0141,8.0141,8.0141,127910,54.0000,0
2007-02-01,8.3851,8.3851,8.3851,8.3852,99100,56.5000,0
2007-02-02,8.6078,8.6078,8.6078,8.6078,45260,58.0000,0
2007-02-05,8.2368,8.3110,8.2368,8.2368,101890,55.5000,0
2007-02-06,7.9400,7.9400,7.8658,7.9399,113470,53.5000,0
2007-02-07,8.3109,8.3109,8.0141,8.3110,95610,56.0000,0
2007-02-08,7.9400,8.3110,7.9400,7.9399,75720,53.5000,0
2007-02-09,7.9399,7.9399,7.5689,7.9399,45080,53.5000,0
2007-02-12,7.9399,7.9399,7.8657,7.8657,27000,53.0000,0
2007-02-13,8.0883,8.0883,8.0141,8.0883,47290,54.5000,0
2007-02-14,8.3109,8.3851,8.3109,8.3110,54210,56.0000,0
2007-02-15,8.2368,8.3110,8.2368,8.2368,26500,55.5000,0
2007-02-26,8.6078,8.6078,8.6078,8.6078,80610,58.0000,0
2007-02-27,8.9788,8.9788,8.9788,8.9788,57430,60.5000,0
2007-02-28,9.4240,9.4240,9.4240,9.4240,99610,63.5000,0
2007-03-01,9.8692,9.8692,9.8692,9.8693,115280,66.5000,0
2007-03-02,10.3145,10.3145,10.3145,10.3145,120650,69.5000,0
2007-03-05,10.7597,10.7597,10.6855,10.7597,21640,72.5000,0
2007-03-06,11.2791,11.2791,11.2791,11.2792,138190,76.0000,0
2007-03-07,11.7244,11.7244,10.7598,10.7597,135220,72.5000,0
2007-03-08,10.3145,10.6113,10.3145,10.6113,113870,71.5000,0
2007-03-09,10.8339,11.0565,10.8339,10.9081,153260,73.5000,0
2007-03-12,10.6855,10.7597,10.6855,10.7597,82420,72.5000,0
2007-03-13,10.3887,10.4629,10.3145,10.3887,57960,70.0000,0
2007-03-14,9.8693,10.3887,9.8693,9.8693,50180,66.5000,0
2007-03-15,9.4241,9.4241,9.4241,9.4240,35450,63.5000,0
2007-03-16,9.4240,9.8692,9.4240,9.8693,67040,66.5000,0
2007-03-19,10.3145,10.3145,10.3145,10.3145,99480,69.5000,0
2007-03-20,10.3145,10.3145,9.8693,10.0919,55840,68.0000,0
2007-03-21,9.6467,9.6467,9.6467,9.6467,51210,65.0000,0
2007-03-22,9.2015,9.2015,9.2015,9.2014,44370,62.0000,0
2007-03-23,9.2014,9.6466,9.2014,9.6467,34810,65.0000,0
2007-03-26,9.2015,9.2015,9.2015,9.2014,39230,62.0000,0
2007-03-27,8.7562,8.7562,8.7562,8.7562,55080,59.0000,0
2007-03-28,8.3852,8.7562,8.3852,8.7562,63420,59.0000,0
2007-03-29,9.1272,9.1272,9.1272,9.1272,27660,61.5000,0
2007-03-30,9.5724,9.5724,8.9046,8.9046,78430,60.0000,0
2007-04-02,8.7562,8.7562,8.4594,8.5336,57610,57.5000,0
2007-04-03,8.4594,8.4594,8.3110,8.4594,16790,57.0000,0
2007-04-04,8.3110,8.6820,8.3110,8.6820,46360,58.5000,0
2007-04-05,8.6820,8.6820,8.5336,8.5336,22080,57.5000,0
2007-04-06,8.1626,8.3110,8.1626,8.2368,35370,55.5000,0
2007-04-09,8.0142,8.1626,8.0142,8.1626,24610,55.0000,0
2007-04-10,8.1626,8.1626,8.1626,8.1626,24170,55.0000,0
2007-04-11,8.1626,8.1626,8.0142,8.0141,33940,54.0000,0
2007-04-12,7.7173,7.7173,7.6431,7.6431,53000,51.5000,0
2007-04-13,7.2721,7.2721,7.2721,7.2721,63800,49.0000,0
2007-04-16,7.4205,7.4205,7.2721,7.2721,78920,49.0000,0
2007-04-17,7.2721,7.4205,7.2721,7.4205,57430,50.0000,0
2007-04-18,7.5689,7.7915,7.5689,7.7915,64450,52.5000,0
2007-04-19,7.9399,7.9399,7.7173,7.7915,73890,52.5000,0
2007-04-20,7.4205,7.4947,7.4205,7.4205,29650,50.0000,0
2007-04-23,7.1237,7.1237,7.1237,7.1237,45540,48.0000,0
2007-04-24,7.1237,7.4205,7.1237,7.4205,37350,50.0000,0
2007-04-25,7.4205,7.7915,7.4205,7.7915,74420,52.5000,0
2007-05-02,7.7915,7.7915,7.4947,7.5689,20500,51.0000,0
2007-05-03,7.5689,7.6431,7.5689,7.5689,28580,51.0000,0
2007-05-04,7.4205,7.4205,7.2721,7.4205,8250,50.0000,0
2007-05-07,7.7173,7.7173,7.7173,7.7173,71280,52.0000,0
2007-05-08,7.8657,8.0141,7.8657,7.8657,42090,53.0000,0
2007-05-09,7.8657,7.8657,7.7173,7.7173,32090,52.0000,0
2007-05-10,7.4205,7.5689,7.4205,7.4205,17580,50.0000,0
2007-05-11,7.7915,7.7915,7.7915,7.7915,16100,52.5000,0
2007-05-14,8.0141,8.1625,8.0141,8.0883,57200,54.5000,0
2007-05-15,8.3851,8.3851,8.2367,8.2368,93830,55.5000,0
2007-05-16,8.2368,8.2368,8.0884,8.1626,42150,55.0000,0
2007-05-17,8.1626,8.2368,8.0142,8.2368,56460,55.5000,0
2007-05-18,8.4594,8.5336,8.4594,8.5336,87900,57.5000,0
2007-05-21,8.6078,8.7562,8.6078,8.7562,41970,59.0000,0
2007-05-22,8.9046,9.1272,8.9046,9.1272,90920,61.5000,0
