date,open,high,low,close,volume,unadjusted,putthrough
2012-10-16,6.5185,7.9704,6.5185,7.9704,8100,26.9000,0
2012-10-18,8.5037,8.5037,8.5037,8.5038,1400,28.7000,0
2012-10-19,9.0964,9.0964,9.0964,9.0964,2400,30.7000,0
2012-10-22,9.7186,9.7186,9.4816,9.7186,6800,32.8000,0
2012-10-23,9.0667,9.0667,9.0667,9.0667,3200,30.6000,0
2012-10-24,8.5037,8.5037,8.5037,8.5038,600,28.7000,0
2012-10-25,8.0001,8.0001,7.9408,7.9408,2300,26.8000,0
2012-10-26,8.1482,8.1482,7.9408,7.9408,200,26.8000,0
2012-11-02,7.4075,7.4075,7.4075,7.4075,100,25.0000,0
2012-11-05,6.9334,6.9334,6.9334,6.9334,100,23.4000,0
2012-11-06,7.0815,7.0815,7.0815,7.0815,100,23.9000,0
2012-11-09,7.5259,7.5259,7.5259,7.5260,100,25.4000,0
2012-11-12,8.0297,8.0297,8.0297,8.0297,100,27.1000,0
2012-11-13,8.5630,8.5630,8.5630,8.5630,100,28.9000,0
2012-11-14,8.5630,9.0371,8.5630,9.0371,200,30.5000,0
2012-11-29,8.4149,8.4149,8.4149,8.4149,100,28.4000,0
2012-11-30,7.8519,7.8519,7.8519,7.8519,300,26.5000,0
2012-12-05,8.3753,8.3753,8.3753,8.3752,100,27.2000,0
2012-12-19,7.7902,7.7902,7.7902,7.7902,200,25.3000,0
2012-12-20,8.3137,8.3137,8.3137,8.3137,100,27.0000,0
2013-01-21,7.4823,7.4823,7.4823,7.4823,1000,24.3000,0
2013-01-30,6.7741,6.7741,6.7741,6.7741,1500,22.0000,0
2013-02-04,6.7741,6.7741,6.7741,6.7741,1000,22.0000,0
2013-02-18,6.8049,6.8049,6.8049,6.8049,100,22.1000,0
2013-02-19,7.0820,7.0820,7.0820,7.0820,300,23.0000,0
2013-02-22,7.0820,7.0820,7.0820,7.0820,100,23.0000,0
2013-02-28,6.7741,6.7741,6.7741,6.7741,500,22.0000,0
2013-03-01,7.3283,7.4515,7.3283,7.4515,900,24.2000,0
2013-03-04,8.0057,8.0057,8.0057,8.0057,500,26.0000,0
2013-03-18,7.4207,7.4207,7.3899,7.3899,3000,24.0000,0
2013-03-20,7.3591,7.3591,7.3591,7.3591,200,23.9000,0
2013-03-22,7.0820,7.0820,7.0820,7.0820,1000,23.0000,0
2013-03-26,7.6978,7.7902,7.6978,7.7594,1900,25.2000,0
2013-03-29,8.3136,8.3136,8.3136,8.3137,200,27.0000,0
2013-04-01,7.8518,7.8518,7.8518,7.8518,1000,25.5000,0
2013-04-02,7.8518,7.8518,7.8518,7.8518,200,25.5000,0
2013-04-08,8.0058,8.0058,7.8518,7.8518,1700,25.5000,0
2013-04-09,7.8518,7.8518,7.8518,7.8518,800,25.5000,0
2013-04-12,8.0058,8.0058,7.6978,7.6978,1800,25.0000,0
2013-04-22,8.3752,8.3752,8.3752,8.3752,100,27.2000,0
2013-04-23,7.7286,7.7286,7.7286,7.7286,200,25.1000,0
2013-04-24,8.3752,8.3752,8.3752,8.3752,100,27.2000,0
2013-04-26,8.0057,8.0057,8.0057,8.0057,100,26.0000,0
2013-05-02,8.0057,8.0057,8.0057,8.0057,2000,26.0000,0
2013-05-06,8.3444,8.3752,8.3444,8.3752,3700,27.2000,0
2013-05-15,7.8518,7.8518,7.8518,7.8518,200,25.5000,0
2013-06-14,8.0058,8.0058,8.0058,8.0057,100,26.0000,0
2013-06-18,8.3136,8.3752,8.3136,8.3752,900,27.2000,0
2013-06-25,8.3752,8.3752,8.3752,8.3752,800,27.2000,0
2013-07-25,9.1576,9.1576,9.1576,9.1577,100,28.1000,0
2013-07-30,8.7992,8.7992,8.7992,8.7992,100,27.0000,0
2013-07-31,7.9193,7.9193,7.9193,7.9193,1300,24.3000,0
2013-08-07,7.3653,8.6363,7.3327,8.6362,1200,26.5000,0
2013-08-08,8.4669,8.4669,8.4669,8.4668,500,25.0000,0
2013-08-13,8.9748,8.9748,8.9748,8.9748,100,26.5000,0
2013-08-14,8.9748,8.9748,8.9748,8.9748,1500,26.5000,0
2013-08-19,8.8055,8.9748,8.8055,8.9748,1100,26.5000,0
2013-08-20,9.1441,9.1441,9.1441,9.1441,1000,27.0000,0
2013-08-22,9.1102,9.1441,9.1102,9.1441,6500,27.0000,0
2013-08-26,9.1441,9.1441,9.1441,9.1441,100,27.0000,0
2013-08-27,10.0246,10.0246,9.3134,9.9569,1600,29.4000,0
2013-09-04,9.8214,9.8214,9.8214,9.8214,200,29.0000,0
2013-09-05,9.8214,9.8214,9.8214,9.8214,200,29.0000,0
2013-09-16,8.8393,9.4827,8.8393,9.4828,1100,28.0000,0
2013-09-20,8.6361,8.6361,8.5345,8.5345,3000,25.2000,0
2013-09-24,8.4668,8.4668,8.1281,8.4668,5300,25.0000,0
2013-09-25,8.1281,8.2975,8.1281,8.2974,1000,24.5000,0
2013-09-27,7.5185,7.6539,7.5185,7.6539,1300,22.6000,0
2013-10-04,8.1958,8.2974,8.1958,8.2974,2000,24.5000,0
2013-10-07,9.1102,9.1102,8.6361,9.0086,84800,26.6000,0
2013-10-08,9.4827,9.4827,9.2118,9.2118,161900,27.2000,0
2013-10-09,9.4827,9.5166,9.3134,9.3134,220900,27.5000,0
2013-10-11,9.3134,10.1601,9.3134,9.4828,23200,28.0000,0
2013-10-14,8.8055,8.8055,8.8055,8.8054,600,26.0000,0
2013-10-16,8.8393,8.8393,8.8054,8.8054,2000,26.0000,60
2013-10-18,9.1441,9.1441,9.0763,9.1441,25900,27.0000,0
2013-10-21,9.1441,9.1441,9.0764,9.1102,12300,26.9000,0
2013-10-22,8.9747,8.9747,8.2297,8.9748,20500,26.5000,0
2013-10-23,8.1281,8.9748,8.1281,8.9748,5500,26.5000,0
2013-10-24,8.8055,9.2796,8.4668,8.8054,10200,26.0000,0
2013-10-25,8.8054,8.9409,8.8054,8.9409,4300,26.4000,0
2013-10-28,8.9409,9.0764,8.8054,9.0764,3200,26.8000,0
2013-10-29,8.8055,9.0425,8.8055,9.0425,6000,26.7000,0
2013-10-30,8.9748,9.1102,8.9748,9.1102,2400,26.9000,0
2013-10-31,8.9747,9.2795,8.9747,9.2796,6900,27.4000,0
2013-11-01,9.2796,9.3473,9.2796,9.3473,9300,27.6000,0
2013-11-04,9.3473,10.1601,9.3473,9.7876,6700,28.9000,0
2013-11-05,9.6521,9.6521,9.5505,9.6182,5500,28.4000,0
2013-11-06,9.6182,9.7537,9.5166,9.5166,8600,28.1000,0
2013-11-07,9.5166,9.8214,9.5166,9.6860,11100,28.6000,0
2013-11-08,9.8215,10.5665,9.6860,10.5665,9700,31.2000,0
2013-11-11,10.1601,10.4988,10.0246,10.2278,8500,30.2000,0
2013-11-12,10.0176,10.4380,9.9126,10.4375,950,29.8000,0
2013-11-13,10.0522,10.2624,9.8421,10.0523,1700,28.7000,0
2013-11-14,9.6320,9.9822,9.3868,9.9472,2850,28.4000,0
2013-11-15,9.6670,9.8771,9.6670,9.7370,500,27.8000,0
2013-11-18,9.8071,9.8071,9.8071,9.8071,3800,28.0000,0
2013-11-19,9.9822,9.9822,9.9822,9.9822,300,28.5000,0
2013-11-21,9.8071,9.9822,9.4568,9.9472,12800,28.4000,0
2013-11-22,8.9665,9.9472,8.9665,9.9472,1200,28.4000,0
2013-11-25,9.9472,10.1223,9.9472,9.9472,7600,28.4000,0
2013-11-26,10.1223,10.1574,9.9472,10.0873,12100,28.8000,0
2013-11-27,9.9122,9.9472,9.9122,9.9122,1100,28.3000,0
2013-11-28,9.9122,10.0173,9.9122,9.9122,5200,28.3000,0
2013-11-29,9.9823,10.0173,9.9823,10.0172,9100,28.6000,0
2013-12-02,10.0522,10.1573,10.0522,10.1223,22000,28.9000,0
2013-12-03,10.1573,10.1573,10.1223,10.1223,3300,28.9000,0
2013-12-04,10.1223,10.1223,10.1223,10.1223,400,28.9000,0
2013-12-05,10.1223,10.1223,10.0172,10.0172,2600,28.6000,0
2013-12-06,10.0172,10.0172,9.9822,9.9822,6400,28.5000,0
2013-12-09,9.9822,9.9822,9.4568,9.4568,43200,27.0000,0
2013-12-10,9.8071,9.8071,9.4568,9.7721,500,27.9000,0
2013-12-11,9.7721,9.7721,9.6320,9.7721,3900,27.9000,0
2013-12-12,9.5970,9.5970,9.5970,9.5969,600,27.4000,0
2013-12-13,9.5268,9.5268,9.5268,9.5269,100,27.2000,0
2013-12-16,9.2817,9.3868,9.2817,9.3518,2200,26.7000,90800
2013-12-17,9.3518,9.4569,9.3518,9.4568,5800,27.0000,0
