date,open,high,low,close,volume,unadjusted,putthrough
2010-10-19,7.4521,9.1145,7.4521,8.5986,146020,15.0000,0
2010-10-20,8.1973,8.3120,8.1973,8.1974,11060,14.3000,0
2010-10-21,7.7961,7.7961,7.7961,7.7961,25350,13.6000,0
2010-10-22,7.4522,7.7961,7.4522,7.7961,127930,13.6000,0
2010-10-25,7.7961,7.8534,7.5668,7.8534,45460,13.7000,0
2010-10-26,7.8534,8.0254,7.6814,7.9681,68810,13.9000,0
2010-10-27,7.9681,7.9681,7.6242,7.6241,30300,13.3000,0
2010-10-28,7.6241,7.7387,7.6241,7.7388,2720,13.5000,0
2010-10-29,7.7961,8.0254,7.7961,7.9107,35260,13.8000,0
2010-11-01,7.7961,7.9107,7.5668,7.7388,38460,13.5000,0
2010-11-02,7.6815,7.6815,7.5095,7.5095,7800,13.1000,0
2010-11-03,7.5095,7.5095,7.1656,7.1655,46990,12.5000,0
2010-11-04,7.1655,7.3375,7.1655,7.2802,33740,12.7000,0
2010-11-05,7.4522,7.5668,7.4522,7.5668,10540,13.2000,0
2010-11-08,7.5095,7.5095,7.2229,7.2802,37330,12.7000,0
2010-11-09,6.9936,7.0509,6.9936,6.9935,6750,12.2000,0
2010-11-10,6.9935,7.1655,6.9362,7.1082,17040,12.4000,0
2010-11-11,7.3948,7.3948,6.8216,6.8216,24860,11.9000,0
2010-11-12,7.0509,7.0509,6.6496,6.7643,46570,11.8000,0
2010-11-15,6.5923,6.5923,6.4777,6.5923,9000,11.5000,0
2010-11-16,6.6496,6.6496,6.3630,6.3630,15980,11.1000,0
2010-11-17,6.5350,6.5350,6.0764,6.3057,29740,11.0000,0
2010-11-18,6.3057,6.4203,6.3057,6.4203,19030,11.2000,0
2010-11-19,6.2483,6.4203,6.1337,6.4203,3180,11.2000,37560
2010-11-22,6.3057,6.3057,6.1337,6.1337,43650,10.7000,0
2010-11-23,6.1337,6.1337,6.0191,6.1337,7920,10.7000,0
2010-11-24,6.0764,6.0764,5.8471,6.0190,30750,10.5000,0
2010-11-25,6.0763,6.3056,6.0763,6.2483,44500,10.9000,0
2010-11-26,6.1337,6.1337,5.9617,6.0764,22010,10.6000,0
2010-11-29,6.0191,6.0191,5.9618,6.0190,29000,10.5000,0
2010-11-30,6.1336,6.3056,6.1336,6.3057,93580,11.0000,0
2010-12-01,6.2484,6.5923,6.2484,6.5923,113900,11.5000,0
2010-12-02,6.8216,6.8789,6.8216,6.8789,25670,12.0000,0
2010-12-03,7.2228,7.2228,7.1655,7.2228,29820,12.6000,0
2010-12-06,7.5094,7.5094,7.2228,7.2228,34800,12.6000,0
2010-12-07,7.2228,7.2801,6.8789,6.8789,17790,12.0000,0
2010-12-08,6.8789,6.8789,6.5350,6.5350,105250,11.4000,0
