date,open,high,low,close,volume,unadjusted,putthrough
2010-09-08,5.5244,5.5244,5.5244,5.5244,2500,15.0000,0
2010-09-09,5.5244,5.5244,5.5244,5.5244,9900,15.0000,0
2010-09-10,5.5244,5.5244,5.5244,5.5244,100,15.0000,0
2010-09-13,5.1561,5.1561,5.1561,5.1561,1000,14.0000,0
2010-09-14,5.5244,5.5244,4.9720,5.3403,6200,14.5000,0
2010-09-15,5.5244,5.5244,5.3403,5.3403,8000,14.5000,0
2010-09-16,5.5244,5.5981,5.5244,5.5981,33700,15.2000,0
2010-09-17,5.5244,5.5981,5.5244,5.5244,26900,15.0000,0
2010-09-20,5.5244,5.5244,5.5244,5.5244,34400,15.0000,0
2010-09-21,5.5612,5.5981,5.5612,5.5981,41400,15.2000,0
2010-09-22,5.5613,5.5981,5.5613,5.5981,6300,15.2000,0
2010-09-23,5.5981,5.5981,5.5981,5.5981,5400,15.2000,0
2010-09-24,5.5981,6.1505,5.5981,6.1505,5300,16.7000,0
2010-09-27,6.0768,6.0768,5.9295,5.9296,7100,16.1000,0
2010-09-28,5.8928,5.8928,5.8928,5.8927,6300,16.0000,0
2010-09-29,5.8559,5.8559,5.7086,5.7086,2800,15.5000,0
2010-09-30,5.6718,5.8927,5.6718,5.8927,20200,16.0000,0
2010-10-01,5.8190,5.8190,5.8190,5.8191,300,15.8000,0
2010-10-04,5.7454,5.7454,5.7454,5.7454,4000,15.6000,0
2010-10-05,5.5244,5.5244,5.5244,5.5244,26673,15.0000,0
2010-10-06,5.5981,5.5981,5.5244,5.5244,10300,15.0000,0
2010-10-07,5.5244,5.5612,5.5244,5.5613,11300,15.1000,0
2010-10-08,5.7086,5.7086,5.5981,5.5981,2100,15.2000,0
2010-10-11,5.7086,5.7086,5.6349,5.6349,1500,15.3000,0
2010-10-12,5.6717,5.6717,5.6717,5.6718,5100,15.4000,0
2010-10-13,5.5613,5.5613,5.5245,5.5244,9700,15.0000,0
2010-10-15,5.5244,5.5244,5.5244,5.5244,18679,15.0000,0
2010-10-20,5.5981,5.5981,5.5981,5.5981,25000,15.2000,0
2010-10-21,5.4508,5.4508,5.3403,5.3403,8700,14.5000,0
2010-10-22,5.5244,5.5244,5.4508,5.4508,11700,14.8000,0
2010-10-25,5.5245,5.5245,5.5245,5.5244,6800,15.0000,0
2010-10-27,5.1561,5.1561,5.1561,5.1561,2000,14.0000,0
2010-10-29,5.5244,5.5244,5.5244,5.5244,2200,15.0000,0
2010-11-08,5.1193,5.1193,5.1193,5.1193,6100,13.9000,0
2010-11-09,5.5244,5.5244,5.5244,5.5244,200,15.0000,0
2010-11-16,5.5244,5.5244,5.5244,5.5244,14640,15.0000,0
2010-11-19,5.5244,5.5244,5.5244,5.5244,5000,15.0000,0
2010-11-22,5.5244,5.5244,5.5244,5.5244,3500,15.0000,0
2010-11-23,5.3403,5.3403,5.3403,5.3403,10000,14.5000,0
2010-12-01,5.1562,5.1562,5.1562,5.1561,500,14.0000,0
2010-12-02,5.1561,5.2666,5.1561,5.1561,7900,14.0000,0
2010-12-03,5.1561,5.4507,5.1561,5.4508,11700,14.8000,0
2010-12-06,5.2298,5.2298,5.2298,5.2298,8000,14.2000,0
2010-12-07,5.3403,5.3403,5.3403,5.3403,100,14.5000,0
2010-12-08,5.2298,5.2298,5.2298,5.2298,10000,14.2000,0
2010-12-09,5.1561,5.2666,5.1561,5.2666,2200,14.3000,0
2010-12-10,5.2666,5.3403,5.2666,5.3035,1760,14.4000,0
