date,open,high,low,close,volume,unadjusted,putthrough
2006-10-30,3.6977,3.6977,3.6977,3.6977,37970,32.0000,0
2006-10-31,3.6977,3.8826,3.6977,3.8826,82710,33.6000,0
2006-11-01,4.0675,4.0675,4.0675,4.0675,8400,35.2000,0
2006-11-02,4.2639,4.2639,4.2639,4.2640,123960,36.9000,0
2006-11-03,4.2640,4.2640,4.1484,4.1600,189180,36.0000,0
2006-11-06,4.1600,4.1600,4.1484,4.1484,113810,35.9000,0
2006-11-07,4.1600,4.1600,4.1484,4.1600,70370,36.0000,0
2006-11-08,4.1831,4.1831,4.1716,4.1715,43900,36.1000,0
2006-11-09,4.2177,4.2639,4.2177,4.2640,52220,36.9000,0
2006-11-10,4.2756,4.2756,4.1600,4.1600,42620,36.0000,0
2006-11-13,4.1831,4.1831,4.1600,4.1600,16810,36.0000,0
2006-11-14,4.1831,4.1831,4.1600,4.1600,78050,36.0000,0
2006-11-15,4.1600,4.1600,4.1022,4.1022,24120,35.5000,0
2006-11-16,4.1022,4.1022,4.0444,4.0560,21360,35.1000,0
2006-11-17,4.0560,4.0560,4.0098,4.0097,37880,34.7000,0
2006-11-20,4.0213,4.0444,3.9981,3.9982,19470,34.6000,0
2006-11-21,3.9289,3.9289,3.8711,3.8711,33080,33.5000,0
2006-11-22,3.8133,3.8133,3.7555,3.7555,24060,32.5000,0
2006-11-23,3.8711,3.9404,3.8711,3.9404,31240,34.1000,0
2006-11-24,4.1368,4.1368,4.1368,4.1369,29870,35.8000,0
2006-11-27,4.3333,4.3333,4.3333,4.3333,235520,37.5000,0
2006-11-28,4.3449,4.5066,4.3449,4.5066,144710,39.0000,0
2006-11-29,4.5066,4.5066,4.3910,4.4257,80610,38.3000,0
2006-11-30,4.4257,4.4488,4.4257,4.4488,41150,38.5000,0
2006-12-01,4.4488,4.4488,4.3332,4.3333,35470,37.5000,0
2006-12-04,4.4489,4.4489,4.3911,4.3911,20550,38.0000,0
2006-12-05,4.2178,4.3911,4.2178,4.3911,32610,38.0000,0
2006-12-06,4.3564,4.3911,4.3449,4.3448,22970,37.6000,0
2006-12-07,4.1946,4.2177,4.1946,4.2177,39240,36.5000,0
2006-12-08,4.2177,4.2177,4.2177,4.2177,2390,36.5000,0
2006-12-11,4.2177,4.4257,4.2177,4.4257,96010,38.3000,0
2006-12-12,4.6221,4.6221,4.4257,4.4257,66080,38.3000,0
2006-12-13,4.4257,4.4257,4.3910,4.3911,44200,38.0000,0
2006-12-14,4.3333,4.3333,4.2524,4.2524,54590,36.8000,0
2006-12-15,4.2755,4.3217,4.2755,4.2755,61500,37.0000,0
2006-12-18,4.2755,4.2755,4.2755,4.2755,62960,37.0000,0
2006-12-19,4.4488,4.4488,4.4488,4.4488,86240,38.5000,0
2006-12-20,4.4488,4.4488,4.4488,4.4488,24790,38.5000,0
2006-12-21,4.4488,4.4488,4.3910,4.3911,138000,38.0000,0
2006-12-22,4.3911,4.3911,4.2755,4.2755,27940,37.0000,0
2006-12-25,4.1715,4.3448,4.1715,4.3448,7270,37.6000,0
2006-12-26,4.4026,4.4026,4.3910,4.3911,39950,38.0000,0
2006-12-27,0.0000,4.3911,4.3795,4.3911,32910,38.0000,0
2006-12-28,4.3911,4.3911,4.2987,4.2986,28450,37.2000,0
2006-12-29,4.2755,4.2755,4.2177,4.2755,27700,37.0000,0
2007-01-02,4.3333,4.3333,4.2755,4.3333,11650,37.5000,0
2007-01-03,4.3217,4.3217,4.2755,4.3217,7600,37.4000,0
2007-01-04,4.3910,4.3910,4.2755,4.3333,30330,37.5000,0
2007-01-05,4.3333,4.3333,4.3333,4.3333,58600,37.5000,0
2007-01-08,4.5413,4.5413,4.3911,4.5413,145240,39.3000,0
2007-01-09,4.7609,4.7609,4.7609,4.7608,70060,41.2000,0
2007-01-10,4.9919,4.9919,4.9919,4.9920,57890,43.2000,0
