date,open,high,low,close,volume,unadjusted,putthrough
2017-11-20,13.1454,13.1454,13.1454,13.1454,3000,15.2000,0
2017-11-21,15.0480,15.0480,15.0480,15.0480,200,17.4000,0
2017-11-22,17.2966,17.2966,17.2966,17.2966,14200,20.0000,0
2017-11-23,19.8911,19.8911,17.2966,19.8911,21000,23.0000,0
2017-11-24,22.7450,22.7450,22.7450,22.7450,24100,26.3000,0
2017-11-27,26.1178,26.1178,22.6585,23.0910,28600,26.7000,0
2017-11-28,21.8802,22.9180,20.5830,22.4856,10300,26.0000,0
2017-11-29,20.7559,20.7559,19.0263,20.5829,10500,23.8000,0
2017-11-30,19.0262,19.1127,16.8641,16.9507,39900,19.6000,0
2017-12-01,15.3940,17.2966,15.3940,16.3453,27300,18.9000,0
2017-12-04,17.2101,17.2966,15.9994,17.2101,6800,19.9000,0
2017-12-05,16.4318,16.4318,16.4318,16.4318,2100,19.0000,0
2017-12-06,16.4318,17.0372,15.5670,15.8264,7300,18.3000,0
2017-12-07,15.5670,16.4318,15.5670,16.3453,3500,18.9000,0
2017-12-08,15.9994,15.9994,15.5670,15.5669,6000,18.0000,0
2017-12-11,15.7399,15.7399,15.5669,15.5669,3900,18.0000,0
2017-12-12,15.1345,15.2210,14.7021,14.7886,6000,17.1000,0
2017-12-13,14.8751,14.8751,14.2697,14.2697,2400,16.5000,0
2017-12-14,14.5291,14.6156,14.0103,14.0102,6900,16.2000,0
2017-12-15,15.4804,15.4804,14.2696,15.0480,2900,17.4000,0
2017-12-18,14.6156,14.7021,14.3561,14.3562,4700,16.6000,0
2017-12-19,14.5292,14.5292,14.2697,14.2697,2700,16.5000,0
2017-12-20,14.0967,14.3562,13.8373,14.3562,1700,16.6000,0
2017-12-21,13.6643,14.0103,13.6643,13.8373,2600,16.0000,0
2017-12-22,13.4049,13.4914,13.4049,13.4049,2400,15.5000,0
2017-12-25,13.4049,13.4049,13.0590,13.0589,3000,15.1000,0
2017-12-26,14.7021,14.7021,13.8372,13.8373,6600,16.0000,0
2017-12-27,13.4914,13.8373,13.2319,13.2319,6000,15.3000,0
2017-12-28,13.8373,13.8373,13.0589,13.2319,2000,15.3000,0
2017-12-29,14.7021,14.7021,13.2319,13.3184,3800,15.4000,0
2018-01-02,13.8373,13.8373,13.6643,13.6643,500,15.8000,0
2018-01-03,13.8373,13.8373,13.8373,13.8373,4400,16.0000,0
2018-01-04,13.5779,13.7508,12.1076,12.1076,26700,14.0000,0
2018-01-05,13.0589,14.2697,12.5400,12.6265,24000,14.6000,0
2018-01-08,12.6265,12.6265,12.2806,12.2806,1700,14.2000,0
2018-01-09,12.5400,12.8860,12.5400,12.8860,8600,14.9000,0
2018-01-10,12.7995,14.3562,12.7995,14.3562,80100,16.6000,0
2018-01-11,16.2588,16.3453,15.9994,16.0858,35200,18.6000,0
2018-01-12,16.0858,16.0858,14.5291,14.7021,6600,17.0000,0
2018-01-15,14.7021,15.5669,13.4913,15.3940,18700,17.8000,0
2018-01-16,15.4805,15.4805,13.7508,13.8373,2800,16.0000,0
2018-01-17,14.0103,14.0103,12.5401,13.9238,11100,16.1000,0
2018-01-19,13.4913,14.7886,13.4913,14.7021,13500,17.0000,0
2018-01-22,14.7021,14.7021,13.7508,13.7508,3900,15.9000,0
2018-01-23,14.4427,14.7021,13.8373,13.8373,3600,16.0000,0
2018-01-24,13.4049,13.4049,13.1454,13.2319,3500,15.3000,0
2018-01-25,13.8373,13.8373,12.9725,12.9724,9100,15.0000,0
2018-01-26,13.3183,13.3183,13.2318,13.3184,4000,15.4000,0
2018-01-29,13.8373,14.0103,13.8373,13.8373,12100,16.0000,0
2018-01-30,13.4049,13.4049,12.8860,13.4049,3000,15.5000,0
2018-01-31,14.7021,14.7021,12.9725,13.8373,1400,16.0000,0
2018-02-01,13.0590,13.0590,12.9725,12.9724,2400,15.0000,0
2018-02-02,13.4048,13.4048,12.9724,12.9724,700,15.0000,0
2018-02-05,12.6265,12.6265,12.6265,12.6265,200,14.6000,0
2018-02-06,12.1076,12.1076,12.1076,12.1076,1000,14.0000,0
2018-02-07,12.9724,12.9724,12.7995,12.9724,2600,15.0000,0
2018-02-08,12.7994,12.7994,12.7994,12.7995,1000,14.8000,0
2018-02-09,13.8373,13.8373,13.8373,13.8373,1200,16.0000,0
2018-02-12,13.8373,13.8373,13.8373,13.8373,1400,16.0000,0
2018-02-13,13.8373,13.8373,13.8373,13.8373,100,16.0000,0
2018-02-21,12.5401,12.5401,12.5401,12.5400,600,14.5000,0
2018-02-22,12.9724,13.6643,12.7994,12.7995,1200,14.8000,0
2018-02-23,13.8373,13.8373,13.8373,13.8373,100,16.0000,0
2018-02-26,14.1832,14.1832,13.8373,13.8373,490,16.0000,0
2018-02-27,12.1941,12.7995,12.1076,12.7995,2100,14.8000,0
2018-02-28,13.9238,13.9238,12.2806,12.2806,1100,14.2000,0
2018-03-01,13.4049,13.4049,13.4049,13.4049,1000,15.5000,0
2018-03-02,13.6643,13.6643,13.6643,13.6643,100,15.8000,0
2018-03-06,12.2806,12.9724,12.2806,12.9724,1400,15.0000,0
2018-03-07,12.3670,12.3670,12.3670,12.3671,1300,14.3000,0
2018-03-08,13.2319,13.6643,13.2319,13.2319,7700,15.3000,0
2018-03-12,12.9725,12.9725,12.5400,12.5400,6100,14.5000,0
2018-03-13,13.4048,13.4048,13.4048,13.4049,100,15.5000,0
2018-03-16,13.2319,13.2319,13.2319,13.2319,400,15.3000,0
2018-03-21,13.1454,13.2319,12.9725,12.9724,4600,15.0000,0
2018-03-22,13.8372,13.8372,13.2318,13.2319,4015,15.3000,0
2018-03-23,12.9725,12.9725,12.9725,12.9724,400,15.0000,0
2018-03-27,12.9724,12.9724,12.9724,12.9724,15,15.0000,0
2018-03-29,12.7994,12.7994,12.7994,12.7995,1800,14.8000,0
2018-03-30,13.5778,13.5778,13.5778,13.5778,300,15.7000,0
2018-04-05,12.2806,12.2806,11.6752,11.9346,51900,13.8000,0
2018-04-06,11.5022,11.9346,11.5022,11.7617,300,13.6000,0
2018-04-09,13.3184,13.3184,10.8104,12.8860,400,14.9000,0
2018-04-10,11.6752,11.9347,11.2428,11.9346,9700,13.8000,0
2018-04-12,11.9347,11.9347,11.6753,11.6752,800,13.5000,0
2018-04-13,11.7617,11.7617,11.2428,11.6752,3000,13.5000,0
2018-04-16,11.5022,11.5022,11.5022,11.5022,100,13.3000,0
2018-04-17,11.5022,12.1076,11.5022,12.1076,4100,14.0000,0
2018-04-18,11.7617,11.8482,11.7617,11.8482,300,13.7000,0
2018-04-19,11.7617,11.8482,11.7617,11.8482,20800,13.7000,0
2018-04-20,11.9347,11.9347,11.9347,11.9346,300,13.8000,0
2018-04-23,10.8103,10.8103,10.4644,10.7239,2900,12.4000,0
2018-04-24,10.3780,10.3780,10.3780,10.3780,1000,12.0000,0
2018-04-26,10.3780,10.3780,10.3780,10.3780,1200,12.0000,0
2018-04-27,10.3780,11.3293,10.3780,11.3293,2100,13.1000,0
2018-05-02,10.3780,10.3780,10.3780,10.3780,1400,12.0000,0
2018-05-03,10.3780,10.3780,10.3780,10.3780,1400,12.0000,0
2018-05-04,10.3780,10.3780,10.3780,10.3780,1000,12.0000,0
