date,open,high,low,close,volume,unadjusted,putthrough
2010-09-09,13.3158,13.3158,13.3158,13.3158,100,33.0000,0
2010-09-10,13.7193,13.7193,13.7193,13.7193,100,34.0000,0
2010-10-15,13.3110,13.3110,13.3110,13.3109,100,32.6000,0
2010-10-21,13.3109,13.3109,13.3109,13.3109,42100,32.6000,0
2010-10-22,13.3109,13.3109,13.3109,13.3109,800,32.6000,0
2010-11-09,12.0055,12.0055,12.0055,12.0055,100,24.7000,0
2010-11-12,10.8390,10.8390,10.8390,10.8390,100,22.3000,0
2010-11-15,9.7697,9.7697,9.7697,9.7696,100,20.1000,0
2010-11-16,8.7975,8.7975,8.7975,8.7975,100,18.1000,0
2010-11-18,7.9226,7.9226,7.9226,7.9227,100,16.3000,0
2010-11-19,7.1450,7.1450,7.1450,7.1450,31700,14.7000,0
2010-11-22,6.4645,7.8255,6.4645,6.4645,38100,13.3000,0
2010-11-23,6.4645,6.4645,6.4645,6.4645,100,13.3000,0
2010-11-24,5.8326,5.8326,5.8326,5.8326,100,12.0000,0
2010-11-25,5.2493,6.0756,5.2493,6.0757,5400,12.5000,0
2010-11-26,5.3466,6.3187,5.3466,6.3187,20600,13.0000,0
2010-11-29,5.2494,6.1729,5.2494,6.0757,15000,12.5000,0
2010-11-30,6.0757,6.0757,5.5896,5.5896,16800,11.5000,0
2010-12-01,6.0270,6.0270,6.0270,6.0270,4000,12.4000,0
2010-12-02,6.0756,6.0756,5.8812,5.8812,15900,12.1000,0
2010-12-03,6.0756,6.6589,6.0756,6.6589,36300,13.7000,0
2010-12-06,6.9505,6.9505,6.3187,6.9019,13700,14.2000,0
2010-12-07,7.5824,7.5824,6.5617,7.1450,6600,14.7000,0
2010-12-08,7.4366,8.1171,7.4366,8.0685,18000,16.6000,0
2010-12-09,7.9227,7.9227,7.9227,7.9227,1000,16.3000,0
2010-12-10,7.9227,7.9227,7.9227,7.9227,420,16.3000,0
2010-12-13,7.1450,7.1450,7.1450,7.1450,11800,14.7000,0
2010-12-14,7.8255,7.8255,7.7769,7.7768,1900,16.0000,0
2010-12-15,7.7768,7.7768,7.7768,7.7768,1400,16.0000,0
2010-12-17,7.7768,7.7768,7.7768,7.7768,2000,16.0000,0
2010-12-21,7.7768,7.7768,7.7768,7.7768,140000,16.0000,0
2010-12-24,8.5545,8.5545,8.5545,8.5545,200,17.6000,0
2010-12-27,9.3808,9.3808,9.3808,9.3808,3000,19.3000,0
2011-01-14,9.3808,9.3808,9.3808,9.3808,500,19.3000,0
2011-02-09,10.3043,10.3043,10.3043,10.3043,200,21.2000,0
2011-03-04,10.3043,10.3043,10.3043,10.3043,200,21.2000,0
2011-04-20,6.1923,6.1923,6.1923,6.1923,1000,12.5000,0
2011-04-21,5.5978,5.5978,5.5978,5.5978,26000,11.3000,0
2011-04-22,5.9446,5.9446,5.9446,5.9446,31300,12.0000,0
2011-04-25,5.3501,6.4400,5.3501,6.4400,2900,13.0000,0
2011-04-26,5.4492,5.4492,5.4492,5.4492,500,11.0000,0
2011-04-27,5.4492,5.9941,5.4492,5.9942,4800,12.1000,0
2011-04-28,5.9942,5.9942,5.9942,5.9942,100,12.1000,0
2011-04-29,6.1924,6.1924,5.4988,5.4988,1100,11.1000,0
2011-05-04,5.6970,6.0933,5.6970,6.0932,10800,12.3000,0
2011-05-05,6.1923,6.1923,5.4492,6.1923,1500,12.5000,0
2011-05-06,6.1923,6.1923,5.6969,6.1428,300,12.4000,0
2011-05-09,6.1428,6.1428,5.9446,5.9446,300,12.0000,0
2011-05-10,5.9941,5.9941,5.9941,5.9942,2300,12.1000,0
2011-05-11,5.3997,6.0933,5.3997,6.0932,3500,12.3000,0
2011-05-12,6.0932,6.0932,6.0932,6.0932,100,12.3000,0
2011-05-16,6.1427,6.6877,6.1427,6.6877,800,13.5000,0
2011-06-13,6.8363,6.8363,6.8363,6.8363,100,13.8000,0
2011-06-17,6.4400,6.4400,6.4400,6.4400,100,13.0000,0
2011-06-22,6.4400,6.4400,6.4400,6.4400,100,13.0000,0
2011-06-23,7.0840,7.0840,7.0840,7.0840,7600,14.3000,0
2011-06-24,7.7775,7.7775,7.7775,7.7775,1000,15.7000,0
2011-06-27,8.5206,8.5206,8.5206,8.5206,6300,17.2000,0
2011-06-28,8.6692,8.6692,8.6692,8.6692,100,17.5000,0
2011-06-29,8.9169,9.2141,8.9169,9.2141,5100,18.6000,0
2011-06-30,9.1646,10.1058,9.1646,10.0563,3100,20.3000,0
2011-07-06,11.0471,11.0471,11.0471,11.0471,1000,22.3000,0
2011-07-12,11.0471,11.0471,11.0471,11.0471,3200,22.3000,3200
2011-07-13,11.0471,11.0471,11.0471,11.0471,8300,22.3000,8300
2011-07-15,12.1369,12.1369,12.1369,12.1369,800,24.5000,0
2011-07-18,13.3258,13.3258,10.9480,10.9480,3000,22.1000,0
2011-07-22,12.8800,12.8800,12.8800,12.8800,6000,26.0000,0
2011-07-27,12.8800,12.8800,12.8800,12.8800,50750,26.0000,50750
2011-07-28,14.1680,14.1680,14.1680,14.1680,3000,28.6000,0
2011-08-01,15.5551,15.5551,15.5551,15.5551,2500,31.4000,0
2011-08-18,14.0194,14.0194,14.0194,14.0194,1000,28.3000,0
2011-08-19,12.6323,12.6323,12.6323,12.6323,5000,25.5000,0
