date,open,high,low,close,volume,unadjusted,putthrough
2008-01-18,10.8294,11.3059,10.8294,11.2626,32500,52.0000,0
2008-01-21,11.0460,11.0460,9.9631,10.0064,13200,46.2000,0
2008-01-22,10.3963,10.3963,10.1580,10.3530,3900,47.8000,0
2008-01-23,10.8295,11.0461,9.7465,9.8548,6600,45.5000,0
2008-01-24,10.7212,10.7212,9.3133,9.5299,3200,44.0000,0
2008-01-25,9.7465,9.9414,9.5299,9.5299,8800,44.0000,0
2008-01-28,9.5299,9.5299,8.7718,8.7935,9700,40.6000,0
2008-01-29,8.8801,9.2050,8.6635,9.0967,6100,42.0000,0
2008-01-30,9.5515,9.7898,9.5515,9.7898,11100,45.2000,0
2008-01-31,10.1797,10.5045,9.7465,10.3963,10300,48.0000,0
2008-02-01,10.1797,10.2880,9.9631,10.0714,11000,46.5000,0
2008-02-12,9.5299,9.5732,9.5299,9.5299,1500,44.0000,0
2008-02-13,9.9198,9.9198,9.7465,9.7465,300,45.0000,0
2008-02-14,9.8548,9.9414,9.8548,9.9414,1300,45.9000,0
2008-02-18,8.9884,8.9884,8.9451,8.9451,1800,41.3000,0
2008-02-19,8.6635,8.7285,8.6635,8.6636,6400,40.0000,0
2008-02-20,8.4470,8.8802,8.0138,8.0138,3200,37.0000,0
2008-02-21,7.4074,7.4074,7.4074,7.4073,700,34.2000,0
2008-02-22,6.6709,6.6709,6.6709,6.6709,9700,30.8000,0
2008-02-25,7.2557,7.2557,7.1041,7.1474,7500,33.0000,0
2008-02-26,6.4327,6.4327,6.4327,6.4327,300,29.7000,0
2008-02-27,6.4977,7.0608,6.4327,6.4327,3600,29.7000,0
2008-02-28,6.4977,6.4977,6.2811,6.2811,1000,29.0000,0
2008-02-29,6.2811,6.2811,6.1728,6.2378,400,28.8000,0
2008-03-03,6.2811,6.2811,5.6313,5.6313,2800,26.0000,0
2008-03-04,5.1331,5.1331,5.1331,5.1332,700,23.7000,0
2008-03-05,4.6567,4.8733,4.6350,4.6350,3200,21.4000,0
2008-03-06,5.0898,5.0898,5.0898,5.0898,200,23.5000,0
2008-03-07,5.5880,5.5880,5.5880,5.5880,2500,25.8000,0
2008-03-10,6.1295,6.1295,6.1295,6.1295,21200,28.3000,0
2008-03-11,6.4977,6.4977,5.5880,5.5880,3400,25.8000,0
2008-03-12,5.7396,6.3461,5.7396,5.8696,1900,27.1000,0
2008-03-13,6.0645,6.1728,5.9562,6.0862,1800,28.1000,0
2008-03-14,6.0645,6.1295,6.0429,6.0428,3800,27.9000,0
2008-03-17,5.7396,5.7396,5.5230,5.5447,2000,25.6000,0
2008-03-18,5.0682,5.1982,5.0682,5.0682,4300,23.4000,0
2008-03-19,5.4147,5.4147,5.3931,5.3931,200,24.9000,0
2008-03-20,5.4148,5.4148,5.4148,5.4147,100,25.0000,0
2008-03-21,4.8732,4.9815,4.8732,4.9382,3000,22.8000,0
2008-03-24,4.5483,4.5483,4.4617,4.5051,4800,20.8000,0
2008-03-25,4.0719,4.0719,4.0503,4.0502,1500,18.7000,0
2008-03-26,4.4617,4.4617,4.4401,4.4617,1100,20.6000,0
2008-03-27,4.3751,4.5483,4.3751,4.5484,10200,21.0000,0
2008-03-28,4.6350,4.6350,4.6350,4.6350,8000,21.4000,0
2008-03-31,4.7216,4.7216,4.7216,4.7216,200,21.8000,0
2008-04-01,4.8082,4.8082,4.8082,4.8083,200,22.2000,0
2008-04-02,4.8949,4.8949,4.8949,4.8949,100,22.6000,0
2008-04-04,4.9815,4.9815,4.9815,4.9815,100,23.0000,0
2008-04-07,5.1115,5.1115,5.1115,5.1115,4600,23.6000,0
2008-04-08,5.2631,5.2631,4.9599,5.1981,4700,24.0000,0
2008-04-09,5.0032,5.0032,4.9815,4.9815,500,23.0000,0
2008-04-10,4.8515,4.8515,4.8515,4.8516,100,22.4000,0
2008-04-11,4.7216,4.7216,4.7216,4.7216,100,21.8000,0
2008-04-16,4.5916,4.5916,4.5916,4.5917,100,21.2000,0
2008-04-17,4.4617,4.7217,4.4617,4.7216,16900,21.8000,0
2008-04-18,4.5483,4.6350,4.3751,4.3751,4300,20.2000,0
2008-04-21,4.3101,4.3101,4.3101,4.3101,2000,19.9000,0
