date,open,high,low,close,volume,unadjusted,putthrough
2019-12-20,24.8917,28.7637,24.8917,28.7637,45700,31.2000,0
2019-12-23,28.5793,31.6216,28.5793,31.6216,5800,34.3000,0
2019-12-24,33.6498,34.2951,31.6216,31.6216,39900,34.3000,0
2019-12-25,31.8060,31.8060,29.5012,29.5934,5300,32.1000,0
2019-12-26,28.5793,28.5793,27.6574,27.6574,3300,30.0000,0
2019-12-27,25.8136,29.5012,25.8136,26.9199,2300,29.2000,0
2019-12-31,26.9199,29.5013,26.9199,27.5652,500,29.9000,0
2020-01-02,30.2387,30.2387,27.8418,27.8418,600,30.2000,0
2020-01-03,28.1184,29.5012,28.1184,29.0403,3000,31.5000,0
2020-01-07,28.1184,29.5013,28.1184,29.5012,900,32.0000,0
2020-01-09,31.3450,32.2669,31.3450,32.2670,300,35.0000,0
2020-01-10,31.3451,31.3451,31.3451,31.3451,100,34.0000,0
2020-01-13,32.2670,32.2670,32.2670,32.2670,100,35.0000,0
2020-01-14,32.4514,32.8201,32.1748,32.1748,1100,34.9000,0
2020-01-17,29.0403,32.2670,29.0403,32.2670,900,35.0000,0
2020-01-22,33.1889,33.1889,32.7280,32.7279,800,35.5000,0
2020-01-31,29.9622,32.2669,29.5012,29.5012,1800,32.0000,0
2020-02-04,32.2669,32.2669,27.7496,30.4232,600,33.0000,500000
2020-02-06,31.7139,31.7139,31.7139,31.7138,235,34.4000,0
2020-02-07,31.3450,31.3450,29.9622,29.9622,600,32.5000,0
2020-02-10,29.5012,29.5012,29.5012,29.5012,100,32.0000,0
2020-02-12,29.5012,29.9622,29.0402,29.9622,5000,32.5000,0
2020-02-13,29.5012,29.5012,28.5793,28.5793,1100,31.0000,0
2020-02-14,28.5793,28.5793,28.5793,28.5793,400,31.0000,0
2020-02-17,29.0403,29.0403,28.5793,28.5793,300,31.0000,10000
2020-02-18,29.5012,29.5012,29.5012,29.5012,100,32.0000,0
2020-02-19,28.5793,28.5793,28.5793,28.5793,500,31.0000,0
2020-02-20,28.5793,28.5793,28.2105,28.2106,900,30.6000,0
2020-02-24,27.6575,27.6575,27.6575,27.6574,200,30.0000,0
2020-02-25,27.6574,28.1184,27.6574,28.1184,1400,30.5000,0
2020-02-26,27.7496,28.0262,27.7496,28.0262,2100,30.4000,0
2020-02-27,28.9481,28.9481,28.9481,28.9481,400,31.4000,0
2020-02-28,28.5793,29.0403,27.1965,29.0403,7200,31.5000,0
2020-03-02,26.8277,26.8277,26.8277,26.8277,200,29.1000,0
2020-03-03,27.6574,27.6574,27.6574,27.6574,100,30.0000,0
2020-03-04,27.6574,27.6574,27.6574,27.6574,65,30.0000,0
2020-03-05,28.3949,28.3949,28.3949,28.3949,100,30.8000,0
2020-03-09,27.7496,27.7496,25.8135,25.8136,6300,28.0000,0
2020-03-10,25.8136,25.8136,25.8136,25.8136,100,28.0000,0
2020-03-11,28.2106,28.2106,28.2106,28.2106,200,30.6000,0
2020-03-12,27.6575,27.6575,27.6575,27.6574,200,30.0000,0
2020-03-13,26.7355,27.6574,25.8136,27.6574,1300,30.0000,0
2020-03-16,26.7355,27.6574,25.3526,27.6574,1800,30.0000,0
2020-03-17,26.2745,26.2745,25.8136,25.8136,900,28.0000,0
2020-03-18,25.8136,25.8136,25.8136,25.8136,100,28.0000,0
2020-03-19,25.8136,25.8136,24.4307,24.4307,9800,26.5000,0
2020-03-20,24.4307,24.4307,23.0478,23.0478,3704,25.0000,25000
2020-03-23,23.9697,23.9697,23.0478,23.9698,1000,26.0000,0
2020-03-24,24.8917,24.8917,22.5869,22.5869,2200,24.5000,0
2020-03-31,23.9698,24.7995,22.5869,22.5869,1100,24.5000,0
2020-04-07,24.7995,24.7995,24.7995,24.7995,200,26.9000,0
2020-04-08,24.7995,24.7995,24.7995,24.7995,400,26.9000,0
2020-04-15,27.1965,27.1965,27.1965,27.1965,2000,29.5000,0
2020-04-16,29.5013,29.8701,29.5013,29.8700,900,32.4000,0
2020-04-17,28.5793,29.5012,28.5793,29.5012,3500,32.0000,0
2020-04-20,27.6574,27.6574,27.6574,27.6574,100,30.0000,0
2020-04-22,28.5793,29.4090,28.5793,29.4091,2000,31.9000,0
2020-04-23,29.5013,29.5013,29.5013,29.5012,200,32.0000,0
2020-04-24,29.8700,29.8700,27.6574,27.6574,15260,30.0000,0
2020-04-27,29.6856,29.6856,28.5793,29.6856,20700,32.2000,0
2020-04-28,29.5012,32.2670,29.5012,29.6856,6900,32.2000,0
2020-04-29,29.7778,29.8700,29.7778,29.7778,1550,32.3000,0
2020-05-04,31.3451,31.3451,29.7778,29.7778,5631,32.3000,0
2020-05-05,31.3451,31.3451,29.5012,29.5012,700,32.0000,0
2020-05-06,30.2387,30.3309,29.5012,29.5012,7700,32.0000,0
2020-05-07,29.5012,29.5012,29.5012,29.5012,7700,32.0000,0
2020-05-08,29.5012,29.5012,28.5793,28.5793,5420,31.0000,0
