date,open,high,low,close,volume,unadjusted,putthrough
2006-12-26,18.2462,18.2462,18.2462,18.2462,610,75.0000,0
2006-12-27,17.3947,17.3947,17.3947,17.3947,19930,71.5000,0
2006-12-28,16.5432,16.5432,16.5432,16.5433,11680,68.0000,0
2006-12-29,15.8134,15.8134,15.8134,15.8134,6090,65.0000,0
2007-01-02,15.0836,15.0836,15.0836,15.0836,4620,62.0000,0
2007-01-03,14.8403,14.8403,14.3537,14.8403,78760,61.0000,0
2007-01-04,15.5702,15.5702,15.5702,15.5701,92180,64.0000,0
2007-01-05,15.8134,15.8134,15.5701,15.5701,88740,64.0000,0
2007-01-08,15.3268,15.3268,14.8403,15.3268,85840,63.0000,0
2007-01-09,15.0835,15.0835,15.0835,15.0836,36400,62.0000,0
2007-01-10,15.0836,15.0836,14.8403,14.8403,50430,61.0000,0
2007-01-11,14.8403,14.8403,14.5970,14.5970,43810,60.0000,0
2007-01-12,14.5970,14.5970,14.5970,14.5970,45860,60.0000,0
2007-01-15,14.5970,14.5970,14.5970,14.5970,30400,60.0000,0
2007-01-16,14.5970,15.0836,14.5970,15.0836,138950,62.0000,0
2007-01-17,15.8135,15.8135,15.5702,15.5701,112340,64.0000,0
2007-01-18,15.0835,15.0835,14.8403,15.0836,41700,62.0000,0
2007-01-19,15.0836,15.0836,14.5970,14.5970,37430,60.0000,0
2007-01-22,14.8403,14.5970,14.1104,14.1104,43980,58.0000,0
2007-01-23,14.1104,14.3537,14.1104,14.3537,70090,59.0000,0
2007-01-24,14.3537,14.3537,14.3537,14.3537,49990,59.0000,0
2007-01-25,14.5970,14.5970,14.1104,14.1104,44480,58.0000,0
2007-01-26,22.1387,14.2320,14.1104,14.2321,20120,58.5000,0
2007-01-29,14.5970,14.8403,14.3537,14.5970,68390,60.0000,0
2007-01-30,14.9619,14.9619,14.8403,14.8403,41960,61.0000,0
2007-01-31,15.0836,15.0836,14.9619,14.9619,24970,61.5000,0
2007-02-01,15.0835,15.0835,14.8403,14.9619,17250,61.5000,0
2007-02-02,14.2321,14.2321,14.2321,14.2321,18240,58.5000,0
2007-02-05,14.3537,14.3537,14.2321,14.3537,51240,59.0000,0
2007-02-06,14.3537,14.8403,14.3537,14.3537,47970,59.0000,0
2007-02-07,13.8671,14.1104,13.7455,13.8671,72410,57.0000,0
2007-02-08,13.6238,13.7455,13.6238,13.6239,54470,56.0000,0
2007-02-09,13.3806,13.6239,13.0157,13.3806,36390,55.0000,0
2007-02-12,13.9888,13.9888,13.9888,13.9888,14100,57.5000,0
2007-02-13,14.5970,14.5970,14.5970,14.5970,53130,60.0000,0
2007-02-14,14.5970,14.5970,14.5970,14.5970,39090,60.0000,0
2007-02-15,14.5970,14.5970,14.3537,14.5970,16320,60.0000,0
2007-02-26,14.5970,14.5970,14.5970,14.5970,55560,60.0000,0
2007-02-27,15.3269,15.3269,15.3269,15.3268,102850,63.0000,0
2007-02-28,15.6917,15.8134,15.6917,15.6918,126860,64.5000,0
2007-03-01,15.6918,15.8134,15.6918,15.6918,112800,64.5000,0
2007-03-02,16.3000,16.3000,16.0567,16.0567,132110,66.0000,0
2007-03-05,16.7865,16.7865,16.5433,16.7865,74840,69.0000,0
2007-03-06,17.2731,17.5163,17.2731,17.2731,83090,71.0000,0
2007-03-07,18.1246,18.1246,17.5164,17.5164,85810,72.0000,0
2007-03-08,16.6649,17.0298,16.6649,17.0298,92790,70.0000,0
2007-03-09,17.0298,17.0298,16.1783,17.0298,115010,70.0000,0
2007-03-12,17.8813,17.8813,17.8813,17.8813,137570,73.5000,0
2007-03-13,18.0029,18.2462,17.8813,18.0030,172120,74.0000,0
2007-03-14,17.1515,18.0030,17.1515,17.1515,96270,70.5000,0
2007-03-15,16.3000,16.4216,16.3000,16.4216,69540,67.5000,0
2007-03-16,15.9350,17.1514,15.9350,17.1515,51810,70.5000,0
2007-03-19,17.2731,17.5164,17.2731,17.5164,105720,72.0000,0
2007-03-20,17.0298,17.5164,17.0298,17.0298,90040,70.0000,0
2007-03-21,17.2731,17.5164,17.0298,17.0298,100650,70.0000,0
2007-03-22,16.5432,16.5432,16.3000,16.3000,89130,67.0000,0
2007-03-23,15.8134,16.1784,15.8134,16.0567,49460,66.0000,0
2007-03-26,15.4485,15.4485,15.3269,15.3268,46540,63.0000,0
2007-03-27,14.5970,14.5970,14.5970,14.5970,52890,60.0000,0
2007-03-28,14.1502,14.3984,14.1502,14.3983,23810,58.0000,0
2007-03-29,15.0189,15.0189,15.0189,15.0189,700,60.5000,0
2007-03-30,15.7636,15.7636,15.7636,15.7636,7400,63.5000,0
2007-04-02,15.7636,15.7636,15.7636,15.7636,41700,63.5000,0
2007-04-03,15.1430,15.3912,15.1430,15.2671,35000,61.5000,0
2007-04-04,15.0189,15.6395,15.0189,15.6395,16340,63.0000,0
2007-04-05,14.8948,15.3913,14.8948,15.3913,26470,62.0000,0
2007-04-06,15.2672,15.2672,15.2672,15.2671,27980,61.5000,0
2007-04-09,15.2671,15.2671,15.1430,15.1430,23470,61.0000,0
2007-04-10,15.0189,15.0189,14.8948,15.0189,17250,60.5000,0
2007-04-11,14.8948,14.8948,14.8948,14.8948,8780,60.0000,0
2007-04-12,14.6466,14.6466,14.2742,14.2742,14450,57.5000,0
2007-04-13,13.9018,13.9018,13.6536,13.6535,42910,55.0000,0
2007-04-16,13.1570,13.1570,13.0329,13.0329,22210,52.5000,0
2007-04-17,13.0329,13.0329,13.0329,13.0329,17060,52.5000,0
2007-04-18,13.0329,13.6535,13.0329,13.6535,2850,55.0000,0
2007-04-19,14.2741,14.2741,14.1500,14.1500,21550,57.0000,0
2007-04-20,13.6535,13.6535,13.6535,13.6535,8400,55.0000,0
2007-04-23,13.6535,14.1500,13.6535,14.1500,33870,57.0000,0
2007-04-24,13.5294,13.5294,13.5294,13.5294,23050,54.5000,0
2007-04-25,13.5294,13.5294,13.5294,13.5294,14630,54.5000,0
2007-05-02,13.9018,13.9018,13.6535,13.6535,2950,55.0000,0
2007-05-03,13.5294,13.5294,13.1570,13.1570,2080,53.0000,0
2007-05-04,12.9088,13.1570,12.9088,13.1570,8580,53.0000,0
2007-05-07,13.0329,13.4052,13.0329,13.4053,9100,54.0000,0
2007-05-08,13.9018,13.9018,13.4053,13.4053,20590,54.0000,0
2007-05-09,14.0259,14.0259,13.6535,13.6535,19250,55.0000,0
2007-05-10,13.5294,13.6535,13.4053,13.5294,3700,54.5000,0
2007-05-11,13.5294,13.9018,13.2812,13.9018,14590,56.0000,0
2007-05-14,14.5224,14.5224,14.5224,14.5224,57100,58.5000,0
2007-05-15,14.5224,14.5224,14.1500,14.1500,21670,57.0000,0
2007-05-16,14.1500,14.1500,14.1500,14.1500,32560,57.0000,0
2007-05-17,14.1500,14.1500,14.1500,14.1500,37500,57.0000,0
2007-05-18,14.1500,14.1500,14.1500,14.1500,24070,57.0000,0
2007-05-21,14.2741,14.2741,14.2741,14.2742,22980,57.5000,0
2007-05-22,14.2742,14.8948,14.2742,14.8948,25200,60.0000,0
2007-05-23,15.3913,15.6395,15.3913,15.3913,51190,62.0000,0
2007-05-24,14.6466,15.3913,14.6466,14.6465,10230,59.0000,0
2007-05-25,14.3983,14.6465,14.3983,14.3983,9720,58.0000,0
2007-05-28,14.3983,14.6465,14.3983,14.6465,16700,59.0000,0
2007-05-29,14.2741,14.2741,14.1500,14.1500,15600,57.0000,0
2007-05-30,14.1500,14.1500,14.1500,14.1500,13130,57.0000,0
2007-05-31,14.5224,14.6465,14.3982,14.3983,10520,58.0000,0
2007-06-01,14.3983,14.3983,14.3983,14.3983,5800,58.0000,0
2007-06-04,13.9018,14.1501,13.9018,14.1500,23340,57.0000,0
2007-06-05,13.5294,13.9018,13.5294,13.7777,11650,55.5000,0
2007-06-06,13.5295,13.9018,13.5295,13.9018,9580,56.0000,0
2007-06-07,13.9018,14.2742,13.9018,14.0259,5380,56.5000,0
2007-06-08,13.9018,13.9018,13.9018,13.9018,1200,56.0000,0
2007-06-11,14.1500,14.1500,13.9018,14.0259,14220,56.5000,0
2007-06-12,14.1500,14.3983,14.1500,14.3983,15990,58.0000,0
2007-06-13,14.5224,14.8948,14.5224,14.8948,58720,60.0000,0
2007-06-14,15.6395,15.6395,15.6395,15.6395,111210,63.0000,0
2007-06-15,16.3842,16.3842,16.3842,16.3842,68770,66.0000,0
2007-06-18,17.1289,17.1289,17.1289,17.1290,57200,69.0000,0
2007-06-19,17.8737,17.8737,17.8737,17.8737,97210,72.0000,0
2007-06-20,17.8737,17.8737,17.8737,17.8737,411250,72.0000,0
2007-06-21,17.8737,17.8737,17.5013,17.5014,180340,70.5000,0
2007-06-22,17.8738,17.8738,17.6255,17.8737,134760,72.0000,0
2007-06-25,17.8737,17.8737,17.3772,17.3772,36730,70.0000,0
2007-06-26,17.1290,17.1290,16.6325,16.6325,77260,67.0000,0
2007-06-27,16.8807,16.8807,16.3843,16.3842,49560,66.0000,0
2007-06-28,16.0118,16.1360,15.6395,15.6395,80560,63.0000,0
2007-06-29,15.6395,16.3842,15.6395,16.3842,53980,66.0000,0
2007-07-02,16.3842,16.7566,16.3842,16.7566,145440,67.5000,0
2007-07-03,17.5013,17.5013,17.5013,17.5014,188390,70.5000,0
2007-07-04,18.3703,18.3703,18.3703,18.3702,167070,74.0000,0
2007-07-05,19.2391,19.2391,19.2391,19.2391,220580,77.5000,0
2007-07-06,20.1080,20.1080,20.1080,20.1079,172220,81.0000,0
2007-07-09,21.1009,21.1009,21.1009,21.1009,37080,85.0000,0
2007-07-10,22.0939,22.0939,22.0939,22.0939,34030,89.0000,0
2007-07-11,23.0869,23.0869,23.0869,23.0869,101290,93.0000,0
2007-07-12,22.0939,23.5834,22.0939,23.5834,531150,95.0000,0
2007-07-13,23.5834,24.7005,23.5834,24.7005,188140,99.5000,0
2007-07-16,25.8176,25.8176,25.8176,25.8176,16060,104.0000,0
2007-07-17,27.0588,27.0588,27.0588,27.0588,66850,109.0000,0
2007-07-18,28.3000,28.3000,28.3000,28.3001,305790,114.0000,0
2007-07-19,29.5413,29.5413,29.5413,29.5413,63130,119.0000,0
2007-07-20,30.7825,30.7825,30.7825,30.7825,71240,124.0000,0
2007-07-23,32.2720,32.2720,32.2720,32.2720,41370,130.0000,0
2007-07-24,33.7615,33.7615,33.7615,33.7615,14870,136.0000,0
2007-07-25,32.2720,34.5062,32.2720,32.2720,226130,130.0000,0
2007-07-26,33.0167,33.0167,33.0167,33.0167,25320,133.0000,0
2007-07-27,31.5272,31.5272,31.5272,31.5273,990,127.0000,0
2007-07-30,30.0378,30.0378,30.0378,30.0378,160,121.0000,0
2007-07-31,28.5483,28.5483,28.5483,28.5483,180,115.0000,0
2007-08-01,27.8036,29.7895,27.3071,27.3071,160200,110.0000,0
2007-08-02,28.0518,28.0518,27.3071,27.3071,77290,110.0000,0
2007-08-03,27.3071,28.3001,27.0589,28.3001,86070,114.0000,0
2007-08-06,29.2931,29.5413,28.5483,29.0448,53130,117.0000,0
2007-08-07,28.5483,30.2860,28.3001,30.2860,58740,122.0000,0
2007-08-08,31.0307,31.0307,30.2860,30.2860,85600,122.0000,0
2007-08-09,30.0378,31.0307,30.0378,31.0308,32550,125.0000,0
2007-08-10,29.5413,29.7896,29.5413,29.5413,103320,119.0000,0
2007-08-13,29.5413,29.7895,28.7966,28.7966,28980,116.0000,0
2007-08-14,29.2931,30.0378,29.2931,29.7895,15820,120.0000,0
2007-08-15,29.7895,29.7895,28.3000,28.7966,48140,116.0000,0
2007-08-16,28.5484,29.0448,28.3001,29.0448,34290,117.0000,0
2007-08-17,28.5483,28.5483,28.3001,28.3001,13480,114.0000,0
2007-08-20,27.3071,28.0519,27.3071,27.8036,52960,112.0000,0
2007-08-21,27.8036,27.8036,27.3071,27.5553,49900,111.0000,0
2007-08-22,27.3071,27.5553,27.3071,27.3071,28090,110.0000,0
2007-08-23,27.0589,28.5483,26.8106,28.5483,82540,115.0000,0
2007-08-24,29.7895,29.7895,29.2930,29.7895,107860,120.0000,0
2007-08-27,29.7895,31.2790,29.7895,31.0308,88500,125.0000,0
2007-08-28,31.0308,31.2790,30.5343,30.7825,67040,124.0000,0
2007-08-29,29.7895,30.2860,29.5413,30.2860,34660,122.0000,0
2007-08-30,30.2860,30.5342,30.0378,30.2860,22970,122.0000,0
2007-08-31,30.7825,31.2790,30.5342,31.2790,61190,126.0000,0
2007-09-04,32.2720,32.7685,31.7755,32.5202,54310,131.0000,0
2007-09-05,33.0167,33.2649,32.2720,33.0167,56110,133.0000,0
2007-09-06,32.5202,33.0167,32.2720,33.0167,49630,133.0000,0
2007-09-07,32.7685,32.7685,32.2720,32.5202,34970,131.0000,0
2007-09-10,32.0237,32.5202,32.0237,32.0238,18570,129.0000,0
2007-09-11,31.7756,31.7756,31.0308,31.2790,34100,126.0000,0
2007-09-12,30.5343,32.2720,30.2860,31.7755,41840,128.0000,0
2007-09-13,31.7755,31.7755,31.5273,31.5273,9140,127.0000,0
2007-09-14,31.5273,31.5273,31.2791,31.2790,12710,126.0000,0
2007-09-17,31.2790,31.5272,31.2790,31.2790,11800,126.0000,0
2007-09-18,31.2790,31.2790,30.7825,30.7825,22380,124.0000,0
2007-09-19,31.0307,31.2790,31.0307,31.0308,16130,125.0000,0
2007-09-20,31.2790,31.2790,31.0308,31.2790,80720,126.0000,0
2007-09-21,32.2720,32.2720,31.5272,31.5273,21070,127.0000,0
2007-09-24,32.2720,32.5203,32.2720,32.2720,70240,130.0000,0
2007-09-25,32.7685,33.7615,32.7685,33.7615,123820,136.0000,0
2007-09-26,35.2510,35.2510,35.2510,35.2510,85470,142.0000,0
2007-09-27,36.9887,36.9887,35.9957,36.9887,150300,149.0000,0
2007-09-28,38.7264,38.7264,38.7264,38.7264,99340,156.0000,0
2007-10-01,40.4641,40.4641,39.4711,39.4711,185230,159.0000,0
