date,open,high,low,close,volume,unadjusted,putthrough
2009-12-24,9.3656,9.3656,8.4519,9.3656,74700,41.0000,0
2009-12-25,9.0915,9.4798,8.9087,9.3656,106960,41.0000,0
2009-12-28,9.3656,9.4798,8.9087,9.2971,20770,40.7000,0
2009-12-29,8.9316,9.2514,8.9316,9.2514,49170,40.5000,0
2009-12-30,9.1372,9.2286,9.0001,9.1372,34930,40.0000,0
2009-12-31,9.2514,9.5941,9.1600,9.4341,103820,41.3000,0
2010-01-04,9.7082,9.7082,9.3656,9.4798,62160,41.5000,0
2010-01-05,9.7539,9.8224,9.5026,9.5027,127890,41.6000,0
2010-01-06,9.5255,9.9596,9.5255,9.9595,131360,43.6000,0
2010-01-07,10.4392,10.4392,10.4392,10.4392,21830,45.7000,0
2010-01-08,10.9417,10.9417,10.9417,10.9418,149840,47.9000,0
2010-01-11,11.4215,11.4215,10.9646,11.4215,303270,50.0000,0
2010-01-12,11.9926,11.9926,10.8504,10.8504,316980,47.5000,0
2010-01-13,10.8504,11.3758,10.3935,11.3758,117560,49.8000,0
2010-01-14,11.5357,11.5357,10.9189,10.9646,51060,48.0000,0
2010-01-15,10.6448,10.8504,10.6448,10.7362,158230,47.0000,0
2010-01-18,10.8568,11.0981,10.2054,10.2056,85190,42.3000,0
2010-01-19,10.3745,10.7123,9.8920,10.2056,70630,42.3000,0
2010-01-20,10.3745,10.3745,10.0126,10.1332,50540,42.0000,0
2010-01-21,10.0126,10.0126,9.6507,9.6507,54730,40.0000,0
2010-01-22,9.4094,9.6990,9.2888,9.6507,35480,40.0000,0
2010-01-25,9.4094,9.6507,9.1682,9.2164,60510,38.2000,0
2010-01-26,9.5300,9.6748,9.5300,9.6748,43210,40.1000,0
2010-01-27,9.9402,10.0367,9.6507,9.6507,67050,40.0000,0
2010-01-28,9.2405,9.6507,9.2405,9.4094,8140,39.0000,0
2010-01-29,9.2164,9.5300,9.2164,9.4577,14550,39.2000,0
2010-02-01,9.4577,9.6025,9.1682,9.5300,7770,39.5000,0
2010-02-02,9.4094,9.4576,9.3129,9.4094,30110,39.0000,0
2010-02-03,9.4818,9.5300,9.4094,9.4818,31300,39.3000,0
2010-02-04,9.5301,9.8678,9.4577,9.6507,32850,40.0000,0
2010-02-05,9.5542,9.6507,9.4577,9.5300,19180,39.5000,0
2010-02-08,9.4335,9.5300,9.4094,9.5300,27760,39.5000,0
2010-02-09,9.5541,9.5541,9.4094,9.4094,20410,39.0000,0
2010-02-10,9.5059,9.5059,9.3129,9.3129,1060,38.6000,0
2010-02-11,9.4818,9.4818,9.2888,9.4094,13870,39.0000,0
2010-02-12,9.5300,9.8678,9.5059,9.6507,16070,40.0000,0
2010-02-22,9.8920,9.8920,9.7713,9.7713,3280,40.5000,0
2010-02-23,9.7713,9.7713,9.3370,9.3370,27580,38.7000,0
2010-02-24,9.1440,9.4094,9.1440,9.4094,5660,39.0000,0
2010-02-25,9.6024,9.6265,9.4094,9.4094,16930,39.0000,0
2010-02-26,9.4094,9.4094,9.4094,9.4094,8560,39.0000,0
2010-03-01,9.5059,9.5059,9.4094,9.4094,11280,39.0000,0
2010-03-02,9.3370,9.4094,9.3129,9.3612,16790,38.8000,0
2010-03-03,9.3853,9.5060,9.3129,9.5059,24870,39.4000,0
2010-03-04,9.5300,9.6507,9.3370,9.4094,43960,39.0000,0
2010-03-05,9.4094,9.5783,9.4094,9.5783,67820,39.7000,0
2010-03-08,10.0367,10.0367,10.0367,10.0367,57940,41.6000,0
2010-03-09,10.5192,10.5192,10.4951,10.5192,138060,43.6000,0
