date,open,high,low,close,volume,unadjusted,putthrough
2007-10-15,17.6287,17.6287,17.6287,17.6287,500,54.0000,0
2007-10-16,18.4448,18.4448,18.4448,18.4449,480,56.5000,0
2007-10-17,19.2610,19.2610,19.2610,19.2610,1100,59.0000,0
2007-10-18,20.0771,20.0771,20.0771,20.0772,1050,61.5000,0
2007-10-19,21.0566,21.0566,21.0566,21.0565,31260,64.5000,0
2007-10-22,22.0359,22.0359,22.0359,22.0359,910,67.5000,32990
2007-10-23,23.0153,23.0153,23.0153,23.0153,32550,70.5000,0
2007-10-24,24.1579,24.1579,24.1579,24.1579,43900,74.0000,0
2007-10-25,25.3005,25.3005,25.3005,25.3005,56090,77.5000,0
2007-10-26,26.4431,26.4431,24.1579,26.1166,993230,80.0000,100000
2007-10-29,27.4224,27.4224,26.7695,27.4225,483760,84.0000,0
2007-10-30,28.0754,28.7283,27.7490,28.7283,411800,88.0000,0
2007-10-31,30.0341,30.0341,29.3812,30.0341,416400,92.0000,0
2007-11-01,30.6870,31.5032,30.0341,31.5032,542540,96.5000,0
2007-11-02,32.9723,32.9723,32.3193,32.9723,353070,101.0000,0
2007-11-05,34.2781,34.6046,32.9723,34.6046,434260,106.0000,0
2007-11-06,36.2369,36.2369,36.2369,36.2369,217960,111.0000,0
2007-11-07,35.2575,36.5634,34.6046,34.6046,387900,106.0000,0
2007-11-08,32.9723,32.9723,32.9723,32.9723,70790,101.0000,0
2007-11-09,31.3400,31.3400,31.3400,31.3400,10110,96.0000,0
2007-11-12,29.8709,29.8709,29.8709,29.8709,41040,91.5000,78000
2007-11-13,28.4018,28.4018,28.4018,28.4019,16580,87.0000,0
2007-11-14,28.4019,29.7077,28.4019,29.3812,617520,90.0000,0
2007-11-15,27.9121,29.2180,27.9121,27.9122,267120,85.5000,0
2007-11-16,27.7490,28.5651,27.5857,28.0754,234820,86.0000,0
2007-11-19,27.7489,27.9122,27.0960,27.0960,64510,83.0000,20000
2007-11-20,26.2799,26.4431,25.7902,25.7902,142530,79.0000,0
2007-11-21,24.6476,24.9741,24.6476,24.6476,160970,75.5000,0
2007-11-22,24.1579,25.6270,23.6682,24.3211,431610,74.5000,0
2007-11-23,24.4843,24.4843,23.8314,23.8314,105620,73.0000,0
2007-11-26,24.3211,24.9740,24.3211,24.9740,112660,76.5000,0
2007-11-27,24.9740,25.7901,24.8108,24.8108,224830,76.0000,0
2007-11-28,25.1373,25.1373,24.4843,24.4844,74660,75.0000,0
2007-11-29,24.8109,24.8109,24.4844,24.8108,78940,76.0000,0
2007-11-30,24.9740,25.9534,24.9740,25.9534,78570,79.5000,0
2007-12-03,26.7695,27.0960,26.1166,27.0960,170480,83.0000,0
2007-12-04,27.0960,28.0754,26.7695,27.4225,260240,84.0000,0
2007-12-05,27.4225,27.4225,26.9328,26.9328,134040,82.5000,0
2007-12-06,26.6063,26.6063,25.9534,26.4431,119570,81.0000,0
2007-12-07,26.2799,26.7696,26.2799,26.7696,72490,82.0000,0
2007-12-10,25.7902,26.1167,25.7902,25.7902,98500,79.0000,0
2007-12-11,25.7902,25.7902,24.8108,24.8108,46030,76.0000,0
2007-12-12,24.4843,25.7902,24.4843,24.9740,58050,76.5000,0
2007-12-13,24.9740,24.9740,24.3211,24.3211,66400,74.5000,0
2007-12-14,24.6476,24.8108,24.4843,24.4844,40820,75.0000,0
2007-12-17,24.4844,24.6476,24.4844,24.4844,52560,75.0000,0
2007-12-18,24.4844,24.8109,24.4844,24.8108,64790,76.0000,0
2007-12-19,25.6269,25.9534,25.4637,25.7902,61600,79.0000,0
2007-12-20,25.4637,25.6270,24.8108,24.9740,55510,76.5000,0
2007-12-21,24.9740,25.4637,24.9740,25.1373,24400,77.0000,0
2007-12-24,25.3005,25.3005,24.4844,24.4844,115820,75.0000,0
2007-12-25,24.4844,24.6476,24.3212,24.4844,33670,75.0000,0
2007-12-26,24.4844,24.8109,24.3212,24.6476,46590,75.5000,0
2007-12-27,24.4844,24.6476,24.3211,24.3211,58960,74.5000,0
2007-12-28,24.3211,24.4843,24.3211,24.4844,29070,75.0000,0
2008-01-02,24.4844,24.6476,24.3212,24.3211,23130,74.5000,0
2008-01-03,24.1579,24.1579,23.8314,23.8314,31570,73.0000,0
2008-01-04,23.8314,23.8314,23.3417,23.5050,49020,72.0000,0
2008-01-07,23.1785,23.1785,22.3624,22.3624,60570,68.5000,0
2008-01-08,22.8521,23.0153,22.6889,22.8521,82620,70.0000,0
2008-01-09,22.1992,22.3624,21.8727,21.8727,57190,67.0000,0
2008-01-10,21.2198,21.5462,20.8933,20.8933,111220,64.0000,0
2008-01-11,20.8933,21.5462,20.8933,21.0565,104470,64.5000,0
2008-01-14,20.5668,20.5668,20.0771,20.0772,67140,61.5000,0
2008-01-15,19.0978,19.2611,19.0978,19.0978,87880,58.5000,0
2008-01-16,19.9139,19.9139,19.9139,19.9139,89250,61.0000,0
2008-01-17,20.7300,20.8933,19.4242,19.9139,132670,61.0000,0
2008-01-18,19.9139,20.4036,19.7507,20.4036,71560,62.5000,0
2008-01-21,20.4036,20.4036,19.7507,20.0772,35330,61.5000,0
2008-01-22,19.2611,19.5875,19.2611,19.2610,88030,59.0000,0
2008-01-23,18.6081,18.7713,18.4449,18.4449,118580,56.5000,0
2008-01-24,18.6081,18.9346,17.6288,17.6287,107020,54.0000,0
2008-01-25,17.3022,18.2816,17.3022,17.9552,73940,55.0000,0
2008-01-28,18.1184,18.2817,17.9552,18.1184,42640,55.5000,0
2008-01-29,18.1184,18.9345,18.1184,18.9346,105870,58.0000,0
2008-01-30,19.7507,19.7507,19.7507,19.7507,29110,60.5000,0
2008-01-31,19.5875,20.4036,19.2610,20.4036,166930,62.5000,0
2008-02-01,21.2197,21.3830,20.8933,21.3830,116390,65.5000,0
2008-02-12,21.3830,21.3830,20.4036,20.4036,62490,62.5000,0
2008-02-13,20.4036,20.4036,19.4242,19.4243,64930,59.5000,0
2008-02-14,19.4243,20.0772,19.4243,19.9139,65160,61.0000,0
2008-02-15,19.7507,19.7507,19.2610,19.2610,73080,59.0000,0
2008-02-18,18.4449,19.0978,18.4449,19.0978,152430,58.5000,0
2008-02-19,18.2817,18.9346,18.2817,18.6081,47800,57.0000,0
2008-02-20,18.4449,18.6081,17.7920,17.7920,110070,54.5000,0
2008-02-21,16.9759,16.9759,16.9759,16.9758,14880,52.0000,0
2008-02-22,16.1270,16.1597,16.1270,16.1270,137720,49.4000,0
2008-02-25,16.6493,16.8126,16.4861,16.8126,161790,51.5000,0
2008-02-26,16.6494,16.6494,15.9965,15.9964,85480,49.0000,0
2008-02-27,15.2129,16.3229,15.2129,15.2456,114120,46.7000,0
2008-02-28,14.8539,15.2456,14.8539,14.8865,50460,45.6000,0
2008-02-29,14.8539,14.8539,14.1683,14.1683,71140,43.4000,0
2008-03-03,13.4827,13.4827,13.4827,13.4827,19600,41.3000,0
2008-03-04,12.8298,12.8298,12.8298,12.8298,12540,39.3000,0
2008-03-05,12.2095,12.2095,12.2095,12.2095,13010,37.4000,0
2008-03-06,12.7971,12.7971,12.7971,12.7972,76160,39.2000,0
2008-03-07,13.4175,13.4175,13.4175,13.4174,80870,41.1000,0
2008-03-10,14.0703,14.0703,13.3848,13.9724,367150,42.8000,0
2008-03-11,13.3195,13.9724,13.2868,13.2868,81550,40.7000,0
2008-03-12,12.6889,13.6190,12.6889,12.9547,107420,39.0000,0
2008-03-13,12.9547,13.2869,12.7886,13.1208,52950,39.5000,0
2008-03-14,12.6225,12.7886,12.4897,12.4896,134700,37.6000,0
2008-03-17,11.8917,11.8917,11.8917,11.8917,31320,35.8000,0
2008-03-18,11.3270,11.3270,11.3270,11.3270,15460,34.1000,0
2008-03-19,10.7623,11.2938,10.7623,10.7623,158180,32.4000,0
2008-03-20,10.2308,10.6294,10.2308,10.2309,110330,30.8000,0
2008-03-21,9.7326,9.7326,9.7326,9.7326,26730,29.3000,0
2008-03-24,9.2676,9.2676,9.2676,9.2676,18710,27.9000,0
2008-03-25,8.8358,8.8358,8.8358,8.8358,15400,26.6000,0
2008-03-26,8.4040,8.8026,8.4040,8.4039,290740,25.3000,0
2008-03-27,8.4371,8.4703,8.3375,8.4704,129220,25.5000,0
2008-03-28,8.5368,8.5368,8.5368,8.5368,20170,25.7000,0
2008-03-31,8.6032,8.6032,8.6032,8.6032,10860,25.9000,0
2008-04-01,8.6696,8.6696,8.6696,8.6697,23500,26.1000,0
2008-04-02,8.7361,8.7361,8.7361,8.7361,270,26.3000,0
2008-04-03,8.8025,8.8025,8.8025,8.8025,10010,26.5000,0
2008-04-04,8.8689,8.8689,8.8689,8.8690,26110,26.7000,0
2008-04-07,9.0351,9.0351,9.0351,9.0351,15800,27.2000,0
2008-04-08,9.2012,9.2012,8.8690,8.8690,295890,26.7000,0
2008-04-09,8.7029,8.7029,8.7029,8.7029,109360,26.2000,0
2008-04-10,8.5368,8.5368,8.5368,8.5368,6620,25.7000,0
2008-04-11,8.3707,8.3707,8.3707,8.3707,4470,25.2000,0
2008-04-16,8.2046,8.2046,8.2046,8.2046,7520,24.7000,0
2008-04-17,8.0717,8.3375,8.0717,8.3375,73710,25.1000,0
2008-04-18,8.2378,8.2378,8.1714,8.1714,25680,24.6000,0
2008-04-21,8.0385,8.0385,8.0385,8.0385,5630,24.2000,0
2008-04-22,7.9056,7.9056,7.9056,7.9057,420,23.8000,0
2008-04-23,7.7728,7.7728,7.7728,7.7728,110,23.4000,0
2008-04-24,7.6399,7.6399,7.6399,7.6399,2100,23.0000,0
2008-04-25,7.5070,7.5070,7.5070,7.5071,4020,22.6000,0
2008-04-28,7.3742,7.3742,7.3742,7.3742,12030,22.2000,0
2008-04-29,7.2413,7.4739,7.2413,7.2413,147000,21.8000,0
2008-05-05,7.1084,7.1084,7.1084,7.1085,6410,21.4000,0
2008-05-06,6.9756,6.9756,6.9756,6.9756,2820,21.0000,0
2008-05-07,6.8427,6.8427,6.8427,6.8427,20,20.6000,0
2008-05-08,6.7098,6.7098,6.7098,6.7099,2800,20.2000,0
2008-05-09,6.5770,6.5770,6.5770,6.5770,1350,19.8000,0
2008-05-12,6.5770,6.5770,6.4773,6.4773,1340,19.5000,0
2008-05-13,6.4773,6.4773,6.3776,6.3777,270,19.2000,25000
2008-05-14,6.2780,6.2780,6.2780,6.2780,120,18.9000,0
2008-05-15,6.1783,6.1783,6.1783,6.1784,210,18.6000,0
2008-05-16,6.0787,6.0787,6.0787,6.0787,360,18.3000,0
2008-05-19,5.9790,5.9790,5.9790,5.9791,3400,18.0000,0
2008-05-20,5.8794,5.8794,5.8794,5.8794,280,17.7000,0
2008-05-21,5.7797,5.7797,5.7797,5.7798,450,17.4000,0
2008-05-22,5.6801,5.6801,5.6801,5.6801,10,17.1000,0
2008-05-23,5.5804,5.5804,5.5804,5.5805,84300,16.8000,0
2008-05-26,5.4808,5.4808,5.4808,5.4808,100,16.5000,0
