date,open,high,low,close,volume,unadjusted,putthrough
2006-12-06,3.2836,3.2836,3.2836,3.2836,20110,49.0000,0
2006-12-07,3.4176,3.4176,3.4176,3.4176,38000,51.0000,0
2006-12-08,3.5851,3.5851,3.5851,3.5851,1400,53.5000,0
2006-12-11,3.7526,3.7526,3.7526,3.7527,11020,56.0000,0
2006-12-12,3.9202,3.9202,3.9202,3.9202,15000,58.5000,0
2006-12-13,4.0542,4.0877,4.0542,4.0877,1510,61.0000,0
2006-12-14,4.2887,4.2887,4.2887,4.2888,2000,64.0000,0
2006-12-15,4.4898,4.4898,4.4898,4.4898,2090,67.0000,0
2006-12-18,4.4898,4.4898,4.2888,4.2888,9620,64.0000,0
2006-12-19,4.0878,4.0878,4.0878,4.0877,5720,61.0000,0
2006-12-20,3.8867,3.8867,3.8867,3.8867,10480,58.0000,0
2006-12-21,3.8867,3.8532,3.7192,3.7192,13780,55.5000,0
2006-12-22,3.5517,3.5517,3.5517,3.5516,5700,53.0000,0
2006-12-25,3.5516,3.7191,3.5516,3.7192,7800,55.5000,0
2006-12-26,3.8867,3.8867,3.8197,3.8867,25390,58.0000,0
2006-12-27,0.0000,4.0542,3.9537,4.0542,13080,60.5000,0
2006-12-28,4.1547,4.1547,3.8867,3.9872,3000,59.5000,0
2006-12-29,3.9872,3.9872,3.8197,3.9872,7100,59.5000,0
2007-01-02,3.9872,3.9872,3.9872,3.9872,1060,59.5000,0
2007-01-03,3.8197,3.8197,3.8197,3.8197,860,57.0000,0
2007-01-04,3.8867,3.8867,3.8197,3.8197,1600,57.0000,0
2007-01-05,3.8197,3.8197,3.6857,3.8197,8860,57.0000,0
2007-01-08,3.8197,3.8197,3.6522,3.8197,9000,57.0000,0
2007-01-09,3.8197,3.8197,3.8197,3.8197,9000,57.0000,0
2007-01-10,3.8197,3.8197,3.8197,3.8197,2640,57.0000,0
2007-01-11,3.8197,3.8197,3.7527,3.7527,150,56.0000,0
2007-01-12,0.0000,3.7192,3.5852,3.7192,1010,55.5000,0
2007-01-15,3.5517,3.7192,3.5517,3.7192,11730,55.5000,0
2007-01-16,3.8867,3.8867,3.8197,3.8197,18200,57.0000,0
2007-01-17,3.9872,3.9872,3.9872,3.9872,17620,59.5000,0
2007-01-18,4.0542,4.1547,4.0542,4.1547,26340,62.0000,0
2007-01-19,4.3557,4.3557,4.3557,4.3558,17130,65.0000,0
2007-01-22,4.5568,4.5568,4.4898,4.4898,42130,67.0000,0
2007-01-23,4.3558,4.3558,4.2888,4.2888,5510,64.0000,0
2007-01-24,4.2888,4.2888,4.0878,4.0877,17670,61.0000,0
2007-01-25,3.8867,3.8867,3.8867,3.8867,24100,58.0000,0
2007-01-26,4.0207,4.0207,4.0207,4.0207,2010,60.0000,0
2007-01-29,4.1212,4.2217,4.1212,4.1212,9300,61.5000,0
2007-01-30,4.2217,4.2217,4.2217,4.2217,500,63.0000,0
2007-01-31,4.4227,4.4227,4.4227,4.4228,19940,66.0000,0
2007-02-01,0.0000,4.4228,4.3558,4.3558,3520,65.0000,0
2007-02-02,4.5233,4.5233,4.5233,4.5233,14850,67.5000,0
2007-02-05,4.7243,4.7243,4.7243,4.7243,19780,70.5000,0
2007-02-06,4.4898,4.7243,4.4898,4.4898,14500,67.0000,0
2007-02-07,4.3558,4.4898,4.3558,4.3558,5200,65.0000,0
2007-02-08,4.2218,4.2218,4.2218,4.2217,8600,63.0000,0
2007-02-09,4.4227,4.4227,4.3557,4.4228,3540,66.0000,0
2007-02-12,4.6238,4.6238,4.4228,4.6238,10200,69.0000,0
2007-02-13,4.6238,4.6908,4.6238,4.6238,8120,69.0000,0
2007-02-14,4.7578,4.7578,4.7578,4.7578,9080,71.0000,0
2007-02-15,4.9588,4.9588,4.7913,4.9589,6430,74.0000,0
2007-02-26,5.1934,5.1934,5.1934,5.1934,8600,77.5000,0
2007-02-27,5.4279,5.4279,5.4279,5.4280,21000,81.0000,0
2007-02-28,5.6960,5.6960,5.6960,5.6960,33350,85.0000,0
2007-03-01,5.6290,5.6960,5.4615,5.6290,17150,84.0000,0
2007-03-02,5.6290,5.8970,5.6290,5.8970,13920,88.0000,0
2007-03-05,6.1650,6.1650,6.1650,6.1651,20680,92.0000,0
2007-03-06,6.4667,6.4667,6.4667,6.4666,14790,96.5000,0
2007-03-07,6.6341,6.6341,6.2656,6.2656,20400,93.5000,0
2007-03-08,0.0000,6.5672,6.3661,6.3661,14410,95.0000,0
2007-03-09,6.3661,6.3661,6.3661,6.3661,8420,95.0000,0
2007-03-12,6.3661,6.5671,6.3661,6.5672,10330,98.0000,0
2007-03-13,6.6677,6.7012,6.6677,6.6677,8500,99.5000,0
2007-03-14,6.5672,6.5672,6.5002,6.5672,10180,98.0000,0
2007-03-15,6.2656,6.2656,6.2656,6.2656,250,93.5000,0
2007-03-16,5.9640,5.9640,5.9640,5.9641,18330,89.0000,0
2007-03-19,6.2321,6.2321,6.1651,6.1651,11380,92.0000,0
2007-03-20,6.3661,6.3661,5.9641,5.9641,11020,89.0000,0
2007-03-21,6.0646,6.0646,5.9641,5.9976,12650,89.5000,0
2007-03-22,6.0311,6.0311,6.0311,6.0311,14410,90.0000,0
2007-03-23,6.3327,6.3327,6.2321,6.2321,8500,93.0000,0
2007-03-26,6.2321,6.2321,6.2321,6.2321,11120,93.0000,0
2007-03-27,6.1651,6.1651,5.9305,5.9306,4030,88.5000,0
2007-03-28,5.6961,5.7631,5.6961,5.7630,5630,86.0000,0
2007-03-29,6.0310,6.0310,5.8970,6.0311,2690,90.0000,0
2007-03-30,0.0000,6.0311,5.7966,6.0311,11580,90.0000,0
2007-04-02,5.8301,5.8301,5.8301,5.8300,2720,87.0000,0
2007-04-03,5.6625,5.8300,5.6625,5.8300,5440,87.0000,0
2007-04-04,5.8300,5.8300,5.8300,5.8300,3450,87.0000,0
2007-04-05,6.0310,6.0980,6.0310,6.0981,12270,91.0000,0
2007-04-06,6.0981,6.0981,6.0311,6.0311,5890,90.0000,0
2007-04-09,6.0311,6.0311,5.9306,5.9306,2770,88.5000,0
2007-04-10,6.0311,6.0311,5.9306,5.9306,1880,88.5000,0
2007-04-11,6.0311,6.0311,6.0311,6.0311,1660,90.0000,0
2007-04-12,6.0311,6.0311,5.8971,5.8970,4550,88.0000,0
2007-04-13,5.8970,5.9640,5.8970,5.9641,3130,89.0000,0
2007-04-16,5.9641,5.9641,5.8301,5.8300,8130,87.0000,0
2007-04-17,5.5620,5.6290,5.5620,5.6290,6110,84.0000,0
2007-04-18,5.3610,5.8970,5.3610,5.8970,9940,88.0000,0
2007-04-19,5.8970,5.8970,5.8970,5.8970,2140,88.0000,0
2007-04-20,5.9640,6.0310,5.8300,6.0311,6710,90.0000,0
2007-04-23,6.3327,6.3327,6.3327,6.3326,4410,94.5000,0
2007-04-24,6.6342,6.6342,6.6342,6.6342,27550,99.0000,0
2007-04-25,6.9022,6.9022,6.9022,6.9022,11070,103.0000,0
2007-05-02,7.1702,7.2373,7.1702,7.2373,1530,108.0000,0
2007-05-03,7.5724,7.5724,7.5724,7.5723,1900,113.0000,0
2007-05-04,7.9074,7.9074,7.9074,7.9074,2600,118.0000,0
2007-05-07,8.2425,8.2425,8.2425,8.2425,690,123.0000,0
2007-05-08,8.6446,8.6446,8.6446,8.6445,2560,129.0000,0
2007-05-09,9.0466,9.0466,9.0466,9.0466,2370,135.0000,0
2007-05-10,9.4487,9.4487,9.4487,9.4487,5410,141.0000,0
2007-05-11,9.4487,9.9178,9.4487,9.9178,4300,148.0000,0
2007-05-14,10.3869,10.3869,10.3869,10.3868,550,155.0000,0
2007-05-15,10.8559,10.8559,10.8559,10.8559,630,162.0000,0
2007-05-16,11.3920,11.3920,11.3920,11.3920,230,170.0000,0
2007-05-17,11.9281,11.9281,11.9281,11.9281,1080,178.0000,0
2007-05-18,12.4642,12.4642,12.4642,12.4642,2030,186.0000,0
2007-05-21,13.0673,13.0673,13.0673,13.0673,520,195.0000,0
2007-05-22,13.6704,13.6704,13.6704,13.6704,1310,204.0000,0
2007-05-23,14.3405,14.3405,14.3405,14.3405,100,214.0000,0
2007-05-24,14.7426,15.0106,14.7426,14.7426,41890,220.0000,0
2007-05-25,15.4797,15.4797,15.4797,15.4797,35000,231.0000,0
2007-05-28,16.2168,16.2168,16.2168,16.2169,800,242.0000,0
2007-05-29,17.0103,17.0103,17.0103,17.0100,70,253.0000,0
2007-05-30,17.8168,17.8168,17.8168,17.8168,390,265.0000,0
2007-05-31,18.6908,18.6908,18.6908,18.6908,1270,278.0000,0
2007-06-01,19.5648,19.5648,19.5648,19.5648,2150,291.0000,0
2007-06-04,20.5061,20.5061,20.5061,20.5061,1200,305.0000,0
2007-06-05,21.5146,21.5146,21.5146,21.5146,48470,320.0000,0
2007-06-06,22.5903,22.5903,22.5903,22.5903,4650,336.0000,0
2007-06-07,23.6660,23.6660,23.6660,23.6660,300,352.0000,0
2007-06-08,24.8090,24.8090,24.8090,24.8090,2820,369.0000,0
2007-06-11,26.0192,26.0192,26.0192,26.0192,88870,387.0000,0
2007-06-12,27.2966,27.2966,27.2966,27.2966,10040,406.0000,0
2007-06-13,26.8932,26.8932,25.9519,25.9520,27670,386.0000,0
2007-06-14,24.6746,24.6746,24.6746,24.6745,3070,367.0000,0
2007-06-15,23.4643,23.4643,23.4643,23.4643,60,349.0000,0
2007-06-18,22.3213,24.6073,22.3213,24.6073,68780,366.0000,0
2007-06-19,25.8175,25.8175,25.8175,25.8175,9110,384.0000,0
2007-06-20,27.0949,27.0949,26.8932,27.0949,50740,403.0000,0
2007-06-21,28.4396,28.4396,28.4396,28.4396,19820,423.0000,0
2007-06-22,28.9102,28.9102,28.5068,28.9102,38170,430.0000,0
2007-06-25,27.6328,28.1706,27.5655,27.5655,21720,410.0000,0
2007-06-26,26.2208,27.5655,26.2208,27.5655,37310,410.0000,0
2007-06-27,28.5740,28.5740,27.9017,27.9017,23060,415.0000,0
2007-06-28,27.5655,27.5655,27.0277,27.0277,12600,402.0000,0
2007-06-29,26.5571,26.9605,26.5571,26.9604,16060,401.0000,0
2007-07-02,26.6242,26.6242,25.6157,25.6158,25220,381.0000,0
2007-07-03,24.3384,25.3469,24.3384,25.3469,37080,377.0000,0
2007-07-04,25.3469,26.2209,25.3469,26.2209,10560,390.0000,0
2007-07-05,25.9520,25.9520,25.0107,25.0107,18040,372.0000,0
2007-07-06,25.2124,25.3469,25.2124,25.3469,16340,377.0000,0
2007-07-09,24.8763,25.4814,24.8763,25.4813,10860,379.0000,0
2007-07-10,25.8847,25.8847,25.6158,25.6158,9240,381.0000,0
2007-07-11,25.6158,25.6158,25.4141,25.4141,7900,378.0000,0
2007-07-12,24.8762,25.0779,24.8090,24.8090,5400,369.0000,0
2007-07-13,24.8762,24.8762,24.6073,24.8762,2800,370.0000,0
2007-07-16,24.6073,24.6073,23.8677,23.8677,11330,355.0000,0
2007-07-17,23.4643,23.4643,23.1281,23.1282,12160,344.0000,0
2007-07-18,23.3971,23.3971,22.0525,22.0524,13370,328.0000,0
2007-07-19,21.1784,21.1784,20.9767,20.9767,10390,312.0000,0
2007-07-20,19.9682,19.9682,19.9682,19.9682,8200,297.0000,0
