date,open,high,low,close,volume,unadjusted,putthrough
2010-05-04,5.2511,5.2511,5.2511,5.2511,10,36.0000,0
2010-05-05,5.5137,5.5137,5.5137,5.5137,590,37.8000,0
2010-05-06,5.7763,5.7763,5.7763,5.7763,870,39.6000,0
2010-05-07,6.0534,6.0534,6.0389,6.0534,423600,41.5000,0
2010-05-10,6.3451,6.3451,6.3451,6.3451,34160,43.5000,0
2010-05-11,6.6514,6.6514,6.6514,6.6514,510,45.6000,0
2010-05-12,6.7097,6.9577,6.6514,6.6514,371330,45.6000,0
2010-05-13,6.5347,6.6368,6.3305,6.3305,260590,43.4000,0
2010-05-14,6.2722,6.3305,6.0242,6.0388,97900,41.4000,0
2010-05-17,6.1555,6.1993,6.0388,6.0388,107530,41.4000,0
2010-05-18,5.9805,6.0388,5.7762,5.7763,122700,39.6000,0
2010-05-19,5.5429,5.8346,5.4992,5.4991,99110,37.7000,0
2010-05-20,5.2511,5.5429,5.2365,5.4991,118850,37.7000,0
2010-05-21,5.2365,5.2803,5.2365,5.2366,18340,35.9000,0
2010-05-24,5.0761,5.2220,4.9886,5.0323,192470,34.5000,0
2010-05-25,5.0323,5.1636,4.8573,4.9156,134300,33.7000,0
2010-05-26,4.9156,5.1490,4.9156,5.1490,489670,35.3000,0
2010-05-27,5.0323,5.1782,4.9885,5.1636,118600,35.4000,0
2010-05-28,5.3532,5.4116,5.3386,5.4116,285700,37.1000,0
2010-05-31,5.4116,5.6742,5.3241,5.5866,207550,38.3000,0
2010-06-01,5.5866,5.6304,5.3386,5.5866,204990,38.3000,20000
2010-06-02,5.3970,5.5866,5.3970,5.5866,129320,38.3000,0
2010-06-03,5.7325,5.7325,5.4991,5.4991,148380,37.7000,0
2010-06-04,5.5429,5.5429,5.3532,5.3970,121320,37.0000,0
2010-06-07,5.2511,5.2511,5.1344,5.1344,141760,35.2000,0
2010-06-08,5.1344,5.1636,4.9594,5.1199,63830,35.1000,0
2010-06-09,5.1782,5.1928,4.9740,4.9740,116670,34.1000,0
2010-06-10,4.9594,5.1345,4.9594,5.1199,102130,35.1000,0
2010-06-11,5.2658,5.2658,5.1782,5.1782,105360,35.5000,0
2010-06-14,5.3970,5.4262,5.3824,5.4262,457470,37.2000,0
2010-06-15,5.5429,5.6888,5.4845,5.6887,316160,39.0000,0
2010-06-16,5.9658,5.9658,5.9658,5.9659,207640,40.9000,0
2010-06-17,6.0972,6.1847,5.8784,5.8784,340210,40.3000,0
2010-06-18,5.9076,5.9076,5.5867,5.7325,319000,39.3000,0
2010-06-21,5.6887,5.7325,5.6450,5.6741,108300,38.9000,0
2010-06-22,5.6741,5.6741,5.5282,5.5283,191350,37.9000,0
2010-06-23,5.4116,5.7909,5.4116,5.6741,162060,38.9000,0
2010-06-24,5.8200,5.8200,5.5720,5.6012,147560,38.4000,0
2010-06-25,5.4699,5.6012,5.4699,5.4699,281420,37.5000,20000
2010-06-28,5.6158,5.6158,5.4553,5.5283,57060,37.9000,0
2010-06-29,5.6012,5.6012,5.4554,5.5137,102800,37.8000,0
2010-06-30,5.3678,5.3970,5.3532,5.3970,67770,37.0000,0
2010-07-01,5.4699,5.4699,5.3678,5.3678,123230,36.8000,0
2010-07-02,5.3678,5.4699,5.3386,5.4116,73530,37.1000,0
2010-07-05,5.4116,5.5429,5.4116,5.4554,146820,37.4000,0
2010-07-06,5.4262,5.4554,5.3533,5.3532,77550,36.7000,0
2010-07-07,5.3532,5.3678,5.2073,5.2074,51120,35.7000,0
2010-07-08,5.3241,5.3241,5.2074,5.2511,175340,36.0000,0
2010-07-09,5.2219,5.3240,5.2219,5.2657,142140,36.1000,0
2010-07-12,5.2657,5.3678,5.2657,5.2803,37310,36.2000,0
2010-07-13,5.4699,5.5429,5.3386,5.5429,142940,38.0000,0
2010-07-14,5.5429,5.5429,5.3387,5.3678,213370,36.8000,0
2010-07-15,5.4553,5.4553,5.3240,5.3241,45600,36.5000,0
2010-07-16,5.3241,5.3970,5.3241,5.3241,68710,36.5000,0
2010-07-19,5.3095,5.3387,5.3095,5.3241,32120,36.5000,0
2010-07-20,5.3241,5.3241,5.2366,5.2366,97880,35.9000,0
2010-07-21,5.2512,5.2512,5.2366,5.2366,86010,35.9000,0
2010-07-22,5.1783,5.2658,5.1783,5.1928,43650,35.6000,0
2010-07-23,5.2074,5.2511,5.2074,5.2366,30000,35.9000,0
2010-07-26,5.2074,5.2512,5.1783,5.1782,105440,35.5000,0
2010-07-27,5.1928,5.1928,5.1490,5.1928,34400,35.6000,0
2010-07-28,5.1345,5.1636,5.0469,5.0469,82370,34.6000,0
2010-07-29,5.1782,5.2949,5.0031,5.2949,234340,36.3000,0
2010-07-30,5.4554,5.5575,5.3970,5.5283,849580,37.9000,0
2010-08-02,5.5283,5.7909,5.4408,5.6741,408060,38.9000,0
2010-08-03,5.7470,5.8929,5.6741,5.7763,331900,39.6000,0
2010-08-04,5.6304,5.6888,5.4992,5.5283,192370,37.9000,0
2010-08-05,5.5575,5.5575,5.2657,5.3241,122890,36.5000,0
2010-08-06,5.3241,5.3824,5.2220,5.2657,100090,36.1000,0
2010-08-09,5.2511,5.2511,5.0323,5.0615,322890,34.7000,0
2010-08-10,5.0469,5.0615,4.8135,4.9594,273000,34.0000,0
2010-08-11,4.9594,5.1053,4.8427,4.9302,102160,33.8000,0
2010-08-12,4.8135,4.8427,4.6968,4.6969,133510,32.2000,40800
2010-08-13,4.6969,4.9303,4.5510,4.9302,91900,33.8000,0
2010-08-16,4.9594,5.1636,4.9448,5.1053,142140,35.0000,0
2010-08-17,4.9594,5.0907,4.8573,4.8865,106120,33.5000,0
2010-08-18,4.7698,4.7990,4.6969,4.6969,109320,32.2000,0
2010-08-19,4.6969,4.7844,4.6677,4.7406,84420,32.5000,0
2010-08-20,4.7406,4.7406,4.5947,4.7260,83610,32.4000,0
2010-08-23,4.7260,4.7260,4.5655,4.5656,45320,31.3000,0
2010-08-24,4.5656,4.5656,4.3468,4.3468,150500,29.8000,0
2010-08-25,4.1863,4.1863,4.1426,4.1426,132720,28.4000,0
2010-08-26,4.0988,4.1426,3.9384,4.0259,132960,27.6000,0
2010-08-27,4.0259,4.0842,3.9384,4.0405,94900,27.7000,0
2010-08-30,4.2301,4.2301,4.2301,4.2301,79710,29.0000,0
2010-08-31,4.2301,4.4343,4.2301,4.3759,180180,30.0000,0
2010-09-01,4.4488,4.4488,4.2592,4.4343,159650,30.4000,0
2010-09-06,4.5218,4.6531,4.5218,4.6531,254650,31.9000,0
2010-09-07,4.6385,4.7260,4.6093,4.6385,79370,31.8000,0
2010-09-08,4.6385,4.6385,4.4489,4.4926,109610,30.8000,0
2010-09-09,4.5509,4.6676,4.4488,4.5218,96300,31.0000,0
2010-09-10,4.7406,4.7406,4.7406,4.7406,121700,32.5000,20000
2010-09-13,4.9740,4.9740,4.9740,4.9740,31440,34.1000,0
2010-09-14,5.2220,5.2220,4.9448,4.9740,1154590,34.1000,0
2010-09-15,4.9011,4.9740,4.8135,4.9302,163400,33.8000,0
2010-09-16,4.9302,4.9302,4.7406,4.7698,182990,32.7000,0
2010-09-17,4.9303,5.0032,4.9157,5.0032,238630,34.3000,0
2010-09-20,5.2512,5.2512,5.1199,5.2511,654660,36.0000,0
2010-09-21,5.3824,5.4845,5.2511,5.3532,351530,36.7000,20000
2010-09-22,5.3532,5.3532,5.1927,5.3241,160620,36.5000,0
2010-09-23,5.2366,5.2949,5.0615,5.0615,296800,34.7000,0
2010-09-24,5.0907,5.1782,5.0907,5.1344,167020,35.2000,105000
2010-09-27,5.3678,5.3678,5.1636,5.2949,383470,36.3000,0
2010-09-28,5.2949,5.3970,5.1782,5.1782,170640,35.5000,0
2010-09-29,5.1053,5.1636,4.9594,4.9594,188010,34.0000,0
2010-09-30,4.9594,4.9594,4.8135,4.8281,142790,33.1000,0
2010-10-01,4.7406,4.8864,4.7406,4.7406,111830,32.5000,40000
2010-10-04,4.6823,4.6823,4.5072,4.5072,303120,30.9000,0
2010-10-05,4.2884,4.4489,4.2884,4.4489,405990,30.5000,0
2010-10-06,4.5072,4.5948,4.4197,4.5218,163940,31.0000,0
2010-10-07,4.4926,4.5510,4.4489,4.4489,137810,30.5000,40000
2010-10-08,4.4489,4.4635,4.3176,4.3322,93500,29.7000,0
2010-10-11,4.2593,4.4343,4.2593,4.3176,91520,29.6000,0
2010-10-12,4.3468,4.3468,4.1717,4.1717,80100,28.6000,0
2010-10-13,4.1571,4.3759,4.1571,4.3759,107860,30.0000,0
2010-10-14,4.5947,4.5947,4.5218,4.5947,392220,31.5000,0
2010-10-15,4.5218,4.6385,4.5218,4.5218,130300,31.0000,0
2010-10-18,4.5510,4.5510,4.3905,4.3905,83590,30.1000,0
2010-10-19,4.3759,4.4634,4.2300,4.2301,120070,29.0000,0
2010-10-20,4.1426,4.1572,4.0259,4.0259,259630,27.6000,0
2010-10-21,4.0259,4.1426,3.9530,3.9529,159370,27.1000,0
2010-10-22,4.0550,4.0696,3.9383,3.9529,114630,27.1000,0
2010-10-25,3.9529,4.0696,3.9237,3.9821,76260,27.3000,100000
2010-10-26,4.1134,4.1717,4.1134,4.1717,162650,28.6000,0
2010-10-27,4.1571,4.1571,4.0113,4.0113,99350,27.5000,0
2010-10-28,4.0551,4.0551,3.9530,3.9529,81220,27.1000,0
2010-10-29,3.9383,4.0112,3.9383,3.9675,37420,27.2000,0
2010-11-01,3.9529,3.9529,3.9092,3.9092,67370,26.8000,0
2010-11-02,3.8654,3.8800,3.7633,3.7925,95990,26.0000,0
2010-11-03,3.7925,3.7925,3.6029,3.6175,162750,24.8000,0
2010-11-04,3.6904,3.7196,3.5154,3.5445,88320,24.3000,0
2010-11-05,3.7050,3.7195,3.5737,3.7196,115470,25.5000,0
2010-11-08,3.5737,3.7050,3.5737,3.5737,99070,24.5000,20000
2010-11-09,3.6175,3.6175,3.3987,3.3987,262260,23.3000,0
2010-11-10,3.4716,3.4716,3.2966,3.3111,44820,22.7000,0
2010-11-11,3.3111,3.3111,3.1507,3.1507,124970,21.6000,0
2010-11-12,3.1507,3.1507,3.0048,3.0048,200580,20.6000,0
2010-11-15,2.9173,2.9610,2.8589,2.8590,162250,19.6000,0
2010-11-16,2.7569,2.7569,2.7277,2.7277,122390,18.7000,0
2010-11-17,2.6110,2.7715,2.6110,2.6256,106530,18.0000,0
2010-11-18,2.6256,2.7423,2.6256,2.6693,84420,18.3000,0
2010-11-19,2.7131,2.7131,2.5380,2.5526,81370,17.5000,0
2010-11-22,2.4797,2.5526,2.4651,2.4797,42080,17.0000,0
2010-11-23,2.5526,2.5964,2.4797,2.5672,48980,17.6000,0
2010-11-24,2.4797,2.6401,2.4797,2.6110,85950,17.9000,0
2010-11-25,2.6256,2.7277,2.6256,2.7277,107600,18.7000,0
2010-11-26,2.8006,2.8590,2.7715,2.8590,206870,19.6000,0
2010-11-29,2.9903,2.9903,2.9611,2.9902,203200,20.5000,0
2010-11-30,3.1361,3.1361,3.1361,3.1361,14660,21.5000,0
2010-12-01,3.2820,3.2820,3.1799,3.2820,204310,22.5000,0
2010-12-02,3.4133,3.4425,3.2091,3.4424,287090,23.6000,0
2010-12-03,3.6029,3.6029,3.5591,3.6029,258760,24.7000,0
2010-12-06,3.7634,3.7779,3.5008,3.6758,287050,25.2000,0
2010-12-07,3.5299,3.7487,3.5008,3.5008,278040,24.0000,0
2010-12-08,3.3841,3.5008,3.3258,3.3257,254690,22.8000,0
2010-12-09,3.2236,3.4862,3.1798,3.4278,216210,23.5000,0
2010-12-10,3.3549,3.5883,3.3549,3.5883,160820,24.6000,0
2010-12-13,3.7633,3.7633,3.7633,3.7633,27160,25.8000,0
2010-12-14,3.9383,3.9383,3.7925,3.9384,701750,27.0000,0
2010-12-15,4.0843,4.1134,3.8655,3.9384,244830,27.0000,0
2010-12-16,3.7925,3.8509,3.7488,3.7487,323370,25.7000,0
2010-12-17,3.8362,3.9237,3.7487,3.9238,174380,26.9000,0
2010-12-20,4.1134,4.1134,3.8655,3.8654,356940,26.5000,0
2010-12-21,3.7487,3.9383,3.7195,3.8654,139050,26.5000,0
2010-12-22,3.9967,3.9967,3.7195,3.7196,71090,25.5000,0
2010-12-23,3.6175,3.7196,3.5591,3.5591,132310,24.4000,0
2010-12-24,3.6904,3.6904,3.5445,3.5591,73260,24.4000,0
2010-12-27,3.5591,3.6612,3.5591,3.6466,107220,25.0000,0
2010-12-28,3.7779,3.8071,3.6612,3.8071,89480,26.1000,0
2010-12-29,3.8654,3.8654,3.7050,3.7050,41230,25.4000,0
2010-12-30,3.7050,3.7050,3.6612,3.6612,42310,25.1000,0
2010-12-31,3.7925,3.7925,3.6466,3.7633,35060,25.8000,0
2011-01-04,3.8362,3.8362,3.7633,3.7779,62120,25.9000,0
2011-01-05,3.6904,3.7196,3.6612,3.6612,34680,25.1000,0
2011-01-06,3.6320,3.6612,3.6029,3.6320,44370,24.9000,0
2011-01-07,3.5882,3.6466,3.5882,3.6029,24200,24.7000,0
2011-01-10,3.5883,3.5883,3.4279,3.4278,184110,23.5000,0
2011-01-11,3.2965,3.3257,3.2673,3.2674,125170,22.4000,0
2011-01-12,3.2820,3.3549,3.2674,3.3111,48560,22.7000,0
2011-01-13,3.3986,3.4278,3.3257,3.3549,69620,23.0000,0
2011-01-14,3.3549,3.4278,3.3549,3.3987,56970,23.3000,0
2011-01-17,3.4716,3.5592,3.4279,3.5591,130450,24.4000,0
2011-01-18,3.5737,3.6320,3.4424,3.5591,62220,24.4000,0
2011-01-19,3.5591,3.6904,3.5591,3.5737,99180,24.5000,0
2011-01-20,3.5445,3.7050,3.5445,3.6758,130640,25.2000,0
2011-01-21,3.6758,3.6904,3.6175,3.6175,78600,24.8000,0
2011-01-24,3.5883,3.5883,3.4716,3.4716,70080,23.8000,0
2011-01-25,3.4716,3.5008,3.4278,3.4278,39120,23.5000,0
2011-01-26,3.5737,3.5883,3.5591,3.5883,96740,24.6000,0
2011-01-27,3.6175,3.6904,3.6175,3.6904,75460,25.3000,0
2011-01-28,3.7342,3.7342,3.6029,3.6029,79530,24.7000,0
2011-02-08,3.7779,3.7779,3.7779,3.7779,43940,25.9000,0
2011-02-09,3.9529,3.9529,3.9529,3.9529,18580,27.1000,0
2011-02-10,4.1425,4.1425,4.1425,4.1426,27560,28.4000,0
2011-02-11,4.3468,4.3468,4.2301,4.3468,1503460,29.8000,0
2011-02-14,4.3760,4.3760,4.2593,4.2593,350500,29.2000,20840
2011-02-15,4.1426,4.2155,4.0551,4.0550,448220,27.8000,0
2011-02-16,3.9529,4.1425,3.9529,4.0842,367080,28.0000,0
2011-02-17,4.0696,4.0842,3.8800,3.8800,787600,26.6000,0
2011-02-18,4.0662,4.0662,4.0662,4.0598,18250,13.1000,0
2011-02-21,4.2457,4.2457,4.2457,4.2457,330590,13.7000,0
2011-02-22,4.3697,4.3697,4.0907,4.1837,710310,13.5000,0
2011-02-23,4.2767,4.3696,4.2147,4.3077,322190,13.9000,0
2011-02-24,4.3077,4.3077,4.1218,4.1837,203550,13.5000,0
2011-02-25,4.1837,4.2147,4.1217,4.1527,180770,13.4000,0
2011-02-28,4.0907,4.1217,3.9668,3.9668,418480,12.8000,0
2011-03-01,3.9048,3.9358,3.8428,3.8738,159470,12.5000,0
2011-03-02,3.9048,3.9048,3.6879,3.6879,205210,11.9000,0
2011-03-03,3.6879,3.6879,3.5329,3.5329,159060,11.4000,0
2011-03-04,3.5329,3.6879,3.4709,3.6879,179120,11.9000,0
2011-03-07,3.8429,3.8429,3.7809,3.8428,271280,12.4000,0
2011-03-08,3.8428,3.9048,3.6569,3.6569,209950,11.8000,0
2011-03-09,3.7499,3.7499,3.5329,3.6569,129050,11.8000,0
2011-03-10,3.7499,3.8119,3.6569,3.8118,237480,12.3000,0
2011-03-11,3.9668,3.9977,3.9668,3.9978,386070,12.9000,0
2011-03-14,3.9048,3.9358,3.8119,3.8118,182730,12.3000,0
2011-03-15,3.6568,3.8428,3.6568,3.6879,125050,11.9000,0
2011-03-16,3.8119,3.8119,3.6879,3.7498,119780,12.1000,0
2011-03-17,3.8738,3.8738,3.7498,3.7808,154760,12.2000,0
2011-03-18,3.8118,3.8738,3.6878,3.8428,150310,12.4000,0
2011-03-21,3.9668,3.9668,3.7808,3.8118,150300,12.3000,0
2011-03-22,3.7188,3.7808,3.6568,3.6569,164610,11.8000,0
2011-03-23,3.6569,3.7499,3.6569,3.7189,165040,12.0000,0
2011-03-24,3.6569,3.7189,3.6569,3.6879,188340,11.9000,0
2011-03-25,3.7189,3.7189,3.5949,3.6259,172840,11.7000,100000
2011-03-28,3.6259,3.6259,3.5639,3.5949,103250,11.6000,0
2011-03-29,3.5329,3.5949,3.4709,3.5019,313610,11.3000,0
2011-03-30,3.4089,3.4709,3.4089,3.4399,163130,11.1000,0
2011-03-31,3.5639,3.5639,3.4089,3.4090,128240,11.0000,0
2011-04-01,3.5020,3.5640,3.5020,3.5639,332400,11.5000,0
2011-04-04,3.5329,3.5329,3.4399,3.4399,110040,11.1000,0
2011-04-05,3.4399,3.5329,3.4399,3.4399,70560,11.1000,0
2011-04-06,3.4399,3.5019,3.4399,3.5019,70180,11.3000,95170
2011-04-07,3.4399,3.4709,3.3779,3.4090,165180,11.0000,0
2011-04-08,3.3780,3.3780,3.3160,3.3780,77140,10.9000,0
2011-04-13,3.2850,3.3780,3.2850,3.3470,132490,10.8000,0
2011-04-14,3.3470,3.3780,3.2540,3.2850,109400,10.6000,0
2011-04-15,3.2230,3.2540,3.1610,3.1610,110520,10.2000,0
2011-04-18,3.0990,3.1300,3.0060,3.0061,14400,9.7000,0
2011-04-19,2.9441,3.0991,2.9441,3.0061,72970,9.7000,0
2011-04-20,3.0061,3.0681,3.0061,3.0681,94140,9.9000,0
2011-04-21,3.0681,3.1921,3.0681,3.1920,170720,10.3000,0
2011-04-22,3.1920,3.1920,3.0370,3.0371,107360,9.8000,0
2011-04-25,3.0991,3.1611,3.0681,3.1300,95420,10.1000,0
2011-04-26,3.0990,3.0990,3.0060,3.0371,49000,9.8000,0
2011-04-27,3.0681,3.0681,3.0061,3.0371,57930,9.8000,0
2011-04-28,3.0371,3.1611,3.0371,3.0681,26900,9.9000,0
2011-04-29,3.0681,3.1301,3.0681,3.1300,178620,10.1000,0
2011-05-04,3.1300,3.1300,3.0680,3.0681,30950,9.9000,0
2011-05-05,3.0371,3.0681,3.0371,3.0371,41290,9.8000,0
2011-05-06,3.0371,3.0371,3.0061,3.0061,74680,9.7000,0
2011-05-09,3.0991,3.1301,3.0371,3.1300,69350,10.1000,0
2011-05-10,3.1300,3.1610,3.0680,3.1610,58350,10.2000,0
2011-05-11,3.0990,3.0990,3.0370,3.0371,30090,9.8000,0
2011-05-12,3.0371,3.0681,3.0371,3.0371,20970,9.8000,0
2011-05-13,3.0371,3.0681,3.0371,3.0681,25720,9.9000,0
2011-05-16,3.0371,3.0681,3.0061,3.0061,73610,9.7000,0
2011-05-17,2.9751,3.0061,2.8821,2.8821,140700,9.3000,0
2011-05-18,2.8201,2.9441,2.7581,2.8201,111200,9.1000,0
2011-05-19,2.7891,2.8511,2.7271,2.7272,98490,8.8000,0
2011-05-20,2.7892,2.7892,2.6962,2.7272,46960,8.8000,0
