date,open,high,low,close,volume,unadjusted,putthrough
2016-04-05,8.1701,8.1701,5.8358,5.8358,27500,10.0000,0
2016-04-08,7.9950,7.9950,7.9950,7.9950,100,13.7000,0
2016-04-11,9.1038,9.1038,9.0454,9.0454,400,15.5000,0
2016-04-12,10.3876,10.3876,10.3876,10.3877,1100,17.8000,0
2016-04-13,10.5044,11.9050,10.5044,11.9050,2500,20.4000,0
2016-04-14,13.1305,13.1305,13.1305,13.1305,1500,22.5000,0
2016-04-15,15.0563,15.0563,15.0563,15.0563,300,25.8000,0
2016-04-19,17.2739,17.2739,17.1572,17.1572,600,29.4000,0
2016-04-20,19.7249,19.7249,19.7249,19.7249,100,33.8000,0
2016-04-21,22.6428,22.6428,20.4252,20.4252,800,35.0000,0
2016-04-22,23.2264,23.2264,23.2264,23.2264,800,39.8000,0
2016-04-25,23.3431,23.3431,22.7595,22.7595,300,39.0000,0
2016-04-28,19.5498,19.5498,19.5498,19.5498,200,33.5000,0
2016-05-05,16.6319,16.6319,16.6319,16.6319,400,28.5000,0
2016-05-20,14.1809,14.1809,14.1809,14.1809,100,24.3000,0
2016-06-01,12.0800,12.0800,12.0800,12.0800,100,20.7000,0
2016-06-02,10.2709,10.2709,10.2709,10.2710,200,17.6000,0
2016-06-03,8.7537,8.7537,8.7537,8.7537,200,15.0000,0
2016-06-06,7.4698,7.4698,7.4698,7.4698,100,12.8000,30000
2016-06-07,8.5786,8.5786,8.5786,8.5786,100,14.7000,0
2016-06-10,9.8625,9.8625,9.8625,9.8625,100,16.9000,0
2016-06-16,11.3214,11.3214,11.3214,11.3214,100,19.4000,0
2016-06-17,12.9554,13.0138,12.9554,13.0138,200,22.3000,0
2016-06-21,14.2977,14.2977,14.2977,14.2976,100,24.5000,0
2016-06-24,15.1730,15.1730,15.1730,15.1730,110,26.0000,0
2016-07-04,12.8971,12.8971,12.8971,12.8971,100,22.1000,0
2016-07-08,11.1464,11.1464,11.1464,11.1463,500,19.1000,0
2016-07-14,11.1463,11.1463,11.1463,11.1463,200,19.1000,0
2016-08-11,12.7803,12.7803,12.7803,12.7803,200,21.9000,0
2016-08-12,14.6477,14.6477,14.6477,14.6478,100,25.1000,0
2016-08-17,16.8070,16.8070,16.8070,16.8070,100,28.8000,0
2016-08-29,19.3164,19.3164,19.3164,19.3164,162,33.1000,0
2016-09-05,19.3164,19.3164,19.3164,19.3164,9,33.1000,0
