date,open,high,low,close,volume,unadjusted,putthrough
2011-07-28,4.1039,4.1039,4.1039,4.1039,30,20.0000,0
2011-07-29,3.8987,3.8987,3.8987,3.8987,10,19.0000,0
2011-08-01,3.7140,3.7140,3.7140,3.7141,10,18.1000,0
2011-08-02,3.5294,3.5294,3.5294,3.5294,10,17.2000,0
2011-08-03,3.3652,3.3652,3.3652,3.3652,10,16.4000,0
2011-08-04,3.2010,3.2010,3.2010,3.2011,2990,15.6000,0
2011-08-05,3.0575,3.0575,3.0575,3.0574,10,14.9000,0
2011-08-08,2.9138,2.9138,2.9138,2.9138,1200,14.2000,0
2011-08-09,2.7702,2.7702,2.7702,2.7702,60,13.5000,0
2011-08-10,2.6471,2.6471,2.6471,2.6470,50,12.9000,0
2011-08-11,2.5239,2.5239,2.5239,2.5239,110,12.3000,0
2011-08-12,2.4008,2.4213,2.4008,2.4008,820,11.7000,0
2011-08-15,2.2982,2.5034,2.2982,2.2982,143550,11.2000,140000
2011-08-16,2.1956,2.2982,2.1956,2.1956,14710,10.7000,0
2011-08-17,2.0930,2.0930,2.0930,2.0930,15970,10.2000,0
2011-08-18,2.0058,2.0058,2.0058,2.0058,6930,9.2000,0
2011-08-19,2.0930,2.0930,1.9186,1.9186,35040,8.8000,0
2011-08-22,1.8968,2.0058,1.8968,1.9622,55030,9.0000,0
2011-08-23,2.0494,2.0494,1.9622,1.9622,33840,9.0000,0
2011-08-24,1.8750,2.0494,1.8750,1.9622,1680,9.0000,0
2011-08-25,2.0494,2.0494,1.9622,1.9622,10040,9.0000,0
2011-08-26,2.0494,2.0494,1.9840,2.0058,12660,9.2000,0
2011-08-29,2.0930,2.0930,2.0930,2.0930,10500,9.6000,0
2011-08-30,2.1802,2.1802,2.1802,2.1802,10,10.0000,100000
2011-08-31,2.2892,2.2892,2.2892,2.2892,2020,10.5000,0
2011-09-01,2.3982,2.3982,2.3982,2.3982,130,11.0000,0
2011-09-05,2.5072,2.5072,2.3982,2.4854,870,11.4000,0
2011-09-06,2.3982,2.3982,2.3764,2.3764,870,10.9000,0
2011-09-07,2.2674,2.4854,2.2674,2.2892,7270,10.5000,0
2011-09-08,2.3982,2.3982,2.3982,2.3982,12020,11.0000,0
2011-09-09,2.5072,2.5072,2.3982,2.3982,5590,11.0000,0
2011-09-12,2.3982,2.3982,2.3982,2.3982,10670,11.0000,0
2011-09-13,2.4200,2.4200,2.3546,2.3546,8860,10.8000,0
2011-09-14,2.3546,2.4418,2.2674,2.4418,20410,11.2000,0
2011-09-15,2.3982,2.3982,2.3328,2.3982,7670,11.0000,0
2011-09-16,2.2892,2.3982,2.2892,2.2892,19040,10.5000,0
2011-09-19,2.2892,2.2892,2.2892,2.2892,8630,10.5000,0
2011-09-20,2.2020,2.2892,2.2020,2.2020,10760,10.1000,0
2011-09-21,2.2892,2.3110,2.2456,2.2456,6510,10.3000,0
2011-09-22,2.2456,2.3110,2.2456,2.3110,2310,10.6000,0
2011-09-23,2.2892,2.3764,2.2238,2.2238,13020,10.2000,0
2011-09-26,2.3110,2.3110,2.2238,2.3110,840,10.6000,0
2011-09-27,2.2892,2.2892,2.2892,2.2892,50,10.5000,0
2011-09-28,2.2020,2.2020,2.2020,2.2020,1010,10.1000,0
2011-09-29,2.0930,2.3110,2.0930,2.0930,1870,9.6000,0
2011-09-30,2.0930,2.1802,2.0058,2.0058,1130,9.2000,0
2011-10-03,1.9186,1.9186,1.9186,1.9186,1020,8.8000,0
2011-10-04,1.9186,2.0058,1.8750,2.0058,2340,9.2000,0
2011-10-05,2.0930,2.0930,2.0930,2.0930,24460,9.6000,0
2011-10-06,2.1802,2.1802,2.1802,2.1802,1560,10.0000,0
2011-10-07,2.2892,2.2892,2.2892,2.2892,6790,10.5000,1000000
2011-10-10,2.3982,2.3982,2.3982,2.3982,11380,11.0000,0
2011-10-11,2.5072,2.5072,2.5072,2.5072,46550,11.5000,0
2011-10-12,2.6162,2.6162,2.3982,2.5072,17730,11.5000,0
2011-10-13,2.5072,2.5072,2.5072,2.5072,1800,11.5000,0
2011-10-14,2.3982,2.6162,2.3982,2.6163,28670,12.0000,0
2011-10-17,2.5509,2.5509,2.4855,2.4854,3430,11.4000,0
2011-10-18,2.3764,2.5072,2.3764,2.3982,306060,11.0000,0
2011-10-19,2.3982,2.3982,2.3982,2.3982,10,11.0000,0
2011-10-20,2.2892,2.3982,2.2892,2.3982,3010,11.0000,0
2011-10-21,2.3982,2.3982,2.3982,2.3982,2000,11.0000,0
2011-10-25,2.3110,2.3110,2.2892,2.2892,21360,10.5000,0
2011-10-26,2.1802,2.1802,2.1802,2.1802,14240,10.0000,0
2011-10-27,2.1148,2.1148,2.0712,2.1148,13160,9.7000,0
2011-10-28,2.0712,2.1148,2.0712,2.1148,11160,9.7000,0
2011-10-31,2.0276,2.1584,2.0276,2.1584,6010,9.9000,0
2011-11-01,2.0712,2.0712,2.0712,2.0712,10080,9.5000,0
2011-11-02,1.9840,2.0058,1.9840,2.0058,12640,9.2000,0
2011-11-03,2.0058,2.0494,1.9622,2.0494,14990,9.4000,0
2011-11-04,1.9622,2.0712,1.9622,2.0712,8000,9.5000,0
2011-11-07,1.9840,2.0712,1.9840,2.0712,23530,9.5000,0
2011-11-08,2.0712,2.0930,2.0494,2.0930,820,9.6000,0
2011-11-09,2.0930,2.0930,2.0058,2.0058,5120,9.2000,0
2011-11-10,1.9622,2.0712,1.9622,2.0712,12330,9.5000,0
2011-11-11,2.0276,2.0276,2.0058,2.0058,2010,9.2000,0
2011-11-14,1.9840,1.9840,1.9622,1.9840,7000,9.1000,0
2011-11-15,2.0494,2.0494,2.0494,2.0494,1400,9.4000,0
2011-11-16,2.0712,2.0712,2.0712,2.0712,1000,9.5000,0
2011-11-17,2.0930,2.1148,2.0712,2.0930,10510,9.6000,0
2011-11-18,2.1366,2.1584,2.0712,2.1584,10040,9.9000,0
2011-11-21,2.1802,2.2456,2.1802,2.2456,1040,10.3000,0
2011-11-22,2.3546,2.3546,2.3546,2.3546,30,10.8000,0
2011-11-23,2.2892,2.2892,2.2892,2.2892,10,10.5000,0
2011-11-25,2.3982,2.3982,2.1802,2.1802,710,10.0000,0
2011-11-29,2.0712,2.0712,2.0712,2.0712,12500,9.5000,0
2011-11-30,1.9840,2.1584,1.9840,2.1584,60,9.9000,0
2011-12-01,2.0712,2.0712,2.0712,2.0712,30,9.5000,0
2011-12-02,2.1366,2.1366,2.1366,2.1366,500,9.8000,0
2011-12-05,2.0712,2.0712,2.0712,2.0712,2040,9.5000,0
2011-12-07,1.9840,2.0930,1.9840,2.0930,1010,9.6000,0
2011-12-08,2.0712,2.0712,2.0712,2.0712,2000,9.5000,0
2011-12-09,2.0712,2.0712,2.0712,2.0712,700,9.5000,0
2011-12-12,2.0494,2.0494,1.9840,1.9840,7140,9.1000,0
2011-12-13,2.0058,2.0058,2.0058,2.0058,1500,9.2000,0
2011-12-14,2.0276,2.0276,2.0276,2.0276,10,9.3000,0
2011-12-15,1.9404,2.1148,1.9404,2.1148,2020,9.7000,0
2011-12-16,2.0712,2.2020,2.0276,2.2020,4020,10.1000,0
2011-12-19,2.0930,2.0930,2.0930,2.0930,600,9.6000,0
2011-12-20,2.0058,2.0058,2.0058,2.0058,8840,9.2000,0
2011-12-21,2.0712,2.0712,2.0058,2.0058,1010,9.2000,0
2011-12-23,1.9186,1.9622,1.9186,1.9622,16070,9.0000,0
2011-12-26,1.8750,1.8750,1.8750,1.8750,500,8.6000,0
2011-12-27,1.7878,1.7878,1.7878,1.7878,1000,8.2000,0
2011-12-29,1.8750,1.8750,1.8532,1.8532,2480,8.5000,0
2011-12-30,1.9404,1.9404,1.9404,1.9404,10,8.9000,0
2012-01-04,2.0276,2.0276,2.0276,2.0276,10,9.3000,0
2012-01-05,2.0276,2.0276,2.0276,2.0276,890,9.3000,0
2012-01-09,2.0712,2.0712,2.0712,2.0712,10,9.5000,0
2012-01-10,2.1366,2.1366,2.1366,2.1366,10,9.8000,0
2012-01-11,2.0494,2.0494,2.0494,2.0494,20,9.4000,0
2012-01-12,1.9622,1.9622,1.9622,1.9622,10000,9.0000,0
2012-01-13,1.8750,1.8750,1.8750,1.8750,10,8.6000,0
2012-01-16,1.7878,1.7878,1.7878,1.7878,9990,8.2000,0
2012-01-17,1.7006,1.8750,1.7006,1.8750,20,8.6000,0
2012-01-20,1.8750,1.9622,1.8750,1.9622,40,9.0000,0
2012-01-30,2.0058,2.0058,2.0058,2.0058,10,9.2000,0
2012-01-31,2.0494,2.0494,2.0276,2.0276,2810,9.3000,0
2012-02-01,1.9622,2.1148,1.9622,2.1148,17740,9.7000,0
2012-02-02,2.2020,2.2020,2.1802,2.2020,9540,10.1000,0
2012-02-03,2.2674,2.2674,2.2674,2.2674,500,10.4000,0
2012-02-06,2.3764,2.3764,2.3328,2.3328,950,10.7000,0
2012-02-07,2.2238,2.2674,2.2238,2.2238,3600,10.2000,0
2012-02-08,2.1148,2.2020,2.1148,2.1584,1880,9.9000,0
2012-02-09,2.1584,2.1584,2.1584,2.1584,5640,9.9000,0
2012-02-14,2.1802,2.2020,2.1802,2.2020,60,10.1000,0
2012-02-15,2.1584,2.1584,2.1584,2.1584,180,9.9000,0
2012-02-16,2.2456,2.2456,2.1802,2.1802,3690,10.0000,0
2012-02-17,2.1802,2.1802,2.1802,2.1802,3210,10.0000,0
2012-02-20,2.1802,2.1802,2.0712,2.0712,4000,9.5000,0
2012-02-21,2.1584,2.1584,2.1584,2.1584,20,9.9000,0
2012-02-22,2.1802,2.1802,2.1148,2.1148,3970,9.7000,0
2012-02-23,2.2020,2.2020,2.2020,2.2020,420,10.1000,0
2012-02-24,2.3110,2.3110,2.3110,2.3110,9170,10.6000,0
2012-02-27,2.4200,2.4200,2.4200,2.4200,6800,11.1000,0
2012-02-28,2.5290,2.5290,2.5290,2.5291,28790,11.6000,0
2012-02-29,2.5291,2.5291,2.4201,2.5291,6080,11.6000,0
2012-03-01,2.5291,2.5291,2.4201,2.4854,9780,11.4000,0
2012-03-02,2.5072,2.5944,2.4854,2.5945,15270,11.9000,0
2012-03-05,2.6599,2.7035,2.5727,2.7035,18970,12.4000,0
2012-03-06,2.7035,2.8343,2.7035,2.7907,14860,12.8000,0
2012-03-07,2.6599,2.7907,2.6599,2.7907,2710,12.8000,0
2012-03-09,2.7417,2.7417,2.6683,2.6683,5690,10.9000,0
2012-03-12,2.5459,2.6438,2.5459,2.5459,20,10.4000,0
2012-03-13,2.4235,2.4235,2.4235,2.4235,1040,9.9000,0
2012-03-14,2.4235,2.5214,2.3256,2.3255,210,9.5000,0
2012-03-15,2.2276,2.2276,2.2276,2.2276,2330,9.1000,0
2012-03-16,2.3255,2.3255,2.2276,2.3255,4230,9.5000,0
2012-03-19,2.4234,2.4234,2.4234,2.4235,620,9.9000,0
2012-03-20,2.5214,2.5214,2.5214,2.5214,100,10.3000,0
2012-03-21,2.6438,2.6438,2.6438,2.6438,1100,10.8000,0
2012-03-22,2.7662,2.7662,2.5459,2.5459,240,10.4000,0
2012-03-23,2.6438,2.6438,2.4235,2.4235,450,9.9000,0
2012-03-26,2.3256,2.5214,2.3256,2.3745,25470,9.7000,0
2012-03-27,2.3255,2.3255,2.3255,2.3255,100,9.5000,0
2012-03-28,2.2276,2.4234,2.2276,2.4235,11100,9.9000,0
2012-03-29,2.3256,2.5214,2.3256,2.5214,740,10.3000,0
2012-04-03,2.3990,2.5459,2.3990,2.5459,590,10.4000,0
2012-04-04,2.4235,2.4480,2.4235,2.4235,31930,9.9000,0
2012-04-05,2.3501,2.3501,2.3501,2.3500,1100,9.6000,0
2012-04-06,2.4479,2.4479,2.3255,2.4479,3030,10.0000,0
2012-04-09,2.4479,2.4479,2.4479,2.4479,30,10.0000,0
2012-04-11,2.4479,2.4724,2.4234,2.4724,17360,10.1000,0
2012-04-12,2.3500,2.5948,2.3500,2.5948,50200,10.6000,0
2012-04-13,2.6927,2.6927,2.6927,2.6927,500,11.0000,0
2012-04-16,2.7661,2.7661,2.7661,2.7662,20,11.3000,0
2012-04-17,2.6438,2.7907,2.6438,2.6438,540,10.8000,0
2012-04-18,2.5214,2.5214,2.5214,2.5214,10310,10.3000,0
2012-04-19,2.6438,2.6438,2.4235,2.4235,1170,9.9000,0
2012-04-20,2.5214,2.5214,2.4235,2.4235,7800,9.9000,0
2012-04-23,2.5214,2.5214,2.5214,2.5214,5000,10.3000,0
2012-04-24,2.6438,2.6438,2.3990,2.3990,5750,9.8000,0
2012-04-25,2.4969,2.4969,2.3500,2.3500,10200,9.6000,0
2012-04-26,2.4479,2.4479,2.2766,2.2766,50030,9.3000,0
2012-04-27,2.3256,2.3745,2.3256,2.3745,30,9.7000,470000
2012-05-02,2.4724,2.4724,2.4724,2.4724,120,10.1000,0
