date,open,high,low,close,volume,unadjusted,putthrough
2020-05-13,8.0600,8.0600,8.0600,8.0600,13800,8.7000,0
2020-05-14,8.0600,8.0600,8.0600,8.0600,20400,8.7000,0
2020-05-20,8.0600,8.0600,8.0600,8.0600,22300,8.7000,0
2020-05-21,8.0600,8.0600,8.0600,8.0600,46400,8.7000,0
2020-06-02,8.0600,8.0600,8.0600,8.0600,34200,8.7000,0
2020-06-03,8.0600,8.0600,8.0600,8.0600,34100,8.7000,0
2020-06-04,8.0600,8.0600,8.0600,8.0600,31900,8.7000,0
2020-07-01,8.0600,8.0600,8.0600,8.0600,13700,8.7000,0
2020-07-02,8.0600,8.0600,8.0600,8.0600,300,8.7000,0
2020-07-03,8.0600,8.0600,8.0600,8.0600,6100,8.7000,0
2020-07-06,8.0600,8.0600,8.0600,8.0600,3800,8.7000,0
2020-07-07,8.0600,8.0600,8.0600,8.0600,3400,8.7000,0
2020-07-09,8.0600,8.0600,8.0600,8.0600,26600,8.7000,1500
2020-07-10,8.0600,8.0600,8.0600,8.0600,12200,8.7000,0
2020-07-13,8.0600,8.0600,8.0600,8.0600,7500,8.7000,0
2020-07-14,8.0600,8.0600,8.0600,8.0600,700,8.7000,0
2020-07-15,8.0600,8.0600,7.9674,7.9674,39500,8.6000,1500
2020-07-17,8.1526,8.1526,8.1526,8.1527,2700,8.8000,0
2020-07-20,8.0601,8.0601,8.0601,8.0600,19300,8.7000,0
2020-07-31,8.6000,8.6000,8.6000,8.6000,1600,8.6000,0
2020-08-03,8.7000,8.7000,8.7000,8.7000,200,8.7000,0
2020-08-10,8.7000,8.7000,8.7000,8.7000,3000,8.7000,0
2020-08-18,8.7000,8.7000,8.7000,8.7000,3800,8.7000,0
2020-08-19,8.7000,8.7000,8.7000,8.7000,6500,8.7000,0
2020-08-24,8.7000,8.7000,8.7000,8.7000,1700,8.7000,0
2020-08-25,8.7000,8.7000,8.7000,8.7000,1300,8.7000,0
2020-08-31,8.5000,8.7000,8.5000,8.7000,9400,8.7000,1500
2020-09-01,8.7000,8.7000,8.7000,8.7000,700,8.7000,0
2020-09-07,8.7000,8.7000,8.7000,8.7000,2000,8.7000,0
2020-09-08,8.8000,8.8000,8.7000,8.7000,4000,8.7000,0
2020-09-16,8.8000,8.8000,8.8000,8.8000,1600,8.8000,0
2020-10-02,8.8000,8.8000,8.5000,8.5000,3500,8.5000,0
2020-10-05,8.8000,8.8000,8.8000,8.8000,1000,8.8000,0
2020-10-07,8.8000,8.8000,8.8000,8.8000,1700,8.8000,0
2020-10-08,8.7000,8.8000,8.7000,8.8000,6500,8.8000,0
2020-10-14,8.8000,8.8000,8.8000,8.8000,3300,8.8000,0
2020-10-20,8.8000,8.8000,8.8000,8.8000,3000,8.8000,0
2020-10-26,8.7000,8.7000,8.7000,8.7000,3300,8.7000,0
2020-10-27,8.8000,8.8000,8.8000,8.8000,2900,8.8000,0
2020-10-30,8.8000,8.8000,8.8000,8.8000,5400,8.8000,0
2020-11-05,8.8000,8.8000,8.8000,8.8000,9000,8.8000,0
2020-11-17,8.8000,8.8000,8.8000,8.8000,1500,8.8000,0
2020-11-19,8.8000,8.8000,8.8000,8.8000,7200,8.8000,0
2020-11-23,8.8000,8.8000,8.8000,8.8000,1600,8.8000,0
2020-12-02,7.5000,7.5000,7.5000,7.5000,100,7.5000,0
2020-12-04,6.4000,6.4000,6.4000,6.4000,100,6.4000,0
2020-12-08,6.9000,7.0000,6.9000,7.0000,800,7.0000,0
2020-12-11,7.5000,7.5000,7.5000,7.5000,1700,7.5000,0
2020-12-14,8.0000,8.0000,8.0000,8.0000,3300,8.0000,0
2020-12-15,8.0000,8.0000,8.0000,8.0000,5700,8.0000,0
2020-12-16,8.1000,8.1000,8.0000,8.0000,3200,8.0000,0
2020-12-17,8.0000,8.0000,8.0000,8.0000,3300,8.0000,0
2020-12-22,8.0000,8.0000,8.0000,8.0000,1000,8.0000,0
2020-12-24,8.0000,8.0000,8.0000,8.0000,1200,8.0000,0
