date,open,high,low,close,volume,unadjusted,putthrough
2018-12-13,16.3775,16.3775,16.3775,16.3775,5000,16.8000,0
2018-12-14,18.8146,18.8146,18.8146,18.8146,5000,19.3000,0
2018-12-17,21.5442,21.5442,21.5442,21.5442,5000,22.1000,0
2018-12-18,24.7612,24.7612,24.7612,24.7612,5100,25.4000,0
2018-12-19,28.4656,28.4656,21.0568,28.3681,10900,29.1000,0
2018-12-20,27.1983,27.1983,27.1983,27.1983,100,27.9000,0
2018-12-21,27.2958,27.2958,27.1008,27.1983,7400,27.9000,0
2018-12-24,23.2989,28.2706,23.2014,27.2958,1200,28.0000,0
2018-12-25,27.1008,27.1008,27.1008,27.1008,400,27.8000,0
2019-01-08,23.3964,23.3964,23.3964,23.3964,100,24.0000,0
2019-01-09,22.1291,22.1291,20.7643,20.7643,200,21.3000,0
2019-01-10,24.6637,24.6637,24.6637,24.6637,1500,25.3000,0
2019-01-11,21.0568,21.0568,21.0568,21.0567,100,21.6000,0
2019-01-15,17.9372,17.9372,17.9372,17.9372,100,18.4000,0
2019-01-16,15.3051,20.5693,15.3051,20.5693,200,21.1000,0
2019-01-17,15.3051,15.3051,15.3051,15.3051,100,15.7000,0
2019-01-18,17.5472,17.5472,17.5472,17.5473,200,18.0000,0
2019-01-21,17.5473,19.4970,17.5473,19.4970,200,20.0000,0
2019-01-22,19.3995,19.3995,19.3995,19.3995,100,19.9000,0
2019-01-31,19.9000,19.9000,19.9000,19.9000,100,19.9000,0
2019-02-22,17.0000,22.8000,17.0000,22.8000,1100,22.8000,0
2019-02-25,15.5000,20.5000,15.4000,20.5000,4100,20.5000,0
2019-02-26,17.8000,17.8000,17.8000,17.8000,100,17.8000,0
2019-02-28,15.2000,20.4000,15.2000,20.4000,5100,20.4000,0
2019-03-01,17.4000,17.4000,17.4000,17.4000,100,17.4000,0
2019-03-04,18.0000,18.0000,18.0000,18.0000,100,18.0000,0
2019-03-15,17.0000,17.0000,17.0000,17.0000,100,17.0000,0
2019-03-19,17.1000,17.1000,17.1000,17.1000,100,17.1000,0
2019-03-20,17.1000,17.1000,17.1000,17.1000,18,17.1000,0
2019-03-22,17.1000,17.1000,17.0000,17.1000,1500,17.1000,0
2019-03-25,17.1000,17.1000,17.1000,17.1000,500,17.1000,0
2019-03-26,17.5000,17.5000,17.0000,17.1000,1400,17.1000,0
2019-03-28,18.0000,18.0000,18.0000,18.0000,100,18.0000,0
2019-03-29,18.0000,20.7000,18.0000,20.7000,7600,20.7000,0
2019-04-01,18.0000,18.0000,18.0000,18.0000,400,18.0000,0
2019-04-02,18.0000,18.0000,18.0000,18.0000,18,18.0000,0
2019-04-03,18.0000,18.0000,18.0000,18.0000,100,18.0000,0
2019-04-05,20.7000,20.7000,20.7000,20.7000,100,20.7000,0
2019-04-09,20.0000,20.0000,20.0000,20.0000,500,20.0000,0
2019-04-24,19.5000,21.0000,18.0000,21.0000,1100,21.0000,0
2019-04-26,21.0000,21.0000,21.0000,21.0000,100,21.0000,0
2019-05-02,21.0000,21.0000,21.0000,21.0000,1500,21.0000,0
2019-05-14,22.5000,22.5000,22.5000,22.5000,1000,22.5000,0
2019-05-24,22.0000,22.0000,22.0000,22.0000,100,22.0000,0
2019-05-28,23.0000,23.3000,23.0000,23.3000,3000,23.3000,0
2019-06-07,23.0000,23.0000,23.0000,23.0000,4600,23.0000,0
2019-06-11,26.4000,26.4000,26.4000,26.4000,100,26.4000,0
2019-06-14,22.5000,23.5000,22.5000,23.5000,4100,23.5000,0
2019-06-24,22.5000,22.5000,22.5000,22.5000,300,22.5000,0
2019-06-25,22.5000,22.5000,22.5000,22.5000,300,22.5000,0
2019-07-08,19.2000,22.9000,19.2000,22.9000,1300,22.9000,0
2019-07-09,20.5000,20.5000,20.5000,20.5000,300,20.5000,0
2019-07-10,22.0000,22.0000,22.0000,22.0000,100,22.0000,0
2019-07-15,20.0000,21.0000,20.0000,21.0000,1700,21.0000,0
2019-07-16,20.0000,23.0000,20.0000,23.0000,500,23.0000,0
2019-07-19,20.6000,20.6000,20.6000,20.6000,100,20.6000,0
2019-07-22,23.0000,23.0000,23.0000,23.0000,500,23.0000,0
2019-07-25,22.0000,22.0000,22.0000,22.0000,100,22.0000,0
2019-08-02,22.0000,22.0000,22.0000,22.0000,300,22.0000,0
2019-08-06,20.0000,20.0000,20.0000,20.0000,100,20.0000,0
2019-08-08,20.1000,20.1000,20.1000,20.1000,200,20.1000,0
2019-08-16,20.2000,20.2000,17.1000,17.1000,20000,17.1000,0
2019-08-19,19.8000,19.8000,19.8000,19.8000,100,19.8000,4637500
2019-08-20,22.6000,22.6000,22.6000,22.6000,100,22.6000,0
2019-08-21,22.6000,22.6000,22.6000,22.6000,26,22.6000,0
2019-08-22,22.6000,22.6000,22.6000,22.6000,2,22.6000,0
2019-08-23,21.5000,21.5000,21.0000,21.0000,1250,21.0000,0
2019-08-26,21.4000,21.4000,21.4000,21.4000,100,21.4000,0
2019-08-28,22.0000,22.0000,21.6000,21.6000,700,21.6000,0
2019-08-29,22.0000,22.0000,22.0000,22.0000,200,22.0000,0
2019-09-09,18.7000,18.7000,18.7000,18.7000,400,18.7000,0
2019-09-10,21.5000,21.5000,21.5000,21.5000,100,21.5000,0
2019-09-11,23.0000,23.0000,23.0000,23.0000,100,23.0000,0
2019-09-12,26.3000,26.3000,19.6000,26.0000,36300,26.0000,0
2019-09-13,23.0000,23.0000,17.8000,23.0000,1100,23.0000,0
2019-09-16,18.7000,21.5000,15.9000,21.5000,6000,21.5000,0
2019-09-17,14.1000,14.1000,14.1000,14.1000,6100,14.1000,0
2019-09-18,16.2000,16.2000,16.2000,16.2000,100,16.2000,0
2019-09-19,18.6000,18.6000,18.6000,18.6000,100,18.6000,0
2019-09-20,21.3000,21.3000,21.3000,21.3000,1000,21.3000,0
2019-09-23,24.4000,24.4000,18.4000,18.4000,8300,18.4000,0
2019-09-24,20.8000,24.3000,20.8000,24.3000,200,24.3000,0
2019-09-25,20.8000,23.5000,20.8000,23.5000,700,23.5000,0
2019-09-26,23.9000,24.0000,18.5000,24.0000,8600,24.0000,0
2019-09-27,21.5000,21.5000,21.5000,21.5000,100,21.5000,50989
2019-09-30,18.6000,18.6000,18.3000,18.6000,70100,18.6000,0
2019-10-01,18.4000,20.9000,15.8000,20.9000,43600,20.9000,816
2019-10-02,18.2000,18.2000,13.6000,18.0000,15000,18.0000,0
2019-10-03,16.7000,16.7000,16.7000,16.7000,500,16.7000,1061511
2019-10-04,19.2000,19.2000,19.2000,19.2000,700,19.2000,0
2019-10-07,22.0000,22.0000,20.0000,22.0000,7800,22.0000,0
2019-10-08,24.4000,24.4000,24.4000,24.4000,100,24.4000,0
2019-10-09,24.5000,28.0000,24.4000,24.4000,11200,24.4000,0
2019-10-10,22.6000,22.6000,22.6000,22.6000,100,22.6000,0
2019-10-11,19.4000,22.6000,19.4000,22.6000,80600,22.6000,0
2019-10-14,19.9000,22.0000,19.9000,22.0000,1200,22.0000,22231
2019-10-15,20.1000,21.5000,20.1000,21.5000,70300,21.5000,0
2019-10-16,23.0000,23.0000,23.0000,23.0000,100,23.0000,0
2019-10-17,20.2000,20.2000,20.2000,20.2000,1000,20.2000,0
2019-10-21,20.3000,20.3000,20.3000,20.3000,11300,20.3000,0
2019-10-22,23.1000,23.1000,23.1000,23.1000,100,23.1000,0
2019-10-23,21.1000,23.0000,21.0000,22.0000,127400,22.0000,57228
2019-10-24,23.6000,23.6000,23.6000,23.6000,800,23.6000,0
2019-10-25,21.0000,27.1000,21.0000,24.3000,13000,24.3000,0
2019-10-28,22.9000,23.6000,22.9000,23.6000,2500,23.6000,0
2019-10-29,20.1000,23.2000,19.6000,23.2000,7700,23.2000,0
2019-10-30,22.6000,22.6000,20.0000,20.0000,200,20.0000,0
2019-10-31,20.5000,23.0000,20.1000,23.0000,12900,23.0000,0
2019-11-01,21.5000,21.5000,21.5000,21.5000,100,21.5000,0
2019-11-04,24.0000,24.0000,24.0000,24.0000,100,24.0000,0
2019-11-06,23.9000,24.8000,23.9000,24.0000,11100,24.0000,0
2019-11-07,24.8000,24.8000,24.8000,24.8000,11600,24.8000,0
2019-11-11,21.6000,25.0000,21.6000,24.4000,10600,24.4000,0
2019-11-12,20.1000,20.1000,20.1000,20.1000,11600,20.1000,0
2019-11-13,22.0000,23.1000,22.0000,23.1000,200,23.1000,0
2019-11-20,21.0000,21.0000,21.0000,21.0000,1100,21.0000,0
2019-11-21,21.0000,21.0000,20.5000,20.5000,4200,20.5000,0
2019-11-22,20.5000,20.6000,20.5000,20.5000,2200,20.5000,0
2019-11-25,18.1000,18.1000,18.1000,18.1000,76500,18.1000,12216
2019-11-26,17.9000,20.8000,17.9000,20.8000,10100,20.8000,0
2019-11-27,20.9000,20.9000,20.9000,20.9000,100,20.9000,0
2019-11-28,20.7000,20.7000,20.7000,20.7000,14400,20.7000,0
2019-11-29,23.3000,23.3000,23.3000,23.3000,100,23.3000,0
2019-12-06,24.9000,24.9000,24.9000,24.9000,1003,24.9000,0
2019-12-09,21.2000,22.0000,21.2000,22.0000,10000,22.0000,0
2019-12-10,21.9000,21.9000,21.9000,21.9000,500,21.9000,0
2019-12-16,18.8000,21.9000,18.8000,21.9000,2100,21.9000,0
2019-12-17,21.5000,21.5000,21.5000,21.5000,100,21.5000,0
2019-12-18,21.5000,21.5000,21.5000,21.5000,100,21.5000,0
2019-12-19,20.5000,22.0000,20.5000,22.0000,900,22.0000,0
2019-12-20,20.9000,22.0000,20.9000,22.0000,400,22.0000,0
2019-12-23,21.9000,21.9000,21.9000,21.9000,100,21.9000,0
2019-12-24,22.0000,22.0000,21.9000,21.9000,5498,21.9000,272244
2019-12-27,22.0000,23.0000,22.0000,23.0000,1000,23.0000,0
2019-12-30,23.9000,23.9000,23.9000,23.9000,1300,23.9000,0
2019-12-31,27.4000,27.4000,20.4000,27.4000,900,27.4000,0
2020-01-02,30.2000,30.2000,30.2000,30.2000,107,30.2000,0
2020-01-03,28.5000,28.5000,28.5000,28.5000,300,28.5000,0
2020-01-06,24.3000,24.3000,24.3000,24.3000,100,24.3000,0
2020-01-07,25.0000,25.0000,20.8000,24.3000,5600,24.3000,0
2020-01-08,23.7000,23.7000,18.2000,18.2000,5300,18.2000,43356
2020-01-10,21.2000,21.2000,21.2000,21.2000,300,21.2000,0
2020-01-13,24.3000,24.3000,24.3000,24.3000,100,24.3000,0
2020-01-22,27.9000,27.9000,20.7000,24.3000,33100,24.3000,0
2020-01-30,18.2000,18.2000,18.2000,18.2000,1200,18.2000,0
2020-01-31,18.3000,18.5000,15.5000,18.5000,5200,18.5000,0
2020-02-03,15.6000,17.9000,15.6000,17.9000,2568,17.9000,320000
2020-02-04,18.0000,18.0000,18.0000,18.0000,100,18.0000,224946
2020-02-05,18.0000,18.0000,18.0000,18.0000,1300,18.0000,0
2020-02-06,18.8000,18.8000,18.8000,18.8000,13500,18.8000,0
2020-02-10,18.8000,18.8000,18.8000,18.8000,12700,18.8000,0
2020-02-11,16.0000,19.0000,16.0000,19.0000,3200,19.0000,0
2020-02-12,19.2000,19.2000,18.7000,18.7000,21548,18.7000,0
2020-02-14,18.7000,18.7000,18.7000,18.7000,6935,18.7000,0
2020-02-17,18.7000,18.7000,18.7000,18.7000,9800,18.7000,0
2020-02-18,21.5000,21.5000,21.5000,21.5000,100,21.5000,0
2020-02-19,19.4000,19.4000,18.9000,18.9000,9400,18.9000,0
2020-02-21,19.2000,19.2000,19.2000,19.2000,2100,19.2000,0
2020-02-24,18.4000,18.4000,18.4000,18.4000,2000,18.4000,0
2020-02-25,18.3000,18.3000,18.3000,18.3000,15000,18.3000,0
2020-02-27,21.0000,21.0000,18.9000,18.9000,2403,18.9000,0
2020-02-28,16.3000,18.5000,16.3000,18.5000,3500,18.5000,0
2020-03-02,14.0000,18.8000,14.0000,18.8000,6904,18.8000,0
2020-03-03,16.2000,16.2000,14.4000,16.2000,20837,16.2000,0
2020-03-04,14.6000,16.2000,14.6000,16.2000,9900,16.2000,0
2020-03-05,15.0000,15.4000,15.0000,15.4000,1769,15.4000,0
2020-03-06,17.4000,17.4000,15.8000,15.8000,58001,15.8000,0
2020-03-09,17.1000,17.1000,17.1000,17.1000,1200,17.1000,0
2020-03-10,14.6000,17.0000,14.6000,17.0000,14700,17.0000,0
2020-03-12,12.5000,12.5000,12.5000,12.5000,7300,12.5000,0
2020-03-13,12.5000,14.3000,12.5000,14.3000,10800,14.3000,0
2020-03-16,12.7000,12.7000,12.7000,12.7000,18271,12.7000,0
2020-03-17,14.6000,14.6000,14.5000,14.5000,7100,14.5000,0
2020-03-18,14.5000,14.9000,12.6000,14.9000,12200,14.9000,0
2020-03-19,12.6000,14.9000,12.6000,14.9000,8300,14.9000,0
2020-03-20,12.6000,12.6000,12.6000,12.6000,8648,12.6000,0
2020-03-23,12.6000,12.6000,12.6000,12.6000,33146,12.6000,0
2020-03-24,12.6000,12.6000,12.5000,12.6000,14451,12.6000,0
2020-03-25,14.4000,14.4000,14.4000,14.4000,100,14.4000,0
2020-03-26,15.9000,15.9000,14.4000,14.4000,1100,14.4000,0
2020-03-27,14.5000,14.5000,14.5000,14.5000,10435,14.5000,0
2020-03-30,14.5000,14.5000,14.5000,14.5000,14201,14.5000,0
2020-03-31,12.4000,12.4000,12.4000,12.4000,7830,12.4000,0
2020-04-01,12.4000,14.2000,12.4000,14.2000,99100,14.2000,0
2020-04-03,14.0000,16.0000,14.0000,14.0000,22200,14.0000,290000
2020-04-06,12.0000,15.4000,12.0000,15.4000,3200,15.4000,0
2020-04-07,15.5000,15.5000,15.5000,15.5000,100,15.5000,0
2020-04-08,15.7000,15.7000,15.7000,15.7000,100,15.7000,0
2020-04-09,15.8000,15.8000,15.8000,15.8000,200,15.8000,0
2020-04-21,14.0000,15.5000,13.5000,15.5000,1200,15.5000,0
2020-04-24,14.7000,14.7000,14.7000,14.7000,1100,14.7000,0
2020-04-27,15.5000,15.5000,15.5000,15.5000,100,15.5000,0
2020-04-28,15.5000,15.5000,15.5000,15.5000,24679,15.5000,0
2020-04-29,14.9000,14.9000,14.9000,14.9000,1800,14.9000,0
