date,open,high,low,close,volume,unadjusted,putthrough
2010-10-08,13.7730,15.8390,13.7730,14.7568,561200,30.0000,0
2010-10-11,14.2649,15.6914,14.2649,15.1012,253700,30.7000,20000
2010-10-12,14.8553,14.9536,14.1666,14.1666,362200,28.8000,0
2010-10-13,13.4779,14.2650,13.3304,14.0190,130200,28.5000,100000
2010-10-14,14.2158,14.2158,13.2812,13.5271,147800,27.5000,0
2010-10-15,13.9206,13.9206,12.9368,13.0352,105100,26.5000,0
2010-10-18,13.0352,13.2811,12.3957,12.3957,217300,25.2000,0
2010-10-19,12.7892,12.9860,11.7562,11.7563,297700,23.9000,0
2010-10-20,11.2152,12.3466,11.2152,12.2482,65700,24.9000,10000
2010-10-21,11.7563,12.6417,11.7563,12.1498,48500,24.7000,0
2010-10-22,12.1006,12.1006,11.5595,12.0514,33300,24.5000,20000
2010-10-25,12.1498,12.3957,12.1006,12.3957,72100,25.2000,10000
2010-10-26,12.7892,13.0844,12.5925,13.0844,86300,26.6000,0
2010-10-27,12.5433,13.1828,12.2974,12.2974,71900,25.0000,0
2010-10-28,12.6909,12.7401,11.9531,11.9530,35000,24.3000,15000
2010-10-29,12.0514,12.2973,11.8546,11.9530,49500,24.3000,10000
2010-11-01,12.5433,12.5433,11.4611,11.4611,49600,23.3000,0
2010-11-02,11.9038,12.0022,11.3135,11.3136,67500,23.0000,0
2010-11-03,11.7563,11.7563,10.9693,10.9693,74300,22.3000,0
2010-11-04,11.4612,11.5104,10.9693,11.4611,151700,23.3000,0
2010-11-05,11.8054,11.8054,11.3135,11.3628,162100,23.1000,0
2010-11-08,11.6087,11.8055,11.0677,11.3136,87600,23.0000,133000
2010-11-09,11.4612,11.5104,10.7233,10.7233,112500,21.8000,0
2010-11-10,11.1168,11.1168,10.3298,10.3298,73000,21.0000,20000
2010-11-11,10.6741,10.7725,9.9363,9.9363,94600,20.2000,0
2010-11-12,9.9855,10.1822,9.6412,9.8379,100600,20.0000,0
2010-11-15,9.7887,10.1822,9.1492,9.1492,52200,18.6000,0
2010-11-16,9.6411,9.6903,9.1492,9.1492,49900,18.6000,5000
2010-11-17,9.1000,9.3951,8.6081,8.6082,82100,17.5000,1891000
2010-11-18,9.1493,9.5428,8.9033,8.9033,85500,18.1000,0
2010-11-19,9.2476,9.3460,8.5590,8.5590,43900,17.4000,640000
2010-11-22,8.9525,8.9525,8.5098,8.5098,27100,17.3000,291500
2010-11-23,8.7557,8.7557,8.1655,8.6082,151400,17.5000,0
2010-11-24,8.3623,8.8050,8.0179,8.0179,160100,16.3000,0
2010-11-25,8.6574,8.9033,8.6082,8.9033,142700,18.1000,949500
2010-11-26,9.3952,9.3952,9.3952,9.3952,97900,19.1000,0
2010-11-29,10.0347,10.0347,10.0347,10.0347,95900,20.4000,350500
2010-11-30,10.7234,10.7234,10.7234,10.7233,11000,21.8000,10000
2010-12-01,11.4611,11.4611,11.1168,11.4611,610100,23.3000,100000
2010-12-02,12.1006,12.2481,11.7070,12.2482,911700,24.9000,0
2010-12-03,12.2974,13.0844,12.2974,13.0844,421800,26.6000,0
2010-12-06,13.7731,13.8714,12.7893,13.0844,143400,26.6000,0
2010-12-07,12.4941,12.6909,12.4941,12.4941,607000,25.4000,0
2010-12-08,11.6579,12.1990,11.6579,11.6579,278900,23.7000,0
2010-12-09,10.9201,11.8055,10.9201,10.9201,942100,22.2000,0
2010-12-10,11.7071,11.7071,11.7071,11.7071,547500,23.8000,0
2010-12-13,12.4941,12.4941,11.7563,12.2974,469900,25.0000,0
2010-12-14,11.8547,11.8547,11.5596,11.5595,202300,23.5000,257400
2010-12-15,11.0676,11.5595,10.8217,10.8217,447900,22.0000,0
2010-12-16,10.3298,10.3790,10.2806,10.2806,563300,20.9000,0
2010-12-17,9.6411,10.9693,9.6411,10.9693,234900,22.3000,0
2010-12-20,11.2152,11.3628,10.1331,10.2314,189500,20.8000,80000
2010-12-21,9.8379,10.3298,9.7395,9.8871,273500,20.1000,0
2010-12-22,10.1330,10.1822,9.3952,9.5919,109900,19.5000,630000
2010-12-23,9.6903,9.8378,9.1492,9.4444,126500,19.2000,0
2010-12-24,8.8541,9.7395,8.8049,9.3952,127300,19.1000,0
