date,open,high,low,close,volume,unadjusted,putthrough
2010-03-26,5.9858,5.9858,5.5132,5.5132,112440,35.0000,0
2010-03-29,5.3557,5.5132,5.2769,5.3556,44380,34.0000,0
2010-03-30,5.1036,5.6234,5.1036,5.6077,88950,35.6000,0
2010-03-31,5.6077,5.8597,5.5132,5.8597,18750,37.2000,0
2010-04-01,5.9857,5.9857,5.7494,5.8282,43270,37.0000,0
2010-04-02,5.8440,5.8597,5.5919,5.8597,57030,37.2000,0
2010-04-05,5.6864,5.8755,5.6864,5.8597,35660,37.2000,0
2010-04-06,5.7652,5.8282,5.7494,5.7494,56670,36.5000,0
2010-04-07,5.5131,5.7336,5.5131,5.7337,18530,36.4000,0
2010-04-08,5.7495,5.7652,5.5132,5.5132,4820,35.0000,0
2010-04-09,5.6707,5.6707,5.3557,5.5132,4160,35.0000,0
2010-04-12,5.6707,5.6707,5.3557,5.5132,47370,35.0000,0
2010-04-13,5.5132,5.5920,5.5132,5.5919,5610,35.5000,0
2010-04-14,5.5761,5.5919,5.5131,5.5132,22350,35.0000,0
2010-04-15,5.3557,5.6707,5.3557,5.5132,45190,35.0000,0
2010-04-16,5.3872,5.7022,5.3557,5.6707,46840,36.0000,0
2010-04-19,5.6707,5.6707,5.4029,5.6707,5110,36.0000,0
2010-04-20,5.6707,5.6707,5.4344,5.4344,6000,34.5000,0
2010-04-21,5.6707,5.6864,5.5132,5.6707,24890,36.0000,0
2010-04-22,5.7495,5.8125,5.6707,5.6707,2700,36.0000,0
2010-04-26,5.4344,5.6707,5.3872,5.6707,2140,36.0000,0
2010-04-27,5.4659,5.5132,5.4344,5.4344,2800,34.5000,0
2010-04-28,5.6234,5.6234,5.5132,5.5919,4640,35.5000,0
2010-04-29,5.6549,5.6549,5.5131,5.5132,15500,35.0000,0
2010-05-04,5.3714,5.5132,5.3557,5.5132,6090,35.0000,0
2010-05-05,5.3714,5.3714,5.3084,5.3084,9500,33.7000,0
2010-05-06,5.5132,5.5132,5.3557,5.3556,2950,34.0000,0
2010-05-07,5.4816,5.4816,5.4816,5.4817,3010,34.8000,0
2010-05-10,5.2139,5.2612,5.2139,5.2139,6460,33.1000,0
