date,open,high,low,close,volume,unadjusted,putthrough
2000-08-04,14.0000,14.0000,14.0000,2.2147,100,14.0000,0
2000-09-22,2.7051,2.7051,2.7051,2.7051,100,17.1000,0
2000-09-25,2.7526,2.7526,2.7526,2.7526,100,17.4000,0
2000-09-27,2.8001,2.8001,2.8001,2.8000,100,17.7000,0
2000-09-29,2.8475,2.8475,2.8475,2.8475,200,18.0000,0
2000-10-02,2.8950,2.8950,2.8950,2.8949,300,18.3000,0
2000-10-04,2.9424,2.9424,2.9424,2.9424,100,18.6000,0
2000-10-09,2.9899,2.9899,2.9899,2.9899,100,18.9000,0
2000-10-11,3.0374,3.0374,3.0374,3.0373,100,19.2000,0
2000-10-13,3.0848,3.0848,3.0848,3.0848,100,19.5000,0
2000-10-16,3.1323,3.1323,3.1323,3.1322,100,19.8000,0
2000-10-18,3.1797,3.1797,3.1797,3.1797,100,20.1000,0
2000-10-20,3.2430,3.2430,3.2430,3.2430,100,20.5000,0
2000-10-23,3.3063,3.3063,3.3063,3.3062,100,20.9000,0
2000-10-25,3.3695,3.3695,3.3695,3.3695,400,21.3000,0
2000-10-27,3.4328,3.4328,3.4328,3.4328,100,21.7000,0
2000-10-30,3.4961,3.4961,3.4961,3.4961,100,22.1000,0
2000-11-01,3.5594,3.5594,3.5594,3.5594,100,22.5000,0
2000-11-03,3.6227,3.6227,3.6227,3.6226,100,22.9000,0
2000-11-06,3.6859,3.6859,3.6859,3.6859,100,23.3000,0
2000-11-08,3.7492,3.7492,3.7492,3.7492,200,23.7000,0
2000-11-10,3.8125,3.8125,3.8125,3.8125,100,24.1000,0
2000-11-13,3.8758,3.8758,3.8758,3.8757,200,24.5000,0
2000-11-15,3.9390,3.9390,3.9390,3.9390,100,24.9000,0
2000-11-17,4.0023,4.0023,4.0023,4.0023,100,25.3000,0
2000-11-20,4.0814,4.0814,4.0814,4.0814,1000,25.8000,0
2000-11-22,4.1605,4.1605,4.1605,4.1605,500,26.3000,0
2000-11-24,4.2396,4.2396,4.2396,4.2396,400,26.8000,0
2000-11-27,4.3187,4.3187,4.3187,4.3187,600,27.3000,0
2000-11-29,4.3978,4.3978,4.3978,4.3978,200,27.8000,0
2000-12-01,4.4769,4.4769,4.4769,4.4769,300,28.3000,0
2000-12-04,4.5560,4.5560,4.5560,4.5560,700,28.8000,0
2000-12-06,4.6351,4.6351,4.6351,4.6351,800,29.3000,0
2000-12-08,4.7142,4.7142,4.7142,4.7142,1100,29.8000,0
2000-12-11,4.7933,4.7933,4.7933,4.7933,100,30.3000,0
2000-12-13,4.7300,4.7300,4.7300,4.7300,100,29.9000,0
2000-12-15,4.8091,4.8091,4.8091,4.8091,200,30.4000,0
2000-12-18,4.9040,4.9040,4.9040,4.9040,100,31.0000,0
2000-12-20,4.9989,4.9989,4.9989,4.9989,100,31.6000,0
2000-12-22,5.0938,5.0938,5.0938,5.0938,2700,32.2000,0
2000-12-25,5.1887,5.1887,5.1887,5.1888,800,32.8000,0
2000-12-27,5.2837,5.2837,5.2837,5.2837,800,33.4000,0
2000-12-29,5.3786,5.3786,5.3786,5.3786,1700,34.0000,0
2001-01-03,5.4735,5.4735,5.4735,5.4735,1500,34.6000,0
2001-01-05,5.5684,5.5684,5.5684,5.5684,1300,35.2000,0
2001-01-08,5.6791,5.6791,5.6791,5.6792,3900,35.9000,0
2001-01-10,5.7899,5.7899,5.7899,5.7899,900,36.6000,0
2001-01-12,5.9006,5.9006,5.9006,5.9006,1100,37.3000,0
2001-01-15,6.0113,6.0113,6.0113,6.0114,1200,38.0000,0
2001-01-17,6.1221,6.1221,6.1221,6.1221,200,38.7000,0
2001-01-19,6.2328,6.2328,6.2328,6.2328,300,39.4000,0
2001-01-29,6.3435,6.3435,6.3435,6.3436,200,40.1000,0
2001-01-31,6.4702,6.4702,6.4702,6.4701,200,40.9000,0
2001-02-02,6.5967,6.5967,6.5967,6.5967,1400,41.7000,0
2001-02-05,6.7233,6.7233,6.7233,6.7232,300,42.5000,0
2001-02-07,6.8498,6.8498,6.8498,6.8498,400,43.3000,0
2001-02-09,6.9764,6.9764,6.9764,6.9763,2300,44.1000,0
2001-02-12,7.1029,7.1029,7.1029,7.1029,400,44.9000,0
2001-02-14,7.2295,7.2295,7.2295,7.2294,4800,45.7000,0
2001-02-16,7.3718,7.3718,7.3718,7.3718,9900,46.6000,0
2001-02-19,7.5142,7.5142,7.5142,7.5142,7300,47.5000,0
2001-02-21,7.6566,7.6566,7.6566,7.6566,10100,48.4000,0
2001-02-23,7.7990,7.7990,7.7990,7.7989,12500,49.3000,0
2001-02-26,7.9096,7.9096,7.9096,7.9097,22600,50.0000,0
2001-02-28,8.0679,8.0679,8.0679,8.0679,32700,51.0000,0
2001-03-02,8.2261,8.2261,8.2261,8.2261,46800,52.0000,0
2001-03-05,8.3843,8.3843,8.3843,8.3843,47200,53.0000,0
2001-03-07,8.5425,8.5425,8.5425,8.5425,27500,54.0000,0
2001-03-09,8.7007,8.7007,8.7007,8.7007,22200,55.0000,0
2001-03-12,8.8589,8.8589,8.8589,8.8588,13700,56.0000,0
2001-03-14,9.0170,9.0170,9.0170,9.0170,17500,57.0000,0
2001-03-16,9.1752,9.1752,9.1752,9.1752,6700,58.0000,0
2001-03-19,9.3334,9.3334,9.3334,9.3334,22500,59.0000,0
2001-03-21,9.4916,9.4916,9.4916,9.4916,13500,60.0000,0
2001-03-23,9.6498,9.6498,9.6498,9.6498,5600,61.0000,0
2001-03-26,9.8080,9.8080,9.8080,9.8080,800,62.0000,0
2001-03-28,9.9662,9.9662,9.9662,9.9662,1500,63.0000,0
2001-03-30,10.1244,10.1244,10.1244,10.1244,400,64.0000,0
2001-04-02,10.2826,10.2826,10.2826,10.2826,700,65.0000,0
