date,open,high,low,close,volume,unadjusted,putthrough
2005-07-20,1.5054,1.5054,1.5054,1.5054,40,30.0000,0
2005-07-21,1.4301,1.4301,1.4301,1.4301,30,28.5000,0
2005-07-22,1.4301,1.4301,1.3598,1.3599,100,27.1000,0
2005-07-25,1.3599,1.3599,1.2947,1.2946,10,25.8000,0
2005-07-26,1.2344,1.2344,1.2344,1.2344,120,24.6000,0
2005-07-27,1.1742,1.1742,1.1742,1.1742,20,23.4000,0
2005-07-28,1.1190,1.1190,1.1190,1.1190,430,22.3000,0
2005-07-29,1.0638,1.0638,1.0638,1.0638,60,21.2000,0
2005-08-01,1.0638,1.0638,1.0437,1.0437,2300,20.8000,0
2005-08-02,1.0437,1.0537,1.0437,1.0538,1240,21.0000,0
2005-08-03,1.1040,1.1040,1.0990,1.0989,3250,21.9000,0
2005-08-04,1.1290,1.1340,1.1290,1.1341,1850,22.6000,0
2005-08-05,1.1441,1.1441,1.1140,1.1140,2690,22.2000,0
2005-08-08,1.1040,1.1040,1.0739,1.0739,1140,21.4000,0
2005-08-09,1.0789,1.0789,1.0789,1.0789,240,21.5000,0
2005-08-10,1.0789,1.0789,1.0538,1.0538,2090,21.0000,0
2005-08-11,1.0538,1.0538,1.0538,1.0538,2090,21.0000,0
2005-08-12,1.0588,1.0588,1.0588,1.0588,500,21.1000,0
2005-08-15,1.0588,1.0588,1.0588,1.0588,600,21.1000,0
2005-08-16,1.0588,1.0588,1.0437,1.0437,1000,20.8000,0
2005-08-17,1.0437,1.0437,1.0437,1.0437,2130,20.8000,0
2005-08-18,1.0437,1.0437,1.0337,1.0337,5850,20.6000,0
2005-08-19,1.0437,1.0437,1.0387,1.0387,1840,20.7000,0
2005-08-22,1.0387,1.0387,1.0387,1.0387,2700,20.7000,0
2005-08-23,1.0387,1.0638,1.0387,1.0638,30,21.2000,0
2005-08-24,1.0538,1.0538,1.0538,1.0538,2000,21.0000,0
2005-08-25,1.0538,1.0538,1.0538,1.0538,500,21.0000,0
2005-08-26,1.0538,1.0538,1.0538,1.0538,500,21.0000,0
2005-08-29,1.0538,1.0538,1.0387,1.0387,600,20.7000,0
2005-08-30,1.0538,1.0538,1.0437,1.0437,2150,20.8000,0
2005-08-31,1.0387,1.0387,1.0387,1.0387,3000,20.7000,0
2005-09-01,1.0387,1.0387,1.0387,1.0387,50,20.7000,0
2005-09-07,1.0387,1.0538,1.0387,1.0538,980,21.0000,0
2005-09-08,1.0538,1.0538,1.0538,1.0538,1230,21.0000,0
2005-09-09,1.0588,1.0588,1.0538,1.0538,400,21.0000,0
2005-09-12,1.0438,1.0438,1.0438,1.0437,400,20.8000,0
2005-09-13,1.0387,1.0537,1.0387,1.0538,30,21.0000,0
2005-09-14,1.0538,1.0588,1.0538,1.0588,10,21.1000,0
2005-09-15,1.0538,1.0538,1.0538,1.0538,180,21.0000,0
2005-09-16,1.0538,1.0538,1.0438,1.0437,1960,20.8000,0
2005-09-19,1.0437,1.0537,1.0437,1.0538,430,21.0000,0
2005-09-20,1.0538,1.0689,1.0538,1.0688,1620,21.3000,0
2005-09-21,1.1190,1.1190,1.0537,1.0538,2690,21.0000,0
2005-09-22,1.0538,1.0538,1.0538,1.0538,50,21.0000,0
2005-09-23,1.0538,1.0538,1.0538,1.0538,580,21.0000,0
2005-09-26,1.0287,1.0438,1.0287,1.0437,560,20.8000,0
2005-09-27,1.0537,1.0537,1.0537,1.0538,9140,21.0000,0
2005-09-28,1.0538,1.0538,1.0538,1.0538,2770,21.0000,0
2005-09-29,1.0538,1.0638,1.0538,1.0638,600,21.2000,0
2005-09-30,1.0688,1.1140,1.0688,1.1140,5420,22.2000,0
2005-10-03,1.1190,1.1190,1.1190,1.1190,4260,22.3000,0
