date,open,high,low,close,volume,unadjusted,putthrough
2007-11-22,5.7980,6.3522,5.5422,5.7127,29400,67.0000,28400
2007-11-23,5.6274,5.6274,5.4484,5.4484,800,63.9000,0
2007-11-26,4.9880,4.9880,4.9880,4.9880,1500,58.5000,0
2007-11-27,4.4935,4.9027,4.4935,4.6043,69000,54.0000,0
2007-11-28,4.4423,4.5190,4.2803,4.4337,28100,52.0000,7000
2007-11-29,4.4337,4.6042,4.3058,4.3826,45700,51.4000,0
2007-11-30,4.4338,4.4338,4.1780,4.1779,46900,49.0000,0
2007-12-03,4.3484,4.7065,4.2632,4.7066,229300,55.2000,0
2007-12-04,5.0647,5.0647,4.6895,5.0647,227000,59.4000,0
2007-12-05,5.5592,5.5592,4.8174,5.4569,192600,64.0000,0
2007-12-06,5.2864,5.5422,5.2864,5.4995,82600,64.5000,0
2007-12-07,5.4483,5.5421,5.0732,5.2864,158500,62.0000,0
2007-12-10,5.3717,5.3717,4.9027,4.9880,81600,58.5000,73600
2007-12-11,4.9539,4.9539,4.6896,4.7833,50200,56.1000,0
2007-12-12,4.8600,5.1158,4.7748,4.7748,69200,56.0000,0
2007-12-13,5.0391,5.0391,4.8174,4.8771,19400,57.2000,0
2007-12-14,4.8686,4.9368,4.7236,4.8601,22600,57.0000,0
2007-12-17,4.8601,4.8601,4.5190,4.5361,31900,53.2000,0
2007-12-18,4.5617,4.7663,4.4338,4.6895,42800,55.0000,0
2007-12-19,4.7748,5.0220,4.7748,4.9368,42900,57.9000,128200
2007-12-20,4.8601,4.9027,4.5275,4.7236,26200,55.4000,0
2007-12-21,4.7748,4.9027,4.6895,4.7577,30200,55.8000,0
2007-12-24,4.7748,4.8174,4.7065,4.7322,26900,55.5000,0
2007-12-25,4.6896,4.7237,4.6214,4.6981,15300,55.1000,27700
2007-12-26,4.6043,4.7748,4.6043,4.6895,22000,55.0000,0
2007-12-27,4.8089,4.8089,4.7321,4.7322,10800,55.5000,0
2007-12-28,4.7322,4.7578,4.6469,4.6895,22200,55.0000,0
2008-01-02,4.7151,4.7151,4.5190,4.5190,18900,53.0000,0
2008-01-03,5.0221,5.0221,4.4337,4.4764,13900,52.5000,0
2008-01-04,4.3485,4.4423,4.3144,4.3485,13500,51.0000,0
2008-01-07,4.2206,4.2206,4.1353,4.1779,25800,49.0000,0
2008-01-08,3.9221,4.2632,3.8368,3.9222,57800,46.0000,0
2008-01-09,4.0075,4.0075,3.7943,3.8369,58600,45.0000,0
2008-01-10,3.8881,3.8881,3.5044,3.6067,50900,42.3000,0
2008-01-11,3.7517,3.8284,3.5555,3.5811,39600,42.0000,0
2008-01-14,3.4617,3.4617,3.2656,3.2827,42300,38.5000,0
2008-01-15,3.1974,3.1974,3.0013,3.0184,63500,35.4000,0
2008-01-16,3.1122,3.3083,3.1122,3.3083,24100,38.8000,0
2008-01-17,3.6238,3.6238,3.1548,3.4958,90500,41.0000,0
2008-01-18,3.4105,3.6237,3.2826,3.5385,49600,41.5000,0
2008-01-21,3.4532,3.6664,3.3253,3.5385,29500,41.5000,6800
2008-01-22,3.3339,3.4873,3.2827,3.4447,39400,40.4000,0
2008-01-23,3.3680,3.4106,3.1548,3.3253,39200,39.0000,0
2008-01-24,3.4020,3.4191,3.1633,3.2400,27800,38.0000,0
2008-01-25,3.2400,3.3423,3.2400,3.2997,26100,38.7000,0
2008-01-28,3.3253,3.3253,3.1974,3.1974,6300,37.5000,0
2008-01-29,3.3168,3.3338,3.2315,3.3338,42400,39.1000,0
2008-01-30,3.4105,3.6237,3.4105,3.6237,59900,42.5000,0
2008-01-31,3.7516,3.8369,3.4532,3.6664,68800,43.0000,0
2008-02-01,3.7517,3.8369,3.6664,3.8198,41900,44.8000,0
2008-02-12,3.5811,3.6663,3.4105,3.6493,36500,42.8000,0
2008-02-13,3.6664,3.6664,3.4276,3.4703,20100,40.7000,0
2008-02-14,3.5385,3.6408,3.4959,3.4958,17600,41.0000,0
2008-02-15,3.4361,3.4958,3.3253,3.4020,19600,39.9000,0
2008-02-18,3.3253,3.3253,3.0439,3.2059,24100,37.6000,0
2008-02-19,3.1121,3.3594,2.9842,3.2145,32900,37.7000,0
2008-02-20,3.2401,3.2827,2.9331,2.9331,33800,34.4000,0
2008-02-21,2.8137,2.8137,2.7370,2.7370,25600,32.1000,0
2008-02-22,2.5579,2.9416,2.4727,2.6943,38800,31.6000,0
2008-02-25,2.4726,2.8563,2.4726,2.8564,22500,33.5000,0
2008-02-26,2.8990,2.9928,2.5580,2.5665,33100,30.1000,0
2008-02-27,2.6432,2.8138,2.5580,2.5579,33900,30.0000,0
2008-02-28,2.6602,2.6858,2.5494,2.6006,10800,30.5000,0
2008-02-29,2.5153,2.5580,2.4727,2.4727,23600,29.0000,0
2008-03-03,2.4812,2.5153,2.2340,2.3021,37100,27.0000,100000
2008-03-04,2.1316,2.1401,2.0889,2.0890,19300,24.5000,0
2008-03-05,1.9185,2.0890,1.8929,1.9270,64400,22.6000,0
