date,open,high,low,close,volume,unadjusted,putthrough
2018-04-19,22.7651,22.7651,20.6837,21.1065,7295110,32.4500,0
2018-04-20,21.3342,21.3342,20.7488,21.1390,1970610,32.5000,0
2018-04-23,21.1390,21.2040,19.7081,20.0333,918490,30.8000,0
2018-04-24,19.7081,20.1634,18.6674,20.0333,1084620,30.8000,0
2018-04-26,19.9683,20.0983,19.1877,19.3178,618040,29.7000,0
2018-04-27,19.4804,19.6430,19.0901,19.6430,783680,30.2000,0
2018-05-02,20.0983,20.0983,19.3178,19.3829,468940,29.8000,0
2018-05-03,19.3829,19.3829,18.8626,19.3829,407660,29.8000,0
2018-05-04,19.8057,19.8057,19.1878,19.3829,267600,29.8000,0
2018-05-07,19.4479,19.5130,18.9926,19.5130,269800,30.0000,0
2018-05-08,20.1634,20.1634,19.3829,19.5780,556210,30.1000,0
2018-05-09,19.5780,19.5780,19.2528,19.5130,368930,30.0000,0
2018-05-10,19.5130,19.5130,18.8626,19.1877,184990,29.5000,0
2018-05-11,19.1877,19.3828,18.6023,19.3829,725410,29.8000,0
2018-05-14,19.3829,19.3829,18.7325,19.1877,252920,29.5000,0
2018-05-15,19.1877,19.4154,18.7324,19.3829,468650,29.8000,0
2018-05-16,19.3829,19.4154,18.9926,19.1877,525340,29.5000,0
2018-05-17,19.2527,19.3828,19.0576,19.1877,385710,29.5000,0
2018-05-18,19.1227,19.3828,18.9600,19.3178,465950,29.7000,0
2018-05-21,19.3503,19.3503,19.1552,19.2203,339500,29.5500,0
2018-05-22,19.2203,19.3504,18.6024,19.0577,414600,29.3000,0
2018-05-23,19.0577,19.1553,18.7975,19.1227,506080,29.4000,0
2018-05-24,19.0902,19.1552,18.9276,19.0577,366890,29.3000,0
2018-05-25,19.0577,19.1227,18.8300,18.8625,307990,29.0000,0
2018-05-28,18.7324,18.7975,17.6267,17.6267,197040,27.1000,0
2018-05-29,17.8869,18.7650,17.8869,18.7324,590410,28.8000,0
2018-05-30,18.6999,18.8300,18.4722,18.6674,171480,28.7000,0
2018-05-31,18.6024,18.6349,18.2121,18.2121,287350,28.0000,0
2018-06-01,18.6024,18.6024,18.2121,18.2121,100550,28.0000,0
2018-06-04,18.2771,19.3829,18.1796,19.1877,387700,29.5000,0
2018-06-05,19.2527,19.2527,18.7974,19.1227,459200,29.4000,0
2018-06-06,18.9926,19.0577,18.7324,18.7975,847910,28.9000,0
2018-06-07,18.8625,18.8625,18.6674,18.7975,675570,28.9000,0
2018-06-08,18.7975,18.8625,18.5373,18.6349,1162520,28.6500,0
2018-06-11,18.7975,18.7975,18.3422,18.5373,38710,28.5000,0
2018-06-12,18.5373,18.5373,18.0820,18.3422,42180,28.2000,0
2018-06-13,18.3422,18.4072,18.2121,18.3422,111190,28.2000,0
2018-06-14,18.3422,18.3422,18.0495,18.2121,22990,28.0000,0
2018-06-15,18.3097,18.3097,18.0495,18.0820,26260,27.8000,0
2018-06-18,18.0820,18.0820,17.5617,17.5617,44490,27.0000,0
2018-06-19,17.3015,17.8219,16.3584,17.6267,648860,27.1000,0
2018-06-20,17.6267,17.8869,17.6267,17.8218,648730,27.4000,0
2018-06-21,17.9519,18.1470,17.5616,17.8218,43660,27.4000,0
2018-06-22,17.7568,17.8868,17.7568,17.8869,115320,27.5000,0
2018-06-25,17.9194,18.2121,17.8869,18.0820,204990,27.8000,0
2018-06-26,17.0413,18.1470,17.0413,18.0820,101440,27.8000,0
2018-06-27,18.0170,18.0820,17.5617,17.9844,42360,27.6500,0
2018-06-28,17.9844,17.9844,17.5616,17.5617,44370,27.0000,0
2018-06-29,17.8869,17.8869,17.4967,17.8869,234590,27.5000,0
2018-07-02,17.8869,17.9519,17.5292,17.5617,73960,27.0000,0
2018-07-03,17.5617,17.5942,16.8787,16.9763,182230,26.1000,0
2018-07-04,16.9763,17.0413,16.1307,16.5535,283830,25.4500,0
2018-07-05,16.8462,17.1389,16.4559,16.4559,779170,25.3000,0
2018-07-06,16.4559,17.3665,16.4559,17.3665,344120,26.7000,0
2018-07-09,17.5616,17.5616,16.1632,17.5617,226510,27.0000,0
2018-07-10,17.5617,17.6918,17.4967,17.6917,278740,27.2000,784767
2018-07-11,17.6917,17.6917,17.3014,17.4316,82430,26.8000,0
2018-07-12,17.3666,17.4316,17.2690,17.3991,138910,26.7500,0
2018-07-13,17.6593,17.7243,17.4967,17.6267,303750,27.1000,0
2018-07-16,17.5617,17.5617,17.2364,17.5617,216440,27.0000,0
2018-07-17,17.5617,17.5942,17.4316,17.4316,157780,26.8000,0
2018-07-18,17.4641,17.6267,17.3340,17.5617,247780,27.0000,0
2018-07-19,17.5292,17.5617,17.3666,17.4966,55150,26.9000,0
2018-07-20,17.5616,17.5616,17.4316,17.4966,25590,26.9000,0
2018-07-23,17.5291,17.5291,17.3665,17.4641,65750,26.8500,0
2018-07-24,17.5617,17.5942,16.2608,17.3665,78680,26.7000,0
2018-07-25,17.3015,17.4641,16.2608,17.1714,98910,26.4000,0
2018-07-26,17.1714,17.4316,17.1389,17.2364,73720,26.5000,1650000
2018-07-27,17.2364,17.4315,17.1388,17.3015,104230,26.6000,440000
2018-07-30,16.8462,17.3015,16.3259,16.6511,217670,25.6000,0
2018-07-31,16.2934,16.6511,16.2934,16.5860,131670,25.5000,0
2018-08-01,16.4884,16.6185,16.2608,16.2608,134560,25.0000,0
2018-08-02,16.2283,16.2608,15.6104,16.0657,188020,24.7000,0
2018-08-03,15.6104,16.2608,15.6104,16.0331,200320,24.6500,0
2018-08-06,16.0331,16.2608,15.4802,15.5453,301330,23.9000,0
2018-08-07,15.5778,15.6754,15.5778,15.6429,95960,24.0500,0
2018-08-08,15.6429,15.9681,15.6429,15.8705,225180,24.4000,0
2018-08-09,15.9355,16.7161,15.9355,16.5210,461210,25.4000,0
2018-08-10,16.5535,16.7161,16.3259,16.6185,332110,25.5500,0
2018-08-13,16.6510,16.9437,16.4884,16.9112,336850,26.0000,0
2018-08-14,17.1063,17.1714,16.9112,16.9112,312680,26.0000,0
2018-08-15,16.9112,17.0738,16.7161,16.7486,289650,25.7500,0
2018-08-16,16.6510,16.9763,16.6510,16.9438,235000,26.0500,0
2018-08-17,17.1064,17.5617,16.9438,17.0738,262420,26.2500,0
2018-08-20,16.9112,17.1063,16.9112,16.9112,285190,26.0000,0
2018-08-21,16.9112,17.0738,16.9112,17.0738,312010,26.2500,0
2018-08-22,17.0738,17.3340,16.9762,17.1389,435620,26.3500,146655
2018-08-23,17.0413,17.3666,17.0413,17.2364,375720,26.5000,0
2018-08-24,17.2689,17.2689,17.1714,17.2690,318750,26.5500,0
2018-08-27,17.3015,17.3666,17.3015,17.3665,262880,26.7000,0
2018-08-28,17.3015,17.5291,17.3015,17.4966,367780,26.9000,229920
2018-08-29,17.4966,17.6267,17.4316,17.5942,353290,27.0500,0
2018-08-30,17.5617,17.6267,17.4316,17.5942,386140,27.0500,0
2018-08-31,17.5942,17.7243,17.4966,17.4966,344740,26.9000,0
2018-09-04,17.4641,17.5291,17.3990,17.4316,274950,26.8000,0
2018-09-05,17.3991,17.4641,17.2365,17.2364,287370,26.5000,0
2018-09-06,17.1714,17.4315,16.0331,16.0331,314500,24.6500,0
2018-09-07,16.7486,17.1388,16.7161,17.1389,334230,26.3500,0
2018-09-10,17.2039,17.2690,17.0739,17.1389,295040,26.3500,0
2018-09-11,17.1389,17.1714,16.9763,16.9763,306000,26.1000,0
2018-09-12,16.9763,17.1389,16.9113,16.9763,311310,26.1000,0
2018-09-13,17.0088,17.0739,16.9763,17.0413,274320,26.2000,0
2018-09-14,17.0413,17.1063,17.0088,17.0413,296230,26.2000,0
2018-09-17,17.0413,17.0413,16.9112,16.9763,296810,26.1000,0
2018-09-18,16.9763,16.9763,16.6186,16.9763,341310,26.1000,0
2018-09-19,17.0088,17.0739,16.9113,17.0413,403380,26.2000,0
2018-09-20,17.0738,17.2039,17.0413,17.0738,451650,26.2500,0
2018-09-21,17.0738,17.1714,17.0413,17.0738,458990,26.2500,0
2018-09-24,17.1063,17.1714,17.0413,17.0738,179800,26.2500,0
2018-09-25,17.0738,17.0738,16.8136,16.8787,352600,25.9500,0
2018-09-26,16.9112,17.2690,16.7811,16.9112,280770,26.0000,0
2018-09-27,16.9112,17.0413,16.8787,16.9112,237590,26.0000,0
2018-09-28,16.9112,17.0413,16.8462,17.0413,377090,26.2000,0
2018-10-01,17.0413,17.1389,17.0088,17.0413,334990,26.2000,0
2018-10-02,17.0413,17.2364,16.8787,17.0088,462710,26.1500,0
2018-10-03,17.0413,17.1389,17.0088,17.1064,493170,26.3000,150000
2018-10-04,17.1064,17.6918,17.1064,17.5617,918360,27.0000,0
2018-10-05,17.6267,17.6593,17.4641,17.5617,691450,27.0000,0
2018-10-08,17.5942,17.5942,17.2365,17.3340,586980,26.6500,0
2018-10-09,17.1714,17.3990,17.1063,17.3665,1065850,26.7000,0
2018-10-10,17.3665,17.4315,17.3015,17.3665,557840,26.7000,0
2018-10-11,16.2608,16.9112,16.1957,16.1958,500890,24.9000,0
2018-10-12,16.1633,16.4560,16.1633,16.3584,376500,25.1500,0
2018-10-15,16.3259,16.3584,15.2201,15.6104,336550,24.0000,0
