date,open,high,low,close,volume,unadjusted,putthrough
2008-11-26,8.5683,8.5683,8.5683,8.5683,630,63.5000,0
2008-11-27,8.5683,8.5683,8.1635,8.1635,20,60.5000,0
2008-11-28,7.7587,7.7587,7.7587,7.7587,150,57.5000,0
2008-12-01,7.4214,7.4214,7.4214,7.4214,10,55.0000,0
2008-12-02,7.0841,7.0841,7.0841,7.0841,100,52.5000,0
2008-12-03,6.7333,6.7333,6.7333,6.7332,10020,49.9000,0
2008-12-04,6.4054,6.4054,6.4054,6.4056,1920,46.9000,0
2008-12-05,6.0915,6.0915,6.0915,6.0915,1010,44.6000,0
2008-12-08,5.7910,5.7910,5.7910,5.7910,2100,42.4000,0
2008-12-09,5.5042,5.7364,5.5042,5.5042,35160,40.3000,0
2008-12-10,5.2310,5.4632,5.2310,5.2584,35350,38.5000,0
2008-12-11,5.3950,5.5179,5.3267,5.5179,25530,40.4000,0
2008-12-12,5.7911,5.7911,5.7911,5.7910,22500,42.4000,0
2008-12-15,6.0778,6.0778,6.0232,6.0778,19780,44.5000,0
2008-12-16,6.0778,6.0778,5.8320,5.8730,23800,43.0000,0
2008-12-17,5.8730,5.8730,5.5998,5.8730,21080,43.0000,0
2008-12-18,5.8730,5.9413,5.7364,5.8730,4400,43.0000,0
2008-12-19,5.8593,5.8593,5.8047,5.8047,5650,42.5000,0
2008-12-22,5.8730,5.8730,5.5998,5.5998,10110,41.0000,0
2008-12-23,5.4086,5.5315,5.4086,5.5315,4290,40.5000,0
2008-12-24,5.2583,5.3949,5.2583,5.3949,2650,39.5000,0
2008-12-25,5.3949,5.4632,5.3949,5.4632,2360,40.0000,0
2008-12-26,5.5861,5.5861,5.4632,5.5862,9600,40.9000,0
2008-12-29,5.4633,5.7364,5.4633,5.7364,310,42.0000,0
2008-12-30,5.7364,5.8730,5.7364,5.8730,6010,43.0000,0
2008-12-31,5.9413,5.9413,5.7364,5.7364,4010,42.0000,0
2009-01-02,5.5998,5.5998,5.5998,5.5998,2120,41.0000,0
2009-01-06,5.5998,5.7091,5.5998,5.7091,420,41.8000,0
2009-01-07,5.8047,5.8730,5.5998,5.5998,5420,41.0000,0
2009-01-08,5.4769,5.7227,5.4632,5.7227,10240,41.9000,0
2009-01-09,5.6681,5.7364,5.6681,5.7364,1510,42.0000,0
2009-01-12,5.9276,5.9276,5.7364,5.7364,3700,42.0000,0
2009-01-13,5.7091,5.7091,5.7091,5.7091,1120,41.8000,0
2009-01-14,5.6135,5.6135,5.6135,5.6135,490,41.1000,0
2009-01-15,5.5998,5.6135,5.5998,5.6135,4000,41.1000,0
2009-01-16,5.6135,5.6135,5.5998,5.5998,2260,41.0000,0
2009-01-19,5.3403,5.3676,5.3403,5.3676,2700,39.3000,0
2009-01-20,5.2583,5.5315,5.2583,5.3130,210,38.9000,0
2009-01-21,5.3267,5.4769,5.3130,5.3130,5610,38.9000,0
2009-01-22,5.3403,5.3949,5.3267,5.3267,9570,39.0000,0
2009-01-23,5.4633,5.4906,5.4633,5.4905,2380,40.2000,0
2009-02-02,5.4632,5.4632,5.3266,5.4632,1330,40.0000,0
2009-02-03,5.4632,5.4632,5.2583,5.2584,1260,38.5000,0
2009-02-04,5.1765,5.3267,5.1628,5.2584,3850,38.5000,0
2009-02-05,5.2584,5.2584,5.2311,5.2310,12380,38.3000,0
2009-02-06,5.3266,5.3266,5.3266,5.3267,1410,39.0000,0
2009-02-09,5.5316,5.5316,5.5316,5.5315,650,40.5000,0
2009-02-10,5.3266,5.3266,5.2993,5.2993,1400,38.8000,0
2009-02-11,5.2993,5.3266,5.2993,5.3267,6450,39.0000,0
2009-02-12,5.3950,5.3950,5.2721,5.2720,1090,38.6000,0
2009-02-13,5.3813,5.3813,5.3266,5.3267,620,39.0000,0
2009-02-16,5.3267,5.3404,5.3267,5.3267,1110,39.0000,0
2009-02-17,5.3267,5.3677,5.2721,5.3676,3210,39.3000,0
2009-02-18,5.3266,5.3266,5.1900,5.1901,5140,38.0000,0
2009-02-19,5.1901,5.2584,4.9989,4.9989,1530,36.6000,0
2009-02-20,5.2447,5.2447,5.2447,5.2447,10,38.4000,0
2009-02-23,5.0262,5.0262,4.9989,5.0262,3930,36.8000,0
2009-02-24,5.0945,5.0945,4.7940,4.9852,7830,36.5000,0
2009-02-25,5.1901,5.2310,5.1901,5.1901,4580,38.0000,100000
2009-02-26,4.9989,5.1901,4.9989,5.0125,4410,36.7000,0
2009-02-27,4.9169,4.9169,4.9169,4.9169,500,36.0000,0
2009-03-02,5.1081,5.1081,4.9169,4.9169,10500,36.0000,0
2009-03-03,4.7803,4.9169,4.7803,4.9169,1400,36.0000,0
2009-03-04,4.9169,4.9169,4.9169,4.9169,140,36.0000,0
2009-03-05,4.7803,5.0535,4.7803,5.0535,8910,37.0000,0
2009-03-06,4.8623,5.0262,4.8623,5.0262,310,36.8000,0
2009-03-09,5.0535,5.0535,5.0399,5.0398,4470,36.9000,0
2009-03-10,5.0261,5.1217,5.0261,5.1218,7790,37.5000,0
2009-03-11,5.1764,5.1764,5.1628,5.1764,7050,37.9000,0
2009-03-12,5.1901,5.1901,5.1491,5.1491,2200,37.7000,0
2009-03-13,5.1901,5.1901,5.1491,5.1901,4530,38.0000,0
2009-03-16,5.1901,5.1901,5.0535,5.1901,4620,38.0000,0
2009-03-17,5.2174,5.2311,5.1764,5.2310,11940,38.3000,0
2009-03-18,5.4632,5.4632,5.2310,5.4632,1710,40.0000,0
2009-03-19,5.4632,5.4632,5.1900,5.2584,4030,38.5000,0
2009-03-20,5.1901,5.1901,5.1901,5.1901,1300,38.0000,0
2009-03-23,5.3130,5.3130,5.0535,5.1901,1750,38.0000,0
2009-03-24,5.4223,5.4496,5.3403,5.4496,18070,39.9000,0
2009-03-25,5.4496,5.5315,5.4359,5.4632,10920,40.0000,0
2009-03-26,5.5998,5.5998,5.3266,5.4632,12530,40.0000,0
2009-03-27,5.7227,5.7227,5.5861,5.5862,1560,40.9000,0
2009-03-30,5.5862,5.5862,5.3950,5.5862,9860,40.9000,0
2009-03-31,5.3267,5.5316,5.3267,5.4359,2770,39.8000,0
2009-04-01,5.5315,5.5452,5.4632,5.5315,3150,40.5000,0
2009-04-02,5.5315,5.5315,5.4632,5.4632,7600,40.0000,0
2009-04-03,5.4632,5.7364,5.4632,5.7364,38990,42.0000,0
2009-04-07,6.0232,6.0232,6.0096,6.0232,9960,44.1000,0
2009-04-08,6.3100,6.3237,6.1461,6.3237,50460,46.3000,0
2009-04-09,6.6378,6.6378,6.5559,6.6378,87520,48.6000,0
2009-04-10,6.9656,6.9656,6.7607,6.7608,156130,49.5000,0
2009-04-13,7.0340,7.0340,7.0340,7.0339,159220,51.5000,0
