date,open,high,low,close,volume,unadjusted,putthrough
2007-07-24,55.4944,55.4944,55.4944,55.4944,119750,145.0000,0
2007-07-25,52.8154,52.8154,52.8154,52.8153,14930,138.0000,0
2007-07-26,50.5190,50.5190,50.5190,50.5190,9000,132.0000,0
2007-07-27,48.2227,48.2227,48.2227,48.2227,10960,126.0000,0
2007-07-30,45.9264,45.9264,45.9264,45.9264,200,120.0000,0
2007-07-31,43.6301,43.6301,43.6301,43.6301,26310,114.0000,0
2007-08-01,41.7165,44.0128,41.7165,44.0128,205320,115.0000,0
2007-08-02,42.0992,42.8646,42.0992,42.0992,78080,110.0000,0
2007-08-03,40.9510,41.7165,40.5683,40.5683,98400,106.0000,0
2007-08-06,39.0374,39.8029,39.0374,39.0374,135260,102.0000,0
2007-08-07,38.6547,40.1856,38.2720,39.8029,117200,104.0000,0
2007-08-08,39.8029,40.5683,39.8029,40.5683,70720,106.0000,0
2007-08-09,41.7165,42.4819,41.7165,42.4819,117980,111.0000,0
2007-08-10,44.3955,44.3955,42.0992,44.0128,220080,115.0000,0
2007-08-13,42.4819,42.8646,42.0992,42.0992,110890,110.0000,0
2007-08-14,43.2474,44.0128,42.8646,44.0128,269530,115.0000,0
2007-08-15,44.0128,44.7782,44.0128,44.0128,186580,115.0000,0
2007-08-16,44.0128,44.3955,43.6301,43.6301,117410,114.0000,0
2007-08-17,42.8647,43.6301,42.8647,43.2473,67530,113.0000,0
2007-08-20,43.6300,44.3955,43.6300,44.3955,102940,116.0000,0
2007-08-21,44.3955,44.3955,43.6301,44.0128,83080,115.0000,0
2007-08-22,43.2474,44.0128,43.2474,43.6301,48450,114.0000,0
2007-08-23,43.2474,43.6301,42.8647,42.8646,62030,112.0000,0
2007-08-24,43.6300,44.0128,43.2473,43.2473,128230,113.0000,0
2007-08-27,42.8646,43.6300,42.8646,42.8646,35120,112.0000,0
2007-08-28,42.8646,42.8646,42.4819,42.4819,58960,111.0000,0
2007-08-29,42.4819,42.4819,42.0992,42.4819,44320,111.0000,0
2007-08-30,42.0992,42.4819,40.9510,42.0992,51570,110.0000,0
2007-08-31,42.4819,43.2474,42.4819,42.4819,134270,111.0000,0
2007-09-04,43.2473,43.2473,42.8646,43.2473,51820,113.0000,0
2007-09-05,43.2473,43.2473,42.4819,42.8646,39040,112.0000,0
2007-09-06,42.0992,42.4819,41.7164,42.0992,77350,110.0000,0
2007-09-07,42.0992,42.8646,42.0992,42.4819,123670,111.0000,0
2007-09-10,42.0992,42.4819,42.0992,42.0992,50680,110.0000,0
2007-09-11,42.0992,42.4819,41.7165,41.7165,60100,109.0000,0
2007-09-12,41.3338,42.0992,41.3338,41.7165,35060,109.0000,0
2007-09-13,41.7165,42.0992,41.7165,42.0992,43800,110.0000,0
2007-09-14,42.0992,42.0992,41.7165,42.0992,48650,110.0000,0
2007-09-17,41.7165,42.0992,41.7165,41.7165,60710,109.0000,0
2007-09-18,41.7165,41.7165,40.9511,40.9510,136070,107.0000,0
2007-09-19,41.3337,42.0992,41.3337,42.0992,85020,110.0000,0
2007-09-20,42.8646,42.8646,42.0992,42.0992,79960,110.0000,0
2007-09-21,42.0992,42.4819,41.7165,42.0992,106110,110.0000,0
2007-09-24,42.0992,43.2474,42.0992,43.2473,121070,113.0000,0
2007-09-25,44.3955,44.3955,43.6300,44.3955,231520,116.0000,0
2007-09-26,45.9264,45.9264,44.3955,44.7782,178130,117.0000,0
2007-09-27,44.7782,44.7782,44.0128,44.7782,256500,117.0000,0
2007-09-28,46.6918,46.6918,45.1609,46.6918,289770,122.0000,0
2007-10-01,48.9881,48.9881,48.9881,48.9881,265610,128.0000,0
2007-10-02,51.2844,51.2844,49.7535,51.2845,550000,134.0000,0
2007-10-03,52.8154,52.8154,51.2845,52.8153,354120,138.0000,0
2007-10-04,50.5190,52.8153,50.5190,51.6672,222780,135.0000,0
2007-10-05,52.0499,53.5808,51.6672,53.5808,222170,140.0000,0
2007-10-08,53.5808,53.9635,52.4326,53.5808,311750,140.0000,0
2007-10-09,52.8154,53.1981,52.4326,52.4326,90280,137.0000,0
2007-10-10,52.4326,52.8153,51.2844,51.2845,146930,134.0000,0
2007-10-11,51.2845,51.2845,50.9018,51.2845,165280,134.0000,0
2007-10-12,50.1363,51.2845,50.1363,50.9017,179000,133.0000,0
2007-10-15,51.6671,53.1980,50.9017,53.1981,235670,139.0000,0
2007-10-16,53.5808,54.7290,52.4327,53.5808,412510,140.0000,0
2007-10-17,54.3462,54.3462,52.4326,52.8153,136130,138.0000,0
2007-10-18,51.6671,52.8153,51.6671,52.0499,112700,136.0000,0
2007-10-19,52.0499,53.5808,51.6672,53.5808,293450,140.0000,20000
2007-10-22,52.4326,52.8154,52.4326,52.4326,97150,137.0000,52000
2007-10-23,52.8153,52.8153,52.0499,52.0499,87020,136.0000,0
2007-10-24,51.6672,52.4326,51.2845,51.6672,131980,135.0000,0
2007-10-25,52.4326,52.4326,52.0499,52.4326,173490,137.0000,0
2007-10-26,52.4326,52.4326,52.0499,52.4326,249250,137.0000,0
2007-10-29,52.4326,52.8153,52.0499,52.8153,222420,138.0000,0
2007-10-30,52.0499,52.4326,51.6671,52.0499,79400,136.0000,0
2007-10-31,53.5808,53.5808,52.4326,52.4326,109780,137.0000,0
2007-11-01,52.4326,52.4326,52.0499,52.4326,30000,137.0000,0
2007-11-02,52.4326,52.4326,52.0499,52.0499,72170,136.0000,0
2007-11-05,52.0499,52.0499,49.7536,49.7536,63040,130.0000,0
2007-11-06,51.2845,51.6672,50.9018,50.9017,65540,133.0000,0
2007-11-07,50.1363,50.9017,50.1363,50.5190,37510,132.0000,0
2007-11-08,49.7536,51.2844,49.7536,50.1363,30240,131.0000,0
2007-11-09,48.9881,50.1363,48.9881,49.7536,65450,130.0000,0
2007-11-12,49.7536,49.7536,48.9882,49.3709,85990,129.0000,0
2007-11-13,49.7536,49.7536,48.2227,48.2227,103380,126.0000,0
2007-11-14,49.7536,50.5190,49.7536,50.5190,134960,132.0000,0
2007-11-15,49.7536,50.5190,49.3708,50.5190,49340,132.0000,0
2007-11-16,50.5190,50.5190,50.1363,50.5190,77940,132.0000,0
2007-11-19,49.7536,49.7536,48.9881,48.9881,13810,128.0000,0
2007-11-20,48.9881,49.7535,48.9881,49.7536,17200,130.0000,0
2007-11-21,49.7536,49.7536,49.3709,49.7536,103170,130.0000,0
2007-11-22,49.7536,49.7536,48.9882,49.3709,58120,129.0000,0
2007-11-23,49.9517,50.3390,49.9517,50.3407,57550,130.0000,0
2007-11-26,50.3407,51.8896,50.3407,51.8896,95850,134.0000,0
2007-11-27,52.2768,52.2768,51.1151,51.1152,110930,132.0000,0
2007-11-28,51.5024,51.5024,51.1152,51.5024,79150,133.0000,0
2007-11-29,51.8896,51.8896,51.5024,51.8896,103670,134.0000,0
2007-11-30,50.3407,50.7279,50.3407,50.7279,12220,131.0000,0
2007-12-03,49.9534,50.7279,49.5662,49.5662,24630,128.0000,0
2007-12-04,50.3407,50.3407,49.5662,49.5662,36630,128.0000,0
2007-12-05,49.5662,49.5662,49.1790,49.5662,12980,128.0000,0
2007-12-06,49.1790,49.5662,49.1790,49.5662,8070,128.0000,0
2007-12-07,49.1790,49.5662,49.1790,49.1790,9540,127.0000,0
2007-12-10,48.0173,48.7918,48.0173,48.4045,8540,125.0000,0
2007-12-11,48.4045,48.4045,46.8556,46.8556,6350,121.0000,0
2007-12-12,44.9194,46.8556,44.9194,46.4683,14340,120.0000,0
2007-12-13,47.2428,47.2428,46.0811,46.4683,36060,120.0000,0
2007-12-14,45.6938,45.6938,45.3066,45.3066,8050,117.0000,0
2007-12-17,45.3066,46.4683,44.5321,44.5321,31670,115.0000,0
2007-12-18,44.9193,45.3066,44.5321,45.3066,67730,117.0000,0
2007-12-19,45.6938,46.4683,45.3066,46.4683,65660,120.0000,0
2007-12-20,46.0811,46.0811,45.3066,45.3066,5820,117.0000,0
2007-12-21,46.4683,46.4683,45.6938,45.6938,10280,118.0000,0
2007-12-24,46.0810,46.0810,45.6938,45.6938,10320,118.0000,0
2007-12-25,45.6938,45.6938,45.6938,45.6938,4090,118.0000,0
2007-12-26,45.6938,46.0810,45.3066,46.0811,16510,119.0000,0
2007-12-27,47.2428,47.2428,46.4683,47.2428,41200,122.0000,0
2007-12-28,47.6300,48.0173,47.2428,47.2428,33100,122.0000,0
2008-01-02,47.6300,48.0173,47.6300,47.6300,14570,123.0000,0
2008-01-03,48.0172,48.0172,46.4683,46.4683,46240,120.0000,0
2008-01-04,48.0172,48.0172,46.4683,46.4683,3210,120.0000,0
2008-01-07,46.4683,46.4683,44.5321,44.5321,15180,115.0000,0
2008-01-08,44.5321,45.6938,44.5321,44.9194,21040,116.0000,0
2008-01-09,44.9194,44.9194,44.5322,44.5321,21560,115.0000,0
2008-01-10,42.5959,44.1449,42.5959,42.5960,9310,110.0000,0
2008-01-11,42.2088,44.1449,42.2088,43.3704,18650,112.0000,0
2008-01-14,43.3704,44.5321,42.5959,42.5960,7150,110.0000,0
2008-01-15,42.5960,42.5960,41.4343,42.5960,76160,110.0000,0
2008-01-16,42.5960,44.5322,42.5960,44.5321,23410,115.0000,0
2008-01-17,46.4683,46.4683,44.5321,44.5321,29800,115.0000,0
2008-01-18,44.5321,46.0810,44.5321,44.9194,13730,116.0000,0
2008-01-21,44.9194,44.9194,44.5322,44.9194,8500,116.0000,0
2008-01-22,42.9832,44.1449,42.9832,43.7577,10950,113.0000,0
2008-01-23,42.5960,42.5960,41.8215,41.8215,16300,108.0000,0
2008-01-24,41.0470,41.8215,40.6598,40.6598,15280,105.0000,0
2008-01-25,39.8853,40.6598,39.8853,40.6598,19690,105.0000,0
2008-01-28,40.2726,40.2726,39.8853,40.2725,4750,104.0000,0
2008-01-29,40.2725,40.2725,39.8853,40.2725,43020,104.0000,0
2008-01-30,41.8214,42.2087,41.8214,42.2087,32110,109.0000,0
2008-01-31,42.2087,42.9832,42.2087,42.9832,18230,111.0000,0
2008-02-01,44.5321,44.5321,43.7577,44.1449,41770,114.0000,0
2008-02-12,44.5321,44.5321,42.2087,42.2087,8650,109.0000,0
2008-02-13,40.6598,41.0470,40.2725,40.2725,16370,104.0000,0
2008-02-14,39.4980,40.2725,39.4980,39.8853,37280,103.0000,0
2008-02-15,39.8853,39.8853,38.7236,38.7236,27340,100.0000,0
2008-02-18,36.7874,37.3683,36.7874,37.3683,20600,96.5000,0
2008-02-19,36.4002,37.5619,36.4002,36.7874,13580,95.0000,0
2008-02-20,36.7874,36.7874,35.0448,35.0449,29180,90.5000,0
2008-02-21,33.3023,33.3023,33.3023,33.3023,5220,86.0000,0
2008-02-22,31.7534,31.7534,31.7534,31.7534,17740,82.0000,0
2008-02-25,31.7534,32.9151,31.7534,32.7214,59420,84.5000,0
2008-02-26,32.5278,32.5278,31.1725,31.1725,24840,80.5000,0
2008-02-27,29.6236,32.7214,29.6236,29.8172,11420,77.0000,0
2008-02-28,30.2044,30.2044,29.2363,29.6236,26600,76.5000,0
2008-02-29,28.6555,28.6555,28.2683,28.4618,46810,73.5000,0
2008-03-03,28.4618,28.6554,27.1065,27.1065,17710,70.0000,0
2008-03-04,25.7512,25.7512,25.7512,25.7512,8300,66.5000,0
2008-03-05,24.5895,24.7831,24.5895,24.5895,95620,63.5000,0
2008-03-06,25.5576,25.7512,25.5576,25.7512,12260,66.5000,0
2008-03-07,26.9129,26.9129,26.9129,26.9129,32360,69.5000,0
2008-03-10,28.0746,28.0746,27.3001,28.0746,102420,72.5000,0
2008-03-11,26.7193,28.6555,26.7193,27.1065,22100,70.0000,0
2008-03-12,26.3320,27.8810,26.3320,27.8810,33650,72.0000,0
2008-03-13,27.4938,28.0746,27.1065,28.0746,30270,72.5000,0
2008-03-14,28.0746,28.4618,27.6874,28.4618,37200,73.5000,0
2008-03-17,27.1065,27.6873,27.1065,27.1065,63800,70.0000,0
2008-03-18,25.7512,26.1384,25.7512,25.7512,22180,66.5000,0
2008-03-19,25.7512,25.7512,24.5895,24.5895,31790,63.5000,0
2008-03-20,23.6214,24.5895,23.6214,23.6214,169540,61.0000,0
2008-03-21,23.6214,23.8150,23.2342,23.2342,97300,60.0000,0
2008-03-24,22.0725,22.2661,22.0725,22.0725,90130,57.0000,0
2008-03-25,21.1044,21.2980,21.1044,21.1044,100650,54.5000,20000
2008-03-26,22.0725,22.0725,21.6853,22.0725,92520,57.0000,0
2008-03-27,22.2661,22.2661,22.2661,22.2661,300,57.5000,0
2008-03-28,22.2661,22.4597,22.2661,22.4597,420,58.0000,0
2008-03-31,22.6533,22.6533,22.6533,22.6533,600,58.5000,0
2008-04-01,22.8469,22.8469,22.8469,22.8469,20,59.0000,0
2008-04-02,23.0405,23.0405,23.0405,23.0405,510,59.5000,0
2008-04-03,23.2341,23.2341,23.2341,23.2342,220,60.0000,0
2008-04-04,23.4278,23.4278,23.4278,23.4278,20,60.5000,0
2008-04-07,23.8150,23.8150,23.8150,23.8150,800,61.5000,0
2008-04-08,24.2022,24.2022,23.8150,24.2022,76740,62.5000,0
2008-04-09,24.5894,24.5894,24.3958,24.5895,35760,63.5000,0
2008-04-10,24.3959,24.3959,24.2023,24.2022,30370,62.5000,0
2008-04-11,23.8054,24.4006,23.8054,24.0041,108130,60.5000,0
2008-04-16,24.4009,24.4009,24.0041,24.2025,47160,61.0000,0
2008-04-17,24.5993,24.5993,24.5993,24.5992,1950,62.0000,0
2008-04-18,24.9960,24.9960,24.9960,24.9960,46580,63.0000,0
2008-04-21,25.3928,25.3928,25.3928,25.3928,4100,64.0000,0
2008-04-22,25.7896,25.7896,25.7896,25.7895,20760,65.0000,0
2008-04-23,26.1863,26.1863,25.3927,25.3928,42960,64.0000,0
2008-04-24,24.9960,25.7896,24.9960,25.7895,87160,65.0000,0
2008-04-25,26.1863,26.1863,25.9879,26.1863,113660,66.0000,0
2008-04-28,26.5831,26.5831,26.3847,26.5831,102630,67.0000,0
2008-04-29,26.9799,26.9799,26.3847,26.9798,83960,68.0000,0
2008-05-05,27.3766,27.3766,27.3766,27.3766,6670,69.0000,0
2008-05-06,27.7734,27.7734,27.7734,27.7733,37740,70.0000,0
2008-05-07,28.1701,28.1701,27.3765,28.1701,87770,71.0000,0
2008-05-08,27.7733,27.7733,27.7733,27.7733,24920,70.0000,0
2008-05-09,27.3765,27.3765,27.3765,27.3766,29500,69.0000,0
2008-05-12,26.9798,26.9798,26.9798,26.9798,36110,68.0000,0
2008-05-13,26.5830,26.5830,26.5830,26.5831,550,67.0000,0
2008-05-14,26.5831,26.5831,26.1863,26.1863,40710,66.0000,0
2008-05-15,25.7895,25.7895,25.7895,25.7895,31780,65.0000,0
2008-05-16,25.7895,26.1863,25.7895,26.1863,38280,66.0000,0
2008-05-19,26.5831,26.5831,26.5831,26.5831,16330,67.0000,60000
2008-05-20,26.5831,26.7815,26.5831,26.7814,19190,67.5000,0
2008-05-21,26.7814,26.7814,26.5830,26.7814,22550,67.5000,0
2008-05-22,26.3846,26.7814,26.3846,26.7814,54660,67.5000,0
2008-05-23,26.3846,26.3846,26.3846,26.3847,23800,66.5000,0
2008-05-26,25.9879,25.9879,25.9879,25.9879,170,65.5000,0
2008-05-30,25.5911,25.5911,25.5911,25.5911,32560,64.5000,0
2008-06-02,25.1943,25.1943,25.1943,25.1944,3060,63.5000,0
2008-06-03,24.7976,24.7976,24.7976,24.7976,10,62.5000,0
2008-06-04,24.4008,24.4008,24.4008,24.4009,20,61.5000,0
2008-06-05,24.0041,24.0041,24.0041,24.0041,1150,60.5000,0
2008-06-06,24.0041,24.0041,23.6073,23.6073,820,59.5000,0
2008-06-09,23.2105,23.2105,23.2105,23.2106,140,58.5000,0
2008-06-10,22.8138,22.8138,22.8138,22.8138,1010,57.5000,0
2008-06-11,22.4170,23.2106,22.4170,23.2106,37050,58.5000,0
2008-06-12,23.6074,23.6074,23.2106,23.6073,24130,59.5000,0
2008-06-13,24.0041,24.0041,24.0041,24.0041,21300,60.5000,0
2008-06-16,24.4009,24.4009,24.4009,24.4009,48120,61.5000,0
2008-06-17,24.7977,24.7977,24.5993,24.7976,27450,62.5000,0
2008-06-18,24.9960,24.9960,24.4008,24.4009,18550,61.5000,0
2008-06-19,23.8058,23.8058,23.8058,23.8057,19780,60.0000,0
2008-06-20,23.2106,23.2106,23.2106,23.2106,1070,58.5000,0
2008-06-23,22.6155,22.8138,22.6155,22.8138,27640,57.5000,0
2008-06-24,22.2187,23.4089,22.2187,23.4090,16170,59.0000,0
2008-06-25,24.0041,24.0041,24.0041,24.0041,16200,60.5000,0
2008-06-26,24.5992,24.5992,23.6073,23.6073,25080,59.5000,0
2008-06-27,23.0122,24.2024,23.0122,24.2025,30330,61.0000,0
2008-06-30,24.5993,24.7976,23.8057,24.5992,20800,62.0000,0
2008-07-01,24.7976,25.1943,24.7976,25.1944,10420,63.5000,0
2008-07-02,25.7895,25.7895,25.3928,25.7895,60610,65.0000,0
2008-07-03,26.3846,26.3846,26.3846,26.3847,16540,66.5000,0
2008-07-04,26.9798,26.9798,26.9798,26.9798,14050,68.0000,0
2008-07-07,27.7733,27.7733,26.1863,26.1863,37420,66.0000,0
2008-07-08,25.5912,26.7814,25.5912,26.7814,75100,67.5000,0
2008-07-09,27.5749,27.5749,27.5749,27.5750,54450,69.5000,0
2008-07-10,28.3685,28.3685,28.3685,28.3685,18160,71.5000,0
2008-07-11,29.1620,29.1620,29.1620,29.1620,7560,73.5000,0
2008-07-14,29.9555,29.9555,29.9555,29.9555,8470,75.5000,0
2008-07-15,30.7490,30.7490,30.7490,30.7491,910,77.5000,0
2008-07-16,30.7491,31.5426,29.9556,31.5426,88990,79.5000,0
2008-07-17,32.3361,32.3361,32.3361,32.3361,49850,81.5000,0
2008-07-18,32.3361,32.3361,31.5426,31.5426,67640,79.5000,0
2008-07-21,31.5426,31.5426,30.7491,30.7491,24210,77.5000,0
2008-07-22,29.9556,29.9556,29.9556,29.9555,10000,75.5000,0
2008-07-23,29.1620,29.1620,29.1620,29.1620,10010,73.5000,0
2008-07-24,28.3685,28.3685,28.3685,28.3685,46620,71.5000,0
2008-07-25,27.5750,27.5750,27.5750,27.5750,1170,69.5000,0
2008-07-28,26.7815,28.3685,26.7815,28.1701,35960,71.0000,0
2008-07-29,28.9636,28.9636,28.7652,28.9636,18260,73.0000,0
2008-07-30,28.9636,28.9636,28.1701,28.1701,10070,71.0000,0
2008-07-31,28.1701,28.1701,27.3766,27.3766,43050,69.0000,0
2008-08-01,26.5831,26.9798,26.5831,26.5831,32620,67.0000,0
2008-08-04,25.7896,25.7896,25.7896,25.7895,18430,65.0000,0
2008-08-05,25.1944,25.9879,25.1944,25.9879,63470,65.5000,0
2008-08-06,26.5830,26.5830,25.7895,26.5831,49060,67.0000,0
2008-08-07,27.3766,27.3766,26.7815,26.7814,25670,67.5000,0
2008-08-08,26.7814,26.7814,26.5830,26.7814,6910,67.5000,0
2008-08-11,27.3765,27.5749,26.7814,27.5750,28350,69.5000,0
2008-08-12,28.3685,28.3685,27.5750,28.1701,31510,71.0000,0
2008-08-13,27.5750,27.9717,27.3766,27.7733,8260,70.0000,0
2008-08-14,27.7733,28.5668,27.7733,28.5669,42360,72.0000,30000
2008-08-15,29.3604,29.3604,29.3604,29.3604,12360,74.0000,0
2008-08-18,30.7491,30.7491,30.7491,30.7491,29390,77.5000,20000
2008-08-19,32.1378,32.1378,30.1540,31.7410,159600,80.0000,0
2008-08-20,30.1539,30.9475,30.1539,30.1539,85760,76.0000,0
2008-08-21,30.1539,31.5426,29.7571,31.5426,95680,79.5000,0
2008-08-22,31.7410,31.7410,31.1458,31.5426,69230,79.5000,0
2008-08-25,32.9313,32.9313,31.7410,32.7329,107250,82.5000,0
2008-08-26,33.9232,33.9232,31.1459,32.9312,26710,83.0000,0
2008-08-27,32.9312,33.7247,31.5425,31.5426,42080,79.5000,0
2008-08-28,30.3523,30.3523,30.1539,30.1539,12770,76.0000,0
2008-08-29,28.9636,31.3442,28.9636,31.3442,10210,79.0000,0
2008-09-03,32.3361,32.5345,31.9393,32.1377,5750,81.0000,0
2008-09-04,32.3361,32.3361,30.5507,30.5507,9770,77.0000,0
2008-09-05,29.3604,29.7572,29.1620,29.1620,39030,73.5000,0
2008-09-08,27.7733,27.7733,27.7733,27.7733,28260,70.0000,0
2008-09-09,26.3846,27.7733,26.3846,26.5831,76430,67.0000,0
2008-09-10,26.5831,26.9799,25.3928,26.5831,67040,67.0000,0
2008-09-11,25.5912,26.1863,25.3928,25.3928,62930,64.0000,0
2008-09-12,24.4009,25.3928,24.4009,25.3928,70380,64.0000,0
2008-09-15,25.3928,26.5831,25.3928,25.7895,36740,65.0000,0
2008-09-16,25.3927,25.5911,24.5992,24.5992,49620,62.0000,0
2008-09-17,23.4089,23.6073,23.4089,23.4090,87350,59.0000,0
2008-09-18,22.4171,23.4090,22.4171,22.4171,95270,56.5000,0
2008-09-19,22.8139,23.4090,22.8139,23.4090,38240,59.0000,0
2008-09-22,24.4009,24.4009,24.4009,24.4009,150100,61.5000,0
2008-09-23,25.3928,25.5912,24.7977,25.5911,159180,64.5000,0
2008-09-24,24.5992,24.9960,24.5992,24.5992,105150,62.0000,0
2008-09-25,25.7895,25.7895,24.7976,25.7895,44870,65.0000,0
2008-09-26,26.7814,26.7814,25.3927,25.5911,47640,64.5000,0
2008-09-29,24.5992,25.1943,24.4008,24.4009,39480,61.5000,0
2008-09-30,23.2106,23.2106,23.2106,23.2106,43620,58.5000,0
2008-10-01,23.8057,24.2025,23.2106,23.4090,49520,59.0000,0
2008-10-02,24.4009,24.4009,23.8058,24.2025,21230,61.0000,0
2008-10-03,24.2025,24.2025,23.4090,24.2025,6280,61.0000,0
2008-10-06,23.8057,23.8057,23.2106,23.2106,21350,58.5000,0
2008-10-07,22.2187,22.2187,22.2187,22.2187,44510,56.0000,0
2008-10-08,21.2268,21.6236,21.2268,21.4251,48280,54.0000,0
2008-10-09,20.4332,22.4170,20.4332,20.4332,89520,51.5000,0
