date,open,high,low,close,volume,unadjusted,putthrough
2007-12-13,60.1499,60.1499,46.6162,51.8793,167500,69.0000,0
2007-12-14,51.1274,51.1274,47.5936,47.5936,46700,63.3000,10000
2007-12-17,48.1951,48.1951,44.3605,44.3605,5800,59.0000,0
2007-12-18,41.7289,43.6086,40.8267,43.0072,27200,57.2000,0
2007-12-19,42.8568,45.9395,42.1050,45.1124,51200,60.0000,0
2007-12-20,45.1124,45.1124,41.5034,41.5034,22600,55.2000,0
2007-12-21,42.1049,44.3605,42.1049,42.8568,14900,57.0000,0
2007-12-24,44.5109,44.5109,42.1049,42.8568,18400,57.0000,0
2007-12-25,43.6087,43.6087,41.2027,41.2027,17700,54.8000,0
2007-12-26,41.3531,43.0824,41.3531,42.1049,17300,56.0000,0
2007-12-27,42.7064,43.3831,41.3530,41.7290,19600,55.5000,0
2007-12-28,41.7290,42.7064,41.6538,42.1049,9900,56.0000,0
2008-01-02,42.1049,42.1049,41.3530,41.4282,10100,55.1000,0
2008-01-03,41.7289,41.7289,39.0974,39.0974,10300,52.0000,0
2008-01-04,38.7215,38.7215,37.2177,37.2177,10700,49.5000,0
2008-01-07,36.2403,36.2403,34.5861,34.5862,17600,46.0000,0
2008-01-08,36.9170,36.9170,34.2103,34.3606,15200,45.7000,0
2008-01-09,35.5636,35.5636,33.0824,33.0824,12500,44.0000,0
2008-01-10,32.3305,33.8343,32.3305,33.8343,7300,45.0000,0
2008-01-11,33.8343,35.7140,33.8343,33.8343,14300,45.0000,0
2008-01-14,32.3306,32.4057,31.5787,31.5787,18200,42.0000,0
2008-01-15,31.5787,31.5787,29.0223,29.0223,8300,38.6000,0
2008-01-16,30.8268,32.2554,30.8268,32.2554,6100,42.9000,5000
2008-01-17,34.5862,34.5862,30.8268,32.3306,38800,43.0000,0
2008-01-18,33.0825,33.8343,32.7065,33.1576,20500,44.1000,0
2008-01-21,33.2328,33.2328,32.1802,33.0824,6500,44.0000,0
2008-01-22,30.8268,32.4809,30.8268,32.4809,10400,43.2000,0
2008-01-23,31.6538,31.9546,30.1501,31.9546,18700,42.5000,0
2008-01-24,31.5787,33.0824,30.9020,31.5787,18700,42.0000,0
2008-01-25,31.5787,31.5787,31.2028,31.5787,9100,42.0000,0
2008-01-28,31.5787,32.7065,31.5787,32.3306,15000,43.0000,0
2008-01-29,33.0825,35.1125,33.0825,35.1125,27200,46.7000,0
2008-01-30,38.2704,38.2704,38.2704,38.2704,9800,50.9000,0
2008-01-31,42.0298,42.0298,35.3381,42.0297,124100,55.9000,0
2008-02-01,44.5109,44.5109,43.6086,44.5109,86300,59.2000,0
2008-02-12,48.8718,48.8718,42.7816,45.1124,66800,60.0000,0
2008-02-13,48.1199,48.1199,42.1049,42.1049,60300,56.0000,0
2008-02-14,43.2327,46.5410,42.4808,44.2102,61700,58.8000,0
2008-02-15,43.6087,43.6087,40.6012,42.8568,53500,57.0000,0
2008-02-18,40.6012,40.6012,38.4959,39.3230,78200,52.3000,0
2008-02-19,39.7741,43.1576,39.3230,41.2027,85600,54.8000,0
2008-02-20,41.4283,43.0072,39.3982,40.6012,56900,54.0000,0
2008-02-21,39.8493,39.9245,37.2930,37.2929,52300,49.6000,0
2008-02-22,34.5862,38.3455,33.8343,37.5185,85200,49.9000,0
2008-02-25,38.7215,39.0222,37.9696,39.0222,48900,51.9000,0
2008-02-26,39.8493,40.2252,35.7891,36.0899,40700,48.0000,0
2008-02-27,35.3380,38.7215,34.5862,36.0899,38400,48.0000,0
2008-02-28,36.4658,37.2177,35.0373,36.8418,30700,49.0000,0
2008-02-29,36.0899,36.8418,34.2102,35.3381,38900,47.0000,0
2008-03-03,38.3456,38.3456,33.9095,35.6388,54500,47.4000,0
2008-03-04,34.5862,34.5862,32.6313,32.6313,25100,43.4000,0
2008-03-05,29.5486,33.3832,29.5486,32.7065,97200,43.5000,0
2008-03-06,33.6839,33.6839,33.6839,33.6839,17400,44.8000,0
2008-03-07,36.9921,36.9921,36.9921,36.9922,200,49.2000,0
2008-03-10,40.6764,40.6764,36.8418,37.8192,148800,50.3000,0
2008-03-11,37.5936,37.5936,35.1876,35.1877,38900,46.8000,0
2008-03-12,35.3381,39.0974,34.5110,36.8418,46100,49.0000,0
2008-03-13,38.3769,39.1444,36.2278,36.8406,29400,48.0000,0
2008-03-14,36.0731,36.8406,35.6893,35.8428,18100,46.7000,0
2008-03-17,35.3055,35.3055,33.0030,33.0798,32800,43.1000,0
2008-03-18,31.4680,31.4680,30.0097,30.0097,60000,39.1000,0
2008-03-19,30.7005,32.9262,28.5514,29.3957,34900,38.3000,0
2008-03-20,29.9330,30.7005,29.2422,29.3190,18200,38.2000,0
2008-03-21,29.1655,29.1655,27.0932,27.0932,41000,35.3000,0
2008-03-24,25.3279,25.3279,24.7907,24.7907,8700,32.3000,0
2008-03-25,23.0254,24.8675,22.4114,22.4114,19400,29.2000,0
2008-03-26,20.2624,24.7139,20.2624,24.6372,35500,32.1000,0
2008-03-27,24.8675,24.8675,24.8675,24.8674,2500,32.4000,0
2008-03-28,25.3279,25.3279,25.3279,25.3279,100,33.0000,0
2008-03-31,25.7884,25.7884,25.7884,25.7884,200,33.6000,0
2008-04-01,26.2489,26.2489,26.2489,26.2489,100,34.2000,0
2008-04-02,26.7094,26.7094,26.7094,26.7094,100,34.8000,0
2008-04-03,27.1699,27.1699,27.1699,27.1699,400,35.4000,0
2008-04-04,27.7072,27.7072,27.7072,27.7072,600,36.1000,0
2008-04-07,28.4747,28.4747,28.4747,28.4747,400,37.1000,0
2008-04-08,29.3190,29.3190,27.6304,28.3980,57200,37.0000,0
2008-04-09,28.0910,28.0910,27.3235,27.3234,4800,35.6000,0
2008-04-10,26.6326,26.6326,26.6326,26.6327,500,34.7000,0
2008-04-11,25.8652,25.8652,25.8652,25.8652,3300,33.7000,0
2008-04-16,25.0977,25.0977,25.0977,25.0977,2000,32.7000,0
2008-04-17,24.4069,25.7885,24.4069,25.4814,40800,33.2000,0
2008-04-18,25.7117,25.7117,24.3301,24.3302,9000,31.7000,0
2008-04-21,23.9464,23.9464,23.9464,23.9464,6400,31.2000,0
2008-04-22,23.2556,23.2556,23.2556,23.2556,2700,30.3000,0
2008-04-23,22.5648,22.5648,22.5648,22.5649,100,29.4000,0
2008-04-24,21.9509,22.8719,21.9509,21.9509,28500,28.6000,0
2008-04-25,21.3369,21.3369,21.3369,21.3369,3700,27.8000,0
2008-04-28,20.7229,21.3369,20.7229,20.7228,23500,27.0000,0
2008-04-29,20.3390,20.4158,20.3390,20.3391,15900,26.5000,0
2008-05-05,19.8018,19.8018,19.8018,19.8018,2200,25.8000,0
2008-05-06,19.2645,19.2645,19.2645,19.2646,1500,25.1000,0
2008-05-07,18.7273,18.7273,18.7273,18.7273,1400,24.4000,0
2008-05-08,18.1900,18.1900,18.1900,18.1900,1600,23.7000,0
2008-05-09,17.6527,17.6527,17.6527,17.6528,100,23.0000,0
2008-05-12,17.1923,17.1923,17.1923,17.1923,100,22.4000,0
2008-05-13,16.7318,16.7318,16.7318,16.7318,100,21.8000,0
2008-05-15,16.2713,16.2713,16.2713,16.2713,1000,21.2000,0
2008-05-16,15.8108,15.8108,15.8108,15.8108,8600,20.6000,0
2008-05-19,15.3503,15.3503,15.3503,15.3503,10000,20.0000,0
2008-05-20,14.8898,14.8898,14.8898,14.8897,500,19.4000,0
2008-05-22,14.5059,14.5059,14.5059,14.5060,100,18.9000,0
2008-05-23,14.1222,14.1222,14.1222,14.1222,100,18.4000,0
2008-05-26,13.7384,13.7384,13.7384,13.7385,100,17.9000,0
2008-05-27,13.3547,13.3547,13.3547,13.3547,100,17.4000,0
2008-05-28,12.9709,12.9709,12.9709,12.9710,100,16.9000,0
2008-05-29,12.5872,12.5872,12.5872,12.5872,700,16.4000,0
2008-05-30,12.2802,12.2802,12.2802,12.2802,700,16.0000,0
2008-06-02,11.9732,11.9732,11.9732,11.9732,100,15.6000,0
2008-06-03,11.6662,11.6662,11.6662,11.6662,100,15.2000,0
2008-06-04,11.3592,11.3592,11.3592,11.3592,300,14.8000,0
2008-06-05,11.0522,11.0522,11.0522,11.0522,200,14.4000,0
2008-06-06,10.7452,10.7452,10.7452,10.7452,400,14.0000,0
2008-06-09,10.4382,10.4382,10.4382,10.4382,100,13.6000,0
2008-06-10,10.1312,10.1312,10.1312,10.1312,300,13.2000,0
2008-06-11,9.9009,10.3615,9.9009,9.9777,89500,13.0000,0
