date,open,high,low,close,volume,unadjusted,putthrough
2015-01-26,10.3282,10.3282,8.4744,9.4278,550000,17.8000,0
2015-01-27,9.0041,9.4278,8.5274,8.5274,75800,16.1000,0
2015-01-28,8.4744,8.5804,8.3685,8.3685,179400,15.8000,0
2015-01-29,8.2096,8.4215,7.5740,7.5740,249200,14.3000,0
2015-01-30,7.5740,8.2096,7.5740,7.9977,26300,15.1000,0
2015-02-02,7.9977,7.9977,7.4151,7.8389,8700,14.8000,0
2015-02-03,7.9448,7.9448,7.3622,7.7329,10300,14.6000,0
2015-02-04,7.3092,7.7329,7.2562,7.7329,10200,14.6000,0
2015-02-05,7.5740,7.8388,7.5740,7.7859,145900,14.7000,0
2015-02-06,7.9448,8.1567,7.7329,7.7329,1100,14.6000,0
2015-02-09,7.7329,7.7859,7.6799,7.7329,3900,14.6000,0
2015-02-10,7.2032,7.6270,7.1503,7.1503,9100,13.5000,0
2015-02-11,7.4681,7.5211,7.3622,7.5211,9000,14.2000,0
2015-02-12,7.4152,7.4681,7.3622,7.4681,5700,14.1000,0
2015-02-13,7.4151,7.4151,7.4151,7.4151,5300,14.0000,0
2015-02-24,7.4151,7.4151,7.3621,7.3622,6100,13.9000,0
2015-02-25,7.3622,7.4681,7.2563,7.2562,28800,13.7000,0
2015-02-26,7.2562,7.2562,7.0973,7.1503,10800,13.5000,0
2015-02-27,7.0973,7.3622,7.0973,7.2033,11400,13.6000,0
2015-03-02,7.2033,7.2033,7.1503,7.1503,35200,13.5000,0
2015-03-03,7.2033,7.5740,7.1503,7.5740,17600,14.3000,0
2015-03-04,7.5210,7.5210,7.2562,7.2562,3200,13.7000,0
2015-03-05,7.2562,7.3621,7.1503,7.2562,9800,13.7000,0
2015-03-06,7.2032,7.6270,7.2032,7.6270,20700,14.4000,0
2015-03-09,7.8918,7.8918,7.4151,7.4151,7500,14.0000,0
2015-03-10,7.6270,7.6799,7.3092,7.6800,12700,14.5000,0
2015-03-11,7.4152,7.6800,7.4152,7.5211,63000,14.2000,0
2015-03-12,7.5211,8.2626,7.5211,8.2626,292000,15.6000,0
2015-03-13,8.2626,8.3685,8.1567,8.2096,72200,15.5000,0
2015-03-16,8.0507,8.2096,8.0507,8.0507,94700,15.2000,0
2015-03-17,7.8918,8.4215,7.8918,8.3155,112000,15.7000,0
2015-03-18,8.3685,8.4744,8.2625,8.4744,95600,16.0000,0
2015-03-19,8.4214,8.7392,8.4214,8.6333,154700,16.3000,0
2015-03-20,8.6333,8.6333,8.4744,8.4744,117800,16.0000,0
2015-03-23,8.4744,8.5274,8.2625,8.3685,138000,15.8000,0
2015-03-24,8.3685,8.3685,7.7859,8.2626,188900,15.6000,0
2015-03-25,8.4745,8.9512,8.2626,8.5804,208800,16.2000,0
2015-03-26,8.6863,8.7393,8.3685,8.6863,166800,16.4000,0
2015-03-27,8.6333,8.7922,8.5804,8.5804,127200,16.2000,0
2015-03-30,8.5804,8.5804,8.2096,8.2096,154000,15.5000,0
2015-03-31,8.2096,8.4744,8.2096,8.3155,84100,15.7000,0
2015-04-01,8.3155,8.3155,7.9977,8.2096,76800,15.5000,0
2015-04-02,8.2096,8.6863,8.2096,8.6863,161500,16.4000,0
2015-04-03,8.7393,9.1630,8.6863,9.0041,299700,17.0000,0
2015-04-06,9.0041,9.0041,8.8982,9.0041,94300,17.0000,0
2015-04-07,8.9511,9.0041,8.8452,9.0041,78000,17.0000,0
2015-04-08,8.9511,9.0041,8.7922,8.7922,98300,16.6000,0
2015-04-09,8.7922,8.8452,8.4214,8.8452,118500,16.7000,0
2015-04-10,8.8452,8.9511,8.7393,8.8452,145800,16.7000,0
2015-04-13,8.8452,8.8452,8.5804,8.7922,85800,16.6000,0
2015-04-14,8.7922,8.7922,8.6333,8.6333,69300,16.3000,0
2015-04-15,8.6333,8.8452,8.5803,8.6863,150400,16.4000,0
2015-04-16,8.6863,8.7922,8.6863,8.7393,63500,16.5000,0
2015-04-17,8.7393,8.8452,8.7393,8.8452,112700,16.7000,0
2015-04-20,8.8452,8.8452,8.7922,8.8452,59500,16.7000,0
2015-04-21,8.8452,8.8452,8.7922,8.7922,26600,16.6000,0
2015-04-22,8.7922,8.7922,8.6863,8.6863,28900,16.4000,0
2015-04-23,8.6863,8.6863,8.5804,8.6863,32500,16.4000,0
2015-04-24,8.6863,8.6863,8.5804,8.6863,18200,16.4000,0
2015-04-27,8.6863,8.7393,8.6333,8.7393,34300,16.5000,0
2015-05-04,8.7393,8.7393,8.1567,8.4744,102600,16.0000,0
2015-05-05,8.6863,8.6863,8.6863,8.6863,200,16.4000,0
2015-05-07,8.3685,8.3685,7.9448,7.9448,500,15.0000,0
