date,open,high,low,close,volume,unadjusted,putthrough
2008-07-22,12.2267,12.2267,2.7510,2.8529,40900,14.0000,0
2008-07-23,3.0974,3.3420,3.0974,3.3420,27500,16.4000,0
2008-07-24,3.3624,3.3624,3.3624,3.3624,400,16.5000,0
2008-07-25,3.4847,3.4847,3.4847,3.4847,100,17.1000,0
2008-07-28,3.6070,3.6070,3.6070,3.6069,200,17.7000,0
2008-07-29,3.7495,3.7495,3.7495,3.7496,100,18.4000,0
2008-07-30,3.8922,3.8922,3.8922,3.8922,4300,19.1000,0
2008-07-31,4.0348,4.0348,4.0348,4.0349,4200,19.8000,20000
2008-08-01,4.1775,4.1775,4.1775,4.1775,1000,20.5000,0
2008-08-04,4.3405,4.3405,4.3405,4.3405,600,21.3000,0
2008-08-05,4.5035,4.5035,4.1775,4.5036,113500,22.1000,0
2008-08-06,4.6055,4.6055,4.6055,4.6055,200,22.6000,0
2008-08-07,4.7889,4.7889,4.7889,4.7889,200,23.5000,0
2008-08-08,4.9723,4.9723,4.6055,4.6666,51900,22.9000,0
2008-08-11,4.5851,4.9519,4.5851,4.5851,22800,22.5000,0
2008-08-12,4.4628,4.8296,4.4628,4.4628,35200,21.9000,0
2008-08-13,4.3405,4.4017,4.3202,4.3202,6000,21.2000,0
2008-08-14,4.1776,4.5036,4.1776,4.5036,58600,22.1000,0
2008-08-15,4.5851,4.5851,4.4832,4.5851,63700,22.5000,0
2008-08-18,4.8908,4.8908,4.2794,4.5851,26200,22.5000,0
2008-08-19,4.2387,4.2387,4.1572,4.1571,9200,20.4000,0
2008-08-20,3.8922,3.8922,3.8922,3.8922,2200,19.1000,0
2008-08-21,3.6273,4.1571,3.6273,4.1164,59900,20.2000,0
2008-08-22,3.7700,4.1368,3.6681,3.8107,41300,18.7000,0
2008-08-25,4.0145,4.0145,4.0145,4.0145,34200,19.7000,0
2008-08-26,4.2794,4.2794,4.2590,4.2794,23900,21.0000,0
2008-08-27,4.4832,4.5647,3.9941,4.2794,29100,21.0000,0
2008-08-28,4.1775,4.1775,4.1775,4.1775,200,20.5000,0
2008-08-29,3.8922,3.8922,3.8922,3.8922,2700,19.1000,0
2008-09-03,3.6273,4.1571,3.6273,4.1571,62800,20.4000,0
2008-09-04,4.2997,4.2997,3.7903,4.0756,24300,20.0000,0
2008-09-05,4.1775,4.2794,3.7903,4.0552,31700,19.9000,0
2008-09-08,3.9737,4.1775,3.7903,4.0756,18800,20.0000,0
2008-09-09,4.1775,4.2794,3.9737,4.0552,22300,19.9000,0
2008-09-10,4.1775,4.2794,3.8718,3.8718,8700,19.0000,0
2008-09-11,3.9737,3.9737,3.7699,3.7700,14300,18.5000,0
2008-09-12,3.6274,3.6274,3.5458,3.5458,15500,17.4000,0
2008-09-15,3.3216,3.8107,3.3216,3.5050,8800,17.2000,0
2008-09-16,3.4642,3.4642,3.3012,3.3216,15700,16.3000,0
2008-09-17,3.1178,3.3216,3.0974,3.0975,12300,15.2000,0
2008-09-18,2.9752,3.0567,2.9752,2.9752,16100,14.6000,0
2008-09-19,3.0567,3.1994,2.9752,3.1994,4600,15.7000,0
2008-09-22,3.3624,3.3624,3.3624,3.3624,1300,16.5000,0
2008-09-23,3.2605,3.4235,3.1586,3.1586,10700,15.5000,0
2008-09-24,3.1790,3.3012,3.0771,3.1586,5200,15.5000,0
2008-09-25,3.0567,3.2401,2.9752,3.2401,13600,15.9000,0
2008-09-26,3.2605,3.2605,2.9344,3.0975,5700,15.2000,0
2008-09-29,2.9956,3.1586,2.9956,3.1586,3400,15.5000,0
2008-09-30,2.8326,2.9141,2.8326,2.8326,23500,13.9000,0
2008-10-01,3.0364,3.0364,2.9549,3.0363,8200,14.9000,0
2008-10-02,3.1993,3.2197,3.1993,3.2197,8500,15.8000,0
2008-10-03,3.4439,3.4439,3.4235,3.4439,31000,16.9000,0
2008-10-06,3.5662,3.5662,3.2605,3.3216,5000,16.3000,0
2008-10-07,3.2401,3.2605,3.1993,3.1994,5500,15.7000,0
2008-10-08,2.9956,3.0975,2.9956,3.0363,9300,14.9000,0
2008-10-09,2.9548,3.2605,2.9548,3.0567,6600,15.0000,0
2008-10-10,2.9141,3.0567,2.9141,2.9141,13100,14.3000,0
2008-10-13,3.1383,3.1383,2.9752,3.0160,8600,14.8000,0
2008-10-14,3.2198,3.2198,3.2198,3.2197,1000,15.8000,0
2008-10-15,3.3012,3.3623,3.2197,3.2605,9400,16.0000,0
2008-10-16,3.0363,3.1994,3.0363,3.1790,3400,15.6000,0
2008-10-17,3.2198,3.2605,2.9548,3.0567,3500,15.0000,0
2008-10-20,2.8733,2.8733,2.8733,2.8733,5200,14.1000,0
2008-10-21,3.0567,3.0567,3.0567,3.0567,10000,15.0000,0
2008-10-22,3.0975,3.0975,3.0363,3.0363,3500,14.9000,0
2008-10-23,2.9548,2.9548,2.8733,2.8733,14800,14.1000,0
2008-10-24,2.8529,2.8529,2.7918,2.7918,8200,13.7000,0
2008-10-27,2.7103,2.7510,2.6695,2.6899,6700,13.2000,0
2008-10-28,2.6695,2.6899,2.6695,2.6899,16500,13.2000,0
2008-10-29,2.8529,2.8529,2.7510,2.8529,16400,14.0000,0
2008-10-30,2.8529,2.9955,2.8325,2.8326,3400,13.9000,0
2008-10-31,2.8937,2.9549,2.8937,2.9548,1500,14.5000,0
2008-11-03,2.7103,2.7510,2.7103,2.7103,2600,13.3000,0
2008-11-04,2.7511,2.8529,2.7511,2.8529,10000,14.0000,0
2008-11-05,3.0159,3.0159,2.9955,3.0160,10100,14.8000,0
2008-11-06,3.0160,3.0160,3.0160,3.0160,200,14.8000,0
2008-11-07,2.8530,2.8530,2.8530,2.8529,500,14.0000,0
2008-11-10,2.7918,2.7918,2.7510,2.7510,3000,13.5000,0
2008-11-11,2.6695,2.6695,2.6287,2.6492,3900,13.0000,0
2008-11-12,2.8326,2.8326,2.8326,2.8326,1100,13.9000,0
2008-11-13,3.0160,3.0160,2.8937,2.8937,1100,14.2000,0
2008-11-14,2.9548,2.9548,2.9345,2.9344,400,14.4000,0
2008-11-17,2.7510,2.7510,2.7510,2.7510,300,13.5000,0
2008-11-18,2.8121,2.8121,2.8121,2.8122,200,13.8000,0
2008-11-19,2.9548,2.9548,2.9548,2.9548,100,14.5000,0
2008-11-20,2.8529,2.8529,2.7510,2.7510,300,13.5000,0
2008-11-21,2.6084,2.6084,2.6084,2.6084,6000,12.8000,0
2008-11-24,2.6084,2.6084,2.6084,2.6084,6600,12.8000,0
2008-11-25,2.5676,2.5676,2.5676,2.5676,2000,12.6000,0
2008-11-26,2.4657,2.4657,2.4046,2.4046,6700,11.8000,0
2008-11-27,2.4250,2.4250,2.2620,2.2620,8000,11.1000,0
2008-11-28,2.3231,2.4046,2.3231,2.4046,9600,11.8000,0
2008-12-01,2.4454,2.4454,2.4454,2.4454,500,12.0000,0
2008-12-03,2.5269,2.5269,2.4454,2.4454,1300,12.0000,0
2008-12-05,2.3028,2.3435,2.3028,2.3231,2700,11.4000,0
2008-12-08,2.2416,2.2416,2.2416,2.2416,2800,11.0000,0
2008-12-09,2.3435,2.3435,2.3231,2.3231,1000,11.4000,0
2008-12-10,2.3435,2.4250,2.2823,2.4250,1500,11.9000,0
2008-12-12,2.2416,2.3843,2.2416,2.3639,3600,11.6000,0
2008-12-15,2.3639,2.4047,2.3639,2.3639,2600,11.6000,0
