date,open,high,low,close,volume,unadjusted,putthrough
2015-06-18,5.4771,5.4771,5.4771,5.4771,64300,11.9000,0
2015-06-19,5.9834,5.9834,5.9834,5.9834,201000,13.0000,0
2015-06-22,6.5817,6.5817,6.5817,6.5817,288000,14.3000,0
2015-06-23,7.2261,7.2261,7.2261,7.2261,147500,15.7000,0
2015-06-24,7.9165,7.9165,6.5357,6.5817,372900,14.3000,0
2015-06-25,6.8118,6.8579,6.2135,6.2135,210600,13.5000,2300000
2015-06-26,5.7072,5.9834,5.7072,5.7993,89200,12.6000,0
2015-06-29,5.2010,6.3056,5.2010,5.2470,239900,11.4000,0
2015-06-30,4.9248,5.1549,4.9248,5.0629,249800,11.0000,0
2015-07-01,5.0169,5.1089,4.9248,4.9248,177300,10.7000,0
2015-07-02,4.6026,5.1089,4.6026,5.0629,190700,11.0000,0
2015-07-03,4.9708,4.9708,4.8328,4.8788,205100,10.6000,0
2015-07-06,4.9248,4.9248,4.7407,4.8788,253400,10.6000,250000
2015-07-07,4.8328,5.0169,4.8328,4.9708,151500,10.8000,0
2015-07-08,4.9708,5.0168,4.7867,4.7867,190400,10.4000,257600
2015-07-09,4.8788,4.8788,4.4645,4.7407,172800,10.3000,0
2015-07-10,4.6026,4.7407,4.5106,4.5566,118800,9.9000,0
2015-07-13,4.6487,4.6947,4.5106,4.5566,126500,9.9000,0
2015-07-14,4.5106,4.5566,4.3265,4.5566,123900,9.9000,0
2015-07-15,4.3725,4.4645,4.2804,4.3725,133700,9.5000,0
2015-07-16,4.3725,4.4185,4.3725,4.3725,93800,9.5000,0
2015-07-17,4.3725,4.4646,4.3725,4.4645,94700,9.7000,0
2015-07-20,4.4185,4.4645,4.2804,4.2804,66600,9.3000,0
2015-07-21,4.3264,4.3264,4.2344,4.2344,73200,9.2000,0
2015-07-22,4.2804,4.3725,4.2344,4.3725,87400,9.5000,0
2015-07-23,4.2344,4.3265,4.2344,4.2344,75200,9.2000,0
2015-07-24,4.2344,4.2344,4.1423,4.1423,74500,9.0000,0
2015-07-27,4.1883,4.2804,4.1423,4.2344,67200,9.2000,0
2015-07-28,4.2344,4.3265,4.1423,4.1884,78200,9.1000,0
2015-07-29,4.1884,4.3265,4.1884,4.2344,69400,9.2000,0
