date,open,high,low,close,volume,unadjusted,putthrough
2014-09-23,7.9304,7.9304,7.9304,7.9304,12000,16.2000,0
2014-09-24,8.7136,8.7136,8.7136,8.7136,19500,17.8000,28000
2014-09-25,9.5458,9.5458,9.5458,9.5458,34500,19.5000,0
2014-09-26,10.4759,10.4759,10.4759,10.4759,14300,21.4000,0
2014-09-29,11.5039,11.5039,11.4550,11.4550,418200,23.4000,0
2014-09-30,12.5809,12.5809,12.5320,12.5809,456200,25.7000,0
2014-10-01,13.8047,13.8047,13.8047,13.8047,643400,28.2000,0
2014-10-02,12.4340,13.8047,12.4340,12.8257,770300,26.2000,0
2014-10-03,12.8257,12.9236,11.9935,12.2382,355900,25.0000,0
2014-10-06,12.2872,12.6788,12.0424,12.5319,284600,25.6000,0
2014-10-07,13.4130,13.4130,12.4340,12.5809,228200,25.7000,0
2014-10-08,11.3571,12.6788,11.3571,11.9445,145700,24.4000,0
2014-10-09,12.2382,12.3851,11.7487,11.8956,160200,24.3000,0
2014-10-10,12.1404,12.1404,11.5040,11.5039,246000,23.5000,0
2014-10-13,11.5529,12.6298,11.5039,12.6298,307300,25.8000,0
2014-10-14,12.6788,13.8536,12.6788,13.8537,718050,28.3000,60000
2014-10-15,14.1964,14.4411,13.9027,14.4411,265550,29.5000,0
2014-10-16,14.1963,14.1963,13.8047,13.9026,117000,28.4000,0
2014-10-17,13.8536,14.1963,13.6578,14.0495,386200,28.7000,0
2014-10-20,14.0495,14.1964,13.9026,14.0984,259500,28.8000,0
2014-10-21,14.1474,14.1963,13.9515,14.1963,186900,29.0000,0
2014-10-22,14.0984,15.1754,14.0984,14.5390,296400,29.7000,0
2014-10-23,13.1194,15.1264,13.1194,14.6369,284800,29.9000,0
2014-10-24,14.8327,16.0565,14.6369,14.8817,140900,30.4000,0
2014-10-27,14.7838,15.0286,14.7838,14.9796,211200,30.6000,0
2014-10-28,15.1754,15.3712,14.8817,15.1754,222400,31.0000,137600
2014-10-29,15.4202,15.6649,15.0775,15.6649,335700,32.0000,30000
2014-10-30,16.1544,16.8398,15.7139,16.8398,366700,34.4000,0
2014-10-31,16.6440,18.5042,15.5670,18.0147,954500,36.8000,0
2014-11-03,17.1335,18.1126,16.2524,16.5461,486600,33.8000,0
2014-11-04,16.4971,17.1335,15.9097,16.3013,234800,33.3000,0
2014-11-05,16.2523,16.4482,15.9586,16.4482,95800,33.6000,0
2014-11-06,16.3503,16.5951,16.3013,16.4482,128400,33.6000,0
2014-11-07,16.3992,16.5951,16.3013,16.4971,214700,33.7000,0
2014-11-10,16.3502,16.9377,16.2523,16.3992,245900,33.5000,25000
2014-11-11,16.3502,16.5950,16.3013,16.4482,298100,33.6000,0
2014-11-12,16.5461,16.6440,16.3013,16.5461,55900,33.8000,0
2014-11-13,16.5461,16.5461,16.3992,16.4482,78400,33.6000,0
2014-11-14,16.4972,16.4972,16.3992,16.4482,67500,33.6000,0
2014-11-17,16.5461,16.6440,16.4972,16.5461,84500,33.8000,0
2014-11-18,16.5951,16.8888,16.5461,16.6440,237600,34.0000,0
2014-11-19,16.6930,16.8888,16.6440,16.7908,195800,34.3000,0
2014-11-20,16.8398,17.1335,16.7908,16.9377,204500,34.6000,20000
2014-11-21,16.9867,17.1335,16.8887,16.9377,115100,34.6000,0
2014-11-24,17.0846,17.1335,16.9377,17.1335,100400,35.0000,0
2014-11-25,17.2314,17.3293,17.0845,17.1335,101100,35.0000,0
2014-11-26,17.2314,17.3293,17.0356,17.3293,490500,35.4000,0
2014-11-27,17.3783,18.1125,17.1335,17.6230,545800,36.0000,0
2014-11-28,17.6230,18.4552,17.4272,17.8678,448300,36.5000,0
2014-12-01,18.0636,18.6021,17.3783,17.6720,326700,36.1000,0
2014-12-02,17.6720,17.6720,16.8888,16.9377,276400,34.6000,0
2014-12-03,16.8887,17.0846,16.6929,16.8398,71600,34.4000,0
2014-12-04,16.7908,17.1335,16.6929,16.9377,147700,34.6000,0
2014-12-05,16.9867,17.1825,16.7908,16.8398,134200,34.4000,0
2014-12-08,17.1335,17.1335,16.3992,16.3992,84400,33.5000,0
2014-12-09,16.2523,16.2523,14.7838,15.0285,204300,30.7000,0
2014-12-10,15.1754,15.1754,14.7348,15.0285,182000,30.7000,0
2014-12-11,15.3222,15.3222,14.7348,14.9306,185600,30.5000,0
2014-12-12,14.8327,15.1264,14.1963,15.0775,119200,30.8000,0
2014-12-15,15.1754,15.4202,15.0775,15.1754,87800,31.0000,0
2014-12-16,15.5670,15.5670,15.1264,15.2243,41100,31.1000,0
2014-12-17,15.3222,15.3222,14.1963,14.9306,120100,30.5000,0
2014-12-18,14.8816,15.0775,14.5879,14.9796,67700,30.6000,0
2014-12-19,15.1754,15.4202,14.1964,14.9306,64800,30.5000,0
2014-12-22,14.9306,15.0285,14.3432,14.8817,83900,30.4000,0
2014-12-23,14.8327,14.8327,14.1964,14.7838,107300,30.2000,0
2014-12-24,14.6859,14.7348,13.3642,13.7558,339800,28.1000,0
2014-12-25,14.0985,14.1964,13.4621,13.8537,86200,28.3000,0
2014-12-26,13.8047,13.8047,12.4830,12.5809,133700,25.7000,30000
2014-12-29,12.6788,12.6788,11.6018,11.8466,175200,24.2000,278000
2014-12-30,12.4830,12.4830,11.3081,12.1403,102700,24.8000,0
2014-12-31,12.1403,13.3152,12.1403,13.0215,375700,26.6000,631900
2015-01-05,13.2173,13.3152,12.5809,12.9725,172500,26.5000,0
2015-01-06,12.8746,12.8746,12.2382,12.7277,328600,26.0000,0
2015-01-07,12.6787,13.7068,12.6298,12.8257,315000,26.2000,220000
2015-01-08,12.9726,13.2173,12.7278,12.8746,148000,26.3000,0
2015-01-09,12.4340,13.4620,12.3361,13.0215,311000,26.6000,0
2015-01-12,12.6788,13.7068,12.4830,12.8257,132000,26.2000,0
2015-01-13,11.5529,12.9726,11.5529,12.6788,170000,25.9000,0
2015-01-14,12.2382,13.0704,12.1893,12.6298,87800,25.8000,0
2015-01-15,12.7277,13.1193,12.6788,13.1194,80400,26.8000,0
2015-01-16,11.8466,14.1474,11.8466,13.4131,224400,27.4000,0
2015-01-19,12.0914,14.1963,12.0914,13.4620,108900,27.5000,0
2015-01-20,12.2382,13.7068,12.2382,13.4620,86200,27.5000,0
2015-01-21,12.7277,13.6089,12.7277,13.3641,46000,27.3000,0
2015-01-22,12.0424,13.4620,12.0424,13.3641,41600,27.3000,0
