date,open,high,low,close,volume,unadjusted,putthrough
2007-11-12,19.5476,19.5476,19.5476,19.5476,117300,80.0000,0
2007-11-13,20.5250,20.5250,20.5250,20.5250,19010,84.0000,0
2007-11-14,21.5024,21.5024,21.5024,21.5024,90660,88.0000,0
2007-11-15,22.4798,22.4798,21.5024,22.4798,301720,92.0000,0
2007-11-16,21.5024,21.9911,21.3802,21.3802,146200,87.5000,0
2007-11-19,20.5250,21.2580,20.4028,20.4028,90660,83.5000,0
2007-11-20,19.4254,20.2806,19.4254,19.6698,112490,80.5000,0
2007-11-21,18.9368,19.6698,18.8146,18.8146,131140,77.0000,0
2007-11-22,19.0589,19.6698,19.0589,19.5476,92390,80.0000,0
2007-11-23,19.5476,19.5476,19.1811,19.1811,30870,78.5000,0
2007-11-26,18.6924,19.5476,18.6924,19.1811,53080,78.5000,0
2007-11-27,19.3033,19.4254,19.0589,19.0589,49800,78.0000,0
2007-11-28,19.0589,19.1811,18.8146,18.9368,96320,77.5000,0
2007-11-29,19.3033,19.3033,19.0590,19.1811,55430,78.5000,0
2007-11-30,19.3033,19.3033,19.0589,19.0589,22870,78.0000,0
2007-12-03,19.0589,19.0589,18.8146,19.0589,33930,78.0000,0
2007-12-04,19.3032,19.3032,19.0589,19.0589,35750,78.0000,0
2007-12-05,18.4480,18.5702,18.4480,18.5703,69110,76.0000,0
2007-12-06,18.3260,18.4481,17.9594,17.9594,52190,73.5000,0
2007-12-07,17.8372,18.2037,17.5929,17.8372,55320,73.0000,0
2007-12-10,18.3259,18.3259,17.2263,17.2264,20550,70.5000,0
2007-12-11,17.1042,17.1042,16.3712,16.3711,57340,67.0000,0
2007-12-12,16.0046,17.1041,15.8824,16.3711,40290,67.0000,0
2007-12-13,16.3711,16.3711,15.8824,15.8825,25530,65.0000,0
2007-12-14,15.5160,15.7603,15.5160,15.5159,25450,63.5000,0
2007-12-17,15.3937,15.6381,14.7829,14.7829,29630,60.5000,0
2007-12-18,14.1720,14.4164,14.0499,14.4164,50720,59.0000,0
2007-12-19,15.0273,15.0273,15.0273,15.0272,27380,61.5000,0
2007-12-20,15.7602,15.7602,15.1494,15.1494,100380,62.0000,0
2007-12-21,15.6381,15.8824,15.3937,15.8825,48740,65.0000,0
2007-12-24,16.6155,16.6155,16.6155,16.6155,11030,68.0000,0
2007-12-25,17.3485,17.3485,17.3485,17.3485,10410,71.0000,0
2007-12-26,16.6155,17.8372,16.6155,17.3485,185620,71.0000,0
2007-12-27,17.1042,17.3485,16.7376,16.7377,39440,68.5000,0
2007-12-28,16.8599,16.8599,16.6155,16.7377,20050,68.5000,0
2008-01-02,16.6155,16.6155,16.1268,16.1268,30550,66.0000,0
2008-01-03,15.6381,15.7603,15.5159,15.6381,28170,64.0000,0
2008-01-04,15.8824,15.8824,15.6381,15.8825,28580,65.0000,0
2008-01-07,16.0047,16.0047,15.1495,15.6381,32660,64.0000,0
2008-01-08,15.8824,16.1268,15.1494,15.1494,41960,62.0000,0
2008-01-09,15.2716,15.5159,15.0272,15.1494,26280,62.0000,0
2008-01-10,15.2716,15.2716,14.6607,14.7829,60200,60.5000,0
2008-01-11,15.1494,15.2716,14.9051,14.9051,29530,61.0000,0
2008-01-14,14.9051,14.9051,14.2942,14.2942,30570,58.5000,0
2008-01-15,13.8055,13.9277,13.6833,13.6833,57450,56.0000,0
2008-01-16,14.2942,14.2942,14.2942,14.2942,27360,58.5000,0
2008-01-17,14.9051,14.9051,14.2942,14.4164,103660,59.0000,0
2008-01-18,14.2942,14.9051,14.2942,14.9051,45350,61.0000,0
2008-01-21,14.9051,14.9051,14.4164,14.6607,26400,60.0000,0
2008-01-22,14.1720,14.4164,14.1720,14.2942,53820,58.5000,0
2008-01-23,13.9277,14.0499,13.6833,13.8055,48690,56.5000,0
2008-01-24,14.1720,14.1720,13.3168,13.3168,44380,54.5000,0
2008-01-25,13.1946,13.5611,13.0725,13.5612,47980,55.5000,0
2008-01-28,13.4390,13.5612,13.3169,13.4390,37070,55.0000,0
2008-01-29,13.4390,14.0499,13.4390,14.0499,52680,57.5000,0
2008-01-30,14.6608,14.6608,14.4164,14.6607,111740,60.0000,0
2008-01-31,13.9277,14.1720,13.9277,14.1720,59490,58.0000,0
2008-02-01,14.5385,14.5385,14.1720,14.4164,69510,59.0000,0
2008-02-12,13.9277,14.1721,13.8055,13.8055,70590,56.5000,0
2008-02-13,13.3168,13.4390,13.3168,13.3168,63960,54.5000,0
2008-02-14,13.4390,13.9277,13.4390,13.5612,37420,55.5000,0
2008-02-15,13.5612,13.6834,13.1947,13.1947,39520,54.0000,0
2008-02-18,12.5838,12.7060,12.5838,12.5838,102230,51.5000,0
2008-02-19,12.2173,12.5838,12.0951,12.3394,43830,50.5000,0
2008-02-20,12.4616,12.4616,11.7285,11.7286,54950,48.0000,0
2008-02-21,11.1422,11.1422,11.1422,11.1422,21710,45.6000,0
2008-02-22,10.6046,10.6046,10.6046,10.6046,88530,43.4000,0
2008-02-25,10.7512,11.1177,10.7512,10.7512,107900,44.0000,0
2008-02-26,10.5069,10.5069,10.2136,10.2136,55640,41.8000,0
2008-02-27,9.7249,10.5068,9.7249,9.7249,61420,39.8000,0
2008-02-28,9.5294,9.5294,9.2606,9.2607,50860,37.9000,0
2008-02-29,8.8209,8.9431,8.8209,8.8209,59860,36.1000,0
2008-03-03,8.3811,8.3811,8.3811,8.3810,18510,34.3000,0
2008-03-04,8.3810,8.3810,7.9656,7.9657,510,32.6000,0
2008-03-05,7.5747,7.5747,7.5747,7.5747,6570,31.0000,0
2008-03-06,7.9412,7.9412,7.9412,7.9412,66280,32.5000,0
2008-03-07,8.3322,8.3322,8.3322,8.3322,3760,34.1000,0
2008-03-10,8.7476,8.7476,7.9168,7.9168,78110,32.4000,0
2008-03-11,7.5258,7.5258,7.5258,7.5258,48500,30.8000,0
2008-03-12,7.1593,7.7701,7.1593,7.1593,86020,29.3000,0
2008-03-13,7.3303,7.4281,7.0860,7.1593,40020,29.3000,0
2008-03-14,6.8905,7.2082,6.8905,7.2082,24980,29.5000,0
2008-03-17,6.9883,6.9883,6.8661,6.8661,54600,28.1000,0
2008-03-18,6.5240,6.5485,6.5240,6.5240,64780,26.7000,0
2008-03-19,6.4018,6.5973,6.2064,6.2064,84060,25.4000,0
2008-03-20,6.1087,6.1331,5.9132,5.9132,43950,24.2000,0
2008-03-21,5.9132,5.9132,5.6200,5.6199,46540,23.0000,0
2008-03-24,5.3511,5.3511,5.3511,5.3512,3650,21.9000,0
2008-03-25,5.1069,5.1069,5.1069,5.1068,2110,20.9000,0
2008-03-26,4.8625,5.1068,4.8625,4.8625,108740,19.9000,0
2008-03-27,4.8869,4.8869,4.8869,4.8869,21690,20.0000,0
2008-03-28,4.9358,4.9358,4.9358,4.9358,3510,20.2000,0
2008-03-31,4.9847,4.9847,4.9847,4.9846,8760,20.4000,0
2008-04-01,5.0335,5.0335,5.0335,5.0335,7310,20.6000,0
2008-04-02,5.0824,5.0824,5.0824,5.0824,4000,20.8000,0
2008-04-03,5.1313,5.1313,5.1313,5.1313,1000,21.0000,0
2008-04-04,5.1802,5.1802,5.1802,5.1801,610,21.2000,0
2008-04-07,5.2778,5.2778,5.2778,5.2779,8010,21.6000,0
2008-04-08,5.3756,5.3756,5.1802,5.1801,111060,21.2000,0
2008-04-09,5.2290,5.2290,5.0824,5.0824,42780,20.8000,0
2008-04-10,4.9847,4.9847,4.9847,4.9846,11200,20.4000,0
2008-04-11,4.8869,4.8869,4.8869,4.8869,1790,20.0000,0
2008-04-16,4.7892,4.7892,4.7892,4.7892,3940,19.6000,0
2008-04-17,4.7159,4.8625,4.7159,4.8625,31760,19.9000,0
2008-04-18,4.7892,4.7892,4.7892,4.7892,20360,19.6000,0
2008-04-21,4.7159,4.7159,4.7159,4.7159,1360,19.3000,0
2008-04-22,4.6426,4.6426,4.6426,4.6426,1300,19.0000,0
2008-04-23,4.5693,4.5693,4.5693,4.5693,730,18.7000,0
2008-04-24,4.4960,4.4960,4.4960,4.4960,1260,18.4000,0
2008-04-25,4.4227,4.4227,4.4227,4.4227,28760,18.1000,0
2008-04-28,4.3494,4.4716,4.3494,4.3493,69380,17.8000,0
2008-04-29,4.3982,4.4226,4.2760,4.2760,52420,17.5000,0
2008-05-05,4.2027,4.2271,4.2027,4.2027,10520,17.2000,0
2008-05-06,4.1294,4.1294,4.1294,4.1294,370,16.9000,0
2008-05-07,4.0561,4.0561,4.0561,4.0561,220,16.6000,0
2008-05-08,4.0317,4.0317,3.9828,3.9828,410,16.3000,0
2008-05-09,3.9095,3.9095,3.9095,3.9095,3950,16.0000,0
2008-05-12,3.8362,3.8362,3.8362,3.8362,1040,15.7000,0
2008-05-13,3.7629,3.7629,3.7629,3.7629,1740,15.4000,0
2008-05-14,3.7629,3.7629,3.6896,3.6896,1530,15.1000,0
2008-05-15,3.6163,3.6163,3.6163,3.6163,3230,14.8000,0
2008-05-16,3.5674,3.5674,3.5674,3.5674,16720,14.6000,0
2008-05-19,3.5185,3.5185,3.5185,3.5186,750,14.4000,0
2008-05-20,3.4697,3.4697,3.4697,3.4697,1970,14.2000,0
2008-05-21,3.4208,3.4208,3.4208,3.4208,500,14.0000,0
2008-05-22,3.3719,3.3719,3.3719,3.3720,880,13.8000,0
2008-05-23,3.3720,3.3720,3.3231,3.3231,1120,13.6000,0
2008-05-26,3.2742,3.2742,3.2742,3.2742,1450,13.4000,0
2008-05-30,3.2253,3.2253,3.2253,3.2254,38070,13.2000,0
2008-06-02,3.1765,3.1765,3.1765,3.1765,32480,13.0000,0
2008-06-03,3.1276,3.1276,3.1276,3.1276,42540,12.8000,0
2008-06-04,3.0722,3.0722,3.0722,3.0721,1580,11.1000,0
2008-06-05,3.0167,3.0167,3.0167,3.0168,7120,10.9000,0
2008-06-06,3.0168,3.0168,2.9614,2.9614,8330,10.7000,0
2008-06-09,2.9060,2.9060,2.9060,2.9061,8530,10.5000,0
2008-06-10,2.8507,2.8507,2.8507,2.8507,6770,10.3000,0
2008-06-11,2.7953,2.9061,2.7953,2.9061,53010,10.5000,0
2008-06-12,2.9615,2.9615,2.9338,2.9614,44390,10.7000,0
2008-06-13,3.0168,3.0168,3.0168,3.0168,640,10.9000,0
2008-06-16,3.0722,3.0722,3.0722,3.0721,10000,11.1000,0
2008-06-17,3.1275,3.1275,3.1275,3.1275,6100,11.3000,0
2008-06-18,3.1829,3.1829,3.0721,3.0721,104100,11.1000,0
2008-06-19,2.9891,2.9891,2.9891,2.9891,23510,10.8000,0
2008-06-20,2.9061,3.0721,2.9061,3.0445,36460,11.0000,30000
2008-06-23,3.1275,3.1275,3.0445,3.1275,43170,11.3000,0
2008-06-24,3.2105,3.2105,3.2105,3.2105,17660,11.6000,0
2008-06-25,3.2935,3.2935,3.2935,3.2936,12660,11.9000,0
2008-06-26,3.3766,3.3766,3.2106,3.2105,60830,11.6000,0
2008-06-27,3.2935,3.2935,3.1275,3.2936,35950,11.9000,0
2008-06-30,3.2936,3.3766,3.2382,3.3766,19550,12.2000,0
2008-07-01,3.4596,3.4596,3.4596,3.4596,32090,12.5000,0
2008-07-02,3.5426,3.5426,3.5426,3.5427,24070,12.8000,0
2008-07-03,3.6257,3.6257,3.6257,3.6257,3710,13.1000,0
2008-07-04,3.7087,3.7087,3.7087,3.7087,19560,13.4000,0
2008-07-07,3.8194,3.8194,3.5980,3.5980,86440,13.0000,0
2008-07-08,3.5150,3.5150,3.5150,3.5150,48970,12.7000,0
2008-07-09,3.5980,3.5980,3.5150,3.5980,59890,13.0000,0
2008-07-10,3.6810,3.6810,3.5980,3.6810,65820,13.3000,0
2008-07-11,3.7640,3.7640,3.7640,3.7641,12390,13.6000,0
2008-07-14,3.8748,3.8748,3.8748,3.8748,5160,14.0000,0
2008-07-15,3.9855,3.9855,3.9855,3.9855,5710,14.4000,0
2008-07-16,4.0962,4.0962,3.8748,4.0962,132430,14.8000,0
2008-07-17,4.2069,4.2069,4.2069,4.2069,23010,15.2000,0
2008-07-18,4.0962,4.2346,4.0962,4.1516,58370,15.0000,0
2008-07-21,4.0409,4.0409,4.0409,4.0408,5920,14.6000,0
2008-07-22,3.9301,3.9301,3.9301,3.9301,310,14.2000,0
2008-07-23,3.9301,3.9301,3.8194,3.8194,220,13.8000,0
2008-07-24,3.7087,3.7087,3.7087,3.7087,3910,13.4000,0
2008-07-25,3.5980,3.5980,3.5980,3.5980,1950,13.0000,0
2008-07-28,3.5150,3.6810,3.5150,3.5980,67930,13.0000,0
2008-07-29,3.6534,3.6810,3.6534,3.6810,52700,13.3000,0
2008-07-30,3.6810,3.6810,3.5980,3.5980,21960,13.0000,0
2008-07-31,3.5150,3.5150,3.5150,3.5150,8580,12.7000,0
2008-08-01,3.4596,3.4596,3.4320,3.4319,1250,12.4000,0
2008-08-04,3.3489,3.3489,3.3489,3.3489,2210,12.1000,0
2008-08-05,3.2659,3.2659,3.2659,3.2659,8600,11.8000,0
2008-08-06,3.1829,3.3213,3.1829,3.1829,59980,11.5000,0
2008-08-07,3.2659,3.2659,3.1275,3.1275,40240,11.3000,0
2008-08-08,3.2105,3.2105,3.1275,3.2105,27690,11.6000,0
