date,open,high,low,close,volume,unadjusted,putthrough
2011-01-28,33.8951,33.8951,30.0965,31.2653,74870,53.5000,0
2011-02-08,30.6809,32.1419,30.6809,31.5575,16600,54.0000,0
2011-02-09,30.9731,31.5575,30.9731,31.5575,630,54.0000,0
2011-02-10,30.9731,32.7263,30.9731,32.7263,8950,56.0000,0
2011-02-11,31.2653,31.2653,31.2653,31.2653,1500,53.5000,0
2011-02-14,31.2653,31.2653,31.2653,31.2653,1000,53.5000,0
2011-02-15,29.8043,30.0965,29.8043,30.0965,1100,51.5000,0
2011-02-16,31.5575,31.5575,28.9277,30.0965,3910,51.5000,0
2011-02-17,30.0965,30.0965,30.0965,30.0965,3000,51.5000,0
2011-02-18,31.5575,31.5575,29.5121,29.5121,3100,50.5000,0
2011-02-21,28.0511,29.2199,28.0511,28.2265,2300,48.3000,0
2011-02-22,26.8824,27.1746,26.8824,26.9992,16650,46.2000,0
2011-02-23,26.2979,27.1745,26.2979,27.1745,700,46.5000,0
2011-02-24,26.8823,27.0576,26.8823,27.0577,1150,46.3000,0
2011-02-25,27.3499,27.3499,27.3499,27.3499,530,46.8000,0
2011-02-28,28.6356,28.6940,27.8174,28.3433,2400,48.5000,0
2011-03-01,27.4083,27.4083,27.4083,27.4083,100,46.9000,65000
2011-03-02,26.1226,26.8823,26.1226,26.7070,2690,45.7000,0
2011-03-03,25.7720,25.7720,25.7720,25.7720,300,44.1000,0
2011-03-04,25.7720,25.7720,25.7720,25.7720,100,44.1000,0
2011-03-07,25.9473,25.9473,25.9473,25.9473,560,44.4000,76310
2011-03-08,26.2979,27.2330,26.0057,26.0057,2140,44.5000,0
2011-03-09,27.2914,27.2914,25.7135,25.8889,5160,44.3000,0
2011-03-10,27.1746,27.1746,25.4214,27.1745,2190,46.5000,0
2011-03-11,27.1745,27.1745,27.1745,27.1745,730,46.5000,0
2011-03-14,26.8823,28.0511,26.0057,26.0642,1430,44.6000,0
2011-03-15,27.3499,27.3499,25.7136,25.7135,3050,44.0000,0
2011-03-16,25.2460,26.2979,25.2460,25.3045,320,43.3000,0
2011-03-17,24.9539,26.2980,24.9539,25.0123,50,42.8000,0
2011-03-18,25.1292,25.7136,25.0123,25.7135,1230,44.0000,0
2011-03-21,25.3044,26.9992,25.3044,26.9992,430,46.2000,0
