date,open,high,low,close,volume,unadjusted,putthrough
2007-12-17,5.5448,6.7896,4.7527,4.7810,48400,84.5000,0
2007-12-18,4.8546,4.8546,4.8546,4.8545,2000,85.8000,0
2007-12-19,4.3736,4.9790,4.3736,4.8093,40900,85.0000,0
2007-12-20,4.8659,4.8659,4.7527,4.8093,4000,85.0000,22000
2007-12-21,4.8376,4.8376,4.5717,4.5830,6300,81.0000,0
2007-12-24,4.7527,4.7527,4.3623,4.4415,7800,78.5000,0
2007-12-25,4.5264,4.5264,4.4698,4.4981,21600,79.5000,0
2007-12-26,4.5264,4.5264,4.4698,4.4698,20300,79.0000,0
2007-12-27,4.5264,4.5264,4.3680,4.3680,12900,77.2000,0
2007-12-28,4.3906,4.4698,4.3850,4.4132,9800,78.0000,0
2008-01-02,4.4698,4.4981,4.4698,4.4981,1300,79.5000,0
2008-01-03,4.3001,4.3001,4.2435,4.2718,9800,75.5000,0
2008-01-04,4.0851,4.1417,3.8418,3.8418,16400,67.9000,0
2008-01-07,3.6325,3.6325,3.5928,3.6211,24400,64.0000,0
2008-01-08,3.6777,3.9832,3.6211,3.9323,19600,69.5000,0
2008-01-09,4.0341,4.0455,3.6268,3.6268,17300,64.1000,0
2008-01-10,3.9550,3.9550,3.6494,3.7343,13100,66.0000,0
2008-01-11,3.7909,3.8475,3.7400,3.7908,22900,67.0000,0
2008-01-14,3.8078,3.8191,3.5475,3.6777,26700,65.0000,0
2008-01-15,3.5645,3.5645,3.3382,3.3948,8800,60.0000,0
2008-01-16,3.6211,3.7739,3.6211,3.7739,33300,66.7000,0
2008-01-17,3.9606,3.9606,3.6777,3.8191,19200,67.5000,0
2008-01-18,3.6777,3.8474,3.6777,3.7343,3800,66.0000,0
2008-01-21,3.7060,3.7343,3.5419,3.7060,12400,65.5000,0
2008-01-22,3.5080,3.5645,3.4514,3.5645,15500,63.0000,0
2008-01-23,3.5079,3.5079,3.3948,3.4514,14700,61.0000,0
2008-01-24,3.5646,3.5929,3.4005,3.4231,11600,60.5000,0
2008-01-25,3.5080,3.5928,3.5080,3.5872,16900,63.4000,0
