date,open,high,low,close,volume,unadjusted,putthrough
2009-06-25,12.7405,13.7735,12.1207,12.1207,32543,17.6000,0
2009-06-26,11.1566,11.1566,11.1566,11.1565,15566,16.2000,0
2009-06-29,10.0546,10.1235,10.0546,10.0547,13260,14.6000,0
2009-06-30,10.1236,10.3302,9.0906,9.0905,160,13.2000,0
2009-07-01,8.9528,8.9528,8.9528,8.9528,222160,13.0000,0
2009-07-02,8.0575,9.6415,8.0575,8.0575,66410,11.7000,0
2009-07-03,8.6084,9.1594,8.6084,9.1594,21440,13.3000,0
2009-07-06,9.6415,9.6415,9.2971,9.5037,66680,13.8000,0
2009-07-07,9.5726,10.3990,8.6773,8.6773,21036,12.6000,0
2009-07-08,8.2641,8.8839,8.2641,8.5396,19500,12.4000,0
2009-07-09,8.4019,8.9528,8.2641,8.6084,21776,12.5000,0
2009-07-10,8.6084,8.6773,8.6084,8.6084,9600,12.5000,0
2009-07-13,7.9197,7.9197,7.9197,7.9198,8600,11.5000,0
2009-07-14,8.2641,8.4019,8.2641,8.4018,4500,12.2000,0
2009-07-15,8.2641,8.4018,8.2641,8.4018,5600,12.2000,0
2009-07-16,8.5395,8.5395,8.2641,8.2641,8500,12.0000,0
2009-07-17,9.1594,9.1594,8.2641,8.3330,9710,12.1000,0
2009-07-20,7.9198,8.2641,7.7132,7.7132,14650,11.2000,0
2009-07-21,7.0245,8.1264,7.0245,7.7820,12100,11.3000,0
2009-07-22,7.9197,7.9197,7.9197,7.9198,8200,11.5000,0
2009-07-23,8.2641,8.6773,7.5755,8.6773,11650,12.6000,0
2009-07-24,9.0905,9.0905,8.5396,8.5396,23800,12.4000,0
2009-07-27,9.8481,9.8481,8.7462,8.7462,17600,12.7000,0
2009-07-28,8.8839,8.8839,8.6085,8.6084,2150,12.5000,0
2009-07-29,7.9197,8.2641,7.9197,8.1264,4600,11.8000,0
2009-07-30,8.1264,8.2641,8.1264,8.1264,1900,11.8000,0
2009-07-31,8.1264,8.2641,8.1264,8.1952,10190,11.9000,0
2009-08-03,7.9197,8.4018,7.9197,7.9198,11000,11.5000,0
2009-08-04,7.9887,8.5396,7.9198,7.9198,16125,11.5000,0
2009-08-05,8.2641,8.2641,7.4377,7.9886,21010,11.6000,0
2009-08-06,8.2641,8.4707,7.9197,7.9198,6800,11.5000,0
2009-08-07,7.7821,8.1264,7.5755,8.1264,10000,11.8000,0
2009-08-10,7.9198,8.2641,7.9198,8.1264,5630,11.8000,0
2009-08-11,8.1953,8.2641,8.1953,8.2641,10540,12.0000,0
2009-08-12,7.9886,8.2641,7.9198,7.9886,4596,11.6000,0
2009-08-13,8.2641,8.2641,7.7820,8.1264,48090,11.8000,0
2009-08-14,7.9198,8.1953,7.7821,7.9886,40010,11.6000,0
2009-08-17,7.9197,8.1263,7.9197,8.1264,56500,11.8000,0
2009-08-18,7.9887,8.1264,7.9887,7.9886,35400,11.6000,0
2009-08-19,7.9197,8.1263,7.9197,7.9886,35400,11.6000,0
2009-08-20,8.0575,8.7461,7.9886,8.7462,126750,12.7000,0
2009-08-21,8.9528,8.9528,8.4019,8.9528,55300,13.0000,0
2009-08-24,9.7103,9.7103,8.0575,9.4349,65980,13.7000,0
