date,open,high,low,close,volume,unadjusted,putthrough
2018-07-02,20.4610,24.9624,20.4610,21.2794,1814600,26.0000,0
2018-07-03,22.0978,22.0978,18.4967,18.9060,255100,23.1000,0
2018-07-04,19.8881,20.0518,19.6426,20.0518,143600,24.5000,0
2018-07-05,19.7244,20.0518,19.5607,19.7244,381500,24.1000,0
2018-07-06,19.5607,19.7244,18.8241,19.6425,107400,24.0000,0
2018-07-09,20.0517,20.4609,19.6425,19.6425,106500,24.0000,0
2018-07-10,19.6425,19.6425,19.0696,19.1515,13100,23.4000,0
2018-07-11,18.9878,18.9878,18.4967,18.8241,307000,23.0000,0
2018-07-12,18.9059,18.9059,18.5786,18.5786,22700,22.7000,0
2018-07-13,19.5607,19.5607,18.0057,18.7423,139300,22.9000,10000
2018-07-16,18.8241,18.8241,17.1873,17.7601,137200,21.7000,0
2018-07-17,17.8419,19.5607,17.8419,18.8241,44300,23.0000,10000
2018-07-18,18.8241,18.8241,18.4149,18.4149,140800,22.5000,0
2018-07-19,18.4967,18.6604,18.4149,18.6604,96700,22.8000,0
2018-07-20,18.4149,18.4149,18.4149,18.4149,5500,22.5000,0
2018-07-23,18.7423,18.9878,18.4967,18.7423,321800,22.9000,150000
2018-07-24,18.8241,18.9060,18.7423,18.7423,285600,22.9000,0
2018-07-25,18.7423,18.7423,18.6605,18.6604,78000,22.8000,0
2018-07-26,18.6604,18.8241,18.5786,18.8241,263600,23.0000,55000
2018-07-27,18.8241,18.8241,18.4149,18.4967,217000,22.6000,0
2018-07-30,18.5785,18.6604,18.2512,18.3330,203600,22.4000,0
2018-07-31,15.8777,18.7422,15.8777,18.6604,422500,22.8000,0
2018-08-01,18.7422,19.2333,18.7422,18.8241,1017700,23.0000,0
2018-08-02,18.8241,18.9878,18.7423,18.8241,780800,23.0000,0
2018-08-03,18.9059,19.6425,18.9059,18.9060,819100,23.1000,0
2018-08-06,18.9060,19.4789,18.6605,19.4789,1593800,23.8000,0
2018-08-07,19.2334,20.7066,19.2334,20.5428,1088600,25.1000,0
2018-08-08,20.3765,21.7072,20.2933,21.5155,1977800,25.9000,0
2018-08-09,21.4324,21.4324,20.6848,21.1833,813800,25.5000,0
2018-08-10,21.0172,21.0172,20.5187,20.8510,160600,25.1000,0
2018-08-13,21.5156,21.5986,21.1833,21.4325,1002100,25.8000,0
2018-08-14,19.8541,23.2601,19.8541,23.2601,1428600,28.0000,0
2018-08-15,22.6786,24.9215,22.4294,24.0908,1715000,29.0000,0
2018-08-16,24.0908,25.1707,23.8416,24.8384,2229200,29.9000,0
2018-08-17,24.8384,25.6691,24.8384,25.6691,1668900,30.9000,0
2018-08-20,25.7522,25.7522,24.7553,24.9215,1408699,30.0000,0
2018-08-21,25.0876,25.0876,23.2601,24.6723,1126440,29.7000,0
2018-08-22,24.5062,25.1707,24.5062,24.5892,598450,29.6000,0
2018-08-23,24.5061,25.0876,24.4231,25.0876,818760,30.2000,0
2018-08-24,24.8384,25.0045,24.5892,25.0046,290200,30.1000,0
2018-08-27,24.6723,25.0046,24.3400,24.5061,294000,29.5000,0
2018-08-28,24.5061,24.5061,23.6754,24.0077,1014795,28.9000,0
2018-08-29,24.0077,24.0077,23.2601,23.5093,416250,28.3000,0
2018-08-30,23.2601,24.9215,23.2601,24.8384,625821,29.9000,0
2018-08-31,24.8384,25.0045,24.5892,24.6723,284200,29.7000,0
2018-09-04,24.7554,24.9215,24.5062,24.8384,612425,29.9000,0
2018-09-05,24.5061,24.7553,24.2569,24.5061,336320,29.5000,0
2018-09-06,24.3400,24.5892,24.2569,24.5892,115100,29.6000,0
2018-09-07,24.4231,25.0046,24.4231,24.4231,450300,29.4000,200000
2018-09-10,24.5892,24.5892,24.4231,24.5061,103800,29.5000,500000
2018-09-11,24.5892,24.9215,24.3400,24.6723,279800,29.7000,0
2018-09-12,24.6723,24.8384,24.3400,24.5061,136400,29.5000,50000
2018-09-13,24.4230,24.5061,24.1738,24.5061,356651,29.5000,825000
2018-09-14,24.5061,24.7553,24.2569,24.5061,228700,29.5000,0
2018-09-17,24.3400,24.5061,23.9246,24.0908,224740,29.0000,0
2018-09-18,23.9247,24.2569,23.8416,24.2569,220600,29.2000,1000400
2018-09-19,24.2569,24.8384,24.2569,24.8384,574270,29.9000,0
2018-09-20,24.8384,26.0014,24.8384,25.8353,1265400,31.1000,0
2018-09-21,26.1676,27.9121,25.7522,27.8290,2509960,33.5000,645000
2018-09-24,27.8290,28.6597,27.4136,28.6597,468835,34.5000,0
2018-09-25,27.9951,29.9058,27.8290,29.4904,1043300,35.5000,0
2018-09-26,29.4904,29.8227,28.9089,29.4074,898480,35.4000,276600
2018-09-27,29.2413,29.4905,28.0783,28.7428,525650,34.6000,0
2018-09-28,28.6597,28.6597,27.9952,28.3274,719400,34.1000,500000
2018-10-01,28.3274,28.3274,27.2475,27.4136,512315,33.0000,0
2018-10-02,26.9982,27.7459,26.4998,27.6628,433020,33.3000,0
2018-10-03,27.4967,29.6565,27.4967,29.4074,1245530,35.4000,700000
2018-10-04,29.0751,30.3212,29.0751,29.8227,665970,35.9000,1600
2018-10-05,29.8227,29.8227,28.7428,29.0751,268300,35.0000,2900
2018-10-08,28.3275,28.9920,28.0782,28.4105,281960,34.2000,0
2018-10-09,28.5766,29.9058,28.2444,28.9920,155330,34.9000,0
2018-10-10,29.0751,29.4074,28.8259,29.3243,228220,35.3000,0
2018-10-11,28.6597,28.6597,27.3306,27.4136,953830,33.0000,0
2018-10-12,26.9982,29.3242,26.8321,29.3243,1000600,35.3000,500000
2018-10-15,29.0751,29.3243,28.2444,28.4105,102420,34.2000,0
2018-10-16,28.5766,28.9920,28.5766,28.9920,202500,34.9000,0
2018-10-17,28.9920,29.0751,28.5766,28.5766,290700,34.4000,200000
2018-10-18,28.4935,28.4935,27.6628,28.2443,456000,34.0000,50000
2018-10-19,28.0782,29.0750,27.6628,28.2443,166000,34.0000,650000
2018-10-22,27.9951,28.9919,27.9951,28.7428,302600,34.6000,0
