date,open,high,low,close,volume,unadjusted,putthrough
2016-03-10,41.8101,41.8101,41.8101,41.8101,9000,56.0000,0
2016-03-11,48.0816,48.0816,48.0816,48.0816,17790,64.4000,0
2016-03-14,55.2490,55.2490,52.2626,55.2491,218020,74.0000,300
2016-03-15,62.8645,62.8645,56.3690,58.2355,82250,78.0000,19150
2016-03-16,58.9821,58.9821,54.5025,55.9957,155152,75.0000,2660
2016-03-17,55.9210,56.7423,53.0093,53.0092,94359,71.0000,0
2016-03-18,53.0092,53.0092,49.4255,51.1427,73260,68.5000,7130
2016-03-21,50.7694,54.5024,49.8735,52.6359,103290,70.5000,3020
2016-03-22,52.2626,53.3825,51.5160,53.0092,98727,71.0000,150
2016-03-23,52.2626,52.8599,52.2626,52.4866,100651,70.3000,0
2016-03-24,54.5923,54.5923,53.0325,54.1256,69440,69.4000,0
2016-03-25,54.5935,54.5935,53.0337,53.5017,45923,68.6000,80
2016-03-28,53.0338,53.5017,52.2538,52.2538,77823,67.0000,0
2016-03-29,53.0337,53.8136,51.7079,52.1758,43211,66.9000,0
2016-03-30,52.2538,52.2538,49.5241,49.6021,84819,63.6000,60
2016-03-31,50.3040,50.3040,49.5241,49.6801,110150,63.7000,0
2016-04-01,49.1342,49.8361,48.3543,49.4462,71050,63.4000,170
2016-04-04,48.9003,52.2539,48.9003,50.0701,57689,64.2000,60
2016-04-05,50.5380,50.9280,50.0701,50.7720,31122,65.1000,0
2016-04-06,50.3041,50.6940,49.0562,49.6021,56371,63.6000,10
2016-04-07,49.5241,49.5241,48.1983,48.7442,28410,62.5000,0
2016-04-08,48.3542,48.9002,47.1844,48.9002,124889,62.7000,60
2016-04-11,48.3543,49.1342,48.0423,48.6662,47470,62.4000,0
2016-04-12,48.3542,49.4461,48.3542,48.3543,75930,62.0000,0
2016-04-13,48.6663,48.7443,48.1983,48.1983,60270,61.8000,0
2016-04-14,48.0423,48.8222,47.9643,48.8222,30401,62.6000,60
2016-04-15,48.4322,51.4739,48.4322,49.7581,138171,63.8000,0
2016-04-19,49.9141,49.9141,48.7442,48.7442,33041,62.5000,0
2016-04-20,48.5882,49.1342,48.4322,48.4323,20101,62.1000,0
2016-04-21,48.3543,50.6940,48.3543,48.9782,34844,62.8000,30
2016-04-22,48.7442,49.5241,48.7442,49.4462,24260,63.4000,0
2016-04-25,49.2122,49.2122,48.6663,48.6662,20901,62.4000,0
2016-04-26,48.9002,48.9782,47.9643,48.3543,62050,62.0000,0
2016-04-27,47.9643,48.5103,47.5744,47.7304,28100,61.2000,90
2016-04-28,47.5744,48.0424,47.0285,47.9643,45510,61.5000,0
2016-04-29,47.5743,47.5743,47.1844,47.4964,8530,60.9000,0
2016-05-04,47.5744,47.5744,46.9505,46.9504,8450,60.2000,0
2016-05-05,46.7944,47.2624,46.0145,46.0146,43899,59.0000,0
2016-05-06,45.6246,46.7165,45.2347,45.3906,86507,58.2000,120
2016-05-09,44.8447,45.5466,44.4547,45.5466,39300,58.4000,230
2016-05-10,44.5327,46.0145,44.0648,45.7026,131600,58.6000,0
2016-05-11,45.7026,47.0284,45.6246,47.0284,78470,60.3000,120
2016-05-12,47.5743,50.3040,47.2624,49.6021,174541,63.6000,0
2016-05-13,49.3681,50.6160,49.3681,49.8361,189202,63.9000,90
2016-05-16,49.3682,49.3682,42.5050,47.8083,273318,61.3000,0
2016-05-17,47.2624,50.2260,47.2624,49.9141,152370,64.0000,40
2016-05-18,50.2261,50.2261,48.7442,48.7442,36520,62.5000,320
2016-05-19,48.3542,49.1342,48.3542,48.8222,23748,62.6000,90
2016-05-20,48.5102,49.1342,48.4322,48.7442,14952,62.5000,0
2016-05-23,48.7442,48.9002,48.5102,48.5103,50157,62.2000,110
2016-05-24,48.6663,48.7443,47.5744,47.5744,18988,61.0000,30
2016-05-25,47.8084,47.9644,47.1844,47.8863,27200,61.4000,0
2016-05-26,47.9643,47.9643,47.4963,47.8863,37600,61.4000,0
2016-05-27,47.6523,47.6523,47.2624,47.2624,3420,60.6000,90
2016-05-30,47.1844,47.5744,47.1844,47.4964,14091,60.9000,0
2016-05-31,47.4184,47.4184,47.1844,47.1844,14200,60.5000,0
2016-06-01,47.3404,47.3404,47.1064,47.3404,14954,60.7000,0
2016-06-02,47.1844,47.3404,46.9504,47.1844,60394,60.5000,42
2016-06-03,47.5744,48.5102,47.2624,47.9643,36650,61.5000,100
2016-06-06,47.9643,48.0423,47.6523,47.8863,25360,61.4000,30
2016-06-07,47.5743,47.8863,47.5743,47.5744,26200,61.0000,0
2016-06-08,47.4964,49.1342,47.4964,49.1342,65940,63.0000,0
2016-06-09,49.1342,49.9141,48.7442,49.7581,228900,63.8000,230
2016-06-10,49.2902,51.4739,49.2902,50.8500,218162,65.2000,440
2016-06-13,50.7720,50.7720,50.2261,50.5380,57209,64.8000,20
2016-06-14,49.9141,50.6160,49.7581,50.6160,32592,64.9000,50
2016-06-15,50.5380,51.4739,50.2260,51.0060,67175,65.4000,0
2016-06-16,51.0840,53.0338,51.0840,52.6438,103531,67.5000,90
2016-06-17,52.7218,53.5017,52.3318,53.0337,171780,68.0000,90
2016-06-20,52.9557,53.1897,52.4878,53.1897,89451,68.2000,0
2016-06-21,53.4237,53.9696,53.0337,53.5017,61520,68.6000,0
2016-06-22,53.2677,53.7357,52.6438,53.1117,70590,68.1000,90
2016-06-23,53.0337,53.3457,52.8777,53.0337,48291,68.0000,0
2016-06-24,52.6437,52.8777,47.5743,50.4600,252500,64.7000,1000
2016-06-27,49.9141,49.9141,49.1342,49.9141,30150,64.0000,50
2016-06-28,49.9141,49.9141,48.9002,49.9141,21790,64.0000,0
2016-06-29,50.1481,51.3959,50.0701,51.0060,34820,65.4000,0
2016-06-30,51.4739,51.4739,50.6940,50.7720,16850,65.1000,0
2016-07-01,50.8500,50.8500,50.3041,50.3041,28301,64.5000,0
2016-07-04,50.5381,50.6941,50.3041,50.4600,60950,64.7000,0
2016-07-05,50.6940,50.6940,50.1480,50.1481,67341,64.3000,0
2016-07-06,49.9141,50.2261,49.1342,50.2261,34130,64.4000,0
2016-07-07,49.2122,49.9141,49.1342,49.7581,31860,63.8000,0
2016-07-08,49.5241,49.5241,49.2122,49.5241,23909,63.5000,0
2016-07-11,49.5241,49.5241,49.1341,49.2122,33330,63.1000,0
2016-07-12,48.8222,49.2902,48.3543,48.5103,24454,62.2000,0
2016-07-13,48.8223,49.1342,48.7443,48.9002,20400,62.7000,0
2016-07-14,49.1342,49.1342,48.3543,48.3543,13520,62.0000,0
2016-07-15,48.0423,48.9782,48.0423,48.7442,26740,62.5000,0
2016-07-18,48.6662,49.1342,48.6662,48.7442,9635,62.5000,350
2016-07-19,48.8222,49.2121,48.6662,48.8222,16610,62.6000,0
2016-07-20,47.8083,48.9002,47.8083,48.9002,9660,62.7000,0
2016-07-21,49.1342,49.1342,48.3543,48.5103,3900,62.2000,0
2016-07-22,48.1203,48.1983,47.2624,48.1203,21200,61.7000,0
2016-07-25,47.5744,48.3543,47.5744,47.9643,7020,61.5000,0
2016-07-26,47.9643,48.3543,47.5743,48.0423,15800,61.6000,0
2016-07-27,48.7442,48.8222,48.3543,48.7442,13540,62.5000,0
2016-07-28,48.9782,49.1342,48.3542,48.3543,54450,62.0000,0
2016-07-29,48.3543,49.0562,48.1983,49.0562,30920,62.9000,0
2016-08-01,48.9782,48.9782,48.3543,48.7442,9671,62.5000,0
2016-08-02,48.7442,48.7442,47.8083,48.4323,56830,62.1000,0
2016-08-03,48.5883,48.7443,47.1065,48.1983,109509,61.8000,0
2016-08-04,48.1203,48.1203,47.4964,47.9643,16613,61.5000,0
2016-08-05,46.7944,47.5743,46.7944,47.5744,17220,61.0000,0
2016-08-08,46.8725,47.1844,46.7945,47.1844,8900,60.5000,0
2016-08-09,47.1844,48.0423,47.1844,47.5744,1310,61.0000,0
2016-08-10,47.1844,47.9644,46.7945,47.9643,7130,61.5000,0
2016-08-11,47.1844,47.5743,42.8949,47.1844,163200,60.5000,0
2016-08-12,46.7944,47.2624,46.7944,47.2624,3410,60.6000,0
2016-08-15,46.7945,47.5744,46.0145,46.5605,38900,59.7000,0
2016-08-16,46.5605,47.3404,46.5605,46.5605,19720,59.7000,0
2016-08-17,47.0284,47.0284,46.4825,46.9504,42210,60.2000,0
2016-08-18,46.0925,46.7944,45.8585,46.4045,38762,59.5000,0
2016-08-19,46.2485,46.7945,46.2485,46.4825,10320,59.6000,0
2016-08-22,46.3265,46.4045,45.7806,46.2485,110705,59.3000,0
