date,open,high,low,close,volume,unadjusted,putthrough
2007-12-24,8.5477,8.5477,7.2234,7.4642,143660,62.0000,0
2007-12-25,7.4642,7.5846,7.4642,7.4642,75990,62.0000,0
2007-12-26,7.3438,7.4642,7.2234,7.4642,18760,62.0000,0
2007-12-27,7.4642,7.4642,7.4040,7.4642,14660,62.0000,0
2007-12-28,7.4642,7.6448,7.4040,7.6448,64510,63.5000,0
2008-01-02,7.5846,7.5846,7.4642,7.4642,21700,62.0000,0
2008-01-03,7.4642,7.4642,7.2234,7.2234,16300,60.0000,0
2008-01-04,7.1030,7.1030,7.1030,7.1030,5800,59.0000,0
2008-01-07,6.8622,6.8622,6.8020,6.8020,14350,56.5000,0
2008-01-08,6.6816,6.7418,6.5010,6.5011,29290,54.0000,0
2008-01-09,6.6215,6.6215,6.2603,6.3807,21010,53.0000,0
2008-01-10,6.2603,6.2603,6.1399,6.1399,2500,51.0000,0
2008-01-11,6.4409,6.4409,6.3807,6.4409,8220,53.5000,0
2008-01-14,6.7419,6.7419,6.6215,6.6215,3110,55.0000,0
2008-01-15,6.8623,6.8623,6.3807,6.4409,5000,53.5000,0
2008-01-16,6.6215,6.6817,6.6215,6.6817,47500,55.5000,0
2008-01-17,6.6817,6.6817,6.3807,6.3807,44120,53.0000,0
2008-01-18,6.5613,6.5613,6.3807,6.3807,18610,53.0000,0
2008-01-21,6.6215,6.6215,6.3807,6.5011,4410,54.0000,0
2008-01-22,6.2001,6.3807,6.2001,6.2001,13010,51.5000,0
2008-01-23,5.9593,5.9593,5.8991,5.8991,9120,49.0000,0
2008-01-24,6.1399,6.1399,5.6102,5.6102,57950,46.6000,0
2008-01-25,5.7787,5.7787,5.7787,5.7787,38120,48.0000,0
2008-01-28,5.5500,5.6583,5.4898,5.4898,50500,45.6000,0
2008-01-29,5.4898,5.7547,5.4898,5.7546,3180,47.8000,0
2008-01-30,5.8991,6.0195,5.5981,6.0195,142300,50.0000,0
2008-01-31,6.0195,6.0195,5.7185,5.7185,94640,47.5000,0
2008-02-01,5.9472,5.9593,5.8389,5.8991,95740,49.0000,0
2008-02-12,5.6704,6.1399,5.6583,6.0075,88040,49.9000,0
2008-02-13,6.0075,6.0075,5.8991,5.8991,3900,49.0000,0
2008-02-14,6.0195,6.0195,5.8389,5.8389,12880,48.5000,0
2008-02-15,5.8991,5.8991,5.8269,5.8991,30890,49.0000,0
2008-02-18,5.8389,5.8389,5.6583,5.6583,33910,47.0000,0
2008-02-19,5.5620,5.7787,5.5620,5.6583,2150,47.0000,0
2008-02-20,5.7185,5.7185,5.4175,5.4176,21170,45.0000,0
2008-02-21,5.1527,5.1527,5.1527,5.1527,78100,42.8000,0
2008-02-22,4.9360,4.9360,4.8999,4.9360,81470,41.0000,0
2008-02-25,5.1768,5.1768,5.1768,5.1768,4940,43.0000,0
2008-02-26,5.2972,5.2972,4.9240,4.9360,24560,41.0000,0
2008-02-27,4.9360,5.1768,4.9360,4.9360,3090,41.0000,0
2008-02-28,5.0594,5.0594,5.0594,5.0594,600,41.0000,0
2008-02-29,4.8743,5.0594,4.8126,5.0347,12280,40.8000,0
2008-03-03,4.9977,4.9977,4.7879,4.7879,29610,38.8000,0
2008-03-04,4.5534,4.5534,4.5534,4.5535,62410,36.9000,0
2008-03-05,4.3314,4.3314,4.3314,4.3313,8780,35.1000,0
2008-03-06,4.3313,4.5411,4.3313,4.5411,20920,36.8000,0
2008-03-07,4.5041,4.7632,4.5041,4.7632,35730,38.6000,0
2008-03-10,4.9977,4.9977,4.9360,4.9360,80620,40.0000,0
2008-03-11,4.9360,4.9360,4.6892,4.6892,4150,38.0000,0
2008-03-12,4.6892,4.8126,4.4547,4.4547,34370,36.1000,0
2008-03-13,4.5658,4.6768,4.2326,4.2326,26870,34.3000,0
2008-03-14,4.3190,4.3190,4.3190,4.3190,17470,35.0000,0
2008-03-17,4.3190,4.3190,4.3190,4.3190,6630,35.0000,0
2008-03-18,4.1092,4.1956,4.1092,4.1092,25530,33.3000,0
2008-03-19,3.9241,4.2943,3.9118,4.2943,42960,34.8000,0
2008-03-20,4.0845,4.0969,4.0845,4.0845,920,33.1000,0
2008-03-21,3.9488,3.9488,3.8871,3.8871,23100,31.5000,0
2008-03-24,3.7020,3.7020,3.7020,3.7020,11440,30.0000,0
2008-03-25,3.5169,3.5292,3.5169,3.5169,92900,28.5000,0
2008-03-26,3.3441,3.6897,3.3441,3.6897,25190,29.9000,0
2008-03-27,3.7144,3.7144,3.7144,3.7143,210,30.1000,0
2008-03-28,3.7513,3.7513,3.7513,3.7514,500,30.4000,0
2008-03-31,3.7884,3.7884,3.7884,3.7884,30,30.7000,0
2008-04-01,3.8254,3.8254,3.8254,3.8254,20,31.0000,0
2008-04-02,3.8624,3.8624,3.8624,3.8624,100,31.3000,0
2008-04-03,3.8994,3.8994,3.8994,3.8994,900,31.6000,0
2008-04-04,3.9364,3.9364,3.9364,3.9365,970,31.9000,0
2008-04-07,4.0105,4.0105,4.0105,4.0105,2830,32.5000,0
2008-04-08,4.0105,4.0845,4.0105,4.0845,2630,33.1000,0
2008-04-09,4.1585,4.1585,4.1585,4.1586,1320,33.7000,0
2008-04-10,4.1586,4.1586,4.0846,4.0845,110200,33.1000,0
2008-04-11,4.0105,4.0105,4.0105,4.0105,31070,32.5000,0
2008-04-16,3.9365,3.9365,3.9365,3.9365,1030,31.9000,0
2008-04-17,3.8625,3.8625,3.8625,3.8624,58270,31.3000,0
2008-04-18,3.9364,3.9364,3.7884,3.9365,93730,31.9000,0
2008-04-21,3.9365,3.9365,3.8625,3.8624,1310,31.3000,0
2008-04-22,3.7884,3.7884,3.7884,3.7884,5200,30.7000,0
2008-04-23,3.7144,3.7144,3.7144,3.7143,12200,30.1000,0
2008-04-24,3.6403,3.6403,3.6403,3.6403,19200,29.5000,0
2008-04-25,3.5786,3.6403,3.5786,3.6403,97700,29.5000,0
2008-04-28,3.7020,3.7020,3.7020,3.7020,2200,30.0000,0
2008-04-29,3.7760,3.7760,3.7760,3.7760,75020,30.6000,0
2008-05-05,3.8500,3.8500,3.7020,3.7020,1300,30.0000,0
2008-05-06,3.7760,3.7760,3.7760,3.7760,21670,30.6000,64800
2008-05-07,3.8513,3.8513,3.8387,3.8513,65930,30.7000,0
2008-05-08,3.7760,3.8137,3.7760,3.7760,15800,30.1000,0
2008-05-09,3.7007,3.7007,3.7007,3.7007,68920,29.5000,0
2008-05-12,3.6380,3.6380,3.6380,3.6380,5000,29.0000,0
2008-05-13,3.5753,3.6380,3.5753,3.5753,85100,28.5000,0
2008-05-14,3.5126,3.5126,3.5126,3.5126,25400,28.0000,0
2008-05-15,3.4499,3.4499,3.4499,3.4498,73570,27.5000,0
2008-05-16,3.3871,3.4498,3.3871,3.4498,121700,27.5000,0
2008-05-19,3.3871,3.4373,3.3871,3.4373,8300,27.4000,0
2008-05-20,3.4122,3.4122,3.3746,3.3746,40110,26.9000,0
2008-05-21,3.3119,3.3119,3.3119,3.3118,23200,26.4000,0
2008-05-22,3.2491,3.2491,3.2491,3.2491,22010,25.9000,0
2008-05-23,3.1864,3.2491,3.1864,3.1864,108940,25.4000,0
2008-05-26,3.1237,3.1237,3.1237,3.1237,100,24.9000,0
2008-05-30,3.0735,3.0735,3.0735,3.0735,6290,24.5000,0
2008-06-03,3.0233,3.0233,3.0233,3.0233,110,24.1000,0
2008-06-04,2.9731,2.9731,2.9731,2.9731,10,23.7000,0
2008-06-05,2.9229,2.9229,2.9229,2.9229,10,23.3000,0
2008-06-06,2.8727,2.8727,2.8727,2.8728,520,22.9000,0
2008-06-09,2.8226,2.8226,2.8226,2.8226,10,22.5000,0
