date,open,high,low,close,volume,unadjusted,putthrough
2019-01-14,16.2500,16.2500,16.2500,16.2500,600,19.5000,0
2019-01-15,17.8333,17.8333,17.8333,17.8333,100,21.4000,0
2019-01-16,19.5833,19.5833,19.5833,19.5833,1100,23.5000,0
2019-01-17,21.5000,21.5000,21.5000,21.5000,29500,25.8000,0
2019-01-18,23.5833,23.5833,23.5833,23.5833,28900,28.3000,0
2019-01-21,25.9166,25.9166,23.9166,25.6667,14000,30.8000,0
2019-01-22,23.7500,25.7500,23.3334,25.6667,79600,30.8000,0
2019-01-23,25.4167,25.7500,24.0000,24.1667,10400,29.0000,0
2019-01-24,25.0000,25.0000,23.4167,24.1667,27600,29.0000,0
2019-01-25,23.4167,24.8334,23.4167,24.1667,23100,29.0000,0
2019-01-28,24.9167,24.9167,24.3334,24.3333,1000,29.2000,0
2019-01-29,23.4166,23.4166,22.9166,22.9167,3200,27.5000,0
2019-01-30,24.1667,24.5834,23.3334,24.1667,21000,29.0000,0
2019-01-31,24.1667,24.5834,23.7500,23.7500,10900,28.5000,0
2019-02-01,23.7500,24.5833,23.7500,24.5833,13000,29.5000,0
2019-02-11,24.4166,26.0833,23.3333,25.9167,24900,31.1000,0
2019-02-12,24.2500,25.0000,23.8334,25.0000,40700,30.0000,0
2019-02-13,24.1667,24.9167,23.6667,24.9167,19200,29.9000,0
2019-02-14,24.5000,24.5000,23.9167,24.3333,1500,29.2000,0
2019-02-15,23.7500,24.7500,23.7500,24.7500,12100,29.7000,0
2019-02-19,24.5833,24.7500,23.5833,23.6667,12900,28.4000,0
2019-02-20,24.5000,24.5000,23.7500,23.8333,6000,28.6000,0
2019-02-21,23.8333,24.3333,23.7500,23.8333,2100,28.6000,0
2019-02-22,24.1666,24.2500,23.7500,24.0833,10200,28.9000,0
2019-02-25,24.0000,24.0000,23.4166,23.8333,12600,28.6000,0
2019-02-26,23.8333,23.9166,23.4166,23.4167,9700,28.1000,0
2019-02-27,23.5834,24.5834,23.3334,24.3333,47020,29.2000,0
2019-02-28,24.0000,24.1666,23.8333,24.1667,19700,29.0000,0
2019-03-01,24.0000,24.4167,23.8334,24.3333,41000,29.2000,0
2019-03-04,24.0833,24.5000,23.6666,24.5000,65700,29.4000,0
2019-03-05,24.4167,24.7500,24.0000,24.7500,44800,29.7000,0
2019-03-06,24.9167,24.9167,24.4167,24.7500,13700,29.7000,0
2019-03-07,24.7500,24.8333,24.5000,24.7500,8500,29.7000,0
2019-03-08,24.4167,24.9167,24.1667,24.9167,11600,29.9000,0
2019-03-11,24.7500,27.3334,24.1667,24.9167,12300,29.9000,0
2019-03-12,24.4167,24.5834,24.0834,24.5000,16030,29.4000,0
2019-03-13,24.2500,24.8333,24.1667,24.8333,23200,29.8000,0
2019-03-14,24.4166,24.8333,23.4166,24.5833,35000,29.5000,0
2019-03-15,24.5000,24.9166,24.1666,24.9167,38900,29.9000,0
2019-03-18,24.1667,24.8334,23.7500,24.7500,49201,29.7000,0
2019-03-19,23.9167,24.1667,23.6667,24.1667,22300,29.0000,0
2019-03-20,23.7500,24.0000,23.5834,24.0000,8900,28.8000,0
2019-03-21,24.0000,24.0000,23.1667,23.1667,22300,27.8000,0
2019-03-22,23.4167,23.4167,22.5834,23.1667,13000,27.8000,0
2019-03-25,22.5000,23.2500,21.6667,23.1667,10200,27.8000,0
2019-03-26,23.1667,23.3334,22.3334,23.1667,14100,27.8000,0
2019-03-27,23.0834,23.2500,22.8334,23.2500,14700,27.9000,0
2019-03-28,23.0000,23.1667,22.4167,23.1667,14800,27.8000,0
2019-03-29,22.3334,23.0834,21.9167,21.9167,11000,26.3000,0
2019-04-01,22.5000,22.5000,21.8334,22.4167,17500,26.9000,0
2019-04-02,22.2500,22.5834,21.8334,21.8333,19000,26.2000,0
2019-04-03,22.2500,22.2500,21.8333,22.0000,800,26.4000,0
2019-04-04,22.2500,22.2500,21.6667,21.6667,4300,26.0000,0
2019-04-05,21.6667,21.6667,21.3334,21.6667,2700,26.0000,0
2019-04-08,21.5834,23.6667,20.0834,23.0000,33400,27.6000,0
2019-04-09,23.0000,23.2500,22.0833,23.0833,24400,27.7000,0
2019-04-10,23.3333,23.3333,22.5000,23.0833,17300,27.7000,0
2019-04-11,22.9166,23.4166,22.5000,23.0000,28200,27.6000,0
2019-04-12,22.7500,23.2500,22.5000,23.2500,6200,27.9000,0
2019-04-16,22.9167,22.9167,22.0000,22.8333,4100,27.4000,0
2019-04-17,22.0000,22.8333,21.9166,22.8333,13300,27.4000,0
2019-04-18,22.5000,22.8333,21.9166,22.8333,11200,27.4000,0
2019-04-19,22.7500,23.0000,22.7500,23.0000,4500,27.6000,0
2019-04-22,22.9167,23.5000,22.5000,23.5000,25100,28.2000,0
2019-04-23,23.3333,23.7500,23.0000,23.7500,17700,28.5000,0
2019-04-24,23.7500,24.3333,23.7500,24.3333,46000,29.2000,0
2019-04-25,24.5000,24.5000,24.0833,24.1667,3400,29.0000,0
2019-04-26,24.0000,24.1667,24.0000,24.1667,9200,29.0000,0
2019-05-02,24.0834,24.8334,22.6667,24.0833,5100,28.9000,0
2019-05-03,24.0000,24.5833,23.8333,24.5833,14600,29.5000,0
2019-05-06,24.1666,24.3333,22.5000,24.0833,17000,28.9000,0
2019-05-07,23.3333,25.0000,23.3333,25.0000,35600,30.0000,0
2019-05-08,24.1667,25.4167,24.1667,25.4167,15829,30.5000,0
2019-05-09,23.7500,23.7500,23.7500,23.7500,500,28.5000,0
2019-05-10,23.2500,24.6667,22.9167,24.3333,17200,29.2000,0
2019-05-13,23.8333,24.1666,23.8333,24.1667,6500,29.0000,0
2019-05-14,24.0000,24.1667,23.0000,23.0000,10200,27.6000,0
2019-05-15,23.8333,23.8333,23.0000,23.5000,6329,28.2000,0
2019-05-16,23.4167,24.1667,22.5000,24.0833,16900,28.9000,0
2019-05-17,23.8333,23.8333,23.3333,23.7500,1800,28.5000,0
2019-05-21,23.4167,23.5000,22.5000,23.4167,12900,28.1000,0
2019-05-22,23.4167,23.5000,22.9167,22.9167,3100,27.5000,0
2019-05-23,23.5000,23.5000,22.5000,23.2500,3100,27.9000,0
2019-05-24,22.5000,23.0833,22.5000,22.5000,6400,27.0000,0
2019-05-27,22.4167,22.5000,22.4167,22.5000,1100,27.0000,0
2019-05-28,22.9167,22.9167,22.9167,22.9167,100,27.5000,0
2019-05-29,22.3334,22.8334,22.3334,22.8333,2900,27.4000,0
2019-05-31,22.0833,22.4166,22.0833,22.4167,600,26.9000,0
2019-06-03,22.0834,22.0834,21.6667,21.8333,6000,26.2000,0
2019-06-04,22.7500,22.7500,22.7500,22.7500,100,27.3000,0
2019-06-06,22.0833,22.1667,22.0833,22.1667,500,26.6000,0
2019-06-07,22.7500,22.7500,22.7500,22.7500,200,27.3000,0
2019-06-10,21.6667,22.5000,21.6667,22.5000,1300,27.0000,0
