date,open,high,low,close,volume,unadjusted,putthrough
2017-01-09,11.2409,11.2409,8.0292,8.7377,346000,18.5000,0
2017-01-10,9.0211,9.0211,8.7377,8.8322,234947,18.7000,179516
2017-01-11,8.8322,8.8322,8.6433,8.7377,173442,18.5000,74728
2017-01-12,8.5015,8.5015,7.9348,7.9348,52349,16.8000,0
2017-01-13,7.6986,7.6986,7.1319,7.1791,70740,15.2000,49582
2017-01-16,7.2736,7.2736,7.0374,7.2263,134435,15.3000,147931
2017-01-17,7.0846,7.4152,7.0846,7.4152,40175,15.7000,108531
2017-01-18,7.4152,7.4624,7.3207,7.4625,20408,15.8000,53362
2017-01-19,7.4153,7.5570,7.3680,7.5569,73089,16.0000,0
2017-01-20,7.4624,7.7931,7.4624,7.5097,52135,15.9000,89126
2017-01-23,7.7931,7.9820,7.6514,7.6514,42247,16.2000,0
2017-01-24,7.8876,8.0292,7.8876,8.0292,63225,17.0000,0
2017-01-25,7.9820,7.9820,7.9820,7.9820,1610,16.9000,0
2017-02-02,7.9820,7.9820,7.6042,7.6986,9810,16.3000,0
2017-02-03,7.6041,7.9820,7.6041,7.8875,7890,16.7000,0
2017-02-06,7.8403,7.8403,7.7930,7.7931,75013,16.5000,0
2017-02-07,7.7931,7.7931,7.7931,7.7931,23900,16.5000,0
2017-02-08,7.7931,7.7931,7.6986,7.6986,11454,16.3000,0
2017-02-09,7.7931,7.9348,7.7458,7.7459,27845,16.4000,0
2017-02-10,7.7931,7.9821,7.7931,7.9820,12638,16.9000,0
2017-02-13,7.7458,7.9348,7.7458,7.9348,24240,16.8000,0
2017-02-14,7.8403,7.8876,7.8403,7.8403,17715,16.6000,0
2017-02-15,7.7931,8.0292,7.7931,7.8875,53610,16.7000,18760
2017-02-16,7.9820,8.1237,7.9820,8.0292,62280,17.0000,0
2017-02-17,7.9347,7.9347,7.9347,7.9348,1540,16.8000,0
2017-02-20,7.9348,8.1237,7.9348,7.9820,20599,16.9000,0
2017-02-21,7.9820,8.0292,7.9348,8.0292,12750,17.0000,0
2017-02-22,8.0292,8.0764,7.9820,7.9820,41019,16.9000,74135
2017-02-23,8.0292,8.0292,7.9348,7.9348,60220,16.8000,0
2017-02-24,8.0293,8.0293,7.9820,8.0292,30064,17.0000,0
2017-02-27,8.0292,8.0292,7.9820,8.0292,16720,17.0000,93
2017-02-28,7.9820,8.1237,7.9820,8.0765,13447,17.1000,0
2017-03-01,8.0765,8.2654,8.0765,8.1709,8158,17.3000,0
2017-03-02,8.3126,8.6432,8.2181,8.2654,17246,17.5000,0
2017-03-03,8.3126,8.3599,8.3126,8.3599,13301,17.7000,0
2017-03-06,8.3599,8.3599,8.2654,8.2654,20752,17.5000,0
2017-03-07,8.1237,8.3599,8.1237,8.3126,15280,17.6000,0
2017-03-08,8.1709,8.1709,8.1709,8.1709,4000,17.3000,0
2017-03-09,8.1709,8.1709,8.1237,8.1709,6619,17.3000,0
2017-03-10,8.1709,8.2654,8.1709,8.2654,1400,17.5000,0
2017-03-13,8.2654,8.3126,8.2654,8.2654,3515,17.5000,0
2017-03-14,8.2654,8.3599,8.2654,8.3126,12650,17.6000,0
2017-03-15,8.2181,8.2654,8.1709,8.2654,42200,17.5000,20000
2017-03-16,8.2654,8.2654,8.2654,8.2654,12643,17.5000,19100
2017-03-17,8.3126,8.3126,8.3126,8.3126,4767,17.6000,0
2017-03-20,8.3126,8.3126,8.2181,8.2182,15087,17.4000,0
2017-03-21,8.2654,8.2654,8.2654,8.2654,8753,17.5000,0
2017-03-22,8.4071,8.4071,8.2654,8.2654,23629,17.5000,0
2017-03-23,8.2654,8.2654,8.2654,8.2654,7280,17.5000,0
2017-03-24,8.1237,8.4071,8.1237,8.2654,13548,17.5000,240000
2017-03-27,8.2654,8.3126,8.2654,8.3126,4030,17.6000,0
2017-03-28,8.2654,8.4071,8.2654,8.3599,11397,17.7000,0
2017-03-29,8.5016,8.5016,8.3127,8.3126,3496,17.6000,0
2017-03-30,8.5015,8.5015,8.3598,8.3599,15105,17.7000,80000
2017-03-31,8.5016,8.5016,8.3599,8.5015,42058,18.0000,0
2017-04-03,8.5015,8.7377,8.5015,8.6905,27703,18.4000,0
2017-04-04,8.7377,8.7377,8.6905,8.6905,21211,18.4000,0
2017-04-05,8.8322,8.8794,8.7377,8.7377,35224,18.5000,0
2017-04-07,8.8794,8.8794,8.7377,8.7849,18220,18.6000,0
2017-04-10,8.7849,8.8321,8.7849,8.8322,3630,18.7000,0
2017-04-11,8.8322,9.0684,8.8322,8.9266,54706,18.9000,33881
2017-04-12,8.8321,9.0211,8.8321,8.9266,25639,18.9000,0
2017-04-13,9.0211,9.9184,9.0211,9.5879,93217,20.3000,0
2017-04-14,9.5879,9.6824,9.3517,9.3517,6810,19.8000,0
2017-04-17,9.5406,9.5406,8.9739,9.3517,23971,19.8000,0
2017-04-18,9.3989,9.3989,9.2572,9.3517,91100,19.8000,0
2017-04-19,9.3517,9.4462,9.3517,9.3989,78130,19.9000,0
2017-04-20,9.3989,9.5406,9.3989,9.4934,31708,20.1000,0
2017-04-21,9.4462,9.4462,9.4462,9.4462,60210,20.0000,0
2017-04-24,9.4462,9.4462,9.3517,9.4462,51260,20.0000,0
2017-04-25,9.4934,9.6824,9.4462,9.5406,70300,20.2000,0
2017-04-26,9.4461,9.6351,9.4461,9.4462,10591,20.0000,0
2017-04-27,9.4462,9.6824,9.4462,9.4462,44740,20.0000,0
2017-04-28,9.5407,9.6824,9.4934,9.5879,17003,20.3000,0
2017-05-03,9.8713,9.8713,9.5407,9.7768,4440,20.7000,0
2017-05-04,9.7296,9.7296,9.4934,9.6823,40700,20.5000,0
2017-05-05,9.6351,9.7295,9.5878,9.7295,116900,20.6000,0
2017-05-08,9.6823,9.6823,9.6823,9.6823,11150,20.5000,100000
2017-05-09,9.7768,9.8712,9.7295,9.8712,36600,20.9000,0
2017-05-10,9.8240,9.8240,9.7767,9.7768,81510,20.7000,30000
2017-05-11,9.8240,9.9185,9.7768,9.9185,47501,21.0000,0
2017-05-12,10.0602,10.1547,9.9185,10.1074,214450,21.4000,0
2017-05-15,10.1074,10.8631,10.0602,10.8631,63980,23.0000,0
2017-05-16,10.8631,11.7605,10.8631,11.7605,140547,24.9000,0
2017-05-17,12.7523,13.2719,12.2328,12.5162,99635,26.5000,0
2017-05-18,14.9250,14.9250,11.1465,11.4299,42831,24.2000,0
2017-05-19,11.4299,11.7605,10.9104,11.1465,99690,23.6000,0
2017-05-22,11.5716,11.7133,10.9103,11.0992,101918,23.5000,0
2017-05-23,11.3354,11.3826,11.0992,11.2409,30000,23.8000,0
2017-05-24,11.3354,11.3354,10.3907,10.3908,69055,22.0000,0
2017-05-25,10.4853,10.4853,10.2491,10.3435,30545,21.9000,0
2017-05-26,10.3907,10.4380,9.9657,10.3908,4924,22.0000,0
2017-05-29,10.3908,11.0520,10.3908,10.7214,57110,22.7000,0
2017-05-30,10.7686,11.0520,10.5797,10.6742,42619,22.6000,0
2017-05-31,10.8631,10.8631,10.6270,10.6742,16824,22.6000,0
2017-06-01,11.0520,11.0520,10.3908,10.3908,16940,22.0000,0
2017-06-02,11.0191,11.1157,10.6324,10.7295,2580,22.2000,0
2017-06-05,10.7295,11.0195,10.6328,10.6329,39900,22.0000,0
2017-06-06,10.6812,10.7296,10.6329,10.7295,53340,22.2000,0
2017-06-07,11.0678,11.0678,10.6812,10.7779,69855,22.3000,0
2017-06-08,10.6812,10.6812,10.6329,10.6812,50310,22.1000,0
2017-06-09,10.6329,10.6812,10.6329,10.6329,43100,22.0000,0
2017-06-12,10.6329,10.6329,10.6329,10.6329,32600,22.0000,0
2017-06-13,10.6812,10.6812,10.5846,10.6329,17910,22.0000,0
2017-06-14,10.6812,10.6812,10.5846,10.6329,16820,22.0000,78652
2017-06-15,10.6329,10.6329,10.6329,10.6329,17320,22.0000,0
2017-06-16,10.6812,10.6812,10.1496,10.5846,21702,21.9000,0
2017-06-19,10.6329,10.6329,10.5846,10.5846,18800,21.9000,311652
