date,open,high,low,close,volume,unadjusted,putthrough
2006-01-19,2.8157,2.8157,2.8157,2.8157,109350,53.0000,0
2006-01-20,2.9220,2.9220,2.8688,2.8688,157840,54.0000,0
2006-01-23,2.8688,2.8688,2.7891,2.7891,81400,52.5000,0
2006-01-24,2.7891,2.7891,2.7625,2.7625,66000,52.0000,0
2006-01-25,2.7625,2.8156,2.7625,2.8157,57220,53.0000,0
2006-01-26,2.8423,2.8423,2.8423,2.8422,18750,53.5000,0
2006-01-27,2.8156,2.8156,2.8156,2.8157,25630,53.0000,0
2006-02-06,2.8157,2.8157,2.8157,2.8157,25190,53.0000,0
2006-02-07,2.8688,2.8688,2.8688,2.8688,138720,54.0000,0
2006-02-08,2.9219,2.9219,2.9219,2.9219,159300,55.0000,0
2006-02-09,2.9219,2.9219,2.9219,2.9219,153580,55.0000,0
2006-02-10,2.8688,2.9219,2.8688,2.9219,128650,55.0000,0
2006-02-13,2.9219,2.9219,2.9219,2.9219,153670,55.0000,0
2006-02-14,2.9219,2.9219,2.9219,2.9219,113260,55.0000,0
2006-02-15,2.9219,2.9219,2.8953,2.8954,132600,54.5000,0
2006-02-16,2.9220,2.9220,2.9220,2.9219,184290,55.0000,0
2006-02-17,2.9750,3.0547,2.9750,3.0547,128090,57.5000,0
2006-02-20,3.1875,3.1875,3.1875,3.1875,62050,60.0000,0
2006-02-21,3.3469,3.3469,3.3469,3.3469,101970,63.0000,0
2006-02-22,3.4532,3.4532,3.3469,3.3469,264890,63.0000,0
2006-02-23,3.4000,3.4000,3.4000,3.4000,130490,64.0000,0
2006-02-24,3.4266,3.4266,3.4266,3.4266,90480,64.5000,0
2006-02-27,3.4532,3.4797,3.4532,3.4797,162140,65.5000,0
2006-02-28,3.5063,3.6391,3.5063,3.6391,164820,68.5000,0
2006-03-01,3.7985,3.7985,3.7719,3.7719,164480,71.0000,0
2006-03-02,3.7985,3.8250,3.7985,3.8251,222520,72.0000,0
2006-03-03,3.7720,3.7720,3.6392,3.6391,227880,68.5000,0
2006-03-06,3.6125,3.7188,3.6125,3.7188,200050,70.0000,0
2006-03-07,3.7188,3.7188,3.7188,3.7188,129210,70.0000,0
2006-03-08,3.6657,3.6657,3.6125,3.6126,163660,68.0000,0
2006-03-09,3.6657,3.6657,3.6392,3.6391,206310,68.5000,0
2006-03-10,3.6657,3.6657,3.6391,3.6391,125760,68.5000,0
2006-03-13,3.7188,3.7188,3.7188,3.7188,257130,70.0000,0
2006-03-14,3.7454,3.7719,3.7454,3.7719,223540,71.0000,0
2006-03-15,3.7719,3.7719,3.6656,3.6657,201720,69.0000,0
2006-03-16,3.7720,3.7720,3.7188,3.7188,171110,70.0000,0
2006-03-17,3.7188,3.7719,3.7188,3.7719,189800,71.0000,0
2006-03-20,3.7719,3.8250,3.7719,3.8251,320020,72.0000,0
2006-03-21,3.8782,3.9048,3.8782,3.9047,266040,73.5000,0
2006-03-22,3.9844,3.9844,3.9047,3.9047,173010,73.5000,0
2006-03-23,3.9313,3.9578,3.9313,3.9579,181330,74.5000,0
2006-03-24,3.9579,3.9579,3.9313,3.9313,137520,74.0000,0
2006-03-27,3.9579,3.9579,3.9579,3.9579,167410,74.5000,0
2006-03-28,3.9579,3.9579,3.9579,3.9579,130790,74.5000,0
2006-03-29,3.9845,4.0642,3.9845,4.0641,284640,76.5000,0
2006-03-30,4.2500,4.2500,4.2500,4.2501,184200,80.0000,0
2006-03-31,4.3564,4.3564,4.3032,4.3032,171770,81.0000,0
2006-04-03,4.4626,4.5157,4.4626,4.5157,259620,85.0000,0
2006-04-04,4.6751,4.6751,4.3032,4.3032,242500,81.0000,0
2006-04-05,4.5157,4.5157,4.5157,4.5157,191790,85.0000,0
2006-04-06,4.6220,4.6220,4.6220,4.6219,234410,87.0000,0
2006-04-07,4.7282,4.7813,4.7282,4.7813,276750,90.0000,0
2006-04-10,4.8610,4.8610,4.7282,4.7282,190930,89.0000,0
2006-04-11,4.6751,4.6751,4.5954,4.5954,152780,86.5000,0
2006-04-12,4.6751,4.7282,4.6751,4.7282,134540,89.0000,0
2006-04-13,4.7813,4.8345,4.7813,4.8344,182010,91.0000,0
2006-04-14,4.8344,4.8344,4.7813,4.7813,135270,90.0000,0
2006-04-17,4.7813,4.7813,4.7813,4.7813,162080,90.0000,0
2006-04-18,4.8344,4.8344,4.8344,4.8344,183230,91.0000,0
2006-04-19,4.8875,4.8875,4.8344,4.8344,195960,91.0000,0
2006-04-20,4.8344,4.8344,4.8344,4.8344,130410,91.0000,0
2006-04-21,5.0735,5.0735,5.0735,5.0735,378460,95.5000,0
2006-04-24,5.3126,5.3126,5.3126,5.3126,202190,100.0000,0
