date,open,high,low,close,volume,unadjusted,putthrough
2016-04-12,8.3788,9.3988,8.1602,8.1602,30900,11.2000,0
2016-04-13,8.1602,8.5245,8.1602,8.3788,66000,11.5000,30000
2016-04-14,8.3788,8.3788,8.2331,8.3059,20100,11.4000,0
2016-04-15,8.2330,8.3788,8.0145,8.3059,51630,11.4000,0
2016-04-19,8.3059,8.3059,8.1602,8.1602,56100,11.2000,0
2016-04-20,8.1602,8.5974,8.0873,8.3788,85130,11.5000,0
2016-04-21,8.2331,8.2331,8.1602,8.1602,1609,11.2000,3000
2016-04-22,8.1602,8.1602,8.0873,8.0874,16500,11.1000,0
2016-04-25,8.1603,8.1603,8.0874,8.1602,44200,11.2000,0
2016-04-26,8.1602,8.1602,8.0873,8.1602,17800,11.2000,0
2016-04-27,8.1602,8.1602,8.0873,8.1602,35900,11.2000,0
2016-04-28,8.1602,8.1602,8.1602,8.1602,10300,11.2000,0
2016-04-29,8.0873,8.2331,8.0873,8.2331,32700,11.3000,0
2016-05-04,8.0874,8.2331,8.0874,8.2331,43500,11.3000,0
2016-05-05,8.2331,8.2331,8.1602,8.1602,35700,11.2000,0
2016-05-06,8.2331,8.3059,8.1602,8.1602,30350,11.2000,0
2016-05-09,8.2331,8.2331,8.1602,8.2331,35700,11.3000,0
2016-05-10,8.1602,8.1602,8.1602,8.1602,142,11.2000,0
2016-05-11,8.1602,8.2331,8.1602,8.2331,41856,11.3000,64
2016-05-12,8.1602,8.1602,8.1602,8.1602,38159,11.2000,0
2016-05-13,8.1602,8.1602,8.1602,8.1602,26600,11.2000,0
2016-05-16,8.0145,8.1602,8.0145,8.0145,24178,11.0000,281579
2016-05-17,8.0145,8.0145,8.0145,8.0145,79850,11.0000,25883
2016-05-18,8.0145,8.0145,8.0145,8.0145,156600,11.0000,100000
2016-05-19,8.0145,8.0145,8.0145,8.0145,72100,11.0000,0
2016-05-20,8.0145,8.1602,8.0145,8.1602,14200,11.2000,0
2016-05-23,8.0873,8.0873,8.0873,8.0874,320,11.1000,68
2016-05-24,8.0874,8.2331,8.0874,8.2331,25000,11.3000,0
2016-05-25,8.1602,8.2331,8.1602,8.1602,55100,11.2000,0
2016-05-26,8.1602,8.3788,8.0145,8.3788,43520,11.5000,0
2016-05-27,8.2331,8.2331,8.2331,8.2331,31,11.3000,0
2016-05-30,8.0874,8.2331,8.0874,8.2331,31000,11.3000,0
2016-05-31,8.1602,8.1602,8.1602,8.1602,7000,11.2000,10022
2016-06-01,8.1602,8.1602,8.0873,8.1602,39998,11.2000,0
2016-06-02,8.1602,8.1602,8.1602,8.1602,8400,11.2000,0
2016-06-03,8.1602,8.3788,8.1602,8.2331,36200,11.3000,26
2016-06-06,8.1602,8.3788,8.1602,8.3788,80500,11.5000,0
2016-06-07,8.2331,8.2331,8.2331,8.2331,24000,11.3000,64
2016-06-08,8.2331,8.4517,8.2331,8.3788,58400,11.5000,0
2016-06-09,8.3788,8.5245,8.3788,8.5245,65080,11.7000,55
2016-06-10,8.5245,8.5245,8.5245,8.5245,65,11.7000,0
2016-06-13,8.4516,8.4516,8.4516,8.4517,2375,11.6000,50000
2016-06-14,8.3060,8.4517,8.3060,8.3059,8100,11.4000,0
2016-06-15,8.3059,8.3788,8.3059,8.3788,7000,11.5000,0
2016-06-16,8.2331,8.3788,8.2331,8.3788,5400,11.5000,37822
2016-06-17,8.1602,8.1602,8.0874,8.0874,3500,11.1000,87
2016-06-20,8.1603,8.2331,8.1603,8.2331,3462,11.3000,0
2016-06-21,8.2331,8.3060,8.2331,8.3059,2037,11.4000,1081
2016-06-22,8.3059,8.3059,8.2330,8.2331,2400,11.3000,0
2016-06-23,8.2331,8.2331,8.2331,8.2331,100,11.3000,0
2016-06-24,8.2331,8.2331,8.1602,8.1602,13931,11.2000,0
2016-06-27,8.1602,8.1602,8.1602,8.1602,3542,11.2000,0
2016-06-28,8.1602,8.1602,8.1602,8.1602,126,11.2000,0
2016-06-29,8.1602,8.1602,8.1602,8.1602,3814,11.2000,0
2016-06-30,8.1602,8.1602,8.1602,8.1602,15000,11.2000,332314
2016-07-01,8.1602,8.1602,8.1602,8.1602,18400,11.2000,101826
2016-07-04,8.1602,8.1602,8.1602,8.1602,4689,11.2000,0
2016-07-05,8.0145,8.0145,8.0145,8.0145,3976,11.0000,0
2016-07-06,8.0145,8.1602,8.0145,8.1602,23700,11.2000,0
2016-07-08,7.2859,7.2859,7.2859,7.2859,154,10.0000,80000
2016-07-11,8.0145,8.0145,8.0145,8.0145,8611,11.0000,0
2016-07-12,8.0145,8.0145,8.0145,8.0145,600,11.0000,0
2016-07-13,7.6502,7.6502,7.2859,7.6502,9400,10.5000,0
2016-07-14,8.0145,8.0145,8.0145,8.0145,3609,11.0000,0
2016-07-15,8.0145,8.3788,8.0145,8.1602,54600,11.2000,80000
2016-07-18,8.1602,8.1602,8.0873,8.0874,15456,11.1000,0
2016-07-19,8.1603,8.3788,8.1603,8.3788,14000,11.5000,3000
2016-07-20,8.1602,8.1602,8.1602,8.1602,2300,11.2000,91
2016-07-21,8.0873,8.1602,8.0873,8.1602,4800,11.2000,4
2016-07-22,8.0873,8.3059,8.0873,8.3059,200,11.4000,0
2016-07-25,8.0873,8.0873,8.0873,8.0874,1300,11.1000,85
2016-07-26,8.3788,8.3788,8.3788,8.3788,10000,11.5000,0
2016-07-27,8.0145,8.3788,8.0145,8.3788,36530,11.5000,0
2016-07-28,8.0145,8.2331,8.0145,8.1602,8620,11.2000,0
2016-08-02,8.0145,8.0145,8.0145,8.0145,5200,11.0000,0
2016-08-03,8.0145,8.3788,8.0145,8.3059,274170,11.4000,30
2016-08-04,8.3059,8.3059,8.3059,8.3059,14200,11.4000,10208
2016-08-05,8.3059,8.3059,8.3059,8.3059,10500,11.4000,0
2016-08-08,8.2330,8.2330,8.2330,8.2331,20000,11.3000,6639
2016-08-10,8.2331,8.2331,8.2331,8.2331,5200,11.3000,0
2016-08-11,8.1602,8.1602,8.1602,8.1602,7600,11.2000,1313
2016-08-12,8.0873,8.0873,8.0873,8.0874,500,11.1000,13246
2016-08-15,8.1603,8.2331,8.0874,8.2331,8600,11.3000,29
2016-08-16,8.0874,8.1602,8.0874,8.1602,11500,11.2000,2101
2016-08-17,8.0873,8.2331,8.0873,8.2331,50152,11.3000,94
2016-08-18,8.0874,8.3060,8.0874,8.3059,18700,11.4000,21
2016-08-19,8.2330,8.3059,8.2330,8.2331,23355,11.3000,0
2016-08-22,8.2331,8.3060,8.2331,8.3059,10000,11.4000,0
2016-08-23,8.2330,8.2330,8.2330,8.2331,1600,11.3000,0
2016-08-24,8.1602,8.1602,8.1602,8.1602,2200,11.2000,0
2016-08-25,8.1602,8.1602,8.1602,8.1602,2700,11.2000,0
2016-08-29,8.1602,8.1602,8.1602,8.1602,6300,11.2000,0
2016-08-30,8.2331,8.3788,8.2331,8.3059,46800,11.4000,0
2016-08-31,8.3059,8.3059,8.3059,8.3059,1600,11.4000,0
2016-09-01,8.3059,8.3059,8.3059,8.3059,4200,11.4000,0
2016-09-05,8.3059,8.3059,8.3059,8.3059,21600,11.4000,0
2016-09-07,8.2330,8.2330,8.2330,8.2331,10000,11.3000,0
2016-09-08,8.3060,8.3060,8.2331,8.3059,25900,11.4000,0
2016-09-09,8.3059,8.3788,8.2330,8.2331,32262,11.3000,0
2016-09-12,8.3060,8.3788,8.3060,8.3788,16300,11.5000,93
2016-09-13,8.3059,8.3788,8.3059,8.3788,19800,11.5000,0
2016-09-14,8.4517,8.4517,8.3788,8.3788,26000,11.5000,0
2016-09-15,8.3788,8.3788,8.3788,8.3788,8922,11.5000,0
2016-09-16,8.3788,8.4517,8.3788,8.4517,14500,11.6000,400
2016-09-19,8.3788,8.4517,8.3788,8.3788,41300,11.5000,0
2016-09-21,8.3788,8.3788,8.3059,8.3788,18800,11.5000,0
2016-09-22,8.3788,8.3788,8.3788,8.3788,7200,11.5000,0
2016-09-23,8.3788,8.3788,8.3788,8.3788,6400,11.5000,0
2016-09-26,8.3788,8.3788,8.3788,8.3788,1054,11.5000,0
2016-09-27,8.3788,8.3788,8.3788,8.3788,7300,11.5000,0
2016-09-28,8.3788,8.3788,8.3788,8.3788,13300,11.5000,0
2016-09-29,8.0145,8.3788,8.0145,8.3788,10500,11.5000,0
2016-09-30,8.3788,8.4517,8.3788,8.4517,2200,11.6000,0
2016-10-03,8.3788,8.3788,8.3788,8.3788,1500,11.5000,20
2016-10-04,8.3788,8.3788,8.3788,8.3788,8800,11.5000,0
2016-10-05,8.3788,8.3788,8.3788,8.3788,14541,11.5000,0
2016-10-06,8.3788,8.3788,8.3788,8.3788,7300,11.5000,0
2016-10-07,8.3788,8.3788,8.3788,8.3788,30600,11.5000,0
2016-10-10,8.3788,8.4517,8.3788,8.4517,12405,11.6000,0
2016-10-11,8.4517,8.4517,8.4517,8.4517,100,11.6000,0
2016-10-12,8.3788,8.4517,8.3788,8.4517,34200,11.6000,0
2016-10-13,8.3788,8.4517,8.3788,8.3788,21422,11.5000,0
2016-10-14,9.0053,9.0053,8.6137,8.9787,20673,11.5000,0
2016-10-17,8.9787,8.9787,8.9787,8.9787,2400,11.5000,0
2016-10-19,8.2760,8.2760,8.2760,8.2760,3728,10.6000,0
2016-10-20,8.5883,9.0568,8.5883,9.0568,56867,11.6000,0
2016-10-21,8.3541,8.9787,8.3541,8.9787,6700,11.5000,0
2016-10-24,8.8225,8.8225,8.8225,8.8226,29900,11.3000,0
2016-10-25,8.8226,8.8226,8.8226,8.8226,100,11.3000,0
2016-10-26,8.9788,8.9788,8.9788,8.9787,9700,11.5000,21194
2016-10-27,8.9787,8.9787,8.9787,8.9787,100,11.5000,0
2016-10-28,8.5883,8.9787,8.5883,8.9787,3500,11.5000,0
2016-10-31,8.8225,8.8225,8.8225,8.8226,147,11.3000,0
2016-11-01,8.9788,9.0568,8.9788,9.0568,77600,11.6000,0
2016-11-02,8.8226,8.8226,8.5883,8.5883,8000,11.0000,0
2016-11-03,8.7445,9.0568,8.7445,8.9787,17500,11.5000,0
2016-11-04,9.1349,9.1349,8.5883,8.5883,3700,11.0000,0
2016-11-07,8.9787,8.9787,8.5883,8.7445,21456,11.2000,0
2016-11-08,8.7445,8.7445,8.7445,8.7445,7500,11.2000,0
2016-11-09,8.7445,8.7445,8.7445,8.7445,1700,11.2000,0
2016-11-10,8.9007,9.0568,8.9007,9.0568,53000,11.6000,0
2016-11-11,8.8226,8.8226,8.8226,8.8226,4000,11.3000,0
2016-11-14,9.0568,9.0568,9.0568,9.0568,100,11.6000,220000
