date,open,high,low,close,volume,unadjusted,putthrough
2018-01-18,7.8963,7.8963,7.8963,7.8963,5000,13.8000,0
2018-01-19,8.4399,8.4399,8.4399,8.4399,2200,14.7500,0
2018-01-22,9.0121,9.0121,9.0121,9.0121,3400,15.7500,100000
2018-01-25,9.6415,9.6415,9.6415,9.6415,1000,16.8500,300000
2018-01-26,10.2995,10.2995,10.2995,10.2995,9900,18.0000,100000
2018-01-29,11.0147,11.0147,11.0147,11.0148,7000,19.2500,0
2018-01-30,11.7587,11.7587,11.0148,11.7586,291600,20.5500,0
2018-01-31,11.1578,12.5597,11.1578,12.5311,240700,21.9000,0
2018-02-01,12.8744,12.8744,11.6728,11.6728,214680,20.4000,0
2018-02-02,11.4439,11.6728,10.8717,11.6728,154050,20.4000,0
2018-02-05,10.9289,11.4439,10.8717,11.4439,165240,20.0000,0
2018-02-06,11.4439,11.4439,10.6428,10.6428,182810,18.6000,0
2018-02-07,10.8431,11.3867,10.6428,11.3867,166790,19.9000,0
2018-02-08,12.0161,12.0161,11.3867,11.4439,108730,20.0000,0
2018-02-09,11.4439,11.9589,11.3295,11.6156,101080,20.3000,0
2018-02-12,11.6156,12.0161,11.4439,11.6728,128290,20.4000,0
2018-02-13,12.0161,12.0161,11.4439,11.7300,130330,20.5000,0
2018-02-21,11.7300,11.7300,11.1578,11.1578,76550,19.5000,0
2018-02-22,11.1578,11.4439,10.8717,10.8717,115010,19.0000,0
2018-02-23,10.6428,11.1578,10.6428,10.6428,151990,18.6000,0
2018-02-26,10.8717,11.3867,10.8717,11.3867,114390,19.9000,0
2018-02-27,11.3867,12.0161,11.1578,12.0161,106990,21.0000,0
2018-02-28,11.9589,11.9589,11.4439,11.6156,108870,20.3000,0
2018-03-01,11.9017,11.9017,11.1578,11.4439,105870,20.0000,0
2018-03-02,11.2722,11.4439,11.1578,11.1578,113140,19.5000,0
2018-03-05,11.2150,11.2722,11.0434,11.2150,102060,19.6000,0
2018-03-06,11.2150,11.4439,11.2150,11.4439,95930,20.0000,0
2018-03-07,11.2150,11.6156,11.1578,11.4439,88030,20.0000,0
2018-03-08,11.1578,11.4439,10.8717,10.8717,94850,19.0000,0
2018-03-09,11.0434,11.3295,10.9289,11.2722,71230,19.7000,0
2018-03-12,11.2722,11.3866,11.1578,11.2722,57800,19.7000,0
2018-03-13,11.2722,11.3866,11.1578,11.2722,44830,19.7000,0
2018-03-14,11.2722,11.3866,11.1578,11.2150,33400,19.6000,0
2018-03-15,11.2150,11.2722,11.1578,11.2150,40180,19.6000,0
2018-03-16,11.1006,11.1578,10.8717,11.1578,34770,19.5000,0
2018-03-19,11.1578,11.1578,10.8717,11.0434,40660,19.3000,0
2018-03-20,10.8717,10.8717,10.7573,10.8717,44830,19.0000,0
2018-03-21,10.8717,10.8717,10.7000,10.8717,39310,19.0000,0
2018-03-22,10.8717,10.8717,10.6428,10.7573,27640,18.8000,0
2018-03-23,10.6429,10.7573,10.5284,10.5856,25380,18.5000,0
2018-03-26,10.5856,10.5856,10.2995,10.2995,28350,18.0000,0
2018-03-27,10.1278,10.2995,10.1278,10.2995,26550,18.0000,0
2018-03-28,10.2995,10.2995,10.1278,10.2995,17500,18.0000,0
2018-03-29,10.2995,10.2995,10.1278,10.2995,17130,18.0000,0
2018-03-30,10.2995,10.2995,10.2423,10.2995,16910,18.0000,0
2018-04-02,10.2995,10.2995,10.2423,10.2995,12590,18.0000,0
2018-04-03,10.2995,10.2995,10.0134,10.2423,17040,17.9000,0
2018-04-04,10.2423,10.2423,10.1851,10.2137,10090,17.8500,0
2018-04-05,10.2137,10.2423,10.1279,10.2137,11490,17.8500,0
2018-04-06,10.2137,10.2137,10.0134,10.0134,8200,17.5000,0
2018-04-09,10.0134,10.2995,10.0134,10.2423,10550,17.9000,0
2018-04-10,10.2423,10.2423,9.7273,10.1851,5250,17.8000,0
2018-04-11,10.1851,10.1851,9.4985,9.4984,11840,16.6000,0
2018-04-12,9.7273,9.7273,9.4984,9.6129,6440,16.8000,0
2018-04-13,9.6129,10.2709,9.1551,10.2709,108550,17.9500,0
2018-04-16,10.2709,10.5856,10.2709,10.5856,41750,18.5000,0
2018-04-17,10.6428,10.7573,10.5856,10.7573,20380,18.8000,0
2018-04-18,10.7573,10.8145,10.5284,10.8145,33730,18.9000,0
2018-04-19,10.8145,10.8145,10.5284,10.7001,33300,18.7000,0
2018-04-20,10.7001,10.7573,10.5284,10.7573,29340,18.8000,0
2018-04-23,10.7573,10.7573,10.2995,10.5284,10000,18.4000,0
2018-04-24,10.5284,10.5856,10.3567,10.5284,9230,18.4000,0
2018-04-26,10.5284,10.5284,10.2995,10.2995,4500,18.0000,0
2018-04-27,10.2995,10.5856,10.2995,10.4998,4720,18.3500,0
2018-05-02,10.4998,10.4998,10.2995,10.4998,5160,18.3500,0
2018-05-03,10.2995,10.4712,10.2995,10.2995,8380,18.0000,0
2018-05-04,10.2995,10.4712,10.2995,10.2995,7460,18.0000,0
